Index,Message,Description,Message Abstract,Description Abstract
1833,chore(deps): bump node-notifier from 8.0.0 to 8.0.1,Bumps node-notifier from 8.0.0 to 8.0.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump node-notifier from 8.0.0 to 8.0.1,Bumps node-notifier from 8.0.0 to 8.0.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
1834,chore(deps): update typescript-eslint monorepo to v4.11.0,,chore(deps): update typescript-eslint monorepo to v4.11.0,
1835,chore(deps): update nest monorepo to v7.6.4,,chore(deps): update nest monorepo to v7.6.4,
1836,chore(deps): update dependency eslint-config-prettier to v7.1.0,,chore(deps): update dependency eslint-config-prettier to v7.1.0,
1837,chore(deps): update dependency eslint to v7.16.0,,chore(deps): update dependency eslint to v7.16.0,
1838,feat(): add field middleware support,,feat(): add field middleware support,
1839,Merge pull request #1261 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update dependency @graphql-tools/merge to v6.2.6,Merge pull request #1261 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update dependency @graphql-tools/merge to v6.2.6
1840,Merge pull request #1280 from nestjs/renovate/uuid-8.x,fix(deps): update dependency uuid to v8.3.2,Merge pull request #1280 from nestjs/renovate/uuid-8.x,fix(deps): update dependency uuid to v8.3.2
1841,chore(deps): update nest monorepo to v7.6.3,,chore(deps): update nest monorepo to v7.6.3,
1842,chore(deps): update nest monorepo to v7.6.2,,chore(deps): update nest monorepo to v7.6.2,
1843,chore(deps): update typescript-eslint monorepo to v4.10.0,,chore(deps): update typescript-eslint monorepo to v4.10.0,
1844,chore(deps): update dependency husky to v4.3.6,,chore(deps): update dependency husky to v4.3.6,
1845,chore(deps): update dependency typescript to v4.1.3,,chore(deps): update dependency typescript to v4.1.3,
1846,chore(deps): update dependency @types/jest to v26.0.19,,chore(deps): update dependency @types/jest to v26.0.19,
1847,chore(deps): update nest monorepo to v7.6.1,,chore(deps): update nest monorepo to v7.6.1,
1848,fix(deps): update dependency uuid to v8.3.2,,fix(deps): update dependency uuid to v8.3.2,
1849,chore(deps): update nest monorepo to v7.6.0,,chore(deps): update nest monorepo to v7.6.0,
1850,chore(deps): update dependency @types/jest to v26.0.18,,chore(deps): update dependency @types/jest to v26.0.18,
1851,chore(deps): update dependency @types/jest to v26.0.17,,chore(deps): update dependency @types/jest to v26.0.17,
1852,chore(deps): update typescript-eslint monorepo to v4.9.1,,chore(deps): update typescript-eslint monorepo to v4.9.1,
1853,chore(deps): update dependency ts-node to v9.1.1,,chore(deps): update dependency ts-node to v9.1.1,
1854,chore(deps): update dependency husky to v4.3.5,,chore(deps): update dependency husky to v4.3.5,
1855,chore(deps): update dependency eslint-config-prettier to v7,,chore(deps): update dependency eslint-config-prettier to v7,
1856,chore(deps): update dependency eslint to v7.15.0,,chore(deps): update dependency eslint to v7.15.0,
1857,chore(deps): update dependency lint-staged to v10.5.3,,chore(deps): update dependency lint-staged to v10.5.3,
1858,chore(deps): update dependency ts-node to v9.1.0,,chore(deps): update dependency ts-node to v9.1.0,
1859,chore(deps): update dependency @types/jest to v26.0.16,,chore(deps): update dependency @types/jest to v26.0.16,
1860,Merge pull request #1265 from Tony133/docs/update-contribute,docs(contributing): update contribution guide,Merge pull request #1265 from Tony133/docs/update-contribute,docs(contributing): update contribution guide
