Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Change logging format to %s (#2721),0.7472773,- #2721 Change access logging format to %s,,1
Skip middleware on RequestCancelled (#2720),0.96738917,- #2720 Skip middleware on RequestCancelled,,1
Allow password to be passed to TLS context (#2719),0.96849215,- #2719 Allow password to be passed to TLS context,,1
Fix comparison from wrong formats with datetime objects (#2697),0.60646725,2697 Fix comparison between datetime aware and naive in file when using If-Modified-Since,Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Add convenience for dynamic changes to routing (#2704),0.9751036,- #2704 Add convenience for dynamic changes to routing,,1
Separate ASGI request and lifespan callables (#2646),0.9369035,2646 Separate ASGI request and lifespan callables,,1
scheme arg to create the redirect should be 'https' (#2712),0.7681641,2712 Improved example using 'https' to create the redirect,,1
Consume body on DELETE by default (#2711),0.96392417,- #2711 Consume body on DELETE by default,,1
API to define a number of workers (#2701),0.8464406,- #2701 API to define a number of workers in managed processes,,1
Update rfc.yml,0.44194683,1922 Add explicit ASGI compliance to the README,,0
Rename rfc to rfc.yml,0.39289528,Actually have the README show up correctly on PyPI (hopefully) (Thanks to @graingert),,0
Create rfc,0.3724552,2200 Accept header parsing,,0
Nicer traceback formatting (#2667),0.8493254,2667 Nicer traceback formatting (HTML page),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com Co-authored-by: SML smlbiobot@gmail.com,1
Simplified parse_content_header escaping (#2707),0.84876114,- #2707 Simplified parse_content_header escaping to be RFC-compliant and remove outdated FF hack,,1
Add header accessors (#2696),0.87669814,2696 Add header accessors as properties,,1
Error page rendering format selection (#2668),0.6592001,"2668 Smarter error page rendering format selection; more reliant upon header and ""common sense"" defaults",Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,0
Refresh Request.accept functionality (#2687),0.61362875,2687 Refresh Request.accept functionality to be more performant and spec-compliant,,0
check the status of socket before shutting down (#2680),0.8574039,2680 Check the status of socket before shutting down with SHUT_RDWR,check the status of socket before shutting down remove socket status checking & ignore OSError exception,1
fix(websocket): ASGI websocket must pass thru bytes as is (#2651),0.85052705,2651 ASGI websocket to pass thru bytes as is,,1
Use FALLBACK_ERROR_FORMAT for handlers that return empty() (#2659),0.98145735,2659 Use FALLBACK_ERROR_FORMAT for handlers that return empty(),Co-authored-by: L. Karkkainen tronic@users.noreply.github.com Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Establish basic file browser and index fallback (#2662),0.79905033,2662 Add basic file browser (HTML page) and auto-index serving,Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,1
Remove deprecated property in blueprint (#2666),0.8848872,2666 Remove deprecated blueprintname property,Fixes link,1
Version 22.12 release notes (#2637),0.6811551,22.9 Docs by @ahopkins in link,,0
Add better inspector arg parsing (#2642),0.4514938,2453 Move verbosity filtering to logger,,0
ASGI websocket recv text or bytes (#2640),0.82735586,2651 ASGI websocket to pass thru bytes as is,,1
Pass unquote thru add_route (#2639),0.8357241,unquote in route def (not automatic),,1
Add priority to register_middleware method (#2636),0.66559327,- #2720 Skip middleware on RequestCancelled,,0
Fix Windows sock share (#2635),0.47160032,2635 Resolve error with low-level server creation on Windows,,0
Fix double ctrl-c kill (#2634),0.7225894,2621 #2634 Send SIGKILL on subsequent ctrl+c to force worker exit,,1
Implement restart ordering (#2632),0.41282076,- Blueprint listeners and ordering,,0
Reload interval on class variable (#2633),0.5808428,Add interval sleep in reloader by @ahopkins in link,,0
Move to HTTP Inspector (#2626),0.8796534,2626 Move to HTTP Inspector,,1
Test for 3.11 support (#2612),0.51656044,2612 Add CI testing for Python 3.11,Co-authored-by: Zhiwei zhi.wei.liang@outlook.com,0
Method Signal Handler Test (#2630),0.5731498,2540 Add signals before and after handler execution,,0
ASGI lifespan failure on exception (#2627),0.8670852,2627 Crash ASGI application on lifespan failure,,1
Replace deprecated distutils.strtobool (#2628),0.9321195,2628 Replace deprecated distutils.strtobool,,1
Deprecate Conditions and Triggers Saved in handler Callable; Save Condition in signal.extra Instead (#2608),0.69591606,2608 #2630 Signal conditions and triggers saved on signal.extra,,0
Allow fork in limited cases (#2624),0.5726582,fix: sideeffects created by changing fork to spawn by @SaidBySolo in link,,0
Add a SIGKILL to second ctrl+c (#2621),0.7987548,2621 #2634 Send SIGKILL on subsequent ctrl+c to force worker exit,,1
Scale workers (#2617),0.69898385,2617 Scale number of running server workers,,0
Filename normalisation of form-data/multipart file uploads (umlauts on Apple clients) (#2625),0.6551767,"1497 Recognizes non-ASCII filenames in RFC 2231, and suport filename length is zero for multipart/form-data.",Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,0
Add a restart mechanism to all workers in the multiplexer (#2622),0.89694244,2622 Add API to restart all workers from the multiplexer,,1
Add JSONResponse class (#2569),0.7472575,2569 Add JSONResponse class with some convenient methods when updating a response object,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Ensure middleware executes once per request timeout (#2615),0.9388076,2615 Ensure middleware executes only once per request timeout,,1
Kill server early on worker error (#2610),0.91929215,2610 Kill server early on worker error,,1
Corrected Colors enum under Python 3.11 (#2590),0.47602433,2590 Use actual StrEnum in Python 3.11+,Co-authored-by: Adam Hopkins adam@amhopkins.com Fixes link,0
Force socket shutdown before close (#2607),0.8581461,2607 Force socket shutdown before close to allow rebinding,Co-authored-by: Zhiwei zhi.wei.liang@outlook.com,1
Add compatibility with websockets 11.0. (#2609),0.84798497,2609 Add compatibility with websockets v11.0,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Ignore recent failures on bad TLS tests (#2611),0.49675792,2378 Introduce HTTP/3 and autogeneration of TLS certificates in DEBUG mode,,0
Require uvloop >= 0.15.0 (#2598),0.8811939,2598 Change uvloop requirement to >=0.15.0,,1
Mergeback from current-release,0.5123038,Rerelease of v21.9.2 with some cleanup,,0
Merge branch 'main' of github.com:sanic-org/sanic into current-release,0.47111803,Major changes to bring sanic up to current. Please consult the changelog. There are breaking changes in this release; please continue to use 19.9.X or the previous 18.12.X LTS release which will continued to be supported until December 2021 for stability.,,0
Add GenericCreator for loading SSL certs in processes (#2578),0.9037776,Add GenericCreator for loading SSL certs in processes by @ahopkins in link,,1
Set version,0.5428629,1893 Remove version section from setup.cfg,,0
Resolve edge case in nested BP Groups (#2592),0.8447005,Resolve edge case in nested BP Groups by @ahopkins in link,,1
Add interval sleep in reloader (#2595),0.9309951,Add interval sleep in reloader by @ahopkins in link,,1
22.9 Docs (#2556),0.8537071,22.9 Docs by @ahopkins in link,,1
fix: sideeffects created by changing fork to spawn (#2591),0.8914505,fix: sideeffects created by changing fork to spawn by @SaidBySolo in link,,1
improve error message if no apps found in registry (#2585),0.91531104,improve error message if no apps found in registry by @scardozos in link,,1
Update SECURITY.md,0.46251172,2366 Upgrade websockets version - SECURITY UPDATE,,0
Upgrade markdown templates to issue forms (#2588),0.873752,Upgrade markdown templates to issue forms by @ahopkins in link,,1
docs: sanic now supports windows. (#2582),0.8333044,docs: sanic now supports windows by @SaidBySolo in link,,1
Start v22.12,0.65552425,Version 22.3.0,,0
Remove deprecated items (#2555),0.8458591,2306 Removal of deprecated items,,1
Merge branch 'main' of github.com:sanic-org/sanic,0.4744955,Major changes to bring sanic up to current. Please consult the changelog. There are breaking changes in this release; please continue to use 19.9.X or the previous 18.12.X LTS release which will continued to be supported until December 2021 for stability.,,0
Set version properly,0.5484969,1893 Remove version section from setup.cfg,,0
Additional logger and support for multiprocess manager (#2551),0.51744115,2109 Consistent use of error loggers,,0
Begin middleware revamp (#2550),0.6169375,Resolve #1749 Restore broken middleware edge cases,,0
Refactor _static_request_handler (#2533),0.94643,2533 Refactor _static_request_handler,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Make WebsocketImplProtocol async iterable (#2490),0.95588654,2490 Make WebsocketImplProtocol async iterable,,1
Better request cancel handling (#2513),0.9130744,2513 Better request cancel handling,,1
Add deprecation warning filter (#2546),0.9138278,2546 Add deprecation warning filter,,1
Sanic Server WorkerManager refactor (#2499),0.9672091,2499 Sanic Server WorkerManager refactor,Co-authored-by: Néstor Pérez 25409753+prryplatypus@users.noreply.github.com,1
Add signals before and after handler execution (#2540),0.90565777,2540 Add signals before and after handler execution,,1
Raise warning and deprecation notice on violations (#2537),0.74083835,2332 Make all deprecation notices consistent,,1
Do not apply double slash to Blueprint and static dirs (#2515),0.9111953,2515 Do not apply double slash to paths in certain static dirs in Blueprints,,1
Improve and fix some type annotations (#2536),0.77651256,"2279, #2317, #2322 Add/correct missing type annotations",,1
Fix easter egg through CLI (#2542),0.39847648,2542 Add [redacted] to CLI :),,0
Update bug_report.md,0.647445,Bugfixes,,0
Update feature_request.md,0.52657443,To see the exhaustive list of pull requests included in this release see: ,,0
Validate File When Requested (#2526),0.4200944,New raising of error if an invalid response is returned,Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Resolve issue 2529 (#2530),0.57286084,Resolves #2477 and #2478 ,,0
Update config.yml,0.6167027,2354 Add config.update support for all config values,,0
Always show server location in ASGI (#2522),0.9179924,2522 Always show server location in ASGI,Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: Zhiwei Liang zhi.wei.liang@outlook.com Co-authored-by: Néstor Pérez 25409753+prryplatypus@users.noreply.github.com,1
Add Request properties for HTTP method info (#2516),0.92766017,2516 Add request properties for HTTP method info:,,1
Warn on duplicate route names (#2525),0.8679478,"2525 Warn on duplicate route names, will be prevented outright in v23.3",,1
Rename code of conduct,0.3763149,Sanic and Blueprint forced to have compliant names,,0
style: add some type hints (#2517),0.50895715,"2279, #2317, #2322 Add/correct missing type annotations",,0
MERGEBACK (#2495) (#2512),0.3944211,Resolves #2477 and #2478 ,Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: Zhiwei Liang zhi.wei.liang@outlook.com Co-authored-by: Néstor Pérez 25409753+prryplatypus@users.noreply.github.com,0
Use path.parts instead of match (#2508),0.74330974,2508 Use path.parts instead of match (for static file serving),,1
Use pathlib for path resolution (#2506),0.7733955,2506 Use pathlib for path resolution (for static file serving),,1
Fix dotted test,0.42709488,[#1956][] Fix load module test,,0
Prevent directory traversion with static files (#2495),0.9371711,2495 Prevent directory traversion with static files,Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: Zhiwei Liang zhi.wei.liang@outlook.com,1
docs: Fix a few typos (#2502),0.7782165,"2269, #2329, #2333 Cleanup typos and fix language",Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Replace Unsupported Python Version Number from the Contributing Doc (#2505),0.9587507,2505 Replace Unsupported Python Version Number from the Contributing Doc,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
"Fix Test Cases: test_http for Py3.9+, test_json_response_json for ujson 5.4.0+, and test_zero_downtime; Test Case Type Annotations (#2504)",0.6069559,f8a6af1 Rename the http module to helpers to prevent conflicts with the built-in Python http library (fixes #1323),,0
Add to changelog,0.63301283,Full Changelog: link,,0
Add custom loads function (#2445),0.92361075,2445 Add custom loads function,Co-authored-by: Zhiwei chihwei.public@outlook.com Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Release 22.6 (#2487),0.8043718,Version 22.3.0,,1
Improve API docs (#2488),0.66035056,[#1951][] Documentation improvements,,0
HTTP/3 Support (#2378),0.7260393,📦 EXTRA REQUIREMENT: Not all HTTP clients are capable of interfacing with HTTP/3 servers. You may need to install a HTTP/3 capable client.,,1
Fix and improve file cache control header calculation (#2486),0.69494355,"2447, #2486 Improved API to support setting cache control headers",,0
Add missing spaces in CLI error message (#2485),0.4909938,2485 Improved help messages in CLI,,0
Fix for running in pythonw (#2448),0.67853284,2448 Fix to allow running with pythonw.exe or places where there is no sys.stdout,Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Fix test_cli and test_cookies (#2479),0.48863184,"response.add_cookie(""test"", ""It worked!"", domain="".yummy-yummy-cookie.com"")",,0
Add Request contextvars (#2475),0.67579544,2516 Add request properties for HTTP method info:,Add Request contextvars Add missing contextvar setter Move location of context setter,0
File Cache Control Headers Support (#2447),0.8091919,"2447, #2486 Improved API to support setting cache control headers",Co-authored-by: Adam Hopkins adam@amhopkins.com,1
feat(type): extend (#2466),0.6961651,2466 Better type annotation for Extend,Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Resolve typing of stacked route definitions (#2455),0.94037807,2455 Resolve typing of stacked route definitions,,1
Move verbosity filtering to logger (#2453),0.9559312,2453 Move verbosity filtering to logger,,1
Trigger http.lifecycle.request signal in ASGI mode (#2451),0.971899,2451 Trigger http.lifecycle.request signal in ASGI mode,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
style: add msg in task.cancel (#2416),0.77993274,2416 Add message to task.cancel,style: add msg in task.cancel style: apply isort fix: use else statement fix: use tuple fix: rollback for test fix: rollback like previous change fix: add = Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Clean Up Black and Isort Config (#2449),0.91170967,2449 Clean up black and isort config,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
fixed manual to match current Sanic app name policy (#2461),0.6852637,2461 Update example to match current application naming standards,Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Properly catch websocket CancelledError in websocket handler in Python 3.7 (#2463),0.98203135,2463 Properly catch websocket CancelledError in websocket handler in Python 3.7,,1
refactor: consistent exception naming (#2420),0.6670837,"2420 Add exception aliases for more consistent naming with standard HTTP response types (BadRequest, MethodNotAllowed, RangeNotSatisfiable)",Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Current release mergeback (#2454),0.5192472,Rerelease of v21.9.2 with some cleanup,,0
Resolve warning issue with error handler mismatch warning (#2452),0.94844735,Resolve warning issue with error handler mismatch warning ,,1
Expose scope parameter in request object (#2432),0.7132044,2432 Expose ASGI scope as a property on the Request object,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Preserve blank form values for urlencoded forms (option) (#2439),0.46595716,- #2710 Stricter charset handling and escaping of request URLs,"task(request.form): Add tests for blank values fix(request): abstract form property to implement get_form(), allow for preserving of blanks fix(request): hinting for parsed_form fix(request): typing for parsed_files fix(request): ignore type assumption fix(request): mypy typechecking caused E501 when type set to ignore fix(request): mypy is too stupid to parse continuations fix(request): formatting fix(request): fix annotation and return for get_form() fix(request): linting, hinting",0
feat: easier websocket interface annotation (#2438),0.7636695,"2158, #2248 Complete overhaul of I/O to websockets",,1
Add fall back for Windows even loop fetching (#2421),0.7751896,Add fall back for Windows even loop fetching by @ahopkins in link,,1
22.3 Internal version bumps (#2419),0.5608776,2487 v22.6 deprecations and changes,,0
Bump version and 22.3 changelog (#2418),0.57895446,2487 v22.6 deprecations and changes,,0
"Fix ""DeprecationWarning: There is no current event loop"" (#2390)",0.68587667,2390 Clear deprecation warning in asyncio.get_event_loop,Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Better exception for bad URL parse (#2415),0.9022779,2415 Better exception for bad URL parsing,,1
"Add config option to skip Touchup step, for debugging purposes (#2361)",0.80043226,2361 Add config option to skip Touchup step in application startup,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
allow multidict version 6 (#2396),0.8428358,2396 Allow for multidict v0.6,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
remove error_logger on websockets (#2373),0.9798169,2373 Remove error_logger on websockets,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Fixing typing for ListenerMixin.listener (#2376),0.94752014,2376 Fix typing for ListenerMixin.listener,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Upgrade tests for sanic-routing changes (#2405),0.93706095,2405 Upgrade tests for sanic-routing changes,,1
Conditionally inject CLI arguments into factory (#2402),0.9559349,2402 Conditionally inject CLI arguments into factory,,1
Remove loop as required listener arg (#2414),0.94063085,2414 Remove loop as required listener arg,,1
Changes to CLI (#2401),0.6587177,2372 Updates to CLI help messaging,Co-authored-by: Callum Fleming howzitcal@zohomail.com Co-authored-by: Adam Hopkins adam@amhopkins.com,0
Add two new events on the reloader process (#2413),0.80965084,2413 Add new start and stop event listeners to reloader process,,1
Add a docstring to Request.respond() (#2409),0.75811434,2409 Add missing documentation for Request.respond,Co-authored-by: Ryu juheon saidbysolo@gmail.com Co-authored-by: Adam Hopkins adam@amhopkins.com,1
"remove overlapping slots from app.Sanic, fix broken slots inherit of HTTPResponse (#2387)",0.50087035,sanic.response.StreamingHTTPResponse,,0
Document middleware on_request and on_response (#2398),0.93967116,2398 Document middleware on_request and on_response,,1
fix(tasks): newly assigned None in registry (#2381),0.911713,2381 Fix newly assigned None in task registry,,1
Upgrade black and isort changes (#2397),0.6161622,2449 Clean up black and isort config,,0
Downgrade warnings to backwater debug messages (#2382),0.9351675,2382 Downgrade warnings to backwater debug messages,,1
fix: deprecation warning in asyncio.wait (#2383),0.89734286,2383 Clear deprecation warning in asyncio.wait,,1
Sanic multi-application server (#2347),0.62066126,"👶 EARLY RELEASE FEATURE: Serving Sanic over HTTP/3 is an early release feature. It does not yet fully cover the HTTP/3 spec, but instead aims for feature parity with Sanic's existing HTTP/1.1 server. Websockets, WebTransport, push responses are examples of some features not yet implemented.",,0
Updates to CLI help messaging (#2372),0.95739883,2372 Updates to CLI help messaging,,1
22.3 Deprecations and changes (#2362),0.87376136,2362 22.3 Deprecations and changes,,1
Change back to codecov (#2363),0.60451627,2363 Revert code coverage back to Codecov,,0
Add credentials property to Request objects (#2357),0.6615116,2357 Parse Authorization header as Request.credentials,,0
Mergeback of 21.12.1 (#2358),0.53538567,Rerelease of v21.9.2 with some cleanup,Co-authored-by: Néstor Pérez 25409753+prryplatypus@users.noreply.github.com Co-authored-by: Ryu juheon saidbysolo@gmail.com,0
[FIX] README ASGI link (#2350),0.8948592,2350 Fix link in README for ASGI,,1
Set dev version,0.59917045,2251 Change dev install command,,0
deprecation warning for not catch lowercase env var (#2344),0.7164581,2344 Deprecate loading of lowercase environment variables,,1
Set setuptools version for RTD,0.576133,1478 Upgrade setuptools version and use native docutils in doc build,,0
Auto extend with Sanic Extensions (#2308),0.64506537,"2308 Auto extend application with Sanic Extensions if it is installed, and provide first class support for accessing the extensions",,0
Change signal routing for increased consistency (#2277),0.9105694,2277 Change signal routing for increased consistency,,1
LTS v21.12 Deprecations (#2306),0.8246703,2487 v22.6 deprecations and changes,Co-authored-by: Néstor Pérez 25409753+prryplatypus@users.noreply.github.com,1
Optional uvloop use (#2264),0.8178323,2264 Optional uvloop by configuration,Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: Adam Hopkins admhpkns@gmail.com,1
Add route context (#2302),0.8588524,2302 Add route context at definition time,,1
Env custom type casting (#2330),0.7900405,2330 Custom type casting on environment variables,,1
Add named tasks (#2304),0.6141515,2304 Named tasks and new API for managing background tasks,,0
Remove app instance from Config for error handler setting (#2320),0.96215117,2320 Remove app instance from Config for error handler setting,,1
Add Py310 Tests Badge to README (#2341),0.5513283,2612 Add CI testing for Python 3.11,,0
Cleanup ports on tests (#2338),0.888785,2338 Cleanup ports on tests,,1
Remove paths from coverage checks (#2336),0.95886296,2336 Remove paths from coverage checks,,1
Add runtime checking to create_server to verify that startup has been run (#2328),0.65774405,@app.before_server_start,,0
Update README.rst,0.46764207,1477 Fix grammar in README.md,,0
Allow underscore to start instance names (#2335),0.94193625,2335 Allow underscore to start instance names,,1
Prevent sending multiple or mixed responses on a single request (#2327),0.91393995,2327 Prevent sending multiple or mixed responses on a single request,Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: Adam Hopkins admhpkns@gmail.com,1
Make warnings for DeprecationWarning consistent (#2332),0.8967751,2332 Make all deprecation notices consistent,,1
Fix Sanic.handle_exception Method's Type Doc (#2333),0.6824384,sanic.exceptions.abort,Fix type doc Remove explicit type defines in docstring,0
Fix typos (#2329),0.7951482,"2269, #2329, #2333 Cleanup typos and fix language",Fix typos Downgrade mistune version Fix blueprint host param Co-authored-by: Adam Hopkins admhpkns@gmail.com Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Fixed: CI Runs on Ready PRs Only (#2324),0.60909957,2292 Fail CI on error,"Revert ""Update tests to not run all the time (#2311)"" This reverts commit 2c03eee32948aa7d0c2f156244c25e22541f9e21. Make CI only runs on PRs that are ready Remove CI Tasks on Push",0
Resolve potential bug in MOTD in Docker (#2331),0.45824704,2349 Only display MOTD on startup,Resolve potential bug in MOTD in Docker,0
Refactor environment variable hydration logic. (#2321),0.92636263,2321 Refactor environment variable hydration logic,Refactor environment variable hydration logic to be less nested. This allows possible future extension of the hydration logic. Fix a spelling mistake in load_environment_vars docstring. Co-authored-by: Adam Hopkins admhpkns@gmail.com,1
Fix Type Hint (#2322),0.62452334,"2279, #2317, #2322 Add/correct missing type annotations",Fix Type Hint Union is not necessary here? My IDE pops an error for it. Rerun workflows empty commit,0
Fix examples to work as expected (#2305),0.5329899,2052 Fix some examples and docs,Fix examples to work as expected Clean up examples Update worker test Merge in from main and cleanup example,0
Update tests to not run all the time (#2311),0.5516908,2287 Update host test function names so they are not overwritten,,0
Mergeback (#2319),0.38330537,Resolves #2477 and #2478 ,Mergeback,0
Dispatch http.lifecyle.response from exception handler (#2299),0.97538996,2299 Dispatch http.lifecyle.response from exception handler,,1
Fix typehints in route shorthand methods (#2317),0.7070336,2455 Resolve typing of stacked route definitions,Fix typehints in route shorthand methods Change typehint of the version variable in RouteMixin  to allow int string and float types values Resolves #2314 fix lint error in version variable,1
Add contextual exceptions (#2290),0.86166286,2290 Add contextual exceptions,,1
Coffee please (#2316),0.3798653,2517 #2536 Add some type hints,Coffee please Add unit tests,0
Merge release 21.9.2 (#2313),0.6190484,Rerelease of v21.9.2 with some cleanup,,0
Allow early Blueprint registrations to still apply later added objects (#2260),0.9427115,2260 Allow early Blueprint registrations to still apply later added objects,,1
"Make HTTP connections start in IDLE stage, avoiding delays and error messages (#2268)",0.96705514,"2268 Make HTTP connections start in IDLE stage, avoiding delays and error messages","Make all new connections start in IDLE stage, and switch to REQUEST stage only once any bytes are received from client. This makes new connections without any request obey keepalive timeout rather than request timeout like they currently do. Revert typo Remove request timeout endpoint test which is no longer working (still tested by mocking). Fix mock timeout test setup. Co-authored-by: L. Karkkainen tronic@users.noreply.github.com",1
More consistent config setting with post-FALLBACK_ERROR_FORMAT apply (#2310),0.95977706,2310 More consistent config setting with post-FALLBACK_ERROR_FORMAT apply,Update unit testing and add more consistent config Change init and app values to private Cleanup line lengths,1
Provide list of reloaded files (#2307),0.6135776,"2307 On app auto-reload, provide insight of changed files",Allow access to reloaded files Return to simple boolean values Resolve before adding to changed files,0
Move builtin signals to enum (#2309),0.8096341,2309 Builtin signals changed to Enum,Move builtin signals to enum Fix annotations,1
Restructure of CLI and application state (#2295),0.70123476,"2295, #2316, #2331 Restructure of CLI and application state with new displays and more command parity with app.run","Initial work on restructure of application state Updated MOTD with more flexible input and add basic version Remove unnecessary type ignores Add wrapping and smarter output per process type Add support for ASGI MOTD Add Windows color support ernable Refactor main into submodule Renest arguments Passing unit tests Passing unit tests Typing Fix num worker test Add context to assert failure Add some type annotations Some linting Line aware searching in test Test abstractions Fix some flappy tests Bump up timeout on CLI tests Change test for no access logs on gunicornworker Add some basic test converage Some new tests, and disallow workers and fast on app.run",1
Increase join concat performance (#2291),0.91270816,2291 Increase join concat performance,,1
Py310 loop fixup (#2294),0.46374923,Fix loop exception handling in app.py,"Fixup for 3.8+; Sanic still supports 3.7 where loop is required Added branching statement to hanle asyncio.Event() loop parameter removal in 3.10, and optional supply in 3.9",0
Add Python 3.10 testing (and support) (#2257),0.90658075,"2257, #2294, #2341 Add Python 3.10 support","Administratively merging because @vltr and @ahopkins are the release managers, and @ahopkins is originator of the PR Add Python 3.10 testing (and support) fixed py310 tox environment for windows, quoted '3.10' in python-310 tests to avoid numeric compression updated tox.ini for py310 quoted the rest of the bare 3.10 references in the workflows Issue with pytest requires version bump to 6.2.5 for python 3.10 Co-authored-by: Stephen Sadowski stephen.sadowski@sjsadowski.com",1
