Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
.github: re-pin github-script to v3,0.45642292,"LD_FLAGS=""-X github.com/hashicorp/packer/version.Version=1.8.7 -X github.com/hashicorp/packer/version.VersionPrerelease=""","When tsscr bumped the version of the action to v6, we experienced some failures in our nightly runs. To make the action operable again, we pin the action to the former: v3.",0
Merge pull request #12391 from hashicorp/nywilken/circular-datasource-link,0.4415053,Bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 ,[HPR-1038] Remove circular reference between data source doc pages,0
Remove circular reference between data source documentation pages,0.31504232,New Datasource HTTP datasource retrieves information from a HTTP, Update the data source documentation with a link to the amazon-ami configuration reference guide.  Closes #12336,0
Merge pull request #12389 from hashicorp/nywilken/release-branch-checks,0.4770762,    at hashicorp/packer now lives in the root of this repo. The README that,Add release branches to Go GHA workflows,0
Add release branches to Go GHA workflows,0.43311694,core: Bump supported Go version to 1.18.,,0
docs: add docs to show diffs between JSON and HCL2,0.49284792,core: Metadata for capturing template types such as JSON or HCL2 has been added to the,,0
Merge pull request #12380 from hashicorp/bump-go-1.20,0.59304094,Bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 ,Bump Go tooling to version 1.20,0
Remove external archived provisioner plugins (#12374),0.687924,"Remove provisioner plugins for Chef, Converge, Puppet, Salt, and Inspec as",This change removes a set of plugins that have not been updated in a while. These plugins have been archived for some time now. Users wishing to continue using these plugins should use the packer plugins install or packer init commands to install the external plugin.,0
Remove IONOS plugins from vendored plugins (#12385),0.6337961,builder/oracle: Remove Oracle plugin from the list of vendored," Remove profitbricks plugin Remove oneandone plugin  The following plugins have been unmaintained for some time now, and their upstream cloud provider has consolidate the services. These plugins will continue to be available to Packer via direct installation using packer init or the packer plugins install command. But they will no longer be bundled with Packer.",0
Fix url git repository modern Windows version in the Autounattend Windows Guide (#12382),0.41185674,"     instead of a Git SHA, and a new one is always generated, unless one is",,0
Bump version of golanci-lint,0.35755366,core: Bump Go module version to 1.20,,0
Run make fmt to fix checks,0.4763711,    to the LDFLAGS in use for building the binaries for Packer had mistakenly,,0
Bump go.mod to 1.20,0.7530141,core: Bump Go module version to 1.20,  Fix go vet issue   Bump Go tooling to version 1.20   Update workflows to use go-version file ,1
Result of tsccr-helper -pin-all-workflows . (#12381),0.4014665,     created. This does not impact workflows where the fingerprint was defined,Co-authored-by: hashicorp-tsccr[bot] hashicorp-tsccr[bot]@users.noreply.github.com,0
Remove external plugin for Digital Ocean (#12376),0.8956941,core: Remove external plugin for Digital Ocean as a vendored plugin.,The Digital Ocean plugin is now maintained and released by the Digital Ocean team. To ensure users are downloading the latest available version the plugin will nolonger be bundled with Packer.,1
packer: track template type in spans,0.5625289,core: Using different template types when building a HCP Packer,"The template type for a builder, provisioner, post-processor or datasource was not tracked with telemetry data. This commit adds the infrastructure to track this, bumping the schema for non-crashes to `beta/packer/6' at the same time.",0
packer: add HCL2 support for telemetry,0.84938943,core: Add enhanced support to Packer telemetry for HCL2.,"Packer's telemetry package captures the field names from a configuration on legacy JSON templates, but did not contain any code for handling HCL2 template configurations. This commit adds a routine to extract the field names from a HCL2 configuration once flattened, and adds some glue code to propagate the configurations to the telemetry structures.",1
Update fix command autocomplete to work for JSON template files only (#12366),0.58042216,"core: Fix regression introduced in 1.8.6, where legacy JSON templates with",,0
Enhance zsh completion for the packer command (#12356),0.97485745,Enhance zsh completion for the Packer command.,Now completes more commands and also matches template files both for pkr.hcl and pkr.json as suggested by the packer template naming scheme.,1
clarify local and input variables (#12334),0.41937953,     variables. GH-12290,  clarify local and input variables   Apply suggestions from code review   Co-authored-by: Rose M Koron 32436232+rkoron007@users.noreply.github.com  Apply suggestions from code review  Co-authored-by: Rose M Koron 32436232+rkoron007@users.noreply.github.com Co-authored-by: Wilken Rivera wilken@hashicorp.com  Apply suggestions from code review  Co-authored-by: Wilken Rivera wilken@hashicorp.com  Co-authored-by: Rose M Koron 32436232+rkoron007@users.noreply.github.com Co-authored-by: Wilken Rivera wilken@hashicorp.com,0
cmd/console: Add config-type flag to command help (#12360),0.9538392,cmd/console: Add config-type flag to command help.,It is not clear that the console command runs in legacy JSON mode by default and that users can specify the -config-type flag to toggle HCL2 mode. This change adds the config-type flag to the command's help text to alert users of the gotcha. In the next minor Packer release the console command will be updated to default to HCL2 mode. Relates to: #12359 Relates to: #10603,1
Update allowed dependencies to track (#12355),0.54437566,core: Update dependency to resolve GO-2022-0969.,  Packer plugins rely on the Packer SDK for the majority of its HCL dependency. To prevent issues with the version of go-cty or hcl/v2 pkg getting out of sync this changes sets the allowed dependency to packer-plugin-sdk only.   HashiCorp is standardizing on pinning versions of allowed GitHub actions to prevent the introduction of potential security issues. This change removes GitHub actions from dependabot. ,0
website: fix typo in documentation of validate command (#12344),0.52262354,     passing the -no-warn-undeclared-var flag to the validate command.,,0
Migrate external UCloud plugin to ucloud/packer-plugin-ucloud (#12335),0.9335032,core: Migrate external UCloud plugin to ucloud/packer-plugin-ucloud.," Update external plugin documentation source  The UCloud plugin for Packer is now maintained by the UCloud team, under their respective GitHub org. This changes updates the source address for the external plugin that should be used for pulling new plugin documentation.  Remove packer-plugin-ucloud from vendored plugins.",1
Update website/data/plugins-manifest.json,0.5015506,Bump bundled plugins to latest available version.,adding comma! Co-authored-by: Lucas Bajolet 105649352+lbajolet-hashicorp@users.noreply.github.com,0
Update Outscale plugin HCP Ready tag,0.5652522,    packer plugins install github.com/outscale/outscale. GH-11912,Adding the HCP Ready tag to the Outscale plugin. The HCP compatibility was added in this PR: https://github.com/outscale/packer-plugin-outscale/pull/70,0
build(deps): bump actions/setup-go from 2 to 4 (#12316),0.47246176,core: Bump github.com/hashicorp/packer-plugin-sdk to 0.4.0 to address,Bumps actions/setup-go from 2 to 4. - Release notes - Commits  updated-dependencies: - dependency-name: actions/setup-go   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build(deps): bump github/issue-labeler from 3.0 to 3.1 (#12328),0.5431737,core: Bump github.com/hashicorp/packer-plugin-sdk to 0.4.0 to address,Bumps github/issue-labeler from 3.0 to 3.1. - Release notes - Commits  updated-dependencies: - dependency-name: github/issue-labeler   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Migrate external Linode plugin to linode/packer-plugin-linode (#12329),0.913676,core: Migrate external Linode plugin to linode/packer-plugin-linode.," Update external plugin documentation source  The Linode plugin for Packer is now maintained by the Linode team, under their respective GitHub org. This changes updates the source address for the external plugin that should be used for pulling new plugin documentation.  Removed packer-plugin-linode for list of vendored plugins  The Linode plugin for Packer is now maintained by the Linode team, under their respective GitHub org. This changes removes Linode from the vendored plugins lists.",1
website: adds content-check command and README update (#12317),0.3331948,digitalocean@v1.0.3 - CHANGELOG,,0
add meta descriptions (#12315),0.48110965,     Documentation for more,  add meta descriptions   rework   tweak   clean up hcl description   gt dash ,0
Register documentation for Volcengine plugin (#12202),0.49216145,    plugin source address.,,0
Add external data source plugin as a community integration   (#12150),0.4825722,External plugins have been pinned to the following versions. Please see their,,0
build(deps): bump github.com/hashicorp/packer-plugin-sdk (#12306),0.91790926,core: Bump github.com/hashicorp/packer-plugin-sdk from 0.3.1 to 0.3.2.,Bumps github.com/hashicorp/packer-plugin-sdk from 0.3.4 to 0.4.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/packer-plugin-sdk   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
build(deps): bump github.com/hashicorp/hcp-sdk-go from 0.34.0 to 0.36.0 (#12292),0.9502723,core: Bump github.com/hashicorp/hcp-sdk-go to 0.36.0.,Bumps github.com/hashicorp/hcp-sdk-go from 0.34.0 to 0.36.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/hcp-sdk-go   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
build(deps): bump aws-actions/configure-aws-credentials from 1 to 2 (#12302),0.41607636,     build with the upgraded template you are encouraged to run packer validate,Bumps aws-actions/configure-aws-credentials from 1 to 2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: aws-actions/configure-aws-credentials   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Merge pull request #12300 from hashicorp/ashleemboyer-patch-1,0.51625216,    at hashicorp/packer now lives in the root of this repo. The README that,Delete test-link-rewrites.yml,0
Delete test-link-rewrites.yml,0.35467774,"Remove provisioner plugins for Chef, Converge, Puppet, Salt, and Inspec as",,0
[COMPLIANCE] Add Copyright and License Headers (#12254),0.37140298, publishing of metadata for any HCP Packer enabled configuration template.,Co-authored-by: hashicorp-copywrite[bot] 110428419+hashicorp-copywrite[bot]@users.noreply.github.com,0
Update golang.org/x/net to address GO-2023-1571,0.76649374,"core: Bump Go version to 1.18.9 to address vulnerability GO-2022-1144, which",» Go Modules Scanner     ⚠︎ found OSV reported vulnerability GHSA-vvpx-j8f3-3w6h in golang.org/x/net@v0.5.0     ⚠︎ found OSV reported vulnerability GO-2023-1571 in golang.org/x/net@v0.5.0,1
build(deps): bump github/issue-labeler from 2.6 to 3.0 (#12261),0.54546094,core: Bump github.com/hashicorp/packer-plugin-sdk to 0.4.0 to address,Bumps github/issue-labeler from 2.6 to 3.0. - Release notes - Commits  updated-dependencies: - dependency-name: github/issue-labeler   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
website: Update plugin tier for Nutanix to partner verified (#12291),0.50038475,The following external plugins have been updated and pinned to address open,,0
Update JSON template does not return substitute values in 1.8.6 version (#12290),0.6476662,"core: Fix regression introduced in 1.8.6, where legacy JSON templates with","This change fixes a regression introduced in Packer 1.8.6, where configurations custom builder names , via the name attribute, would internally interpolate the proper build names, but would display the name to STDOUT as uninterpolated values. The change updates the creation of a CoreBuild for legacy JSON templates to use use the interpolated name as the final build type, which gets rendered to the screen. Test Results Before Fix ~>  go test ./... -run='TestCoreBuild_buildNameIntepolation' -v --- FAIL: TestCoreBuild_buildTypeIntepolation (0.01s)     core_test.go:930: build type interpolation failed; expected ""test.mybuild-RandomToken"", got ""test.{{user `build_name`}}""     core_test.go:930: build type interpolation failed; expected ""test.build-vardata"", got ""test.{{user `build_name`}}""     core_test.go:930: build type interpolation failed; expected ""test.build-12345"", got ""test.{{user `build_name`}}"" FAIL Test Results After Fix ~>  go test ./... -run='TestCoreBuild_buildNameIntepolation' -v === RUN   TestCoreBuild_buildTypeIntepolation --- PASS: TestCoreBuild_buildTypeIntepolation (0.01s) PASS Closes #12281",0
CHANGELOG: Add HCP Packer description regression fix,0.6876535," previously required to enable the HCP Packer integration. In this release,",,0
Bump bundled plugins to latest available version (#12271),0.8175741,Bump bundled plugins to latest available version.,,1
build(deps): bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 (#12262),0.9464242,core: Bump github.com/hashicorp/hcp-sdk-go to 0.36.0.,Bumps github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/hcp-sdk-go   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
Update github.com/hashicorp/go-getter/v2 pkgs to address CVE-2023-0475,0.81772435,"core: Bump Go version to 1.18.9 to address vulnerability GO-2022-1144, which",,1
build(deps): bump github.com/hashicorp/hcp-sdk-go from 0.31.0 to 0.33.0,0.94937134,Bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 ,Bumps github.com/hashicorp/hcp-sdk-go from 0.31.0 to 0.33.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/hcp-sdk-go   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump hashicorp/actions-go-build from 0.1.7 to 0.1.9,0.6473912,Bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 ,Bumps hashicorp/actions-go-build from 0.1.7 to 0.1.9. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: hashicorp/actions-go-build   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
Update CHANGELOG for 1.8.6 and 1.9.0,0.6563352,    respective changelogs for details on plugin specific bug fixes and,,0
Update instance runner for workflow,0.30055216,     to the plugin will continue to work but users are advised to update the,Small Linux runners are only supported within on-prem actions. This change updates the workflow to use a public Linux runner.,0
Fix crash when variables block is undefined,0.62254405,cmd/hcl2_upgrade: Fix crash when variables block is undefined.,This change fixes a crash that occurs when trying to add undeclared variables into an empty variables map. The variables block when defined will always be non-nil but in the case where variables are declared and initialized from a legacy JSON variables file the map must be initialized first.,0
Bump development version to 1.9.0,0.64305973,"    to version 1.9.1 or above. Starting with 1.9.1, you may specify a project ID to push",Stable releases for 1.8.x will be made off of the release/1.8.x branch. Main will represent the next minor version. When ready for a release a new release branch will be created for the version.,0
copywrite: add command/plugin.go to ignore list,0.32687628,     -only/exlude filters for running select builds.,The command/plugin.go file is auto-generated and should not be processed as part of copywrite headers.,0
copywrite: setup configuration for licensing,0.30012143, publishing of metadata for any HCP Packer enabled configuration template.,"Copywrite is a tool developed internally at Hashicorp in order to maintain our source code up-to-date in terms of license headers. Since this will be monitored soon, we are preparing for this by adding the configuration for files to ignore.",0
add changelog update for vendor label for linux packaging,0.6412017,core: Linux packages now have vendor label and set the default label to,,0
Add release branches to CRT build pipeline,0.41566268,"     as opposed to just the build name field (e.g ""name""=""windows-srv-2019""). ","This change will allow for release branches release/<MAJOR>.<MINOR>.x to be built add uploaded to the CRT build tool chain, which can then be promoted and released publicly if needed.",0
build(deps): bump github/issue-labeler from 2.5 to 2.6,0.53186214,core: Bump github.com/hashicorp/packer-plugin-sdk to 0.4.0 to address,Bumps github/issue-labeler from 2.5 to 2.6. - Release notes - Commits  updated-dependencies: - dependency-name: github/issue-labeler   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,0
Update ReadFromHCLBuildBlock to use the hcp_packer_registry.Description,0.7430132,Packer release version 1.7.7 with improved HCP Packer registry support,"In packer v1.8.5, the bucket's description was not properly set in the bucket object we use for HCP, therefore all the buckets created by Packer did not have their description updated. Before the change --- FAIL: TestReadFromHCLBuildBlock (0.00s)     --- FAIL: TestReadFromHCLBuildBlock/configure_bucket_using_only_hcp_packer_registry_block (0.00s)         types.bucket_test.go:380: expected the build to to have contents of hcp_packer_registry block but it does not:   &registry.Bucket{                 Slug:         ""hcp_packer_registry-block-test"",             -   Description:  """",             +   Description:  ""description from hcp_packer_registry block"",                 Destination:  """",                 BucketLabels: {""org"": ""test""},                 ... // 5 identical fields               } FAIL FAIL    github.com/hashicorp/packer/internal/hcp/registry       1.072s FAIL After Change ``` ~>  go test ./... ?       github.com/hashicorp/packer/internal/hcp/api    [no test files] ok      github.com/hashicorp/packer/internal/hcp/env    (cached) ok      github.com/hashicorp/packer/internal/hcp/registry       1.130s ```",1
Update community-tools.mdx,0.4388495,Bump bundled plugins to latest available version.,,0
docs: Migrate link formats (#12192),0.31626812,     documentation and binary downloads will be redirected to,  Adding check-legacy-links-format workflow   Adding test-link-rewrites workflow   Migrating links to new format   Updating docs-content-check-legacy-links-format hash   chore: update source   Update generated partials from Packer plugin SDK   Bump packer-plugin-sdk to get latest packer-sdc   Update website/content/docs/templates/hcl_templates/blocks/build/provisioner.mdx   Update Plugin SDK to fix shell-local regression    Co-authored-by: Kendall Strautman kendallstrautman@gmail.com Co-authored-by: Wilken Rivera wilken@hashicorp.com Co-authored-by: Kendall Strautman 36613477+kendallstrautman@users.noreply.github.com,0
build(deps): bump github.com/hashicorp/hcp-sdk-go from 0.29.0 to 0.31.0,0.95373994,bump github.com/hashicorp/hcp-sdk-go from 0.28.0 to 0.29.0,Bumps github.com/hashicorp/hcp-sdk-go from 0.29.0 to 0.31.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/hcp-sdk-go   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
hcp: generate fingerprints on each new build,0.7345105,"     through the HCP_PACKER_ITERATION_FINGERPRINT environment variable, and","Fingerprints are how we link a packer build to an iteration on HCP. These are computed automatically from the Git SHA in the current state, and are unique to the bucket/iteration. The main problem with this approach is that while sound in theory, it quickly falls apart when users want to run the same build configuration twice, but expect a new image to be created. With the current model, this fails, as the iteration with the current SHA already exists. While this is solvable through environment variables, or by committing a change to the repository, we think this is not clear enough, and causes an extra step to what should otherwise be a simple process. Therefore, to lower the barrier of entry into HCP, we change this behaviour with this commit. Now, fingerprints are randomly generated ULIDs instead of a git SHA, and a new one is always generated, unless one is already specified in the environment. This makes continuation of an existing iteration a conscious choice rather than something automatic, and virtually eliminates conflicts such as the ones described above.",1
internal: remove unused Labels on Iteration,0.4413628,"     adopt this behaviour, otherwise, by default, a new iteration will be","The iteration structure that we use for linking a packer build to an iteration on HCP defines a `Labels' attribute, which is never set nor read from at any point. Since it is unused, we remove it in this commit.",0
Update variables documentation to refer to Packer not Terraform (#12220),0.5813242,The HCP_PACKER_BUCKET_NAME environment variable is now the only,,0
Unpin  Outscale documentation version,0.45413715,    packer plugins install github.com/outscale/outscale. GH-11912,,0
Add HCP Ready label to Oracle plugin in preparation for 1.0.4 release,0.7923328,docs: Add HCP Ready label to Oracle builder components.,,1
Add a small sleep to calm the machines,0.21077618,"     adopt this behaviour, otherwise, by default, a new iteration will be",,0
Update nightly-release.yml,0.6482767,"Note: Nightly releases are only available via GitHub Releases, and artifacts are not codesigned or notarized. Distribution via other Release Channels such as the Releases Site or Homebrew is not yet supported.",,0
correct document issue in provisioner block doc (#12210),0.5982277,    provisioners. GH-11819,,0
Update index.mdx,0.3146971,"    to version 1.9.1 or above. Starting with 1.9.1, you may specify a project ID to push","In trying the example, I found that you have to type "".second-example"" for the expected results.   I took the command line on line #78 literal and it didn't work as typed. When I used my proposed change... it worked for me. Alternatively, "".second*"" works but that could grab builders that were not intended.",0
build(deps): bump json5 from 1.0.1 to 1.0.2 in /website (#12185),0.510969,     build for JSON templates. Previously only the builder type or the builder,Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Introduce action-set-product-version for Packer (#12135),0.6631618,Version 1.4.3 of Packer,"This change introduces the new actions-set-product-version, a tiny, but mighty, GitHub action that acts as a bridge between the product repo and our new CRT feature: automated version bumping. tl;dr automated version bumping has a new command (bob update version) in the bob CLI that automatically bumps the version to a new patch. This automation has been introduced to crt-workflows-common as a new workflow (with the new bob command) and handles version bumping at the end of the release pipeline (after being released to production); for example, 1.0.0→1.0.1 and 1.0.0-dev→1.0.0. Bumping the minor version (ie 1.0.x→1.1.0) is only supported manually via bob update version -bump minor, but not supported in CRT (this work is upcoming). This is made possible by adding the new event “bump-version” in the ci.hcl file in this PR. What this small action does: Allows for the static version string from the version/VERSION file to be read by the new CRT workflow and automagically be bumped to the next version (whether it be a minor, or patch, or major version bump). Outputs an error if there’s no VERSION file in the version dir Outputs an error if there’s no version string in the VERSION file Is able to parse product_version if it is 1.3.0-alpha1 as 1.3.0 (example: when product_version = 1.3.0-alpha1, base_version = 1.3.0) Is able to parse prerelease product versions such as alpha1 (example prerelease_product_version = alpha1) in the statement above.",0
Fix the spelling of several words within the README.md stored in the website/ project directory. (#12197),0.39374575,     additional build metadata.GH-12132,Signed-off-by: Gary McDonald mcdonagj@dukes.jmu.edu Signed-off-by: Gary McDonald mcdonagj@dukes.jmu.edu,0
build(deps): bump tomhjp/gh-action-jira-search from 0.2.1 to 0.2.2,0.51037914,bump github.com/hashicorp/hcp-sdk-go from 0.28.0 to 0.29.0,Bumps tomhjp/gh-action-jira-search from 0.2.1 to 0.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: tomhjp/gh-action-jira-search   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
Add PACKER_GITHUB_API_TOKEN to fix failures due to API rate limiting,0.52983886,Bump github.com/hashicorp/packer-plugin-sdk to address legacy SSH key,In response to https://github.com/hashicorp/packer/actions/runs/3954018806/jobs/6770905412,0
RELENG-305: add VBA automation to create new release branches,0.38321286,Future Scaffolding: This release contains additional changes that allow,,0
Updating old learn link,0.29371604,     to the plugin will continue to work but users are advised to update the,,0
Updating link to use cases docs page,0.31340772,     documentation and binary downloads will be redirected to,,0
hcl2: don't warn on excluded post-processor (#12187),0.79003906,core/hcl2: Packer will no longer warn on excluded post-processors when using," hcl2template: use && for chaining conditions  For deciding if we need to run an error provisioner block, we checked using a nested if that we didn't need to avoid running it. This is unnecessary, and adds a superfluous level of inbrication to the code, so we chain both conditions with &&.  hcl2: don't warn on excluded post-processor  When a post-processor is excluded through the -except command-line argument for packer build, we used to print a warning on HCL2 templates if this except statement did not match a build. However, since we can use the except option to avoid running post-processors, we should account for this as well when printing out a warning that there were no matches. This commit adds this counter to the except checks for the post-processors as well.",1
hcp: remove superfluous return value on GetBuilds,0.5330682,"    builds to with the HCP_PROJECT_ID environment variable. If no project ID is specified,","This commit irons out one of the pain points of the HCP rework by introducing a HCPPublisher interface, implemented both by the JSON Core, and the HCL2 PackerConfig, which keeps a map of the build names used by Packer to the build names pushed on HCP. This in turn lets us go back to the old implementation of the GetBuilds function, which returns a list of (filtered) builds, and eventually an error if something went wrong while processing.",0
