Index,Message,Description
17,Fix or disable pipeline breaking changes that made it into main in last day or so (#17130),  Fix straggler from renaming Register->RegisterTypes   somehow a lint failure got through previously   Fix lint-consul-retry errors   adding in fix for success jobs getting skipped. (#17132)   Temporarily disable inmem backend conformance test to get green pipeline   Another test needs disabling    Co-authored-by: John Murret john.murret@hashicorp.com
18,Update single-dc-multi-k8s.mdx (#17126),
19,De-flake snapshot test (#17120),
20,Controller Supervision (#17016),
21,storage: fix bug where WatchList would (rarely) return duplicate events (#17067),
22,Fix broken link in changelog (#17093),Co-authored-by: David Yu dyu@hashicorp.com
23,Clarify OpenTelemetry support for tracing (#17082),
24,remove envoy endpoint flag from k8s docs (#17105),
25,ci: fix runner calculation to exclude the top level directory as part of the calculation (#17090),"  fix runner calculation to exclude the top level directory as part of the calculation   fix the logic for generating the directories/functions   De-scope tenenacy requirements to OSS only for now. (#17087)   Partition and namespace must be ""default"" Peername must be ""local""   Fix virtual services being included in intention topology as downstreams. (#17099)   Merge pull request #5200 from hashicorp/NET-3758 (#17102)   Merge pull request #5200 from hashicorp/NET-3758   NET-3758: connect: update supported envoy versions to 1.26.0   lint   CI: remove uneeded AWS creds from test-integrations (#17104)   Update test-integrations.yml   removing permission lies now that vault is not used in this job.    Co-authored-by: John Murret john.murret@hashicorp.com  update based on feedback   Co-authored-by: Semir Patel semir.patel@hashicorp.com Co-authored-by: Derek Menteer 105233703+hashi-derek@users.noreply.github.com Co-authored-by: Anita Akaeze anita.akaeze@hashicorp.com Co-authored-by: Dan Bond danbond@protonmail.com"
26,APIGW Normalize Status Conditions (#16994),"  normalize status conditions for gateways and routes   Added tests for checking condition status and panic conditions for validating combinations, added dummy code for fsm store   get rid of unneeded gateway condition generator struct   Remove unused file   run go mod tidy   Update tests, add conflicted gateway status   put back removed status for test   Fix linting violation, remove custom conflicted status   Update fsm commands oss   Fix incorrect combination of type/condition/status   cleaning up from PR review   Change ""invalidCertificate"" to be of accepted status   Move status condition enums into api package   Update gateways controller and generated code   Update conditions in fsm oss tests   run go mod tidy on consul-container module to fix linting   Fix type for gateway endpoint test   go mod tidy from changes to api   go mod tidy on troubleshoot   Fix route conflicted reason   fix route conflict reason rename   Fix text for gateway conflicted status   Add valid certificate ref condition setting   Revert change to resolved refs to be handled in future PR "
27,Add sameness group field to prepared queries (#17089), added method for converting SamenessGroupConfigEntry added new method ToQueryFailoverTargets for converting a SamenessGroupConfigEntry's members to a list of QueryFailoverTargets  renamed ToFailoverTargets ToServiceResolverFailoverTargets to distinguish it from ToQueryFailoverTargets   Added SamenessGroup to PreparedQuery  exposed Service.Partition to API when defining a prepared query added a method for determining if a QueryFailoverOptions is empty This will be useful for validation  added unit tests   added method for retrieving a SamenessGroup to state store   added logic for using PQ with SamenessGroup  added branching path for SamenessGroup handling in execute. It will be handled separate from the normal PQ case added a new interface so that the GetSamenessGroupFailoverTargets can be properly tested separated the execute logic into a targetSelector function so that it can be used for both failover and sameness group PQs split OSS only methods into new PQ OSS files  added validation that samenessGroup is an enterprise only feature   added documentation for PQ SamenessGroup 
28,CI: remove uneeded AWS creds from test-integrations (#17104),  Update test-integrations.yml   removing permission lies now that vault is not used in this job.    Co-authored-by: John Murret john.murret@hashicorp.com
29,Merge pull request #5200 from hashicorp/NET-3758 (#17102), Merge pull request #5200 from hashicorp/NET-3758  NET-3758: connect: update supported envoy versions to 1.26.0  lint
30,Fix virtual services being included in intention topology as downstreams. (#17099),
31,De-scope tenenacy requirements to OSS only for now. (#17087),"Partition and namespace must be ""default"" Peername must be ""local"""
32,Bump raft to 1.5.0 (#17081),  Bump raft to 1.5.0   Add CHANGELOG entry   Add CHANGELOG entry with right extension (thanks VSCode)   Add CHANGELOG entry with right extension (thanks VSCode)   Go mod tidy 
33,Include virtual services from discovery chain in intention topology (#16862),
34,Add manual virtual IP support to state store (#16815),
35,ci: fix test splits that have less test packages than runner count from hanging (#17080),"  use proper TOTAL_RUNNER setting when generating runner matrix.  if matrix size is smaller than total_runners, use the smaller number   try again   try again 2   try again 3   try again 4   try again 5   try scenario where number is less   reset   get rid of cat ""$GITHUB_OUTPUT""   Apply suggestions from code review   Co-authored-by: Dan Bond danbond@protonmail.com  removing push trigger that was added for debug   Co-authored-by: Dan Bond danbond@protonmail.com"
36,ci: fix test splits that have less test packages than runner count from hanging (#17080),"  use proper TOTAL_RUNNER setting when generating runner matrix.  if matrix size is smaller than total_runners, use the smaller number   try again   try again 2   try again 3   try again 4   try again 5   try scenario where number is less   reset   get rid of cat ""$GITHUB_OUTPUT""   Apply suggestions from code review   Co-authored-by: Dan Bond danbond@protonmail.com  removing push trigger that was added for debug   Co-authored-by: Dan Bond danbond@protonmail.com"
37,Fix a bug with disco chain config entry fetching (#17078),"Before this change, we were not fetching service resolvers (and therefore service defaults) configuration entries for services on members of sameness groups."
38,fix the linter (#17077),
39,NET-3648: Add script to get consul and envoy version (#17060),
40,Enforce operator:write acl on WriteStatus endpoint (#17019),
41,Add sameness groups to service intentions. (#17064),
42,fix broken links (#17032),  fix broken links   Apply suggestions from code review   Co-authored-by: Jeff Boruszak 104028618+boruszak@users.noreply.github.com  Co-authored-by: Jeff Boruszak 104028618+boruszak@users.noreply.github.com
43,Fix generated proto files (#17063),  [COMPLIANCE] Add Copyright and License Headers   generate proto    Co-authored-by: hashicorp-copywrite[bot] 110428419+hashicorp-copywrite[bot]@users.noreply.github.com
44,[COMPLIANCE] Add Copyright and License Headers (#16854),Co-authored-by: hashicorp-copywrite[bot] 110428419+hashicorp-copywrite[bot]@users.noreply.github.com Co-authored-by: Ronald roncodingenthusiast@users.noreply.github.com
45,remove worklogs upload (#17056),
46,[NET-3091] Update service intentions to support jwt provider references (#17037),"  [NET-3090] Add new JWT provider config entry   Add initial test cases   update validations for jwt-provider config entry fields   more validation   start improving tests   more tests   Normalize   Improve tests and move validate fns   usage test update   Add split between ent and oss for partitions   fix lint issues   Added retry backoff, fixed tests, removed unused defaults   take into account default partitions   use countTrue and add aliases   omit audiences if empty   fix failing tests   add omit-entry   Add JWT intentions   generate proto   fix deep copy issues   remove extra field   added some tests   more tests   add validation for creating existing jwt   fix nil issue   More tests, fix conflicts and improve memdb call   fix namespace   add aliases   consolidate errors, skip duplicate memdb calls   reworked iteration over config entries   logic improvements from review    Co-authored-by: Ronald Ekambi ronekambi@gmail.com"
47,[NET-3090] Add new JWT provider config entry (#17036),"  [NET-3090] Add new JWT provider config entry   Add initial test cases   update validations for jwt-provider config entry fields   more validation   start improving tests   more tests   Normalize   Improve tests and move validate fns   usage test update   Add split between ent and oss for partitions   fix lint issues   Added retry backoff, fixed tests, removed unused defaults   take into account default partitions   use countTrue and add aliases   omit audiences if empty   fix failing tests   add omit-entry   update copyright headers ids    Co-authored-by: Ronald Ekambi ronekambi@gmail.com Co-authored-by: Ronald roncodingenthusiast@users.noreply.github.com"
48,Permissive mTLS (#17035),"This implements permissive mTLS , which allows toggling services into ""permissive"" mTLS mode. Permissive mTLS mode allows incoming ""non Consul-mTLS"" traffic to be forward unmodified to the application.  Update service-defaults and proxy-defaults config entries with a MutualTLSMode field Update the mesh config entry with an AllowEnablingPermissiveMutualTLS field and implement the necessary validation. AllowEnablingPermissiveMutualTLS must be true to allow changing to MutualTLSMode=permissive, but this does not require that all proxy-defaults and service-defaults are currently in strict mode. Update xDS listener config to add a ""permissive filter chain"" when MutualTLSMode=permissive for a particular service. The permissive filter chain matches incoming traffic by the destination port. If the destination port matches the service port from the catalog, then no mTLS is required and the traffic sent is forwarded unmodified to the application."
49,"Revert ""cache: refactor agent cache fetching to prevent unnecessary f… (#16818) (#17046)","Revert ""cache: refactor agent cache fetching to prevent unnecessary fetches on error (#14956)"" Co-authored-by: Derek Menteer 105233703+hashi-derek@users.noreply.github.com"
50,Avoid decoding nil pointer in map walker (#17048),
51,ci: remove test-integrations CircleCI workflow (#16928),  remove all CircleCI files   remove references to CircleCI   remove more references to CircleCI   pin golangci-lint to v1.51.1 instead of v1.51 
52,ci: add test-integrations (#16915),  add test-integrations workflow   add test-integrations success job   update vault integration testing versions (#16949)   change parallelism to 4 forgotestsum.  use env.CONSUL_VERSION so we can see the version.   use env for repeated values   match test to circleci   fix envvar   fix envvar 2   fix envvar 3   fix envvar 4   fix envvar 5   make upgrade and compatibility tests match circleci   run go env to check environment   debug docker   Signed-off-by: Dan Bond danbond@protonmail.com  debug docker  Signed-off-by: Dan Bond danbond@protonmail.com  revert debug docker  Signed-off-by: Dan Bond danbond@protonmail.com   going back to command that worked 5 days ago for compatibility tests   Update Envoy versions to reflect changes in #16889   cd to test dir   try running ubuntu latest   update PR with latest changes that work in enterprise   yaml still sucks   test GH fix (localhost resolution)   change for testing   test splitting and ipv6 lookup for compatibility and upgrade tests   fix indention   consul as image name   remove the on push   add gotestsum back in   removing the use of the gotestsum download action   yaml sucks today just like yesterday   fixing nomad tests   worked out the kinks on enterprise    Signed-off-by: Dan Bond danbond@protonmail.com Co-authored-by: John Eikenberry jae@zhar.net Co-authored-by: Dan Bond danbond@protonmail.com Co-authored-by: Nathan Coleman nathan.coleman@hashicorp.com Co-authored-by: Sarah sthompson@hashicorp.com
53,Don't send updates twice (#16999),
54,Bump the golang.org/x/net to 0.7.0 to address CVE-2022-41723 (#16754), Bump the golang.org/x/net to 0.7.0 to address CVE-2022-41723  https://nvd.nist.gov/vuln/detail/CVE-2022-41723  Add changelog entry   Co-authored-by: Nathan Coleman nathan.coleman@hashicorp.com
55,api: enable query options on agent force-leave endpoint (#15987),
56,feat: set up reporting agent (#16991),
57,add ability to start container tests in debug mode and attach a debugger (#16887),  add ability to start container tests in debug mode and attach a debugger to consul while running it.   add a debug message with the debug port   use pod to get the right port   fix image used in basic test   add more data to identify which container to debug.   fix comment   Co-authored-by: Evan Culver eculver@users.noreply.github.com  rename debugUri to debugURI   Co-authored-by: Evan Culver eculver@users.noreply.github.com
58,server: wire up in-process Resource Service (#16978),
59,docs: update docs related to GH-16779 (#17020),
60,"Tenancy wildcard validaton for Write, Read, and Delete endpoints (#17004)",
61,added an intro statement for the SI conf entry confiration model (#17017),  added an intro statement for the SI conf entry confiration model   caught a few more typos 
62,fixed bad link (#17009),
63,Add PrioritizeByLocality to config entries. (#17007),"This commit adds the PrioritizeByLocality field to both proxy-config and service-resolver config entries for locality-aware routing. The field is currently intended for enterprise only, and will be used to enable prioritization of service-mesh connections to services based on geographical region / zone."
64,added missing error message content to troubleshooting (#17005),
65,, added Sameness Group to proto files (#16998)   added Sameness Group to config entries   added Sameness Group to subscriptions   generated proto files   added Sameness Group events to the state store   added test cases   Refactored health RPC Client   moved code that is common to rpcclient under rpcclient common.go. This will help set us up to support future RPC clients   Refactored proxycfg glue views   Moved views to rpcclient config entry. This will allow us to reuse this code for a config entry client   added config entry RPC Client   Copied most of the testing code from rpcclient/health   hooked up new rpcclient in agent   fixed documentation and comments for clarity 
66,add IP rate limiting config update (#16997),  add IP rate limiting config update   fix review comments 
67,Enforce Owner rules in Write endpoint (#16983),
68,Fix delete when uid not provided (#16996),
69,move enterprise test cases out of open source (#16985),
70,"upgrade test: config nodeName, nodeid, and inherited persistent data for consul container (#16931)",
71,Add mutate hook to Write endpoint (#16958),
72,Update list of Envoy versions (#16889),  Update list of Envoy versions   Update docs + CI + tests   Add changelog entry   Add newly-released Envoy versions 1.23.8 and 1.24.6   Add newly-released Envoy version 1.22.11 
73,Enforce ACLs on resource Write and Delete endpoints (#16956),
74,circleci: remove frontend jobs (#16906), circleci: remove fronted jobs  Signed-off-by: Dan Bond danbond@protonmail.com  remove frontend-cache  Signed-off-by: Dan Bond danbond@protonmail.com  Signed-off-by: Dan Bond danbond@protonmail.com
75,add sameness to exported services structs in the api package (#16984),
76,Memdb Txn Commit race condition fix (#16871),  Add a test to reproduce the race condition   Fix race condition by publishing the event after the commit and adding a lock to prevent out of order events.   split publish to generate the list of events before committing the transaction.   add changelog   remove extra func   Apply suggestions from code review   Co-authored-by: Dan Upton daniel@floppy.co  add comment to explain test   Co-authored-by: Dan Upton daniel@floppy.co
77,ci: split frontend ember jobs (#16973),Signed-off-by: Dan Bond danbond@protonmail.com
78,Added backport labels to PR template checklist (#16966),
79,feat: add reporting config with reload (#16890),
80,ci: remove build-distros from CircleCI (#16941),
81,Remove global.name requirement for APs (#16964),This is not a requirement when using APs because each AP has its own auth method so it's okay if the names overlap.
82,resource: WriteStatus endpoint (#16886),
83,Update docs for service-defaults overrides. (#16960),Update docs for service-defaults overrides. Co-authored-by: trujillo-adam 47586768+trujillo-adam@users.noreply.github.com
84,Fix the indentation of the copyAnnotations example (#16873),
85,Remove deprecated service-defaults upstream behavior. (#16957),"Prior to this change, peer services would be targeted by service-default overrides as long as the new peer field was not found in the config entry. This commit removes that deprecated backwards-compatibility behavior. Now it is necessary to specify the peer field in order for upstream overrides to apply to a peer upstream."
86,Resource validation hook for Write endpoint (#16950),
87,"Check acls on resource Read, List, and WatchList (#16842)",
88,ci: build-artifacts - fix platform missing in manifest error (#16940),  ci: build-artifacts - fix platform missing in manifest error   remove platform key 
89,ci: remove go-tests workflow from CircleCI (#16855),  remove go-tests workflow from CircleCI   add yaml anchor back 
90,ci: remove verify-ci from circleci (#16860),
91,APIGW: Routes with duplicate parents should be invalid (#16926),  ensure route parents are unique when creating an http route   Ensure tcp route parents are unique   Added unit tests 
92,ci: add GOTAGS to build-distros (#16934),
93,docs: fix typo in LocalRequestTimeoutMs (#16917),
94,Test: add noCleanup to TestServer stop (#16919),
95,docs: improve upgrade path guidance (#16925),
96,highlight the agent.tls cert metric with CA ones,Include server agent certificate with list of cert metrics that need monitoring.
97,log warning about certificate expiring sooner and with more details,"The old setting of 24 hours was not enough time to deal with an expiring certificates. This change ups it to 28 days OR 40% of the full cert duration, whichever is shorter. It also adds details to the log message to indicate which certificate it is logging about and a suggested action."
98,increase ENT runner size for xl to match OSS.  have guild-distros use xl to match CircleCI (#16920),
99,ci: Add success jobs. make go-test-enterprise conditional. build-distros and go-tests trigger on push to main and release branches (#16905),"  Add go-tests-success job and make go-test-enterprise conditional   fixing lint-32bit reference   fixing reference to -go-test-troubleshoot   add all jobs that fan out.   fixing success job to need set up   add echo to success job   adding success jobs to build-artifacts, build-distros, and frontend.   changing the name of the job in verify ci to be consistent with other workflows   enable go-tests, build-distros, and verify-ci to run on merge to main and release branches because they currently do not with just the pull_request trigger "
100,Fix API GW broken link (#16885),  Fix API GW broken link   Update website/content/docs/api-gateway/upgrades.mdx   Co-authored-by: Tu Nguyen im2nguyen@users.noreply.github.com  Co-authored-by: Tu Nguyen im2nguyen@users.noreply.github.com
101,Wasm Envoy HTTP extension (#16877),
102,Resource Delete endpoint (#16756),
103,Resource Write endpoint (#16786),
104,temporarily disable macos-arm64 tests job in go-tests (#16898),
105,always test oss and conditionally test enterprise (#16827),
106,ci: fixes missing deps in frontend gha workflows (#16872),Signed-off-by: Dan Bond danbond@protonmail.com
107,Omit false positives from 404 checker (#16881),  Remove false positives from 404 checker   fix remaining 404s 
108,ad arm64 testing (#16876),
109,Raft storage backend (#16619),
110,ci: increase deep-copy and lint-enum jobs to use large runner as they hang in ENT (#16866),  docs: add envoy to the proxycfg diagram (#16834)   docs: add envoy to the proxycfg diagram   increase dee-copy job to use large runner.  disable lint-enums on ENT   set lint-enums to a large   remove redunant installation of deep-copy    Co-authored-by: cskh hui.kang@hashicorp.com
111,docs: add envoy to the proxycfg diagram (#16834), docs: add envoy to the proxycfg diagram
112,Fix broken doc in consul-k8s upgrade (#16852),Signed-off-by: dttung2905 ttdao.2015@accountancy.smu.edu.sg Co-authored-by: David Yu dyu@hashicorp.com
113,CA mesh CA expiration to it's own section,This is part of an effort to raise awareness that you need to monitor your mesh CA if coming from an external source as you'll need to manage the rotation.
114,Allow dialer to re-establish terminated peering (#16776),"Currently, if an acceptor peer deletes a peering the dialer's peering will eventually get to a ""terminated"" state. If the two clusters need to be re-peered the acceptor will re-generate the token but the dialer will encounter this error on the call to establish: ""failed to get addresses to dial peer: failed to refresh peer server addresses, will continue to use initial addresses: there is no active peering for ""<<>>"""" This is because in exchangeSecret().GetDialAddresses() we will get an error if fetching addresses for an inactive peering. The peering shows up as inactive at this point because of the existing terminated state. Rather than checking whether a peering is active we can instead check whether it was deleted. This way users do not need to delete terminated peerings in the dialing cluster before re-establishing them."
115,Fix typo on cli-flags.mdx (#16843),"Change ""segements"" to segments"
116,Update changelog with patch releases (#16856),  Update changelog with patch releases   Backport missed 1.0.4 patch release to changelog 
117,Connect CA Primary Provider refactor (#16749)," Rename Intermediate cert references to LeafSigningCert  Within the Consul CA subsystem, the term ""Intermediate"" is confusing because the meaning changes depending on provider and datacenter (primary vs secondary). For example, when using the Consul CA the ""ActiveIntermediate"" may return the root certificate in a primary datacenter. At a high level, we are interested in knowing which CA is responsible for signing leaf certs, regardless of its position in a certificate chain. This rename makes the intent clearer.   Move provider state check earlier   Remove calls to GenerateLeafSigningCert   GenerateLeafSigningCert (formerly known as GenerateIntermediate) is vestigial in non-Vault providers, as it simply returns the root certificate in primary datacenters. By folding Vault's intermediate cert logic into GenerateRoot we can encapsulate the intermediate cert handling within newCARoot.  Move GenerateLeafSigningCert out of PrimaryProvidder  Now that the Vault Provider calls GenerateLeafSigningCert within GenerateRoot, we can remove the method from all other providers that never used it in a meaningful way.   Add test for IntermediatePEM   Rename GenerateRoot to GenerateCAChain   ""Root"" was being overloaded in the Consul CA context, as different providers and configs resulted in a single root certificate or a chain originating from an external trusted CA. Since the Vault provider also generates intermediates, it seems more accurate to call this a CAChain."
118,add region field (#16825),  add region field   fix syntax error in test file   go fmt   go fmt   remove test 
119,[NET-3029] Migrate dev-* jobs to GHA (#16792), ci: add build-artifacts workflow  Signed-off-by: Dan Bond danbond@protonmail.com  makefile for gha dev-docker  Signed-off-by: Dan Bond danbond@protonmail.com  use docker actions instead of make  Signed-off-by: Dan Bond danbond@protonmail.com  Add context  Signed-off-by: Dan Bond danbond@protonmail.com  testing push  Signed-off-by: Dan Bond danbond@protonmail.com  set short sha  Signed-off-by: Dan Bond danbond@protonmail.com  upload to s3  Signed-off-by: Dan Bond danbond@protonmail.com  rm s3 upload  Signed-off-by: Dan Bond danbond@protonmail.com  use runner setup job  Signed-off-by: Dan Bond danbond@protonmail.com  on push  Signed-off-by: Dan Bond danbond@protonmail.com  testing  Signed-off-by: Dan Bond danbond@protonmail.com  on pr  Signed-off-by: Dan Bond danbond@protonmail.com  revert testing  Signed-off-by: Dan Bond danbond@protonmail.com  OSS/ENT logic  Signed-off-by: Dan Bond danbond@protonmail.com  add comments  Signed-off-by: Dan Bond danbond@protonmail.com  Update .github/workflows/build-artifacts.yml  Co-authored-by: John Murret john.murret@hashicorp.com  Signed-off-by: Dan Bond danbond@protonmail.com Co-authored-by: John Murret john.murret@hashicorp.com
120,Add default resolvers to disco chains based on the default sameness group (#16837),
121,Add sameness-group to exported-services config entries (#16836),"This PR adds the sameness-group field to exported-service config entries, which allows for services to be exported to multiple destination partitions / peers easily."
122,Remove UI brand-loader copyright headers as they do not render appropriately (#16835),
123,storage: fix resource leak in Watch (#16817),
124,updating command to reflect the additional package exclusions in CircleCI (#16829),
125,docs: raise awareness of GH-16779 (#16823),
126,port ENT upgrade tests flattening (#16824),
127,ci: changes resulting from running on consul-enterprise (#16816),  changes resulting from running on consul-enterprise   removing comment line 
128,add order by locality failover to Consul enterprise (#16791),
129,[COMPLIANCE] Add Copyright and License Headers (#16807),  [COMPLIANCE] Add Copyright and License Headers   fix headers for generated files   ignore dist folder    Co-authored-by: hashicorp-copywrite[bot] 110428419+hashicorp-copywrite[bot]@users.noreply.github.com Co-authored-by: Ronald Ekambi ronekambi@gmail.com Co-authored-by: Ronald roncodingenthusiast@users.noreply.github.com
130,port ENT ingress gateway upgrade tests [NET-2294] [NET-2296] (#16804),
131,docs: Updates to support HCP Consul cluster peering release (#16774),  New HCP Consul documentation section + links   Establish cluster peering usage cross-link   unrelated fix to backport to v1.15   nav correction + fixes   Tech specs fixes   specifications for headers   Tech specs fixes + alignments   sprawl edits   Tip -> note 
132,fix: export ReadWriteRatesConfig struct as it needs to referenced from consul-k8s (#16766),
133,Copyright headers for missing files/folders (#16708), copyright headers for agent folder
134,Github Actions Migration - move go-tests workflows to GHA (#16761),  go-tests workflow   add test splitting to go-tests   fix re-reun fails report path   fix re-reun fails report path another place   fixing tests for32bit and race   use script file to generate runners   fixing run path   add checkout   Apply suggestions from code review   Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com   passing runs-on   setting up runs-on as a parameter to check-go-mod   making on pull_request   Update .github/scripts/rerun_fails_report.sh   Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com   make runs-on required   removing go-version param that is not used.   removing go-version param that is not used.   Modify build-distros to use medium runners (#16773)   go-tests workflow   add test splitting to go-tests   fix re-reun fails report path   fix re-reun fails report path another place   fixing tests for32bit and race   use script file to generate runners   fixing run path   add checkout   Apply suggestions from code review   Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com   passing runs-on   setting up runs-on as a parameter to check-go-mod   trying mediums   adding in script   fixing runs-on to be parameter   fixing merge conflict   changing to on push   removing whitespace   go-tests workflow   add test splitting to go-tests   fix re-reun fails report path   fix re-reun fails report path another place   fixing tests for32bit and race   use script file to generate runners   fixing run path   add checkout   Apply suggestions from code review   Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com  Apply suggestions from code review  Co-authored-by: Dan Bond danbond@protonmail.com   passing runs-on   setting up runs-on as a parameter to check-go-mod   changing back to on pull_request    Co-authored-by: Dan Bond danbond@protonmail.com   Github Actions Migration - move verify-ci workflows to GHA (#16777)   add verify-ci workflow   adding comment and changing to on pull request.   changing to pull_requests   changing to pull_request   Apply suggestions from code review   Co-authored-by: Dan Bond danbond@protonmail.com   [NET-3029] Migrate frontend to GHA (#16731)   changing set up to a small   using consuls own custom runner pool.    Co-authored-by: Dan Bond danbond@protonmail.com
135,"Add copyright headers for acl, api and bench folders (#16706)","  copyright headers for agent folder   Ignore test data files   fix proto files and remove headers in agent/uiserver folder   ignore deep-copy files   copyright headers for agent folder   fix merge conflicts   copyright headers for agent folder   Ignore test data files   fix proto files   ignore agent/uiserver folder for now   copyright headers for agent folder   Add copyright headers for acl, api and bench folders "
136,Copyright headers for command folder (#16705),  copyright headers for agent folder   Ignore test data files   fix proto files and remove headers in agent/uiserver folder   ignore deep-copy files   copyright headers for agent folder   Copyright headers for command folder   fix merge conflicts 
137,copyright headers for agent folder (#16704),  copyright headers for agent folder   Ignore test data files   fix proto files and remove headers in agent/uiserver folder   ignore deep-copy files 
138,Update normalization of route refs (#16789),  Use merge of enterprise meta's rather than new custom method   Add merge logic for tcp routes   Add changelog   Normalize certificate refs on gateways   Fix infinite call loop   Explicitly call enterprise meta 
139,add scripts for testing locally consul-ui-toolkit (#16794),
140,changes to support new PQ enterprise fields (#16793),
141,Resource service List(..) endpoint (#16753),
142,add ip rate limiter controller OSS parts (#16790),
143,Allocate virtual ip for resolver/router/splitter config entries (#16760),
144,WatchList(..) endpoint for the resource service (#16726),
145,Expand route flattening test for multiple namespaces (#16745),  Exand route flattening test for multiple namespaces   Add helper for checking http route config entry exists without checking for bound status   Fix port and hostname check for http route flattening test 
146,Fix struct tags for TCPService enterprise meta (#16781),  Fix struct tags for TCPService enterprise meta   Add changelog 
147,Fix Edu Jira automation (#16778),
148,Read(...) endpoint for the resource service (#16655),
149,Fix bug in changelog checker where bash variable is not quoted (#16681),
150,Add storage backend interface and in-memory implementation (#16538),"Introduces storage.Backend, which will serve as the interface between the Resource Service and the underlying storage system (Raft today, but in the future, who knows!). The primary design goal of this interface is to keep its surface area small, and push as much functionality as possible into the layers above, so that new implementations can be added with little effort, and easily proven to be correct. To that end, we also provide a suite of ""conformance"" tests that can be run against a backend implementation to check it behaves correctly. In this commit, we introduce an initial in-memory storage backend, which is suitable for tests and when running Consul in development mode. This backend is a thin wrapper around the Store type, which implements a resource database using go-memdb and our internal pub/sub system. Store will also be used to handle reads in our Raft backend, and in the future, used as a local cache for external storage systems."
