Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description
25,docs: update 21-x-y EOL dates (#37841),0.6603119,|   E16 (Nov'21) |  E17 (Feb'22) |  E18 (Mar'22) |  E19 (May'22) |,
26,test: support 'latest'/'latest@X' Electron version strings (#37840),0.639328,"Electron 12.x.y has reached end-of-support. As per Electron's new 8-week cadence, we are supporting the latest four versions of Electron until May 2022, with the release of Electron 19. After Electron 19 is released, we'll return to supporting the latest three major versions, as well as the alpha, beta, and nightly releases.",
27,fix: don't emit did-fail-load for MediaDocuments (#37824),0.87896156,Fixed an issue where successfully loaded media documents emitted did-fail-load. #37824 ,
28,feat: session.resolveHost (#37690),0.8449279, * session.resolveProxy() #17222,
29,chore: initial linting fixes for JS in docs/fiddles (#37689),0.59573,Fixed an issue where some Node.js modules would hang on page reload on Windows. #28337 (Also in 13),
30,docs: fix app.getPreferredSystemLanguages() return type (#37821),0.7660435,Added an app.getPreferredSystemLanguages() API to return the user's system languages. #36290 (Also in 22),
31,test: migrate to helpers & disabled tests list (#37513),0.58539724,  disabled. #8399,
32,chore: bump chromium to 114.0.5694.0 (main) (#37820),0.8602949,Chromium 96.0.4664.4,
33,fix: Fn+F fullscreen transitioning on macOS (#37803),0.85204625,"Fixed an issue on macOS where entering fullscreen with the Fn+F system shortcut would fail or create strange window side effects. #37803 (Also in 23, 24)",
34,fix: apply csp correctly when contextIsolation: false (#37756),0.755223,Changed the default value of contextIsolation to true. #27949 ,
35,refactor: only override V8Platform::CreateJob (#37800),0.6070392,Refactored NativeWindow (Part 4): Move AutofillPopup from NativeWindow to WebContents #12514 ,
36,test: remove workaround for fixed Menu.closePopup issue (#37802),0.8155818,Fixed an issue where menu.closePopup() would have no effect if called too soon after menu.popup(). #20114,
37,chore: combine parallel/test-v8-stats v8 patches (#37801),0.5992121,V8 v8.7,
38,chore: bump chromium to 114.0.5692.0 (main) (#37806),0.8570727,Chromium 96.0.4664.4,
39,build: bump nmv to 116 (Electron 25) (#37797),0.66869795,Fixed building Electron with 10.13 or later SDK #10696,
40,fix: record helper error messages in electron_main_mac (#37807),0.62757754,"Fixed an issue with possible creation of a messageBox which cannot be dismissed on macOS. #22672 (Also in 7.2, 8, 9)",
41,chore: bump chromium to 114.0.5690.0 (main) (#37780),0.8560177,Chromium 96.0.4664.4,
42,chore: enforce consistent Markdown style for strong and emphasis (#37787),0.5107614,  task bar when maximized. #7765,
43,build: update appveyor image to latest version (#37773),0.6389871,build: move Windows release builds to AppVeyor cloud. #18627 ,
44,chore: remove wasm CompileJSToWasmWrapperJob patch (#37782),0.7047272,"Improved removeRemoteListenersAndLogWarning. #12975, #12998",
45,fix: set background color for menu bar on Windows (#37766),0.9057618,Fixed the active background color for top-level menu items on Windows. #37785 ,
46,build: remove request dependency (#37747),0.63484955,build: make pyyaml an optional dependency. #15566 ,
47,build: fix build-tools schema in config (#37765),0.67873627,Fixed build_debug_libccargument on bootstrap. #11927 ,
48,docs: update references to @electron/rebuild (#37757),0.69749665,"Fixed: If a custom Electron build contains an electron.d.ts file, it is now being used. #33979 (Also in 20, 21)",
49,chore: bump chromium to 114.0.5684.0 (main) (#37701),0.85138154,Chromium 96.0.4664.4,
50,docs: add links to IPC event structures (#37760),0.7652082,Added ipc-message and ipc-message-sync events to webContents. #16468,
51,docs: remove save-to-disk disposition (#37758),0.6478744,Fixed an issue where removing a folder from the workspace in the dev tools,
52,ci: don't use pull_request_target with semantic PR title check (#37745),0.63670874,Don't ignore the referrer header in net.request. #23685,
53,chore: update line endings on HTML files (#37755),0.61075366,Added missing 'page-title-updated' event on webContents to documentation. Also fixed forwarding of the explicitSet argument when emitted on BrowserWindow. #18320,
54,docs: update docs.microsoft.com links to learn.microsoft.com (#37707),0.55603707,Documentation update: fixed links to webview.md. #13370 ,
55,chore: force LF endings for .html files in .gitattributes (#37704),0.60180604,- Fix dialog.showOpenDialog() replacing extensions of filenames ending with .*.gz. #6305,
56,feat: add will-frame-navigate event (#34418),0.78342235,"Added a will-frame-navigate event to webContents and the  tag, which fires whenever any frame within the frame hierarchy attempts to navigate. #34418 ",
57,docs: updated package.json content and electron version in build first app guide (#37554),0.6409238,Fixed app.getAppPath() returning default-app path when running electron app with no package.json or electron app/index.js. Now the directory containing the executed file is returned. #18895,
58,fix: draggable regions shouldn't capture clicks on frames windows (#37594),0.92982984,Fixed an issue where draggable regions incorrectly captured clicks in framed windows. #37741 ,
59,ci: fixup update appveyor image workflow (#37684),0.6944086,Fixed browser-process notifications missing/duplicating images. #10610,
60,chore: generator objects can't be sent over the context bridge (#37593),0.70004225,Improved the performance of sending JS primitives over the context bridge. #24746,
61,fix: crash in MessagePortMain with some postMessage params (#37585),0.89230704,"Fixed an issue where calling port.postMessage in MessagePortMain with some invalid parameters could cause a crash. #37585 (Also in 22, 23, 24)",
62,docs: fixup incorrect value for disabling sandbox (#37711),0.7180706,Fixed  not working with contextIsolation + sandbox. #16469,
63,feat: add protocol.handle (#36674),0.7142797,"Added protocol.handle, replacing and deprecating protocol.{register,intercept}{String,Buffer,Stream,Http,File}Protocol. #36674 ",
64,fix: allow cancelling of bluetooth requests (#37601),0.932024,"Fixed canceling of bluetooth requests when no devices are returned. #37601 (Also in 23, 24)",
65,chore: bump chromium to 113.0.5670.0 (main) (#37675),0.8402072,Chromium 112.0.5615.49,
66,ci: fixup gn check to actually run gn check (#37676),0.62807214,- Fix occasional crash when doing GC. #5293,
67,chore: bump chromium to 113.0.5668.0 (main) (#37646),0.8520509,Chromium 100.0.4896.56,
68,docs: update notifications tutorial (#37602),0.7111038,Added instructions to get Notifications working on Win 10 Update. #16325 ,
69,chore: bump chromium to 113.0.5666.0 (main) (#37634),0.85040176,Chromium 100.0.4896.56,
70,docs: change MSDN links to new Microsoft docs (#37603),0.62199837,- Move documentations to docs.,
71,chore: bump chromium to 113.0.5664.0 (main) (#37620),0.84329545,Chromium 96.0.4664.4,
72,ci: make sure that strip_binary.gni is properly preserved (#37626),0.5700419,- Fix the binary of ffmpeg not stripped. #5668,
73,build(deps-dev): bump webpack from 5.73.0 to 5.76.0 (#37583),0.65755403,Manually bump version to 6.1.0-beta.0 in prep for 6.1.0. 3ca62d94,
74,fix: avoid deprecated value apis (#37590),0.7528593,refactor: deprecation handling apis. #14615 ,
75,feat: Allow usage of an absolute path for partitions used in a session (#37604),0.6352898,- Add protocol property to Session to allow custom protocol for partition. #5904,
76,fix: invoke app.dock.{hide|show} instead of duplicating logic (#37599),0.6948205, * app.dock.show() #16904,
77,chore: remove unnecessary casting to base::Value (#37591),0.5834318,chore: remove unused module. #15924 ,
78,docs: update broken links (#37610),0.74574363,docs: fix bad link in notifications tut. #19395 ,
79,chore: bump chromium to 113.0.5660.0 (main) (#37612),0.8415206,Chromium 96.0.4664.4,
80,chore: Use thread_local: base/threading/ (#37600),0.67127657,fix: allow 2 threads for CreateIoCompletionPort on single-core to prevent busy looping (#15975). #16013 ,
81,docs: delete synopsis.md (#37580),0.56658745,- Move documentations to docs.,
82,fix: properly bubble up cookie creation failure message (#37586),0.7485429,"Improved error messages on session.cookies.set failure. #37586 (Also in 22, 23, 24)",
83,chore: bump chromium to 113.0.5653.0 (main) (#37587),0.83872974,Chromium 112.0.5615.49,
84,chore: update filenames.libcxx.gni (#37588),0.61169714,Changed release uploads to now upload libcxx objects for MacOS x64 and arm64. #34586 ,
85,refactor: replace deprecated base::Value::SetKey usage (#37570),0.6194811,Added systemPreferences.removeUserDefault(key). #10746,
86,chore: bump chromium to 113.0.5651.0 (main) (#37553),0.84539014,Chromium 112.0.5615.49,
87,fix: don't set delegate for QLPreviewPanel (#37530),0.55306304,- Fix exception when accessing remote functions. #7209,
88,docs: clarify open-url not preventable (#37564),0.6700896,Fixed the default of allowRunningInsecureContent as per docs. #12556 ,
89,build: update appveyor image to latest version (#37561),0.6422967,build: move Windows release builds to AppVeyor cloud. #18627 ,
90,refactor: DEPS: remove squirrel.mac from recursedeps (#37496),0.6882264,- Update Squirrel.Mac to 0.2.1. #6183,
91,chore: fixup filenames.libcxx.gni (#37567),0.6335572,- Fix dialog.showOpenDialog() replacing extensions of filenames ending with .*.gz. #6305,
92,chore: bump node to v18.15.0 (main) (#37532),0.7659644,Node v16.15.0,
93,chore: bump chromium to 113.0.5636.0 (main) (#37130),0.8522243,Chromium 100.0.4896.56,
94,refactor: createThumbnailFromPath takes size not maxSize (#37362),0.8891152,nativeImage.createThumbnailFromPath() now takes size instead of maxSize. #37796 ,
95,docs: remove outdated ipc example (#37523),0.65435094,"- The ipc module is deprecated, should use ipcRenderer in renderer process, and ipcMain in main process.",
96,fix: fallback to X11 capturer if pipewire fails on Wayland (#37511),0.7320943,"Fixed a crash on capturing sources when using desktopCapturer API on Wayland. #37511 (Also in 23, 24)",
97,docs: fixup WebUSB fiddle (#37455),0.69747204,Added support for WebUSB. #36289 ,
98,fix: WebUSB on ARM64 macs (#37441),0.96915245,"Fixed WebUSB on ARM64 macs. #37441 (Also in 23, 24)",
99,docs: remove misleading info from will-finish-launching docs (#37514),0.55175036,Correct the default of allowRunningInsecureContent as per docs. #12629,
100,feat: expose audio-state-changed on webContents (#37366),0.89072263,Exposes the audio-state-changed event on webContents. #37366 ,
101,fix: Showing the about panel is async on all platforms (#37440),0.7526144,Setting the about panel's options no longer crashes. #37442 ,
102,fix: don't double-log unhandled rejections (#37464),0.84223604,Fixed an issue where unhandled rejections could cause duplicate logs in some cases. #37500 ,
103,refactor: leverage Skia helpers for NSColor ANSI logic (#37452),0.5071685,"Fixed disabling color correct rendering with --disable-color-correct-rendering. #23787 (Also in 8, 9, 10)",
104,feat: net.fetch() supports custom protocols (#36606),0.7760668,Changed net.fetch to support requests to file: URLs and custom protocols registered with protocol.register*Protocol. #36606 ,
105,fix: draggable regions on MAS (#37466),0.79665464,[#12327] fix: non-draggable regions,
106,docs(clipboard): fix an issue of demo code (#37438),0.6841312,"Fixed an issue where clipboard.read() could cause crashes with custom clipboard formats. #31566 (Also in 15, 16)",
107,fix: DCHECK in MessageSync in rare cases (#37439),0.7178019,- Fix crash when replying to the same synchronous message more than once. #5430,
108,chore: improve contents.takeHeapSnapshot error messages (#37434),0.90696657,"Improved error messages for contents.takeHeapSnapshot. #37461 (Also in 22, 23)",
109,fix: min/max width/height enforcement when aspectRatio is set (#37306),0.7917098,"Fixed an issue where minWidth/minHeight and maxWidth/maxHeight would not be enforced if the user set an aspectRatio on macOS. #37457 (Also in 22, 24)",
110,feat: add enableLocalEcho flag to setDisplayMediaRequestHandler() callback (#37315),0.75917023,Added the enableLocalEcho flag to the session handler ses.setDisplayMediaRequestHandler() callback for allowing remote audio input to be echoed in the local output stream when audio is a WebFrameMain. #37528 (Also in 23),
111,fix: handle closing webContents in BrowserViews (#37420),0.80773234,Fixed an issue where BrowserView webContents would appear not to load in some circumstances. #30336 (Also in 14) ,
112,fix: Notification with reply obscuring first action on macOS (#37381),0.8394977,"Fixed an issue where passing both hasReply and actions to a main process Notification on macOS resulted in the first action being obscured and unavailable. #37381 (Also in 22, 23, 24)",
113,test: add disabled tests list (#37334),0.6957068,Fixed unicode test. #11774,
114,fix: BroadcastChannel initialization location (#37421),0.76287264,Fixed an issue where BroadcastChannel did not work correctly when contextIsolation: false. #37444 (Also in 24),
115,fix: about panel crash (#37373),0.71703625,Setting the about panel's options no longer crashes. #37373 (Also in 24),
116,feat: expose initiator in navigation events (#37085),0.78684723,Added initiator information to navigator events. #37085 ,
117,feat: add types to webRequest filter (#30914),0.9430326,Added types to webRequest filter. #37427 ,
118,"refactor: use _loadURL(url, options ?? {}); (#37337)",0.6823184,- Add .loadURL.,
119,chore: set wg-releases as owner of /docs/breaking-changes.md (#37405),0.541098,chore: release.id => release.data.id. #16133 ,
120,chore: remove dead config code for trop (#37406),0.6601318,chore: remove unused module. #15924 ,
121,docs: document change in draggable region behavior on macOS (#37396),0.75028557,"Fixed draggable regions stops working when devtools is opened on macOS. #26506 (Also in 10, 11)",
122,ci: rename Electron build step to include type of build being built (#37371),0.6963881,Added option to use to use a local build of Electron. #12426,
123,fix: allow contextmenu event in draggable regions (#37386),0.71048194,"Fixed an issue where draggable regions in BrowserWindow causes BrowserView to become draggable in non-correspondent places. #26753 (Also in 11, 12)",
124,test: use node helpers for events.once and setTimeout promise (#37374),0.63187206,"Fixed delayed execution of some Node.js callbacks in the main process. #24131 (Also in 8, 9, 10)",
125,chore: bump node to v18.14.2 (main) (#37380),0.7705691,Node v12.14.1,
126,refactor: use associated v8::Context for event setup (#37355),0.7325046,Added process.contextIsolated property that indicates whether the current renderer context has contextIsolation enabled. #28252,
127,fix: html fullscreen when window not fullscreenable (#37348),0.9204341,Corrects an issue with HTML fullscreen when BrowserWindow fullscreening is disabled. #37367 (Also in 24),
128,feat: add httpOnly cookies.get filter (#37255),0.92656875,Added httpOnly to the cookie filter. #37365 ,
129,fix: guard more private API usage on MAS builds (#37309),0.87368643,Fixed private API usage issue in mas build (#12264),
130,fix: restoring X11 window should not remove previous maximize state (#37346),0.77418137,"Fixed window could not go back to maximized state when restored on Linux. #37360 (Also in 23, 24)",
131,build: remove unused python code (#37351),0.61368227,chore: remove unused module. #15924 ,
132,feat: implement net.fetch (#36733),0.83348787,Added net.fetch(). #36733 ,
133,chore: bump node to v18.14.1 (main) (#37332),0.7701535,Node v12.14.1,
134,docs: fixed a typo in process.defaultApp doc (#37342),0.6184523,docs: app.getLoginItemStatus -> app.getLoginItemSettings. #15113 ,
135,test: convert functions to async & eliminate duplicates (#37316),0.6304743,test: asyncawaitify one of sandbox related tests. #15278 ,
136,test: type-safe import of menu-item-roles in api-menu-item-spec.ts (#37320),0.51151294,Added a check for invalid menu index to prevent out-of-range crashes on insertion. #17435,
137,test: use expect(dir).to.be.an.instanceof(fs.Dirent); (#37331),0.5645571,Fixed unicode test. #11774,
138,test: cleanup let xyz = null as unknown as T; (#37335),0.6205996,test: fix a bunch of flaky tests related to emittedOnce (backport: 4-0-x). #15891 ,
139,test: move desktopCapturer usage from renderer to main in ts-smoke (#37321),0.59670293,Exposed the desktopCapturer module in the main process. #23548 ,
140,test: enable linting of ts-smoke and fix all issues (#37322),0.6133424,test: fix a bunch of flaky tests related to emittedOnce (backport: 4-0-x). #15891 ,
141,test: use async helpers to simplify tests (#37314),0.6819243,test: asyncawaitify one of sandbox related tests. #15278 ,
142,feat: add BrowserWindow.set/getWindowButtonPosition APIs (#37094),0.97154653,Added BrowserWindow.set/getWindowButtonPosition APIs. #37094 ,
143,test: rename & split internal module tests (#37318),0.634395,Fixed unicode test. #11774,
144,"test: fix ""crash cases"" tests not failing properly (#37304)",0.6826236,Fixed rare crash in UpdateDraggableRegions. #30557 ,
145,test: use webContents.create() in type-safe way (#37281),0.67039174,- Add webFrame.registerUrlSchemeAsSecure API.,
146,build: strip warnings from stdout in get_release (#37277),0.59101045,"Updates for release process #13642, #13701",
147,chore: remove redundant Node.js patch (#37279),0.7299349,Updated Node.js to v16.15.0. #33947 ,
148,test: use render-process-gone event in tests (#37280),0.7359187,Fixed  render-process-gone event dispatch. #26577 ,
149,docs: only macOS 10.13+ is supported now (#37286),0.7570511,Dropped support for macOS 10.9 (OS X Mavericks). #15440,
150,build: ignore makeLatest on pre-releases (#37274),0.5691704,Fixed build to work with Visual Studio 2017 15.7.4 #13593 ,
151,build: add missing is_verbose_mode import (#37273),0.55138755,Added needed .bin files for v8_context_generator. #15713,
152,chore: add logging for debugging release json (#37270),0.69553113,chore: add additional logging for release upload failures. #16127 ,
153,fix: BrowserView crash when 'beforeunload' prevented (#37205),0.87278956,"Fixed a crash when BrowserViews are present and a user attempts to prevent beforeunload in the renderer process. #37267 (Also in 22, 24)",
154,build: re-bake node v18.12.1 image for asset upload (#37254),0.61819625,Updated Node.js to v18.12.1. #36356 ,
155,feat: include all standard paper sizes for webContents.print() (#37159),0.7957228,  webContents.printToPDF as the pageSize height or width. #9396,
156,docs: add win.isFocusable() return type (#37245),0.6091937,- Add win.setFocusable(focusable) API. #6013 #6023,
157,refactor: simplify Node.js event loop with SpinEventLoop (#34884),0.599434,"Fixed an issue where some Node.js module API calls hung in the renderer process after reloads when render process reuse was enabled. #25869 (Also in 9, 10, 11)",
158,feat: add logUsage to shell.openExternal() options (#37139),0.81287754,"Added logUsage to shell.openExternal() options, which allows passing the SEE_MASK_FLAG_LOG_USAGE flag to ShellExecuteEx on Windows. #37139 (Also in 24)",
159,build: revert to e-110.0.5451.0 on Appveyor (#37253),0.597955,Backported the fix to CVE-2020-16044. #27491 ,
160,build: bake node v18.12.1 Appveyor image (#37250),0.5734831,Fixed building node modules with Visual Studio 2017. #34164 (Also in 18),
161,refactor: simplify events (#37099),0.6576799,fix: small refactoring regressions (backport: 4-0-x). #15224 ,
162,fix: cookies filter secure invalid (#37203),0.93691355,Fixed an incorrect result returned when using secure as a cookies filter. #37247 (Also in 24),
163,build: set make_latest correctly on published releases (#37233),0.60264003,chore: publish to the latest tag correctly when releasing old versions (#15515). #15520 ,
164,chore: change undocumented protocol.registerProtocol to detect body type (#36595),0.61762935,  webFrame.registerURLSchemeAsPrivileged. #7665,
165,chore: update links in comments (#37197),0.6193625,"Updated community discussions link in default Electron menu. #28449 (Also in 12, 13)",
166,chore: update https://cs.chromium.org/ links to https://source.chromium.org/ (#37190),0.8050196,Updated Chromium to 110.0.5481.100. #37183 ,
167,ci: update appveyor build agent (#37211),0.6301279,build: move Windows release builds to AppVeyor cloud. #18627 ,
168,chore: re-enable worker spec failures (#37015),0.70972484,Fixed a potential crash in some types of Worklets. #37050 ,
169,docs: add missing clipboard-sanitized-write permission value to setPermissionRequestHandler() (#37173),0.7716648,Updated setPermissionRequestHandler to correctly recognize permissions being requested. #26172 (Also in 11),
170,fix: avoid using v8 on Isolate termination (#35766),0.64590037,V8 v8.7,
171,chore: remove load-url event (#37174),0.6863957,Removed the semi-documented preloadURL property from WebPreferences. #33228 ,
172,chore: rename built-in modules to bindings to match naming update in node (#37182),0.6490418,fix: update node for patch that allows native modules built on < node 10. #15073 ,
173,test: ensure fullscreen test is retryable (#37179),0.61908424,Fixed full screen when resizable is set to true. #8166,
174,test: Node.js hkdf tests work now (#37180),0.62521696,Fixed an issue where diagnostic error reporting wasn't available in Node.js processes. #23126 ,
175,docs: remove reference to electron/releases (#37164),0.63990414,Removed legacy helpers (Electron Helper EH/NP). #14436,
176,test: mark some node specs as flaky (#37181),0.6486095,test: fix a bunch of flaky tests related to emittedOnce (backport: 4-0-x). #15891 ,
177,fix: correct redefinition which is invalid C++ (#36096),0.54578066,Changed c++ std from gnu++14 to c++14. #13248 ,
178,build: only retry tests on CI (#37167),0.6996052,Fixed CI test failures. #11944 ,
179,fix: type for received-apns-notification event (#37177),0.6832329,Fixed warning message logged when calling process.getCPUUsage(). #10680 ,
180,fix: expose native bindings by process type (#35949),0.6595119,- Fix Promise not resolved in native handlers of the main process. #6220,
181,chore: bump node to v18.14.0 (main) (#37129),0.7767036,Node v12.14.1,
182,build: fix version check in release_dependency_versions.yml (#37155),0.68536174,Reset version to 4.1.0-beta.0 in preparation for 4.1.0 stable release. 84b01457,
183,docs: use relative links within docs (#37042),0.594538,See docs for more details,
184,docs: update stable dates (#37150),0.62412083,Updated the ICU time zone database to the latest 2020f version. #27370 ,
185,build: update appveyor image to latest version (#37151),0.6355586,build: move Windows release builds to AppVeyor cloud. #18627 ,
186,chore: remove old script code for ATOM_SHELL_ (#37140),0.64129245,chore: add release-artifact-cleanup script. #14448 ,
187,refactor: move gin_helper::Constructible methods to prototype (#37087),0.5730275,- Fix objects without prototype can not be passed in remote module. #5736,
188,chore: remove deprecated capturer count APIs (#37075),0.73566484,The deprecated incrementCapturerCount() / decrementCapturerCount() methods have been removed. #37148 ,
189,fix: enable basic a11y when voice control is active (#37122),0.71772534,[a11y] fix an issue where voiceover doesn't read the first item selected from a ARIA combobox. #25003 (Also in 9),
190,docs: add missing ipcRenderer require to example code (#37134),0.6603263,"Fixed an issue where ipcRenderer.postMessage would throw errors when the transfer argument was not passed. #32460 (Also in 14, 15, 17)",
191,build(deps): bump http-cache-semantics from 4.1.0 to 4.1.1 (#37132),0.6062153,Backported a Node.js patch that fixes an http/2 memory leak:. #18882,
192,build: update spec dependencies to clean up yarn audit (#37116),0.63130844,chore: fix tag cleanup. #16355 ,
193,build: allow workflow_dispatch on scheduled Actions (#37128),0.6034408,Fixed  render-process-gone event dispatch. #26577 ,
194,chore: bump chromium to 111.0.5544.3 (main) (#36820),0.86001325,Chromium 112.0.5615.49,
195,refactor: process event emitting for sandboxed renderers (#37109),0.84434175,fix: emit process 'loaded' event in sandboxed renderers. #17809 ,
196,build: update mocha for retries and audit fix (#37117),0.55799955,chore: update release scripts for cleanup. #16136 ,
197,build: actually upload symbol zips (#37124),0.68737054,build: add v8_context_generator to mksnapshot zip (3-0-x). #15505 ,
198,docs: improve globalShortcut and hookWindowMessage types (#37115),0.6962092,Allow registering of multiple globalShortcuts. #15542,
199,build: remove mips64el build config (#37093),0.72129714,Added mips64el build.,
200,docs: use automatic link syntax for symbol server link (#37089),0.661662,build: ensure that the uploaded symbol path is correct for our symbol server. #16914 ,
201,docs: remove invalid appcache value from storages in clearStorageData() (#37095),0.7150582,- Fix app.clearRecentDocuments not working.,
202,fix: nodeIntegrationInWorker fails to boot in AudioWorklets (#37041),0.9017445,Fixed audio worklet scripts failing to run when nodeIntegrationInWorker: true. #37104 ,
203,build: fixup release_dependency_versions action (#37036),0.70311767,"Updates for release process #13642, #13701",
204,chore: strip trailing whitespace (#35969),0.6006241,Default margin has been added in the code. #36073 (Also in 21),
205,build: bump deps to clean up yarn audit (#36535),0.6238173,chore: fix tag cleanup. #16355 ,
206,chore: validate .mjs spec files in Node.js smoke tests (#37073),0.5733975,- Update to Node.js 6.3.0. #6559,
207,docs: note how to clear an aspect ratio (#37074),0.61719674,docs: Specify VS 15.4.5 for 3-0-x. #14476 ,
208,ci: update actions/stale to v6.0.1 (#37079),0.6839342,Upgraded from v8 6.1.534.41 to 6.6.346.32. #12477,
209,docs: update modules list in docs/README.md (#37080),0.62443227,Minor documentation updates and fixes. #13856,
210,ci: fixup ninja for release (#37083),0.5455133,Release Notes for v8.3.1,
211,refactor: simplify script/lint.js (#37077),0.54884434,Refactored webContents.printToPDF to align with the Chrome Devtools implementation. #33654 ,
212,fix: crash on WebWorkerObserver script execution (#37050),0.7503309,Fixed a potential crash on WebWorker destruction. #35492 (Also in 19),
213,fix: crash on window.print() (#37052),0.93884355,Fixed a crash in window.print(). #19690,
214,ci: ensure correct ninja is used (#37069),0.5302434,chore: always try to nuke tags. #16452 ,
215,fix: ensure autofill popup view is > 1x1 in size (#36121),0.7589567,Fixed autofill popup position when the popup is spawned from a webview. #13184 ,
216,fix: resizing borders in nondraggable regions (#37016),0.7218223,"Fixed an issue where non-draggable regions on BrowserViews could have incorrectly calculated bounds. #27183 (Also in 10, 12)",
217,feat: add support for unlocking with Apple Watch (#36935),0.6478126,SystemPreferences::CanPromptTouchID (macOS) now supports Apple Watch. #36935 ,
218,fix: fallback to GtkStatusIcon when app indicator is not supported (#36815),0.7557553,Fixed incorrect display of some GtkMessageDialog icons. #15341,
219,feat: emit devtools-open-url event for DevTools link selection (#36774),0.7512095,Added a new devtools-open-url event to webContents to allow developers to open new windows with them. #36774 ,
220,docs: updated deep link docs (#36952),0.63697946,Documentation update: fixed links to webview.md. #13370 ,
221,chore: fix memory leak in v8.serialize() (#37021),0.78397393,Fixed several memory leaks related to V8 handles not being properly scoped. #22531 ,
222,chore: update README.md (#37002),0.6290226,fix: don't call ReadRawDataComplete if it's not necessary. #15210 ,
223,chore: remove crashpad related sandbox policy (#37013),0.6604897,Fixed sandbox crash when opening a background tab. #10264,
224,feat: enable whole-program optimization native modules by default (#36937),0.72293526,"Whole-program optimization is enabled by default in electron node headers config file. #36937 (Also in 21, 22, 23)",
225,fix: do not error on null exports in ESM loader (#37009),0.8275778,ESM loads of CJS modules that have null exports no longer throw. #37024 ,
226,refactor: move spec helpers to spec/lib (#37010),0.5991436,"Chore: backport EPROTOTYPE fixes from libuv. #32856 (Also in 16, 17, 18)",
227,chore: remove unused fixture_support.md (#37011),0.7119671,chore: remove unused module. #15924 ,
228,refactor: separate WEB_VIEW_ATTRIBUTES / WEB_VIEW_ERROR_MESSAGES (#36972),0.72190005,Added types to webRequest filter. #37427 ,
229,chore: remove unused files in spec/fixtures (#37012),0.72154987,chore: remove unused module. #15924 ,
230,chore: call ListenerDestroyed() in FileSelectHelper::RunFileChooserEnd() (#37006),0.62154675,- Fix recursive call when using downloadItem.hasUserGesture.,
231,chore: cleanup ElectronContentClient::AddPlugins (#37005),0.6933454,chore: fix tag cleanup. #16355 ,
232,chore: use vscode-markdown-languageservice for link linting (#36901),0.5971893,- Add webFrame.registerUrlSchemeAsBypassingCsp API.,
