Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
44,Merge pull request #1171 from coryhouse/patch-2,0.50766313,Missing generatePath in react-router-dom package.,Co-authored-by: Ivan Rodriguez ivan.rodriguez@tauruseer.com,0
45,add multi app example (#8126),0.53498274,Add  API (#5437),,0
46,Use Router instead of this now that autobinding is off,0.87350005,d12e9dee Use Router instead of this now that autobinding is off,Browserslist: caniuse-lite is outdated. Please run:   npx update-browserslist-db@latest   Why you should do it regularly: link,1
47,move native files around again!,0.52884674,"This release fixes a bug with  so that, when the to location is the same as the current, the history state entry is replaced instead of pushed to the stack. See link for details. 🥳",Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
48,Use history prop type,0.68120944,Use history.createLocation where possible (#2910),,0
49,Update Navigation mixin,0.7887577,"  mixins: [ Navigation ],",Signed-off-by: Logan McAnsh logan@mcan.sh,1
50,sign cla,0.5007338,"  },",,0
51,Merge branch 'remove-route-store',0.48346448,f2bf4bd [removed] RouteStore,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
52,Undo changes made for #89,0.61739004,c3406eb9: fix: Rename  to  (#9095),,0
53,Add Router.dispatch,0.8113258,- Feature: Add router to props for route components (#3486),,1
54,Remove unused code from Routes refactor,0.7361566,c68f9f1 [removed] Remove deprecated handler prop on Route,This reverts commit 9d81bf6438de6faef5f401a4c021dd93d5a80205.,1
55,Merge pull request #2896 from jclgoodwin/patch-1,0.5334345,Provided new hooks useClickHandler and usePressHandler to make customizing Links a bit easier. (#7998),This reverts commit 4357e373eac2612460f085c4d6d54851b456c9ab.,0
56,docs(start/tutorial): fix typo (#10456),0.579263,f5d4f36 [fixed] Docs Update,Co-authored-by: 42shadow42 42shadow42@gmail.com,0
57,Fix a crash when  was used within  (#7126),0.6601064,824ed63 [fixed]  handling,,0
58,chore: update LICENSE year,0.4664163,This release adds missing LICENSE files to the published build.,,0
59,release v0.9.0,0.7012602,This should be the final release candidate before 2.0.0 final. Please test this version!,,1
60,allow HashHistory to use DefaultQueryKey,0.686763,- Added singleton browserHistory and hashHistory,,0
61,clean up files,0.50454587,Fix missing dist files,,0
62,make router required on context,0.8130368,Render your router with ,,1
63,Merge pull request #4332 from pshrmn/withMatch,0.5327374,Fix scripts on windows (#4447 by @pshrmn),,0
64,Add failing tests for route matching with hash,0.59670687,Handle errors with Route errorElement,,0
65,[changed] global export to ReactRouter,0.9099432,3a4732e [changed] global export to ReactRouter,,1
66,ci: prevent duplicate runs for Pull Requests (#9036),0.5984148,Prevent remounts on routes with the same component in renderRoutes (#5430 by @artywhite),,0
67,docs: fix broken link on root docs,0.6434865,Fix NavLink behavior for root urls (#9497),,0
68,add query string parsing,0.54381603,var searchTerm = this.props.query.searchTerm;,,0
69,Merge pull request #2852 from taion/examples-context-router,0.60516983,Capture fetcher errors at contextual route error boundaries (#8945),,0
70,updated the README,0.6178395,Updates,,0
71,Add router.currentHandlerInstance,0.8100723,let router = createBrowserRouter(routes);,chore: update LICENSE.md Update LICENSE.md Update LICENSE.md Co-authored-by: Michael Jackson michael@jackson.us,1
72,Update server-rendering.md,0.5737431,Updates,,0
73,Remove outdated comment,0.6098065,Remove an extraneous  sometimes added by ,,0
74,Merge pull request #775 from 0x80/patch1,0.5710224,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
75,Remove deprecated propTypes,0.68136156,"Feature/Deprecation: Add routerShape and locationShape as top-level exported prop types, and deprecate all the old prop types, including the ones that were previously incorrectly removed (#3349)",,0
76,Simplify path encoding/decoding,0.6646861,5a1ed33 [fixed] Path.decode/encode with query string,,0
77,Updates to manual publish scripts (#10055),0.629452,e42a4ad [changed] Stop using npm prepublish script,,0
78,chore: change vite react plugin (#8098),0.6566008,3607 [added] Support for React v0.15,,0
79,Adjust matchPath to only match * after /,0.6209,"Changed matchPath signature to matchPath(pathname, options)",,0
80,Ensure consistent component tree for useId (#9805),0.66138965,Ensure useId consistency during SSR (#9805),,0
81,Warn if  is inside some other component's render method,0.6626713,render((,Fix fetcher revalidation logic Fetchers no longer revalidate on search param changes or when routing to the same URL Also fixed a semi-related bug where fetcher.load redirects wouldn't be marked as done on the completion of the redirect bundle bump,0
82,[fixed] Use peerDeps,0.83122665,51e1be2 [fixed] Use peerDeps,,1
83,Call dispatch callback in the scope of the ,0.61798775,"// action in the run callback with the params/query in the payload, then",Co-authored-by: Mark Dalgleish mark.john.dalgleish@gmail.com,0
84,Use history 4.9.0,0.8379215,Upgraded to history 4.9.0,,1
85,Fix typos and lint errors,0.492328,🐛 Bug fixes,Co-authored-by: Axel Elanis@users.noreply.github.com,0
86,added DefaultRoute documentation,0.60714805,"6878120 [added] onAbortedTransition, onActiveStateChange, onTransitionError Routes props",,0
87,chore: bump history dep,0.57524204,Bumps the history dependency to version 4.9.0,,0
88,Fix Link link in Native Link page (#9021),0.74541867,Fix NavLink behavior for root urls (#9497),,1
89,fix: get CompatRoute to match partially,0.6193347,"Stop incorrectly matching on partial named parameters, i.e. , to align with how splat parameters work. If you were previously relying on this behavior then it's recommended to extract the static portion of the path at the useParams call site: (#9506)",,0
90,fix exemplary code in useFetchers docs (#9693),0.63426536,Prevent useLoaderData usage in errorElement (#9735),,0
91,Upgrade eslint and fix some errors,0.6145829,Minor: Move ES module build back to es6/ to avoid breaking people who were incorrectly importing from react-router/es6 (#3334),,0
92,Make stuff work again,0.56584287,Simply add / in front of all your paths to keep things working.,,0
93,Fix remaining wrong types of context in the doc,0.62973666,1b2293b [fixed] use context in examples,,0
94,ci: add tests for useRouteLoaderData with a missing routeId (#8967),0.74944675,Handle errors with Route errorElement,,1
95,Merge pull request #178 from thomasboyt/add-onClick-handler,0.59027815,Feature: Add support for onChange hook on routes (#3108),,0
96,[changed] Run the examples with npm run examples,0.5122698,$ npm install react-router@experimental react-router-dom@experimental,,0
97,build: centralize jest + babel config at repo root,0.50943476,Hoist dependencies for smaller UMD builds (#5720 by @pshrmn),chore(deps): bump mcansh/release-comment-action from 0.2.0 to 0.3.1 Bumps mcansh/release-comment-action from 0.2.0 to 0.3.1. - Release notes - Commits updated-dependencies: - dependency-name: mcansh/release-comment-action   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Update release-comments.yml Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Michaël De Boey info@michaeldeboey.be,0
98,Change location to be a plain object for effortless record/replay,0.5590186,Reset actionData on action redirect to current location (#9772),,0
99,"Remove middleware, get tests passing",0.5628773,"Eliminate all warnings when using the router under React 16's . In fact, we now wrap all our tests in !",,0
100,Remove route prop to ,0.7585646,The Router function was removed.,,1
101,Merge pull request #255 from KidkArolis/improve-karma-conf,0.52534235,Fix requests sent to revalidating loaders so they reflect a GET request (#9660),,0
102,implemented RouterRenderer,0.86329865,var RouteHandler = Router.RouteHandler;,,1
103,Order exports alphabetically,0.51441,Force stable sort in browsers that don't have it so routes that otherwise rank equally maintain the order in which they were originally defined,Closes #10262,0
104,[changed] Deprecate Navigation/State mixins,0.8630568,61f0a8c [changed] Deprecate Navigation/State mixins,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,1
105,Move around some gitignores,0.4617452,// pass it down the view hierarchy to get the same lifecycle hooks to,This reverts commit 80e10e7ae97d9c95ff481b3dad725cefac1a2a2b.,0
106,Merge pull request #2752 from taion/setRouteLeaveHook,0.54476714,The hooks are now useAsyncValue/useAsyncError,,0
107,Implement ContextUtils as mixins,0.74551773,"  mixins: [ Navigation ],",,1
108,Merge pull request #3443 from gaearon/with-router-static,0.5550593,fix: export ActionFunctionArgs/LoaderFunctionArgs up through router packages (#8975),Bumps actions/stale from 7 to 8. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: actions/stale   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
109,add  to native example,0.55318,Add  and ,,0
110,website update,0.96349376,Updated website,,1
111,Layout routes don't match,0.688212,fix: Additional logic fixed for relative navigation from index/pathless layout routes (#8985),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
112,Re-add website react-motion dep (#5845),0.6172259,Update mini-create-react-context (#7288 by @patricksmms),,0
113,Remove v5 docs and examples,0.5773643,Several docs improvements - #6410 (thanks @justsml),Fixes #10241,0
114,Merge pull request #3060 from greypants/patch-1,0.5254843,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
115,Fix typo: useMatch -> useRouteMatch (#6948),0.6838542,Fix bug when calling useNavigate from  inside a  (#10432),,0
116,refactor: simplify project-wide babel config,0.61644495,Reduced install size and bundle size by switching to mini-create-react-context (992af48),,0
117,Actually run tests,0.54298395,Use Jest for testing (172dc16 by @mjackson),,0
118,Use default prop,0.5848109,696a706 [fixed] Use defaultProps of config components,,0
119,Merge pull request #54 from litek/master,0.46440196,ebf54ab [removed] Dependency on react/lib/merge,,0
120,"[fixed] Make s global, again",0.8676925,"196390f [fixed] Make s global, again",,1
121,docs: fix anchors on concepts page,0.571308,Several docs improvements - #6410 (thanks @justsml),,0
122,Fixes bad package-lock file,0.53689075,Fix missing dist files,,0
123,Use jsxhint and fix all warnings/errors,0.59974647,Streamline jsdom bug workaround in tests (#9824),,0
124,Remove the secret menu,0.53539586,- Removed,,0
125,Version 2.4.0,0.7031219,This should be the final release candidate before 2.0.0 final. Please test this version!,Add future.v7_normalizeFormMethod flag update Form/useSubmit types Updates,1
126,Remove old build script,0.5520052,"- Breaking: Remove all deprecated functionality as of v2.3.0 (#3340, #3435)",,0
127,Merge pull request #129 from rackt/scroll,0.514722,Fix requests sent to revalidating loaders so they reflect a GET request (#9660),,0
128,Update app.js,0.6436025,"Using a tool called jscodeshift, we have made available some codemods for upgrading your code to the new APIs automatically: link",,0
129,Fix #3528: document.body is a bad idea (#3529),0.5961899,5bd62b5 [fixed] errors in examples,,0
130,Remove unused karma-firefox-launcher,0.5100243,Remove the entire website application from the npm package (@timdorr in a5e05f7),,0
131,Include utils in the npm package,0.57152,Available on npm: npm install react-router@next,,0
132,Add blocked updates guide to website (#4757),0.61929077,Updated website,,0
133,Typo,0.68629205,};,,0
134,wip,0.6239022,/multistep/:widget1/:widget2,,0
135,Add missing props to top-level routers and update docs,0.75102925,- Feature: Add router to props for route components (#3486),,1
136,add custom  example (#8110),0.64012593,Add a default  value (#8243),,0
137,Tweak var name,0.54800117,    var name = this.getActiveParams().name;,,0
138,Add experimental release channel to publish script,0.67828274,Moved  into the experimental release channel,,0
139,Correct default state,0.5041101,696a706 [fixed] Use defaultProps of config components,,0
140,Expose formatPattern in UMD build,0.6344967,2447ecb [added] formatPattern util method,,0
141,Pass params/query to route handlers,0.71228516,"// action in the run callback with the params/query in the payload, then",,1
142,Fix memory and static router links on website (#5441),0.71815735,f975bdf [fixed] allow a StaticLocation to be passed directly when creating a router,,1
143,"Fixed useMatch implementation, added matchPath",0.65778565,"Another improvement in this release is the addition of the renderMatches API, which is the complement of matchRoutes. These APIs are both very low-level and should not normally be needed. But they are sometimes nice to use if you are doing your own data loading using the array of matches that you get back from matchRoutes.",,0
144,Add RouteComponent definition,0.78071773,var RouteHandler = Router.RouteHandler;,,1
145,Use _owner to lookup active child handler,0.5364268,"Fix detection of useNavigate in the render cycle by setting the activeRef in a layout effect, allowing the navigate function to be passed to child components and called in a useEffect there (#10394)",,0
146,Document confirming navigation with ES6 classes,0.5293559,Minor: Move ES module build back to es6/ to avoid breaking people who were incorrectly importing from react-router/es6 (#3334),,0
147,added changes to context.router,0.79383004,- Replaced context.history with context.router,,1
148,Use module.export when using require,0.6669318,  export function Component() {,,0
149,Only use --ci in CI,0.45794493,c7ca87e [added] ,Co-authored-by: Mark Dalgleish mark.john.dalgleish@gmail.com,0
150,Merge pull request #2796 from rackt/docs-linkage,0.56178355,"<Link to=""link    {/ Document request /}",,0
151,docs(guides/deferred): add FAQ about using Response objects with defer (#10000),0.6478039,    from a defer() call.,,0
152,Update expect dep and remove assert dep,0.55305517,This release removes all the deprecation warnings from v2.x along with some bugfixes.,,0
153,Merge pull request #321 from nobleach/master,0.48160255,fix: Handle fetcher 404s as normal boundary errors (#9015),Co-authored-by: Mehdi Achour machour@gmail.com,0
154,Merge branch 'release-v6.4.0-pre.9' into dev,0.6828857,Development for v6 has switched from dev to the main branch.,,0
155,Make auth example easier to read,0.5480389,"Auth Example – Demonstrates an authentication flow including using the new useNavigate() hook, the  element, and location.state",,0
156,Merge pull request #1889 from davezuko/patch-1,0.54544616,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
157,[fixed] Properly escape splats,0.8458988,41bd525 [fixed] Properly escape splats,,1
158,Improve documentation readability for matchPath (#6867),0.54366887,"Improved TypeScript signature for useMatch and matchPath. For example, when you call useMatch(""foo/:bar/:baz""), the path is parsed and the return type will be PathMatch<""bar"" | ""baz"">. (#8030)",Co-authored-by: Matt Brophy matt@brophy.org,0
159,[changed] path matching algorithm,0.8644948,Path Matching,,1
160,Remove warning about this being the next branch (#4091),0.5940101,baf79b6 [fixed] Avoid some warnings,Fix typo error Update contributors.yml,0
161,Fix ToC link,0.63864475,link,,0
162,"[removed] ""static""  props",0.5694293,"193222e [added] StaticLocation, for server-side rendering",,0
163,Trivial missing comma in RouteStore,0.599361,76fe696 [fixed] trailing comma,,0
164,Remove tags,0.63946116,- Removed,Add more info to docs add name to contributors.yml Update docs/start/concepts.md Co-authored-by: Tim Dorr timdorr@users.noreply.github.com,0
165,Regenerate global builds,0.5947655,Use the global React in the UMD build.,,0
166,fix: correct README link to migration docs (#8184),0.5970087,69a9240 [fixed] Added missing IndexLink to exports,,0
167,Bump bundle threshold,0.5315901,Bump hoist-non-react-statics (#5347 by @roderickhsiao),,0
168,removed CDN header,0.5659797,4d8c7a1 [removed] ,,0
169,Update redux page,0.6895957,Updated website,,0
170,Update animation.md (#5417),0.6322212,b8018b1 [added] animation example,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
171,Avoid using window object in module scope,0.5033258,module;,,0
172,Remove history install,0.7115598,042cffc [changed] Removed histories/added history dep,,1
173,PR feedback--fix link to 1.0.0 upgrade docs,0.63847506,Several docs improvements - #6410 (thanks @justsml),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
174,Give proper ref to child generated by ,0.58009493,createRoutesFromElements (alias of createRoutesFromChildren),Co-authored-by: Matt Brophy matt@brophy.org,0
175,fix: Minor updates for 6.4.0-pre.2 reports (#8939),0.6615948,Updates,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
176,Rename initialState => initialActiveState,0.63223016,Fix initialEntries type in createMemoryRouter (#9498),Co-authored-by: Matt Brophy matt@brophy.org,0
177,Allow infinite ActiveState change listeners.,0.5390133,      isActive,,0
178,docs(components/await): fix typo (#9440),0.60352093,f5d4f36 [fixed] Docs Update,,0
179,Merge pull request #1821 from malte-wessel/pure-links,0.530166,Provided new hooks useClickHandler and usePressHandler to make customizing Links a bit easier. (#7998),,0
180,chore(docs): styling code blocks,0.5584972,Rendering,,0
181,docs: Fix link in shouldRevalidate docs (#9609),0.6175288,f5d4f36 [fixed] Docs Update,"initial work + test outline wip: addRoute,updateRoute,deleteRoute refactor(hmr): internal api for updating routes and revalidating refactor: _internalSetRoutes test: update method name after rename revalidate in tests chore: remove data for routes with no loader test: cover navigation interruption add changeset Add a couple more tests Fix invalid useRouteLoaderData test Handle HMR use cases for revalidating fetchers Bump bundle Co-authored-by: Pedro Cattori pcattori@gmail.com Co-authored-by: Matt Brophy matt@brophy.org",0
182,Remove a bunch of stuff that lives in react-history now,0.7168808,Remove react-history dep (@ryanflorence in d041434),,1
183,Correctly infer the read only type (#7337),0.45032138,Fix issue with useParams reading from null object (#6940),,0
184,fix failing tests - RE: Map(),0.581048,Use use a _resetModuleScope singleton for our tests,,0
185,docs: fix more broken links,0.6019742,7536d96 [fixed] warning on links w/o params,,0
186,location!,0.54208744,- Deprecated context.location,,0
187,typos,0.5021208,"  },",,0
188,Merge pull request #2692 from rralian/update/tab-example,0.5314272,Fix requests sent to revalidating loaders so they reflect a GET request (#9660),,0
189,matchPath: Fixed exception thrown if path is undefined (#6715),0.65614927,Bugfix: Fix edge cases with continuing matches after pathless routes (#3308),,0
190,Update api.md - Add the useOutletContext hook import to example to align with other hook examples. (#8668),0.7046548,The hooks are now useAsyncValue/useAsyncError,Co-authored-by: Matt Brophy matt@brophy.org,1
191,Added support for building URLs with optional parameters,0.62342185,6c74c69 [changed] Combine URL helpers into URL module,,0
192,"Revert ""Remove history npm workaround""",0.7234351,npm install --save history@1.17.0,,1
193,chore: Update version for release (pre) (#10248),0.61791,Released! No code changes from 4.0.0-beta.8,,0
194,Add back basename support in match(),0.93848544,Add back basename support in match (#3054),,1
195,Add main/files entries,0.47499394,Fix explicit replace on submissions and PUSH on submission to new paths (#9734),,0
196,Update ESLint configs and fix warnings/errors,0.64234066,A few error message improvements (#8202),,0
197,[fixed] alt click on Link should count as modified,0.86547315,4c4f87b [fixed] alt click on Link should count as modified,,1
198,Improve route sorting algorithm,0.7074901,Force stable sort in browsers that don't have it so routes that otherwise rank equally maintain the order in which they were originally defined,,1
199,Do not generate service-worker.js in webpack-dev-server,0.5257373,module js,Co-authored-by: Mikaël ANZANO m.anzano@meetic-corp.com,0
200,Do not Prettify build output,0.6277659,Minor: Do not include unused deprecation logic in production builds (#3296),,0
201,Fix main path in package.json,0.6462564,Re-add module entry to package.json,,0
202,Remove usage of remainingPathname for the moment,0.60493827,Remove useRenderDataRouter() in favor of /,,0
203,use canGo on memory history,0.50991654,a030648 [changed] Relaxed MemoryStore invariant,Sync up release docs with react router Fix capitalization of GitHub Co-authored-by: Michaël De Boey info@michaeldeboey.be Co-authored-by: Michaël De Boey info@michaeldeboey.be,0
204,Merge pull request #1896 from YoruNoHikage/patch-1,0.50148237,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
205,Fix transition.retry,0.85969734,    transition.retry();,,1
206,[added] onChange route hook,0.90880644,Feature: Add support for onChange hook on routes (#3108),(cherry picked from commit 66ea4d4ea415433e95c510e0e4d7794cd96f0ba6),1
207,data flow example,0.658408,{data},,0
208,Update examples and docs to use hooks API (#6976),0.6928227,The hooks are now useAsyncValue/useAsyncError,,0
209,history docs,0.6519279,Separate history to its own context (#7103 by @illuminist),,0
210,Remove outdated history docs,0.6834555,042cffc [changed] Removed histories/added history dep,,0
211,chore: Update version for release (pre) (#10398),0.5990237,3b590e0 [changed] Upgrade to React 0.11.0,,0
212,feat: optional static segments,0.8878284,Optional Static Segment Example,Signed-off-by: Logan McAnsh logan@mcan.sh,1
213,docsmithing,0.8384408,Docs,,1
214,Remove empty tests,0.56757504,- Removed,,0
215,[fixed] URL hash consistency across browsers,0.96657145,a07003e [fixed] URL hash consistency across browsers,,1
216,remove irrelevant code comments,0.66691446,Remove an extraneous  sometimes added by ,,0
217,docs: Add useMatch section in upgrade docs (#8280),0.7139565,Several docs improvements - #6410 (thanks @justsml),Co-authored-by: Logan McAnsh logan@remix.run,1
218,Version 4.0.0-0,0.77038157,// 0.4.x,sync with remix link Signed-off-by: Logan McAnsh logan@mcan.sh (cherry picked from commit 6120207a328740a226c462d87be479b7c26b9574),1
219,Add action prop,0.6378058,73570ed [changed] activeRoute can render with props and children.,sync with remix link Signed-off-by: Logan McAnsh logan@mcan.sh,0
220,Merge pull request #3157 from callumacrae/patch-1,0.49571705,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
221,[added] router.getCurrentInfo,0.80203927,router.,Signed-off-by: Logan McAnsh logan@mcan.sh,1
222,Loosen up peer dep on React,0.75565434,Use peer deps for react-native,,1
223,Update links to tiny.cc,0.53944945,Updated website,,0
224,[changed] Transition retry now uses replaceWith.,0.86533594,3787179 [changed] Transition retry now uses replaceWith.,Co-authored-by: Mehdi Achour machour@gmail.com,1
225,React-is will only validate lazy in versions >16.6 (#6447),0.65262324,React 16.3 support,,0
226,release v0.5.3,0.7216461,This should be the final release candidate before 2.0.0 final. Please test this version!,,1
227,Use componentDidMount in Lifecycle mixin,0.6667093,Removed deprecated lifecycle methods componentWillMount and componentWillReceiveProps,,0
228,Update CHANGELOG,0.83222,Full Changelog,,1
229,Fix table layout in api-doc Route/exact example (#4821),0.65216905,fix: Additional logic fixed for relative navigation from index/pathless layout routes (#8985),,0
230,protect ie8!,0.60263956,Support IE8 (#2540),,0
231,Add announcements section to website,0.5731541,Updated website,Co-authored-by: Tim Dorr timdorr@users.noreply.github.com,0
232,[fixed] Use encodeURI for splat params,0.9218237,26400c1 [fixed] Use encodeURI for splat params,,1
233,update rf-release,0.63081753,b9f92f9 [changed] updated rf-changelog,,0
234,scripts: update check-github-docs w/ correct repo reference,0.53336567,Updates,,0
235,doc history (#4692),0.67379117,Docs,,0
236,Support a plain object location for record/replay,0.5795219,    location: React.PropTypes.object,,0
237,Include warnAboutDeprecatedCJSRequire.js in package.,0.54892445,Re-enable proptypes warnings (@mjackson in 5f4b649),,0
238,Embiggen the large breakpoint,0.49112612,6f8ceac [fixed] Transitions example,,0
239,fix master-detail example,0.57720804,🐛 Bug fixes,,0
240,Update Route.md (#6792),0.66482306,457d944 [added] Router.History,,0
241,Include query string when retrieving window path,0.5052635,// Perform a full-document query for the incoming Fetch Request.  This will,,0
242,Fix auth-flow example,0.56636393,"Auth Example – Demonstrates an authentication flow including using the new useNavigate() hook, the  element, and location.state",,0
243,Use npm script,0.6240357,e42a4ad [changed] Stop using npm prepublish script,,0
244,Clarify getIndexRoute example,0.62645346,  this.getActiveRoutes();,,0
245,clean up some test cruft,0.40994328,"Note: You can still use our mixins, you'll just get a deprecation warning.",Do not short circuit on hash change only mutation submissions Remove leftover debugger,0
246,Merge pull request #2754 from taion/component-lifecycle-nit,0.5163346,Removed deprecated lifecycle methods componentWillMount and componentWillReceiveProps,,0
247,chore(ssr): skipLibCheck (#8106),0.5693184, now tracks it's own SSR error boundaries on StaticHandlerContext,Respect preventScrollReset on fetcher.Form Add preventScrollReset to form docs,0
248,fix children propType on History,0.628219,Use history.createLocation in  (#5722 by @pshrmn),Co-authored-by: Sungjin Kim a01081440011@gmail.com,0
249,Fix usage of Component API within descendant routes (#10434),0.90331686,Fix usage of Component API within descendant  (#10434),,1
250,Remove key/state from hash history locations,0.6039195,// or default to hash location,,0
251,Build entire site with webpack,0.5661457,- Chore: Add module entry point for webpack 2 (#3672),,0
252,"Remove useBlocker, usePrompt, and Prompt",0.68088275,Remove useRenderDataRouter() in favor of /,,0
253,Merge pull request #92 from benjohnson/activeroute-readme,0.60628545,58e7b98 [changed] activeRoute -> activeRouteHandler,,0
254,Merge pull request #2363 from taion/revert-context-params,0.5124166,Refactor: Refactor creating routeParams objects (#3544),,0
