Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
24,Make deprecated warning for this release more alert,0.5978074,Fix deprecation notice 159120cd @bep ,,0
25,releaser: Add release notes for 0.86.1,0.8334636,releaser: Add release notes for 0.97.1 [ci skip] 45607255 @bep ,This reverts commit a4fb8dc6bc4358ca5c307e1af4a50fee2a0c4c12.,1
26,Add support for minification of final output,0.6910244,Add support for minification of final output 789ef8c6 @bep #1251,,0
27,releaser: Bump versions for release of 0.74.0,0.8932321,releaser: Bump versions for release of 0.97.3 078053a4 @bep ,,1
28,docs: Clarify installation of themes,0.641433,-   151+ themes,,0
29,releaser: Add release notes to /docs for release of 0.38.1,0.8690012,releaser: Add release notes to /docs for release of 0.89.2 63e3a5eb @bep ,Co-authored-by: 641bill wo23636@126.com Fixes #9216,1
30,build(deps): bump github.com/mattn/go-isatty from 0.0.14 to 0.0.16,0.9560772,build(deps): bump github.com/mattn/go-isatty from 0.0.14 to 0.0.16 4219993b @dependabot[bot] ,,1
31,Squashed 'docs/' changes from af4b7ac5b..54f0e8776,0.7433574,Update Dockerfile to Go 1.11 bcbe57c6 @zyfdegh #5145,,1
32,releaser: Bump versions for release of 0.21,0.8902542,releaser: Bump versions for release of 0.99.1 d5240673 @bep ,,1
33,docs: Refactor /docs to use the block keyword,0.86608344,Refactor /docs to use the block keyword #2226,Note that the config per language part of this will be handled in #10602. Updates #9772,1
34,minifier: Port integration tests to its package,0.862093,minifier: Port integration tests to its package 94f10cf4 @bep ,,1
35,docs: Update roadmap,0.71429586,Update roadmap #2666,,1
36,resource: Fix resources.Concat for transformed resources,0.7907121,Fix resources.Concat for transformed resources beec1fc9 @bep #4936,See #10866,1
37,Press: add tutorial written by Shekhar Gulati,0.53071094,Some new great tutorials:,,0
38,rewriting guessSection to accurately reflect intent and usage. Update tests.,0.48982805,"Disable syntax guessing for PygmentsCodeFences by default. To enable syntax guessing again, add the following to your config file: PygmentsCodeFencesGuessSyntax = true #2034",,0
39,build(deps): bump github.com/evanw/esbuild from 0.14.25 to 0.14.31,0.95535964,build(deps): bump github.com/evanw/esbuild from 0.14.43 to 0.15.5 d1b03a09 @dependabot[bot] ,,1
40,Updating the .gitignore for windows and vim users.,0.60180753,Add git to Dockerfile 75c3787f @JaymoKang ,Note that this is a test fix only.,0
41,Shuffle test files before insertion,0.7772213,Shuffle test files before insertion 3b721110 @bep ,Fixes #10827,1
42,Add Pygments 2.0.2 to CircleCI build,0.54656035,Build on CircleCI outside of GOPATH ef525b15 @felicianotech #5135,[ci skip],0
43,tpl/partials: Remouve unused method,0.5809416,tpl/partials: Add some more partials to BenchmarkIncludeCached 667f3a4b @bep ,[ci skip],0
44,hugolib: Set .Parent in bundled pages to its owner,0.8111315,Set .Parent in bundled pages to its owner 6792d86a @bep #4582,"among other things, fixes a race condition in html writer and bug preventing explicit line breaks immediately following emphasis",1
45,snap: Add nodejs to allow PostCSS to work,0.7976423,Add nodejs to allow PostCSS to work ef20ec1f @anthonyfok ,Fixes #10819,1
46,Bump to 0.18 release version,0.7919737,releaser: Bump versions for release of 0.99.1 d5240673 @bep ,,1
47,add some information to rendering errors so it's easier to tell what's failing.,0.6433369,"Sometime, especially when creating themes, it is useful to be able to let the user decide if an error situation is critical enough to fail the build. The new erroridf produces ERROR log statements that can be toggled off:",,0
48,Squashed 'docs/' changes from 1d052b16..44fe0285,0.7535766,Update Dockerfile to Go 1.11 bcbe57c6 @zyfdegh #5145,,1
49,readme: Add Golang URL to Go links,0.8322054,readme: Add Golang URL to Go links 941c28ab @reecerussell ,,1
50,commands: Read disableFastRender from flag even if it's not changed,0.85415566,Read disableFastRender from flag even if it's not changed 78a4c2e3 @bep #5353,,1
51,hugolib: Add number of tags as a benchmark know,0.66764057,Add a list terms benchmark 7489a864 @bep #6905,Fixes #10802,0
52,hugolib: Make .Site.Sections return the top level sections,0.8077006,Make .Site.Sections return the top level sections dd9b1baa @bep #3591,,1
53,Add an alias to the old URL of github-pages-blog.md,0.62273335,Fix aliases with path in baseURL ,strings.HasPrefix already has an alias of hasPrefix but strings.HasSuffix has no such alias. This PR adds a hasSuffix alias to the tpl function with corresponding function documentation. It also adds a Minor update to the hasPrefix function documentation re: keywords and relatedfuncs. Completes link,0
54,livereload: Fix data race in close,0.8239269,"Fix data race in live-reload close, avoiding some rare panics 355736ec @bep #2625 ",Replace time.Tick with time.NewTicker.,1
55,Avoid race condition in isInnerShortcode,0.7434287,Fix race condition in text template baseof 241b7483 @moorereason ,,1
56,"Revert ""Improve .Content vs shortcodes""",0.7817632,Improve .Content vs shortcodes e590cc26 @bep #4632,,1
57,github: Add lock-threads step,0.8607592,github: Add lock-threads step 408da436 @bep ,,1
58,docs: Move image-width fix to style.css,0.5943524,The new method $image.Crop allows images to be cropped without being resized (thanks @johnsvenn for the implementation).,"PR #7433 added support for Org timestamps for the DATE header. This PR widens the support with additional front matter headers LASTMOD, PUBLISHDATE and EXPIRYDATE. Fixes #8536",0
59,Watching doesn't built site 2x on write (ignores rename events). Also ignores temporary files written by editors.,0.5688769,Skip watcher event files if matched in ignoreFiles f8446188 @krisbudhram ,[ci skip],0
60,Update 0.83.0-relnotes.md,0.6626274,Update _index.md 50745122 @vrMarc ,[ci skip],0
61,Reducing scope of RenderThing*,0.67357135,  rendering:,Fixes #10794,0
62,is it .md instead of .ad?,0.54517233,```md,Fixes #10791,0
63,Add time.Time type support to where tpl func,0.6417136,time converts a timestamp string into a time.Time structure #2329,,0
64,cache/filecache: Recover from file corruption,0.6690092,Recover from file corruption 180195aa @bep #6401,"Make sure the context used for timeouts isn't created based on the incoming context, as we have cases where this can cancel the context prematurely. Fixes #10789",0
65,releaser: Prepare repository for 0.52-DEV,0.8664148,releaser: Prepare repository for 0.90.0-DEV 1ed8069a @bep ,"Fixes ""Error: failed to prune cache"" on Windows and removes work around from ec1c97e7e9d62ce5245135e0906fdedf14af0cae. Follows #10781.",1
66,Fix Data in multisites,0.62889,Fix .Site.Pages handling on live reloads #2869,"This is a workaround. We need to improve on this, but not today. Fixes #10782",0
67,Annotate temp files that Hugo ignores,0.5814693,"We have added the configuration settings includeFiles and excludeFiles to the mount configuration. This allows fine grained control over what files to include, and it works for all of Hugo's file systems (including /static).","This applies two related fixes/improvements: The --gc now keeps empty _resources/_gen/images etc folders, even if empty. This should have been the behaviour from the start. Also, if removal of an empty dir on Windows fails with the ""used by another process"" error, just ignore it for now. Fixes #10781",0
68,Add Page.FirstSection,0.78385556,Add Page.FirstSection 016dd4a6 @bep ,Fixes #10785,1
69,Force full rebuild when site config changes,0.60395074,Fix .Site.Pages handling on live reloads #2869,Closes #10783,0
70,doc: Add some Scratch slice samples,0.6419391,Allow a mix of slice types in append/Scratch.Add dac7092a @bep #5361,,0
71,deploy: Add ability to invalidate Google Cloud CDN,0.8671949,Add ability to invalidate Google Cloud CDN 674e81ae @gkelly ,[ci skip],1
72,Improve type support in resources.Concat,0.83411527,Improve type support in resources.Concat 306573de @bep #4934,[ci skip],1
73,Squashed 'docs/' changes from 49809a038..4f4d1f48c,0.7250289,Update Dockerfile to Go 1.11 bcbe57c6 @zyfdegh #5145,,1
74,Docs: Add lang attribute to Chinese and Japanese Press entries,0.485012,"Discard current language based on .Lang(), go get translations correct for paginated pages. #2972",Fixes #10774,0
75,releaser: Prepare repository for 0.82.0-DEV,0.87186795,releaser: Prepare repository for 0.90.0-DEV 1ed8069a @bep ,[ci skip],1
76,Release 0.31,0.73232615,Release 0.55.5 e33ed29b @bep ,[ci skip],1
77,tpl/collections: Fix slice type handling in sort,0.73383325,Fix slice type handling in sort e8a716b2 @bep #6023,This reverts commit c3a59a7d5a53eff9723861d0c4b18a574e2769bc. See #10770,1
78,helpers: Remove some unused funcs,0.6586512,Remove the FuzzMarkdownify func for now 5656a908 @bep ,To fix changed Shuffle behaviour on Go 1.20.,0
79,Update 0.67.0-relnotes.md,0.6541966,Update _index.md 50745122 @vrMarc ,,0
80,Removed text from code block.,0.57657564,The hugo benchmark command is removed,"This was deprecated, with a warning message, on 21 Nov 2021. Reference #9190",0
81,server: Fix 404 redirects on Windows,0.8831098,server: Fix 404 redirects on Windows f3560aa0 @bep #10314 ,"Before this fix, strings.Truncate would erroneously re-include attributes from the opening tag in the closing tag when closing formatted html, due to a bug in how tagnames were extracted from the regex capture group for html tags used in truncate.go. This change ensures that only the tagname is retained and all attributes are discarded when storing the tags for closing them later. Fixes #10399",1
82,commands: t.Error => t.Errorf,0.6600196,  {{ with .Err }},,0
83,tpl: Misco GoDoc improvements,0.879249,tpl: Misco GoDoc improvements 7d5e3ab8 @bep ,,1
84,"Update GH docs to say ""main"" as default branch",0.893354,"Update GH docs to say ""main"" as default branch 943f3c93 @maco ",,1
85,releaser: Bump versions for release of 0.91.1,0.9021143,releaser: Bump versions for release of 0.99.1 d5240673 @bep ,Closes #10768,1
86,deps: Update goldmark-highlighting,0.8303248,deps: Update goldmark-highlighting 5c41f41a @satotake #7027#6596,To make the tests pass. Replace io => os.ReadFile in magefile.go Adjust failing image test vs fs.DirEntry Adjust poller test See #10732,1
87,Add timezone support for front matter dates without one,0.8895682,Add timezone support for front matter dates without one efa5760d @bep #8810,link is deprecated since Go 1.16.,1
88,commands: Make the limit command work again,0.76982033,Make the limit command work again 73825cfc @bep #4598,,1
89,Add more options to highlight,0.70525676,"More Pygments highlighting options, including line numbers",6e32d0591 Update quick-start.md (#1984) eddd25ff4 Mermaid: reflect latest docs specifications b2a23b6f5 Mermaid: switch to ESM import 43d83c131 Update index.md git-subtree-dir: docs git-subtree-split: 6e32d05910fb9d623ef26b647def10ea0e00cd15,1
90,node to page: Render aliases before pages,0.7232547,"We now support Page-relative aliases, e.g. aliases that do not start with a /, see #5757",Bumps github.com/tdewolff/parse/v2 from 2.6.4 to 2.6.5. - Release notes - Commits updated-dependencies: - dependency-name: github.com/tdewolff/parse/v2   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
91,Dockerfile: Optimize Docker image size,0.8169571,Optimize Docker image size 606d6a8c @ellerbrock #3674,Bumps github.com/mattn/go-isatty from 0.0.16 to 0.0.17. - Release notes - Commits updated-dependencies: - dependency-name: github.com/mattn/go-isatty   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
92,Improvements to Automated Deployments tutorial,0.865651,Automated deployments with,Bumps golang.org/x/image from 0.0.0-20211028202545-6944b10bf410 to 0.5.0. - Release notes - Commits updated-dependencies: - dependency-name: golang.org/x/image   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
93,all: Prepare Hugo 0.20 release version,0.7549581,Hugo 0.92.0 is mostly a release to prepare for some cool stuff coming in the next releases. Most notable are the deprecation updates:,,1
94,docs: Move Algolia styling into style.css,0.6166606,In layouts/partials/mystyles.css:,"Return value in float64 if exposure time is int or greater than 1, otherwise return in fraction. Fixes #10738",0
95,Squashed 'docs/' changes from 73f355ce..ef02e34e,0.73221976,Update Dockerfile to Go 1.11 bcbe57c6 @zyfdegh #5145,Fixes #9339,1
96,Fix map-order dependent menu tests,0.51325315,Add some index map test cases 9f46a72c @bep #3974,Applicable to Dart Sass only: Sass imports with the .css extension indicate a plain CSS @import. Sass imports without the .css extension are imported at compile time. Fixes #10592,0
97,Replace regexp based Chomp with builtin TrimRight,0.5508065,Cleanup strings.TrimPrefix and TrimSuffix 29a2da05 @moorereason ,"This also speeds up situations where you only need the fragments/toc and not the rendered content, e.g. Related with fragments type indexing: module Fixes #10750",0
98,remove unused field,0.5571946,Remove unneeded casts in page.getParam #2186,Fixes #10744,0
99,travis: Add GOARCH 386 test,0.7106408,Add additional test to TestTemplateLookupOrder fc06d5c1 @moorereason #3505,,1
100,Reset Scratch for 404,0.6598128,Support for a custom 404 page,,0
101,tpl/collections: Log an error on unsupported types in IsSet,0.62897193,tpl/collections: Improve error message in Index 9af78d11 @bep ,Bumps golang.org/x/net from 0.4.0 to 0.7.0. - Release notes - Commits updated-dependencies: - dependency-name: golang.org/x/net   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,0
102,Remove unused types Shortcode and ShortcodeFunc,0.75396657,Shortcodes Revised,Fixes #10672,1
103,Switching docs highlighting to highlight.js .. Docs build super fast again!,0.609841,"This release is mostly interesting if you do code highlighting. We fixed a bottle neck which should show a significant performance boost for sites using code highlighting. Hugo's gohugo.io docs site builds ~20% faster. Also, Chroma, the highlighting library, is upgraded to v2.4.0 with new lexers and lots of improvements.",Fixes #10675,0
104,Move the mount duplicate filter to the modules package,0.86937314,Move the mount duplicate filter to the modules package 4b6c5eba @bep ,Closes #10671,1
105,navigation: Check Page first in URL(),0.6042098,{{with .Site.RegularPages.Next . }}{{.RelPermalink}}{{end}},,0
106,langs/i18n: Fix warning regression in i18n,0.893306,langs/i18n: Fix warning regression in i18n ececd1b1 @bep #8492,Closes #10470,1
107,vendor: Update dependencies for 0.26-DEV,0.6936952,Dependency Updates,36dd5483f Clarify placement of 404 template 6f0a5f3f0 Update urls.Parse.md c8070e578 Remove reference to Internet Explorer conditional comments (#1975) 3e3458f09 Describe default source map behavior for js.build (#1974) 08c9ed09a Simplify ordinal abbreviation example... (#1970) b5aa8d598 docs(markdownify): mention a context limitation (#1968) 596af47f5 Fixing typo in configuration.md doc (#1966) c47cadfcb Fix hardWraps config spelling (#1964) 5739a174e Add detail to tabWidth highlighting option 73a4bcd1f doc: Add hugo-lyra search engine (#1959) 6cc9ebdfd Update uniq function example (#1963) 686a65cf6 Update uniq.md 096f794d0 Update uniq.md 914ca0c38 remove version from SVG example (#1957) 58347d41f Update theme 7c806371f Fix 404 error for CloudCannon community learn docs (#1955) 58e42b03d Update theme fd0385ee2 Update theme 513b7a43a Update findRe.md 4d39137ef Update configuration.md b1c3b58a7 Update configuration.md f827cce8d Update configuration.md 3d72ed8fb netlify: Hugo 0.110.0 e6f969c87 Merge branch 'feat/config-rename' 4c0b5a0b5 dos: Regen CLI docs 05d9db705 docs: Regen docshelper f73bdb6e5 Merge commit 'ef6f101e75256c3bb88a6f1f3b5c1273bf8d7382' e83141f88 Format config 4cadf795e Rename config.toml -> hugo.toml c8aa8617f Move config/_default/config.toml -> config.toml 2943c031a Add fill HTTP Response info into .Data in resources.GetRemote git-subtree-dir: docs git-subtree-split: 36dd5483fb8efb6db4488bbaca5f6ac855f8ffea,0
108,layout: Respect Type and Layout for list template selection,0.83402795,Respect Type and Layout for list template selection 51dd462c @bep #3005#3245,,1
109,circleci: Bump to Go 1.9.2,0.73470485,Bump to Go 1.9.2 9299a16c @bep #4064,,1
110,releaser: Add release notes to /docs for release of 0.61.0,0.8715584,releaser: Add release notes to /docs for release of 0.89.4 ab01ba6e @bep ,"But only in the case where we know that we will need to access the Page fragments/tableofcontents. In normal situations this will spread naturally across the CPU cores, but not in the situation where site.RegularPages.Related gets called as part of e.g. the single template. module See #10711",1
111,Release 0.38.2,0.7678185,Release 0.42.2 1637d12e @bep ,,1
112,docs: Add heimatverein-niederjosbach.de to the showcase,0.5574678,"which has received 30 contributions by 14 contributors. A special thanks to christianoliff, bjorn.erik.pedersen, patrick, and hello for their work on the documentation site.",,0
113,docs: Improve home page,0.6928364,-   Allow home page to be easily authored in markdown #720,"Instead of maintaing a list of all CSS units and functions this commit: Uses 3 regexps to detect typed CSS values (e.g. 24px) + properly handle numeric Go types. These regexps may have some false positives -- e.g. strings that needs to be quoted. For that rare case, you can mark the string with e.g. ""32xxx"" | css.Quoted For the opposite case:  ""32"" | css.Unquoted Updates #10632",0
114,tocss: Fix unquote case with double quotes,0.86775374,tocss: Fix unquote case with double quotes 5d5f0a23 @septs #10555 ,Variables passed via the hugo:vars function where passed as type string. This caused problems when using the variables in sass functions because these expect a specific type. Now we check if the passed variables have to be quoted and therefore are of type string or if they should not be quoted and let the type interpretation up to the sass compiler. Fixes #10632,1
115,Add instagram_simple shortcode,0.90524006,Add shortcode to display Instagram images #2690,Updates #10691,1
116,docs: add netlify article to press section,0.6025249,Add .Site.Params.mainSections that defaults to the section with the most pages. Plan is to get themes to use this instead of the hardcoded blog in where clauses. #3206,Updates #10691,0
117,mod: Update cast,0.74208844,Refactor Mod with cast 76dc811c @artem-sidorenko ,Updates #10691,1
118,gofmt pass,0.6273127,Fix golint issues f0effac8 @moorereason ,"The main topic of this commit is that you can now index fragments (content heading identifiers) when calling .Related. You can do this by: Configure one or more indices with type fragments The name of those index configurations maps to an (optional) front matter slice with fragment references. This allows you to link page<->fragment and page<->page. This also will index all the fragments (heading identifiers) of the pages. It's also possible to use type fragments indices in shortcode, e.g.: {{ $related := site.RegularPages.Related .Page }} But, and this is important, you need to include the shortcode using the {{< delimiter. Not doing so will create infinite loops and timeouts. This commit also: Adds two new methods to Page: Fragments (can also be used to build ToC) and HeadingsFiltered (this is only used in Related Content with index type fragments and enableFilter set to true. Consolidates all .Related* methods into one, which takes either a Page or an options map as its only argument. Add context.Context to all of the content related Page API. Turns out it wasn't strictly needed for this particular feature, but it will soon become usefil, e.g. in #9339. Closes #10711 Updates #9339 Updates #10725",0
119,Adding support for MinRead. Closed #106,0.5871451,Add page fragments support to Related 90da7664 @bep #10711 #9339 #10725 ,To make it easier to compare.,0
120,para: Show more detail on failed time test,0.7618046,Show more detail on failed time test 8103188b @moorereason #6963,,1
121,releaser: Add release notes to /docs for release of 0.58.2,0.8791486,releaser: Add release notes to /docs for release of 0.89.2 63e3a5eb @bep ,,1
122,Merge commit 'aa54803a84208816e9c678359bd3f86760484ce0',0.6966413,Add merge helper c98132e3 @bep ,Most notably better handling self-closing elements Closes #10698,0
123,Be less aggressive with CHMOD filesystem events,0.49044588,Remove mention of a file size limit for readFile ed3071b7 @avdva ,This reverts commit 87c78bd3e918f258bc1a4b0e8acdcec11b69bd35. There seem to be some breaking changes in the above that needs to be looked into.,0
124,releaser: Prepare repository for 0.30-DEV,0.8576096,releaser: Prepare repository for 0.90.0-DEV 1ed8069a @bep ,Closes #10661,1
125,Preliminary Theme Support,0.73762214,Theme engine w/Theme Repository,,1
126,Make --navigateToChanged more robust on Windows,0.8542745,Make --navigateToChanged more robust on Windows 30e14cc3 @anthonyfok #3645,Bumps github.com/getkin/kin-openapi from 0.110.0 to 0.114.0. - Release notes - Commits updated-dependencies: - dependency-name: github.com/getkin/kin-openapi   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
127,"Now support for config files as yaml, json or toml",0.73064566,"Support for data files in YAML,",Fixes #9890 Fixes #10692,1
128,Added safeHtml template function,0.74201804,Fix internal templates usage of safeHTMLAttr e22b3f54 @rhcarvalho #5236#5246,"This fixes a regression introduced in v0.93.0 where previously, a mixed-case key for lineNos would be successfully parsed. This change moves the configuration key lowercasing step into the configuration normalization stage, which is called whether the highlighting config is being parsed from a string or a map. Fixes #10682",1
129,hugolib: Fix comment,0.66930896,Fix godoc comment e03eb90a @moorereason ,module Fixes #10698,0
130,Remove Wercker config,0.63188106,"The config settings and flags disable404, disableRSS, disableSitemap, disableRobotsTXT are now deprecated. Use disableKinds. 5794a265 @bep #3345 ",,0
131,Improve command text for import command,0.6757251,Make the import commands non-global 2a2c9838 @bep #4598,"See link which ""Add[ed] support for 32-bit ARM releases on Linux"" on 2022-08-30.",0
132,Fix RSS Title regression,0.9608128,Fix RSS Title regression #2645,in hugo:gitconfig plug (personal-files interface) in case end users need the flexibility of using additional custom git config files. Fixes #10337,1
133,"Revert ""Remove the --cleanDestinationDir flag"", there is a better fix.",0.64552116,Remove deprecated flags df4cbbd3 @bep ,"Broken by me in Hugo 0.103.0 it seems. A little bit mysterious as it has worked for me after that, but started to fail just recently. Closes #10668",0
134,Use an init() method to create the HugoInfo instance,0.5701843,  - Hugo includes an example documentation site which it builds,Bumps github.com/kyokomi/emoji/v2 from 2.2.10 to 2.2.11. - Release notes - Commits updated-dependencies: - dependency-name: github.com/kyokomi/emoji/v2   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
135,Making direction optional (and setting defaults) for GroupBy Pages functionality.,0.6766205,- groupby & groupbydate methods to group pages,Bumps gocloud.dev from 0.24.0 to 0.28.0. - Release notes - Commits updated-dependencies: - dependency-name: gocloud.dev   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Closes #9778,0
136,Release 0.55.0,0.7434516,Release 0.55.4 1707f1a5 @bep ,,1
137,tpl/collections: Fix apply with namespaced template funcs,0.90236366,tpl/collections: Fix apply with namespaced template funcs 26557399 @bep #9393 ,,1
138,build(deps): bump github.com/aws/aws-sdk-go from 1.34.22 to 1.34.26,0.94390786,build(deps): bump github.com/aws/aws-sdk-go from 1.41.14 to 1.43.5 2c20f5bc @dependabot[bot] ,Fixes #10654,1
139,"Fix config loading for ""hugo mod init""",0.8666961,"Fix config loading for ""hugo mod init"" 923dd9d1 @bep #8697","Note that this is backed by a LRU cache (which we soon shall see more usage of), so if you're a heavy user of cached partials it may be evicted and refreshed if needed. But in most cases every partial is only invoked once. This commit also adds a timeout (the global timeout config option) to make infinite recursion in partials easier to reason about. module Closes #4086 Updates #9588",1
140,docs: Document the new autoHeadingIDType setting,0.81677705,docs: Document the new autoHeadingIDType setting d62ede8e @bep #6707#6616,,1
141,tpl: Extend Jsonify to support optional indent parameter,0.84549797,Extend Jsonify to support optional indent parameter 1bc93021 @moorereason #5040,[ci skip],1
142,Add LazyFileReader type to source library,0.60689753,"We now use a custom-built LazyFileReader for reading file contents, which means we don't read media files in /content into memory anymore -- and file reading is now performed in parallel on multicore PCs. #1181",[ci skip],0
143,deps: Upgraded github.com/evanw/esbuild v0.11.0 => v0.11.12,0.9074121,deps: Upgrade github.com/evanw/esbuild v0.15.18 => v0.17.0 6e9fa9e0 @bep #10536 ,,1
144,Squashed 'docs/' changes from 4628b9ec2..e65df1059,0.76323926,Update Dockerfile to Go 1.11 bcbe57c6 @zyfdegh #5145,,1
145,"commands: Support ""hugo mod get -u ./...""",0.71106315,"Support ""hugo mod get -u ./..."" 775c7c24 @bep #6828",,1
146,Consider root and current section's content type if set in front matter,0.85282224,Consider root and current section's content type if set in front matter c790029e @bep #4891,1214f6ffb Document cleanDestinationDir configuration setting 27ca65463 Clarify .Page.Param method (#1953) 3fa1792d2 Document the usage of hardWrap option for markdown rendering (#1951) 8b5afdfb4 Update theme 207e7f0a0 fix docs for getting remote font 1f7094b9e Correct typo f9d6445c4 Added missing / in URL generator (#1946) 3a22ee7d6 Remove translations b3b900f3f Update introduction.md aca440052 rm Forestry - facing end-of-life shortly (#1944) af0014e14 Update scss-sass.md 1c43bbbc9 Merge branch 'docs/goworkspace' d034175ca netlify: Hugo 0.109.0 d3a6a5c3f Merge branch 'tempv0.109.0' e033dbead docs: Regen docs helper JSON 452bf675c resource/page: Add Page.Ancestors 12edd7363 Add some docs for workspaces 8f0fcba6b Add HUGO_PUBLISHDIR to the Node environment 4e66d98ad Update theme 808aee6f6 config: Update to ga v4 1de2bc5a9 config: Update to ga v4 ddb5fd6b0 Merge commit '41bc6f702aa54200530efbf4267e5c823df3028d' 54c54bf76 modules: Adjust watch logic vs workspace use definitions git-subtree-dir: docs git-subtree-split: 1214f6ffbf680e853746aaeb6cb097b28c0c556b,1
147,Update 0.85.0-relnotes.md,0.68499804,Update _index.md 50745122 @vrMarc ,See #10624,0
148,tpl: Use og:updated_time OpenGraph tag on nodes,0.6398767,Improve generation of OpenGraph date tags #2979,Fixes #10377,0
149,Make the header not jump around,0.62117517,- support for header ids in markdown (# header {#myid}),Fixes #10594,0
150,commands: Properly handle CLI slice arguments,0.7894459,Properly handle CLI slice arguments 27a524b0 @bep #4607,Fixes #10429,1
151,Squashed 'docs/' changes from 60a58d123..327003421,0.73681915,Update Dockerfile to Go 1.11 bcbe57c6 @zyfdegh #5145,Fixes #10624,1
