Index,Message,Description
17,build(deps): bump github.com/hashicorp/vault/api from 1.8.3 to 1.9.1 (#16966),Bumps github.com/hashicorp/vault/api from 1.8.3 to 1.9.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/vault/api   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
18,logs: allow disabling log collection in jobspec (#16962),Some Nomad users ship application logs out-of-band via syslog. For these users having logmon (and docker_logger) running is unnecessary overhead. Allow disabling the logmon and pointing the task's stdout/stderr to /dev/null. This changeset is the first of several incremental improvements to log collection short of full-on logging plugins. The next step will likely be to extend the internal-only task driver configuration so that cluster administrators can turn off log collection for the entire driver.  Fixes: #11175 Co-authored-by: Thomas Weber towe75@googlemail.com
19,fix host port handling for ipv6 (#16723),
20,cni: fix plugin fingerprinting versions (#16776),"CNI plugins v1.2.0 and above output a second line, containing supported protocol versions."
21,cli: fix panic on job plan when -diff=false (#16944),"PR #14492 introduced a new check to return 0 when the nomad job plan command returns a diff of type None. But the -diff CLI flag was also being used to control whether the plan request should return the diff of not instead of just controlling if the diff was printed. This means that when -diff=false is set the response does not include any diff information, and so the new check panics. This commit fixes the problem by always requesting a diff and using the -diff only for controlling output, as it's currently documented."
22,docs: fix keyring path in install docs (#16946),
23,fix: added landlock access to /usr/libexec for getter (#16900),
24,docs: add missing field Capabilities to Namespace API (#16931),
25,changelog: add changelog update for vendor label for linux packaging (#16071),
26,docs: add missing API field JobACL and fix workload identity headers (#16930),
27,Updates to the UI block (#16328)," On the Consul address, following the recommendation for the HTTPS    API on port 8501. Add the hint to use HEX values for the colors."
28,allocrunner: prevent panic on network manager (#16921),
29,Update metric names (#16894),Dashboard uses old metric names
30,"rpc: use ""+"" concatination in hot path RPC rate limit metrics. (#16923)",
31,ui: fix notification service in token controller (#16918),"Remove unneeded service injection. This service is not being used in this controller and currently only exists in main, causing release/1.5.x to break."
32,test: fix quota command autocomplete (#16917),
33,[scheduler] Honor false for distinct hosts constraint (#16907), Honor value for distinct_hosts constraint Add test for feasibility checking for false   Co-authored-by: Michael Schurter mschurter@hashicorp.com
34,hashicorp/go-msgpack v2 (#16810)," Upgrade from hashicorp/go-msgpack v1.1.5 to v2.1.0  Fixes #16808   Update hashicorp/net-rpc-msgpackrpc to v2 to match go-msgpack   deps: use go-msgpack v2.0.0   go-msgpack v2.1.0 includes some code changes that we will need to investigate furthere to assess its impact on Nomad, so keeping this dependency on v2.0.0 for now since it's no-op.  Co-authored-by: Luiz Aoqui luiz@hashicorp.com"
35,users: eliminate nobody user memoization (#16904),"This PR eliminates code specific to looking up and caching the uid/gid/user.User object associated with the nobody user in an init block. This code existed before adding the generic users cache and was meant to optimize the one search path we knew would happen often. Now that we have the cache, seems reasonable to eliminate this init block and use the cache instead like for any other user. Also fixes a constraint on the podman (and other) drivers, where building without CGO became problematic on some OS like Fedora IoT where the nobody user cannot be found with the pure-Go standard library. Fixes github.com/hashicorp/nomad-driver-podman/issues/228"
36,docs: disable secret scanning for documentation content (#16903),"Examples in the documentation frequently include tokens, including Vault tokens which end up triggering GitHub's secret scanner. Remove these from consideration so that we don't get false positive reports."
37,license: show Terminated field in license get command (#16892),
38,client: allow drain_on_shutdown configuration (#16827),"Adds a new configuration to clients to optionally allow them to drain their workloads on shutdown. The client sends the Node.UpdateDrain RPC targeting itself and then monitors the drain state as seen by the server until the drain is complete or the deadline expires. If it loses connection with the server, it will monitor local client status instead to ensure allocations are stopped before exiting."
39,"[ui, compliance] Remove the newline after .hbs copyright headers (#16861)",  Remove the newline after .hbs copyright headers   Trying with the whitespace control char 
40,drain: use client status to determine drain is complete (#14348),"If an allocation is slow to stop because of kill_timeout or shutdown_delay, the node drain is marked as complete prematurely, even though drain monitoring will continue to report allocation migrations. This impacts the UI or API clients that monitor node draining to shut down nodes. This changeset updates the behavior to wait until the client status of all drained allocs are terminal before marking the node as done draining."
41,docs: add node meta command docs (#16828), docs: add node meta command docs  Fixes #16758   it helps if you actually add the files to git   fix typos and examples vs usage 
42,fix: typo (#16873),
43,E2E: clarify drain -deadline and -force flag behaviors (#16868),"The -deadline and -force flag for the nomad node drain command only cause the draining to ignore the migrate block's healthy deadline, max parallel, etc. These flags don't have anything to do with the kill_timeout or shutdown_delay options of the jobspec. This changeset fixes the skipped E2E tests so that they validate the intended behavior, and updates the docs for more clarity."
44,deps: update docker to 23.0.3 (#16862)," [no ci] deps: update docker to 23.0.3  This PR brings our docker/docker dependency (which is hosted at github.com/moby/moby) up to 23.0.3 (forward about 2 years). Refactored our use of docker/libnetwork to reference the package in its new home, which is docker/docker/libnetwork (it is no longer an independent repository). Some minor nearby test case cleanup as well.  add cl"
45,e2e: add e2e tests for job submission api (#16841),  e2e: add e2e tests for job submission api   e2e: fixup callers of AllocLogs   fix typo 
46,core: ensure all Server receiver names are consistent. (#16859),
47,Deployment Status Command Does Not Respect -namespace Wildcard (#16792),  func: add namespace support for list deployment   func: add wildcard to namespace filter for deployments   Update deployment_endpoint.go   style: use must instead of require or asseert   style: rename paginator to avoid clash with import   style: add changelog entry   fix: add missing parameter for upsert jobs 
48,deps: bump build and linter tool versions (#16858),This just helps keep up with the podman driver repo.
49,docs: document signal handling (#16835),"Expand documentation about Nomad's signal handling behaviors, including removing incorrect information about graceful client shutdowns."
50,drainer: fix codec race condition in integration test (#16845),"msgpackrpc codec handles are specific to a connection and cannot be shared between goroutines; this can cause corrupted decoding. Fix the drainer integration test so that we create separate codecs for the goroutines that the test helper spins up to simulate client updates. This changeset also refactors the drainer integration test to bring it up to current idioms and library usages, make assertions more clear, and reduce duplication."
51,consul/connect: fixed a bug where restarting proxy tasks failed. (#16815),"The first start of a Consul Connect proxy sidecar triggers a run of the envoy_version hook which modifies the task config image entry. The modification takes into account a number of factors to correctly populate this. Importantly, once the hook has run, it marks itself as done so the taskrunner will not execute it again. When the client receives a non-destructive update for the allocation which the proxy sidecar is a member of, it will update and overwrite the task definition within the taskerunner. In doing so it overwrite the modification performed by the hook. If the allocation is restarted, the envoy_version hook will be skipped as it previously marked itself as done, and therefore the sidecar config image is incorrect and causes a driver error. The fix removes the hook in marking itself as done to the view of the taskrunner."
52,api: enable support for setting original job source (#16763)," api: enable support for setting original source alongside job  This PR adds support for setting job source material along with the registration of a job. This includes a new HTTP endpoint and a new RPC endpoint for making queries for the original source of a job. The HTTP endpoint is /v1/job//submission?version= and the RPC method is Job.GetJobSubmission. The job source (if submitted, and doing so is always optional), is stored in the job_submission memdb table, separately from the actual job. This way we do not incur overhead of reading the large string field throughout normal job operations. The server config now includes job_max_source_size for configuring the maximum size the job source may be, before the server simply drops the source material. This should help prevent Bad Things from happening when huge jobs are submitted. If the value is set to 0, all job source material will be dropped.   api: avoid writing var content to disk for parsing   api: move submission validation into RPC layer   api: return an error if updating a job submission without namespace or job id   api: be exact about the job index we associate a submission with (modify)   api: reword api docs scheduling   api: prune all but the last 6 job submissions   api: protect against nil job submission in job validation   api: set max job source size in test server   api: fixups from pr "
53,acl: bump JWT auth gate to 1.5.4 (#16838),
54,Merge pull request #16836 from hashicorp/compliance/add-headers,[COMPLIANCE] Add Copyright and License Headers
55,gracefully recover tasks that use csi node plugins (#16809),"new WaitForPlugin() called during csiHook.Prerun, so that on startup, clients can recover running tasks that use CSI volumes, instead of them being terminated and rescheduled because they need a node plugin that is ""not found"" yet, only because the plugin task has not yet been recovered."
56,[COMPLIANCE] Add Copyright and License Headers,
57,ephemeral disk: migrate should imply sticky (#16826),"The ephemeral_disk block's migrate field allows for best-effort migration of the ephemeral disk data to new nodes. The documentation says the migrate field is only respected if sticky=true, but in fact if client ACLs are not set the data is migrated even if sticky=false. The existing behavior when client ACLs are disabled has existed since the early implementation, so ""fixing"" that case now would silently break backwards compatibility. Additionally, having migrate not imply sticky seems nonsensical: it suggests that if we place on a new node we migrate the data but if we place on the same node, we throw the data away! Update so that migrate=true implies sticky=true as follows:  The failure mode when client ACLs are enabled comes from the server not passing   along a migration token. Update the server so that the server provides a   migration token whenever migrate=true and not just when sticky=true too. Update the scheduler so that migrate implies sticky. Update the client so that we check for migrate || sticky where appropriate. Refactor the E2E tests to move them off the old framework and make the intention   of the test more clear."
58,E2E: update subset of node drain tests off the old framework (#16823),"While working on several open drain issues, I'm fixing up the E2E tests. This subset of tests being refactored are existing ones that already work. I'm shipping these as their own PR to keep review sizes manageable when I push up PRs in the next few days for #9902, #12314, and #12915."
59,docker: default device.container_path to host_path (#16811), docker: default device.container_path to host_path  Matches docker cli behavior. Fixes #16754
60,e2e/acl: export ACL resource Cleanup helpers (#16822),"The e2e/acl package has some nice helpers for tracking and cleaning up ACL objects, but they are currently private. Export them so I can abuse them in other e2e tests."
61,Set RequireRoot to be a test helper. (#16641),
62,e2e: swap assert for test package in e2eutil/jobs.go (#16820),
63,client: ensure envoy version hook uses all pointer receiver funcs. (#16813),
64,E2E: test enforcement of ACL system (#16796),This changeset provides a matrix test of ACL enforcement across several dimensions:   * anonymous vs bogus vs valid tokens   * permitted vs not permitted by policy   * request sent to server vs sent to client (and forwarded)
65,docs: remove reference to vSphere from CSI concepts docs (#16765),"The vSphere plugin is exclusive to k8s because it relies on k8s-APIs (and crashes without them being present). Upstream unfortunately will not support Nomad, so we shouldn't refer to it in our concept docs here."
66,agent: add top-level warning if mTLS is not configured (#16800),Nomad's security model requires mTLS in order to secure client-to-server and server-to-server communications. Configuring ACLs alone is not enough. Loudly warn the user if mTLS is not configured in non-dev modes.
67,Merge pull request #16794 from hashicorp/post-1.5.3-release,Post 1.5.3 release
68,Do not set attributes when spawning the getter child (#16791),  Do not set attributes when spawning the getter child   Cleanup   Cleanup    Co-authored-by: the-nando the-nando@invalid.local
69,deps: update go-m1cpu with fix for BigSur users (#16793),"https://github.com/shoenig/go-m1cpu/releases/tag/v0.1.5 which may also help with the Nix package for Nomad, which makes use of the older IOKit framework version https://github.com/shoenig/go-m1cpu/issues/5"
70,Merge release 1.5.3 files,
71,Prepare for next release,
72,Generate files for 1.5.3 release,
73,upgrade go to 1.20.3,
74,acl: fix ACL bypass for anon requests that pass thru client HTTP,Requests without an ACL token that pass thru the client's HTTP API are treated as though they come from the client itself. This allows bypass of ACLs on RPC requests where ACL permissions are checked (like Job.Register). Invalid tokens are correctly rejected. Fix the bypass by only setting a client ID on the identity if we have a valid node secret. Note that this changeset will break rate metrics for RPCs sent by clients without a client secret such as Node.GetClientAllocs; these requests will be recorded as anonymous. Future work should: * Ensure the node secret is sent with all client-driven RPCs except   Node.Register which is TOFU. * Create a new acl.ACL object from client requests so that we   can enforce ACLs for all endpoints in a uniform way that's less error-prone.~
75,Prevent kill_timeout greater than progress_deadline  (#16761),  func: add validation for kill timeout smaller than progress dealine   style: add changelog   style: typo in changelog   style: remove refactored test   Update .changelog/16761.txt   Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/structs/structs.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Co-authored-by: James Rasell jrasell@users.noreply.github.com
76,cleanup: use jobID name rather than jobName in job endpoints (#16777),"These endpoints all refer to JobID by the time you get to the RPC request layer, but the HTTP handler functions call the field JobName, which is a different field (... though often with the same value)."
77,cli: fix up failing quota inspect enterprise test. (#16781),
78,cli: stream both stdout and stderr when following an alloc. (#16556),"This update changes the behaviour when following logs from an allocation, so that both stdout and stderr files streamed when the operator supplies the follow flag. The previous behaviour is held when all other flags and situations are provided. Co-authored-by: Luiz Aoqui luiz@hashicorp.com"
79,Merge pull request #16575 from hashicorp/docs-add-roadmap-project,Adds public roadmap project to readme
80,CSI: set mounts in alloc hook resources atomically (#16722),"The allocrunner has a facility for passing data written by allocrunner hooks to taskrunner hooks. Currently the only consumers of this facility are the allocrunner CSI hook (which writes data) and the taskrunner volume hook (which reads that same data). The allocrunner hook for CSI volumes doesn't set the alloc hook resources atomically. Instead, it gets the current resources and then writes a new version back. Because the CSI hook is currently the only writer and all readers happen long afterwards, this should be safe but #16623 shows there's some sequence of events during restore where this breaks down. Refactor hook resources so that hook data is accessed via setters and getters that hold the mutex."
81,docs: fix use of gpg to avoid teeing binary to terminal (#16767),
82,docs: fix install instructions for apt (#16764),The workflow described in the docs for apt installation is deprecated. Update to match the workflow described in the Tutorials and official packaging guide.
83,take maximum processor Mhz (#16740),  take maximum processor Mhz   remove break   cl: add cl for 16740    Co-authored-by: Seth Hoenig shoenig@duck.com
84,Update quota name on failing test for quota status (#16662),  fix: update quota name on test   Update quota_status_test.go   Update quota_status_test.go   fix: simplify template call for quota status 
85,style: update documentation (#16729),
86,Update enterprise licensing documentation (#16615),updated various docs for new expiration behavior and new command nomad license inspect to validate pre-upgrade
87,ent: move all license info into LicenseConfig{} (#16738),and add new TestConfigForServer() to get a valid nomad.Config to use in tests Co-authored-by: Luiz Aoqui luiz@hashicorp.com
88,connect: add meta on ConsulSidecarService (#16705),Co-authored-by: Sol-Stiep sol.stiep@southworks.com
89,ci: use BACKPORT_MERGE_COMMIT option (#16730),"Instead of attempting to pick each individual commit in a PR using BACKPORT_MERGE_COMMIT only picks the commit that was merged into main. This reduces the amount of work done during a backport, generating cleaner merges and avoiding potential issues on specific commits. With this setting PRs that are not squashed will fail to backport and must be handled manually, but those are considered exceptions."
90,Merge pull request #15897 from hashicorp/f-sso-jwt-auth-method,acl: JWT as SSO auth method
91,acl: set minACLJWTAuthMethodVersion to 1.5.3 and adjust code comment,
92,[ui] Web sign-in with JWT (#16625),  Bones of JWT detection   JWT to token pipeline complete   Some live-demo fixes for template language   findSelf and loginJWT funcs made async   Acceptance tests and mirage mocks for JWT login   [ui] Allow for multiple JWT auth methods in the UI (#16665)   Split selectable jwt methods   repositions the dropdown to be next to the input field 
93,acl: rebased on main and changed the gate to 1.5.3-dev,
94,acl: JWT changelog entry and typo fix,
95,acl: JWT auth CLI (#16532),
96,acl: fix canonicalization of JWT auth method mock (#16531),
97,acl: HTTP endpoints for JWT auth (#16519),
98,acl: RPC endpoints for JWT auth (#15918),
99,acl: JWT auth method,
100,docker: move pause container recovery to after SetConfig (#16713),"When we added recovery of pause containers in #16352 we called the recovery function from the plugin factory function. But in our plugin setup protocol, a plugin isn't ready for use until we call SetConfig. This meant that recovering pause containers was always done with the default config. Setting up the Docker client only happens once, so setting the wrong config in the recovery function also means that all other Docker API calls will use the default config. Move the recoveryPauseContainers call into the SetConfig. Fix the error handling so that we return any error but also don't log when the context is canceled, which happens twice during normal startup as we fingerprint the driver."
101,build(deps): bump github.com/opencontainers/runc from 1.1.4 to 1.1.5 (#16712), build(deps): bump github.com/opencontainers/runc from 1.1.4 to 1.1.5  Bumps github.com/opencontainers/runc from 1.1.4 to 1.1.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/opencontainers/runc   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com  changelog entry   Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Tim Gross tgross@hashicorp.com
102,fix: clean the output writter to avoid duplicates when testing for json output (#16619),
103,docs: mention Nomad Admission Control Proxy (#16702),
104,docs: clarify capabilities options for docker driver (#16693),"The docker driver cannot expand capabilities beyond the default set when the task is a non-root user. Clarify this in the documentation of allow_caps and update the cap_add and cap_drop to match the exec driver, which has more clear language overall."
105,drivers/exec: Fix handling of capabilities for unprivileged tasks (#16643),"Currently, the exec driver is only setting the Bounding set, which is not sufficient to actually enable the requisite capabilities for the task process.  In order for the capabilities to survive execve performed by libcontainer, the Permitted, Inheritable, and Ambient sets must also be set. Per CAPABILITIES (7):  Ambient: This is a set of capabilities that are preserved across an execve(2) of a program that is not privileged.  The ambient capability set obeys the invariant that no capability can ever be ambient if it is not both permitted and inheritable."
106,"dev: make cni, consul, dev, docker, and vault scripts Lima compat. (#16689)",
107,client/fingerprint: correctly fingerprint E/P cores of Apple Silicon chips (#16672)," client/fingerprint: correctly fingerprint E/P cores of Apple Silicon chips  This PR adds detection of asymetric core types (Power & Efficiency) (P/E) when running on M1/M2 Apple Silicon CPUs. This functionality is provided by shoenig/go-m1cpu which makes use of the Apple IOKit framework to read undocumented registers containing CPU performance data. Currently working on getting that functionality merged upstream into gopsutil, but gopsutil would still not support detecting P vs E cores like this PR does. Also refactors the CPUFingerprinter code to handle the mixed core types, now setting power vs efficiency cpu attributes. For now the scheduler is still unaware of mixed core types - on Apple platforms tasks cannot reserve cores anyway so it doesn't matter, but at least now the total CPU shares available will be correct. Future work should include adding support for detecting P/E cores on the latest and upcoming Intel chips, where computation of total cpu shares is currently incorrect. For that, we should also include updating the scheduler to be core-type aware, so that tasks of resources.cores on Linux platforms can be assigned the correct number of CPU shares for the core type(s) they have been assigned. node attributes before cpu.arch                  = arm64 cpu.modelname             = Apple M2 Pro cpu.numcores              = 12 cpu.reservablecores       = 0 cpu.totalcompute          = 1000 node attributes after cpu.arch                  = arm64 cpu.frequency.efficiency  = 2424 cpu.frequency.power       = 3504 cpu.modelname             = Apple M2 Pro cpu.numcores.efficiency   = 4 cpu.numcores.power        = 8 cpu.reservablecores       = 0 cpu.totalcompute          = 37728  fingerprint/cpu: follow up cr items"
108,dev: modify Go install to support arch64 and non-vagrant machines. (#16651),
109,docs: add notes about keyring to snapshot restore (#16663),"When cluster administrators restore from Raft snapshot, they also need to ensure the keyring is in place. For on-prem users doing in-place upgrades this is less of a concern but for typical cloud workflows where the whole host is replaced, it's an important warning (at least until #14852 has been implemented)."
110,docs: fix template retry attempts default documentation (#16667),"The configuration docs for client.template.vault_retry, consul_retry, and nomad_retry incorrectly document the default number of attempts to be unlimited (0). When we added these config blocks, we defaulted the fields to nil for backwards compatibility, which causes them to fall back to the default consul-template configuration values."
111,docs: fix-up legacy link in client config page. (#16678),
112,docs: fix link of Read Stats API (#16673),The former link results in a 404. Update the link to the correct developer docs.
113,dev: account for non-vagrant machines on Linux config priv. (#16657),
114,"Multiple instances of a periodic job are run simultaneously, when prohibit_overlap is true (#16583)","  Multiple instances of a periodic job are run simultaneously, when prohibit_overlap is true Fixes #11052 When restoring periodic dispatcher, all periodic jobs are forced without checking for previous childre.   Multiple instances of a periodic job are run simultaneously, when prohibit_overlap is true Fixes #11052 When restoring periodic dispatcher, all periodic jobs are forced without checking for previous children.   style: refactor force run function   fix: remove defer and inline unlock for speed optimization   Update nomad/leader.go   Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com   style: refactor tests to use must   Update nomad/leader_test.go   Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  Update nomad/leader_test.go  Co-authored-by: James Rasell jrasell@users.noreply.github.com  fix: move back from defer to calling unlock before returning.  createEval cant be called with the lock on   style: refactor test to use must   added new entry to changelog and update comments    Co-authored-by: James Rasell jrasell@hashicorp.com Co-authored-by: James Rasell jrasell@users.noreply.github.com"
115,"style: rename ForceRun to ForceEval, for clarity (#16617)",
116,scheduler: fix reconciliation of reconnecting allocs (#16609),"When a disconnect client reconnects the allocReconciler must find the allocations that were created to replace the original disconnected allocations. This process was being done in only a subset of non-terminal untainted allocations, meaning that, if the replacement allocations were not in this state the reconciler didn't stop them, leaving the job in an inconsistent state. This inconsistency is only solved in a future job evaluation, but at that point the allocation is considered reconnected and so the specific reconnection logic was not applied, leading to unexpected outcomes. This commit fixes the problem by running reconnecting allocation reconciliation logic earlier into the process, leaving the rest of the reconciler oblivious of reconnecting allocations. It also uses the full set of allocations to search for replacements, stopping them even if they are not in the untainted set. The system SystemScheduler is not affected by this bug because disconnected clients don't trigger replacements: every eligible client is already running an allocation."
117,docs: added section of needed ACL rules for Nomad UI (#16494),
118,cli: job restart command (#16278),"Implement the new nomad job restart command that allows operators to restart allocations tasks or reschedule then entire allocation. Restarts can be batched to target multiple allocations in parallel. Between each batch the command can stop and hold for a predefined time or until the user confirms that the process should proceed. This implements the ""Stateless Restarts"" alternative from the original RFC (https://gist.github.com/schmichael/e0b8b2ec1eb146301175fd87ddd46180). The original concept is still worth implementing, as it allows this functionality to be exposed over an API that can be consumed by the Nomad UI and other clients. But the implementation turned out to be more complex than we initially expected so we thought it would be better to release a stateless CLI-based implementation first to gather feedback and validate the restart behaviour. Co-authored-by: Shishir Mahajan smahajan@roblox.com"
119,ci: send notification when prepare is complete (#16627),
