Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
48,Merge pull request #834 from terraform-providers/add_badges,0.5765841,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
49,Merge pull request #135 from terraform-providers/b-label-vals-invalid,0.5725094,Attribute ignore_labels of provider (#746),,0
50,Update docs (#1944),0.6154556,Update documentation and correct some errors (#1759),,0
51,Add support for kubernetes_storage_class,0.880399,  - kubernetes_storage_class,,1
52,Merge pull request #133 from terraform-providers/b-pv-correct-ops,0.5766722,Update terraform-plugin-go and terraform-plugin-sdk (#1551), Make Deleting PVs Idempotent,0
53,Migrate test infra to TF 0.12 (#563),0.6777466,Update acceptance tests for tfproviderlint (#887), Make attribute 'ingress_class_name' of resource 'kubernetes_ingress_v1' computed,0
54,Adding spacing after insecure,0.3895977,Add support for size_limit for empty_dir block (#912),,0
55,Update CHANGELOG.md about SDK upgrade.,0.67068607,Generating changelog for release-v2.19.0 from v2.18.1...,,0
56,Update terraform-plugin-go and terraform-plugin-sdk (#1551),1.0000002,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Update TF versions in GH workflows,1
57,Remove namespace from metadata attributes (#858),0.7160703,Remove self_link from metadata (#1294),,1
58,just use blank strings for unspecified,0.41818312,"Fix handling of ""null"" values on fields of kubernetes_manifest "," Allow 'generate_name' on cluster role, cluster role binding, and role binding",0
59,Update documentation (#1922),0.71630675,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)", Add kubernetes_ingress_v1 timeouts,1
60,Update CHANGELOG.md for v2.6.1,0.8109956,Generating changelog for release-v2.19.0 from v2.18.1..., Update documentation,1
61,v1.13.2,0.7658401,"2.8.0 (February 09, 2022)",,1
62,Parametrize all timeouts (#607),0.9443152,Parametrize all existing timeout values (PR #607),,1
63,Remove kubeconfig file check (#1193),0.6942563,"Remove error for missing kubeconfig, to allow generating it at apply time (#1142)",,0
64,Update HPA documentation (#1657),0.6788398,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)",,0
65,Fix import ID syntax in manifest import docs,0.99999994,Fix import ID syntax in manifest import docs,Co-authored-by: Aleksandr Rybolovlev sacha.rybolovlev@hashicorp.com,1
66,Split handling of kubernetes.io Anno’s + Labels,0.61412156,  - kubernetes_horizontal_pod_autoscaler,,0
67,Merge pull request #170 from antonbabenko/updated-example,0.5219139,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,  Modify delete operation for namespaces Please enter the commit message for your changes. Lines starting   Add changelog entry   Co-authored-by: John Houston jhouston@hashicorp.com,0
68,docs: Add Getting Started Guide,0.6990193,Docs: fix typo in getting started guide (#1262), Release v2.16.0,0
69,Update PULL_REQUESTS.md,0.9028585,Updates to CONTRIBUTING.md and PULL_REQUESTS.md," Fix timeouts for StatefulSet, Deployment, and DaemonSet",1
70,Fix crash in resource_kubernetes_pod_security_policy host_ports attribute (#932),0.997971,Fix crash in resource_kubernetes_pod_security_policy attribute host_ports (#931)," Update 'container.resources' schema for Pod, DaemonSet and Deployment",1
71,Allow AKS test infra to track Azure provider updates.,0.5699738,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions, Mark attribute 'default_secret_name' as deprecated in the documentation,0
72,Add preemption_policy attribute to priority_class resource (#1846),0.8865554,"Added ""preemption_policy"" attribute to the priority_class resource. [GH-1846]", Add a new optional attribute 'runtime_class_name' to 'pod.spec'  Signed-off-by: Kyle Carberry kyle@carberry.com Co-authored-by: Aleksandr Rybolovlev sacha.rybolovlev@hashicorp.com,1
73,Fix url attribute in admissionregistration client_config.service block (#959),0.9999997,Fix url attribute in admissionregistration client_config.service block (#959),,1
74,v2.3.1,0.7166561,"2.8.0 (February 09, 2022)",Co-authored-by: Gil De Grove gil.degrove@euranova.eu Co-authored-by: Sheneska Williams sheneska.williams@hashicorp.com,1
75,Add GRPC liveness/readiness/startup_probe (#1915),0.6576549,"Add a new optional attribute grpc to pod.spec.container.liveness_probe, pod.spec.container.readiness_probe, and pod.spec.container.startup_probe. That affects all resources and data sources that use mentioned pod.spec.container probes directly or as a template. [GH-1915]","Do not remove server side fields for datasources It does not make sense to delete server side fields for datasources, the user should be responsible for not creating loops which would cause a perpetual diff. This allows reading the status field for the generic kubernetes_resource datasource. Thus this PR Fixes this issue : https://github.com/hashicorp/terraform-provider-kubernetes/issues/1699 Signed-off-by: Julien DOCHE julien.doche@datadoghq.com",0
76,Update CHANGELOG.md v2.11 with missed bug fix (#1704),0.714379,Generating changelog for release-v2.19.0 from v2.18.1...,,1
77,Match specific tolerations to prevent diffs (#978),0.9999999,Match specific tolerations to prevent diffs (#978), Add a new data source kubernetes_endpoints_v1  Signed-off-by: Damien Goldenberg damien@hivebrite.com,1
78,health_check_port_node should force replacement (#986),0.99999976,health_check_port_node should force replacement (#986),,1
79,Merge pull request #502 from titilambert/master,0.5145327,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,,0
80,provider/kubernetes: Mark HPA's target_cpu_utilization_percentage as computed,0.49865896,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),,0
81,Fix mode conversion with config_map volume items,0.68702066,Add support for volume mode (#939),,0
82,Fix ttl_seconds_after_finished acc test,0.6114206,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),Correct some errors in manifest documentation,0
83,Fix deployment selector description (#208),0.6068701,Don't force replacement StatefulSet / Deployment when affinity rule selectors change (#755),,0
84,document inverse of k8s default behaviour (#814),0.56369686,* Restructure service and ingress to match K8s API (#1071),Co-authored-by: John Houston jhouston@hashicorp.com,0
85,Datasource: kubernetes_secret: add binary_data attribute (#1285),0.9999999,Datasource: kubernetes_secret: add binary_data attribute (#1285),Co-authored-by: hashicorp-copywrite[bot] noreply@hashicorp.com,1
86,EKS test infra: wait for API to be ready (#333),0.612422,Add GitHub action for EKS acceptance tests (#1656),  initial resource commit   add basic CRUD functions   add metadata block and create logic   add update function   add force attribute   add read function & getEnvs function   add field_manager attribute   fix read function   Add read function   Add Delete function   draft createEnv function in test   complete draft kubernetes_env_test.go   remove unnecessary getEnvs function   Finish Test for kubernetes_env_test   Add kubernetes_env docs   add value_from attribute to tests   add value_from to schema   Add Flatten Function   Update kubernetenv_test   Add changelog-entry   Format Env Docs   Fix test format   Update website/docs/r/env.html.markdown   Co-authored-by: John Houston jrhouston@users.noreply.github.com   Last Formatting Steps   Update structures_container.go   Add changelog-entry   Delete extra changelog   Add missing info   Add changelog-entry   Description Change   Co-authored-by: John Houston jrhouston@users.noreply.github.com,0
87,Merge pull request #127 from terraform-providers/b-svc-update-ext-ips,0.6154103,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
88,Add test case revealing issue #115 when adding data to a secret resource that didn't have any,0.5631618,Datasource: kubernetes_secret: add binary_data attribute (#1285), Enable AWS test infra to scale the number of AZs Adapt GH action to new test-infra inputs Update auth plugin API version,0
89,v1.1.0,0.6109358,"2.6.0 (October 19, 2021)",,0
90,add validations (#1278),0.85703325,Add validations to service (#1273),,1
91,add mount_options argument to kubernetes_persistent_volume (#429),0.85984427,Add mount_options attribute to kubernetes_persistent_volume and kubernetes_storage_class,,1
92,"Move ""computed_attributes"" to the ""kubernetes_manifest"" resource instead of provider block.",0.7198694,Data source and resource attributes app_protocol of kubernetes_service (#1554),,1
93,Fix links to timeouts documentation for terraform 0.12+ (#406),0.7064172,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Improve acceptance test robustness: * Add tool to generate prefix groups from list of tests * Enable gke-gcloud-auth-plugin in GKE test-infra setup * Parallelize acceptance test runs based on test name prefix groups,1
94,Enable helm pre-release test in TC (#1197),0.5653093,Update acceptance tests for tfproviderlint (#887),,0
95,Cleanup after v0.1.2 release,0.5298189,"2.6.0 (October 19, 2021)",  add immutable attribute to config_map resource   add test for immutable attribute   Fix bool value not updating on create   Update Config_Map Docs   Add changelog-entry   Co-authored-by: BBBmau alvarez.mauriciotm@gmail.com,0
96,Update module hashicorp/terraform-plugin-sdk to v1.2.0 (#659),0.7906537,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,1
97,Merge pull request #148 from terraform-providers/vendor-tf-0.11.4,0.58143413,Update terraform-plugin-go and terraform-plugin-sdk (#1551),As mentioned in #1843. The example is mentioning a resource not being used (kubernetes_service) when the correct is kubernetes_service_v1.,0
98,Fix mishandling of 'null' values in configuration during type morphing,0.6057209,Fix type morphing of nested tuples that causes Failed to morph errors (#1756), Add 'wait_for_service_account_token' option for the resource 'kubernetes_secret',0
99,Merge pull request #112 from pdecat/patch-1,0.52870095,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999],  add tfplugindocs   add changelog-entry ,0
100,provider/kubernetes: Add support for resource_quota (#13914),0.78338,  - kubernetes_resource_quota,  add status checker for if job exists   update kubernete_job docs ,1
101,Autogenerate documentation with tfplugindocs (#1752),0.5892854,Documentation fixes,  add go-changelog   update changelog_guide.md location   change note repo   change provider name ,0
102,Fix name of datasource in getting statrted guide example. (#1146),0.6519722,Add data sources for namespaces (#613),  Upgrade terraform-plugin-go to v0.13.0   Upgrade terraform-plugin-sdk to v2.20.0   Upgrade terraform-plugin-mux to v0.7.0   Copy updated 'plugintest' and 'logging' packages from terraform-plugin-sdk module   Re-vendor github.com/hashicorp/terraform-plugin-log after fixing dependent import paths   Update webhook setup for kubernetes_manifest ComputedFields acceptance test.   Update checks on TestAccKubernetesStatefulSet_Update   Update checks on TestAccKubernetesNetworkPolicy_basic   Update checks on TestAccKubernetesPersistentVolume_hostPath_nodeAffinity   Bump versions yet again ,0
103,Update metadata name attribute to required,0.6164908,Add data sources for namespaces (#613),,0
104,rm default value of automount_service_account_token,0.67154217,Fix kubernetes_default_service_account doesn't set the automount_service_account_token to false (#1247),,0
105,"Move ingress_class_name to an argument, in spec block (#1612)",0.6500578,* Add ingressClassName as field in Ingress manifest (#1057)," Fix type ""morpher"" to correctly bubble up non-error diagnostics",0
106,Add inputs to EKS acceptance test action,0.72060186,Add GitHub action for EKS acceptance tests (#1656),update with new project ID,1
107,Merge pull request #21 from terraform-providers/b-svc-timeout,0.5696391,Update terraform-plugin-go and terraform-plugin-sdk (#1551),  add test for loadbalanceingress IP/Hostname check   update loadIngress test   remove no_rollout_wait test   update test to check for GKE label in node   update gke condition check ,0
108,Fix typo on an example (#1843) (#1845),0.6099342,* Fix typo in Job error message (#1048), Update CHANGELOG.md file for release v2.13.0,0
109,"Support for ""computed"" attributes",0.75128806,"* kubernetes_manifest supports ""computed"" attributes", Better error messages from OpenAPI schema transformations Don't error out on extraneous attributes present in configuration. Just ignore them. Update webhook setup for kubernetes_manifest ComputedFields acceptance test.,1
110,Read operation should set resource id to null if not found (#1138),0.9912586,* Read operation should set resource id to null if not found (#1136), Update resource and data of 'kubernetes_(default_)service_account' to handle deprecated 'default_secret_name' in Kubernetes 1.24.0+,1
111,v2.0.0,0.743762,"2.8.0 (February 09, 2022)",,1
112,Add kubernetes_job resource.,0.753026,* Docs: kubernetes_cron_job add link to Kubernetes reference (#1200), Update storage_class(_v1).html.markdown,1
113,v1.0.0,0.65711135,"2.6.0 (October 19, 2021)",,0
114,Fix PodSpec defaults and related acceptance tests (#1074),0.73459125,Add validations to container PodSpec (#1275),,1
115,New datasources: kubernetes_namespace & kubernetes_all_namespaces (#701),0.73803365,  - kubernetes_namespace, update KUBECONFIG call,1
116,Merge pull request #29 from adieu/patch1,0.4926035,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999], terraform-wrapper: false,0
117,kubernetes_service_account: fix image_pull_secrets crash due to empty map (#1744),0.81235385,Fix provider crash when image_pull_secret of kubernetes_service_account(_v1) is null, append to $GITHUB_ENV,1
118,Add nested condition block to wait block (#1595),0.7408319,Attribute condition to wait block of kubernetes_manifest (#1595), Update GKE workflow,1
119,Update module hashicorp/terraform to v0.12.9 (#622),0.737535,* Update Terraform SDK to v2 (#1027) ,,1
120,Set min_master_version to kubernetes_version to match node_version (#307),0.587566,kubernetes/resource_kubernetes_node_taint.go: Remove MaxItems from taint attribute [GH-2046],,0
121,v2.19.0 (#2060),0.8491383,"2.6.0 (October 19, 2021)", Update FAQ.md update with the latest team changes,1
122,Create question.md (#1084),0.5323997,Updates to CONTRIBUTING.md and PULL_REQUESTS.md, Update CHANGELOG.md for v2.12.1 release,0
123,inappropriate reference doc link (#595),0.6486885,Docs: fix broken links (#1041), Fix the issue when provider crashes after introducing new fields on the provider level,0
124,Allow configuration for 'computed_attributes' in provider block,0.69546354,Add proxy_url attribute to provider configuration block (#1441), Fix type morphing of nested tuples - use downstream morphed sub-types to compose final element type Better unit tests for tuple morphing,0
125,Updated example of providers block,0.6941222,* Document that kubernetes_manifest must be enabled in the provider block.,,0
126,docs: Improve service data source example,0.71534884,Improve docs for configuring the provider (#1132),,1
127,docs: Fix outdated links to K8S docs (#10),0.74224675,Docs: fix broken links (#1041),,1
128,Add test case revealing issue #115 when adding labels to a resource that didn't have any,0.6145171,"* Revert ""Filter well known labels and annotations"" (#1298)",  bump-v3-yaml   tidy go mod ,0
129,Update CHANGELOG.md for v2.20.0 release (#2083),0.8264108,Generating changelog for release-v2.19.0 from v2.18.1...,,1
130,v0.1.1,0.5922941,"2.6.0 (October 19, 2021)",,0
131,"Usage guide for ""computed_attributes""",0.586449,"* kubernetes_manifest supports ""computed"" attributes",,0
132,Expose last warnings from eventlog for Pod+PVC+SVC,0.49236447,* Add data source for Pod and PVC (#786),  change from atoi() to parseInt()   make fmt ,0
133,Typos fix (#264),0.6248402,Docs: fix typo in getting started guide (#1262), Manifest: import ear-marks resource for next plan to avoid forcing re-create Bump github.com/hashicorp/hc-install to v0.3.2,0
134,Fix behavior attribute of kubernetes_horizontal_pod_autoscaler_v2(beta2) (#1853),0.8566738,  - kubernetes_horizontal_pod_autoscaler_v2beta2,  Necessary bits to onboard project to the Releases API   some updates made after testing   update comment   Update to include terraform registry manifest   Co-authored-by: Jeanne Angeles Franco jeanne.franco@hashicorp.com,1
135,Add ttlSecondsAfterFinished to kubernetes_job and kubernetes_cron_job,0.70976555,* Fix kubernetes_cron_job ForceNew when modifying job_template (#1212), Add new data source and resource attributes of kubernetes_service(_v1),1
136,Fix patch operations on resource update + other small fixes,0.5799799,Fix an issue when provider crashes intermittently in version v2.12.0 (#1762),,0
137,Update authentication section of docs (#1132),0.6127956,Add validations to service (#1273), Fix resource 'kubernetes_default_service_account',0
138,for set this to nil if not set,0.49278408,Fix crash when deferencing nil pointer in v1beta1.IngressRule (#967),,0
139,test-infra: Expose google_zone from kops @ GCE,0.54706025,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,0
140,Merge pull request #126 from terraform-providers/t-pv-skip,0.6078391,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
141,provider/kubernetes: Change imports and references after upgrade,0.7015418,Fix an issue when the imported kubernetes_manifest resource is replaced instead of getting updated (#1712),,1
142,Updated host_alias property name to host_aliases (#670),0.991066,Updated host_alias property name to host_aliases (PR #670),,1
143,Update module k8s.io/client-go to v12 (#648),0.91474754,Update k8s.io/client-go to v12,,1
144,Fix identification of 'int-or-string' type attributes to include 3rd party types defined by aggregated APIs (#1640),0.9769755,Fix identification of int-or-string type attributes to include 3rd party types defined by aggregated APIs (#1640)," Add a new resource HPAv2, update k8s libraries to the latest version v0.23.5, update go to 1.18",1
145,Update GHA stale bot issue message (#1526),0.58360964,resource/kubernetes_node_taint: Fix an issue when updating taint does not update the ID in the state file. [GH-2077],,0
146,Update kubernetes_resources docs with missing examples (#2021),0.7465997,Add kubernetes_resource data source (#1548), Handle 'x-kubernetes-preserve-unknown-fields' type annotation in OpenAPI: changes to attributes of this type trigger whole resource recreation.,1
147,Docs: Change host_alias to host_aliases (#869),0.8429363,Updated host_alias property name to host_aliases (PR #670), big.Float to float64 conversion accuracy indicator is not an error More precise testing of float handling in manifest,1
148,First pass at adding cron jobs,0.5305886,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),"  Upgrade terraform-plugin-mux to v0.6.0   Rebase on main, go mod tidy & go mod vendor   Test helper adaptations after rebase on newer plugin-test   Co-authored-by: Alex Somesan alex.somesan@gmail.com",0
149,Merge pull request #159 from appilon/fix-service-datasource,0.5618516,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999],  Bring in the plugin test framework as an internal package   Bring in the plugin test logging framework as an internal package   go mod tidy & vendor   Adapt manifest acceptance tests to internal test framework ,0
150,Update index.html.markdown (#1062),0.49733937,Fix url attribute in admissionregistration client_config.service block (#959), Add 'ip_families' and 'ip_family_policy' attributes of data source and resource 'kubernetes_service',0
151,Add Github Actions for issues+PRs,0.6155964,Add github action for acceptance tests using kind (#1691),,0
152,Link Ingress resource doc page into sidebar. (#438),0.5357519,Docs: fix broken links (#1041),,0
153,test-infra: Add more targets (kops + minikube),0.4962996,r/kubernetes_horizontal_pod_autoscaler_v2beta2: make attribute spec.behavior.scale_up computed [GH-1853],,0
154,Make terraform version for EKS acceptance tests configurable,0.6201496,* Update Terraform SDK to v2 (#1027) ,,0
155,Adapt examples syntax to TF 0.12,0.48023176,Update acceptance tests for tfproviderlint (#887),,0
156,Update GH workflows (#2041),0.57848763,Update Pull Request Lifecycle docs (#1032),,0
157,Update CHANGELOG.md for v2.12.1 release (#1766),0.81326646,Generating changelog for release-v2.19.0 from v2.18.1...,,1
158,Merge pull request #116 from pdecat/fix-adding-labels,0.56718457,Fix (cluster-)role bindings and rules updates (#713),,0
159,vendor: Remove unused dependencies,0.5345448,* Remove load_config_file attribute from provider block (#1052),,0
160,provider/kubernetes: Add support for persistent_volume_claim (#13527),0.7688916,  - kubernetes_persistent_volume_claim,,1
161,Add endpoint resource (#167) (#350),0.6100285,Add data source for ingress (#514),,0
162,trivial .travis.yml cleanups (#271),0.4943839,kubernetes/resource_kubernetes_node_taint.go: Remove MaxItems from taint attribute [GH-2046], Fix GKE acceptance tests,0
163,Discover supported apiVersion for CRD via RESTMapper,0.55727863,Always generate standard ObjectMeta for CRD types (#1418), Add 'app_protocol' attribute of resource and data source 'kubernetes_service',0
164,Update Pull Request Lifecycle docs (#1032),0.9999997,Update Pull Request Lifecycle docs (#1032),,1
165,"PVCs: expose 'wait_until_bound' only on stand-alone PVCs, not embedded ones (#234)",0.71059567,Allow in-place update of PVC's storage request (#957),,1
166,Add GitHub action for EKS acceptance tests (#1656),0.99999976,Add GitHub action for EKS acceptance tests (#1656),,1
167,Merge pull request #525 from terraform-providers/fix-job-template,0.582132,Update terraform-plugin-go and terraform-plugin-sdk (#1551), Add a new metric type 'container_resource' of resource 'kubernetes_horizontal_pod_autoscaler_v2beta2'.,0
168,v2.18.0 (#1996),0.74408066,"2.6.0 (October 19, 2021)",,1
169,don't take a toleration_seconds unless they are present and > 0,0.5172776,* Allow 'ttl_seconds_after_finished = 0' in kubernetes_job resource (#849),,0
170,Merge pull request #139 from terraform-providers/b-pvs-forcenew-19,0.5845103,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
171,Bump random provider to v2.2.1 (#634),0.6846938,Bump provider SDK to v1.7.0, Make attribute 'rule' of resources mutating_webhook_configuration and validating_webhook_configuration optional.,0
172,Remove outdated regression tests (#1689),0.5753319,Remove enabling experiment section (#1564),,0
173,Minikube on KVM at Packet,0.5545312,  - kubernetes_config_map_v1,,0
174,Cleanup after v1.0.1 release,0.5163006,Generating changelog for release-v2.19.0 from v2.18.1...,,0
175,Fix GKE acceptance tests (#1677),0.7144282,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,1
176,Clean up go.mod,0.50562596,Update all go modules (#1240),,0
177,Create codeql-analysis.yml (#1025),0.47137433,Add data source for ingress (#514),,0
178,Do not force base64 encoding for the ca_bundle (#735),0.85446393,Do not force base64 encoding for the ca_bundle on kubernetes_api_service (#679),,1
179,v1.9.0,0.69770145,"2.6.0 (October 19, 2021)", Don't fail when unable to find default SA token secret. It may have been replaced.,0
180,Modify secret example per k8s docs,0.66855687,Fix docs formatting for kubernetes_secret (#1434),,0
181,Update issue templates,0.6066314,Do not set default namespace for replication controller and deployment pod templates (#275), Add a new attribute 'seccomp_profile' to pod and container spec under 'security_context'.,0
182,v1.2.0,0.68719494,"2.6.0 (October 19, 2021)", Make attribute http of resource kubernetes_ingress_v1 optional.,0
183,v1.5.2,0.6599339,"2.8.0 (February 09, 2022)",,0
184,Merge pull request #35 from sohlcoveo/add_token,0.50365174,* Update docs to reflect new schema for load_balancer_ingress (#1123),,0
185,Add kubernetes_api_service resource (#487),0.81464666,Add kubernetes_resource data source (#1548),,1
