Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
11,website: add k8s ui step,0.62482804,plugin/k8s: Added Service annotations option to K8S release [GH-1393],Releng/migrate to crt,0
12,builtin/k8s/helm: status reports,0.7129879,builtin/k8s: Surface pod failures on deploy [GH-1110],,1
13,Fix typo: production.mdx,0.4173255,cli: Fix bug where input variables were not included on pipeline run jobs. [GH-4137],Co-authored-by: Clint catsby@users.noreply.github.com Remove releng/ branch from CI Fix trigger to staging in CI,0
14,clarify name for easier readability,0.46689612,ui: Improved UX of screen readers' transition between pages [GH-2837],App overview,0
15,Update .changelog/1821.txt,0.6003603,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],,0
16,go.mod: update sdk,0.67668426,* Update Go build version to 1.16.12 per Go security release,,0
17,config/pipeline: Raise error if 2 levels of pipe nesting found,0.5559586,  waypoint pipeline run. [GH-4319],,0
18,Include git information for git data source projects,0.79863906,deployment or release for projects backed by a git data source [GH-1801],,1
19,Merge pull request #49 from hashicorp/readme,0.41765282,existing server image is hashicorp/waypoint:latest [GH-3820],,0
20,Update error catch for adopt runner to use terminal Output instead of step group.,0.62388283,internal/runnerinstall: Fix order of error checking and make error message more specific [GH-3772],,0
21,update website formatting with make gen/website,0.46800545,ui: Improve design of status row on Build/Deployment/Release detail pages [GH-2036],,0
22,internal/cli: add auth-method inspect,0.65621364,cli: Introduce a new CLI command for job management and inspection,,0
23,docs: Replace default runner name with html friendly version,0.5674305,cli/runnerinstall: Update runner install to set the new profile as the default,,0
24,How it works section styling,0.5128398,ui: Fix header spacing on build/release detail pages [GH-3614],,0
25,Merge pull request #2921 from hashicorp/ui/percy-applications-list,0.54061574,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",,0
26,Add -from option to waypoint init command,0.56524736,Input variables: Waypoint now allows users to parameterize the waypoint.hcl,,0
27,Merge pull request #409 from hashicorp/b-destroy,0.48673016,plugin/aws-ecs: Deployments delete their resources on failure. [GH-2098],,0
28,website/pages/commands: regen from CLI,0.6067692,cli: Introduce a new CLI command for job management and inspection,,0
29,add some var stuff to runner op and project,0.6422473,config: Specify configuration (env vars and files) for runners while executing,,0
30,internal/config: start adding app config tests,0.55105823,core: application config changes (i.e. waypoint config set) will now restart running applications [GH-791],,0
31,rm some style changes,0.48430157,or label sets. This can be used to alter configurations between environments,,0
32,Merge pull request #3303 from hashicorp/amy/add-dependabot,0.484506,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
33,internal/server/state: move expiry handling here so it works after,0.61547804,server: Prune old deployments and jobs from server memory. This limits the number,,0
34,papercut - cli output update,0.5373026,cli: Print warning and help docs if required flags for upgrade are not included [GH-1372],,0
35,Merge pull request #29 from hashicorp/f-doctor-remote,0.45558274,existing server image is hashicorp/waypoint:latest [GH-3820],,0
36,pipeline run list test,0.67574203,pipelines: Properly mark a pipeline run as complete [GH-4053],,0
37,Upgrades waypoint-plugin-sdk to new version with argmapper v0.2.3.,0.5698935,Use server upgrade to upgrade the Waypoint server for the,"Co-authored-by: Andrew andrew.hwang@hashicorp.com""",0
38,test: Wait 500 ms for job to fix flakey test,0.44186836,"install/k8s: improve stability of install process by verifying stateful set, waiting for service endpoints, etc. [GH-435]",,0
39,internal/cli: update output to look better,0.6818898,cli/status: Include a way to refresh project application statuses for deployments and releases with a '-refresh' flag before showing the status view [GH-2081],,0
40,auto-updated internal/server/gen/bindata_ui.go from commit 9670d50fc,0.5993565,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
41,DeclaredResourcesResp outparameter working,0.46060222,Source variable values from remote systems: The default value for input variables,,0
42,docs: TaskLauncher example formatting updates.,0.5545192,cli/status: Include a way to refresh project application statuses for deployments and releases with a '-refresh' flag before showing the status view [GH-2081],,0
43,fix: struct value syntax for WatchTaskStartupTimeoutSeconds,0.5047443,"core: Update TaskCancel to also cancel WatchTask job, if it was launched. [GH-3893]",,0
44,Merge pull request #1173 from hashicorp/dependabot/npm_and_yarn/ui/elliptic-6.5.4,0.49299955,ui: Fix crash when encountering resources without IDs [GH-3929],,0
45,google/cloudrun: remove unused code,0.6765027,plugin/google: Implement DestroyWorkspace to cleanup all created resources [GH-2005],,0
46,Merge pull request #1966 from hashicorp/feat/cli/status,0.4663638,cli: Require confirmation before destroying all resources [GH-1232],,0
47,Update website docs,0.54604536,cli/status: Include a way to refresh project application statuses for deployments and releases with a '-refresh' flag before showing the status view [GH-2081],"These endpoints are not currently used, so this change has very little practical impact other than keeping things consistent.",0
48,maint: avoid slamming Consul API.,0.55486095,plugin/nomad: Add consul service optional flags [GH-2033],core: Add Project Templates to protos,0
49,server: proto gen,0.5436008,server: Add pagination protobuffs and stubs for pagination in ListProjects [GH-4203],,0
50,auto-updated internal/server/gen/bindata_ui.go from commit 4e78b0dc,0.6067569,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
51,Merge pull request #2954 from hashicorp/f-runner-labels,0.4965469,cli: runner list shows runner labels [GH-3133],,0
52,maint: Remove namespace from cleanpvc parameters,0.51328903,cli: Make purge default and remove flag for Nomad uninstall [GH-1326],,0
53,internal/runner: support workspace destroy,0.61978805,plugin/ecs: Implement the destruction of AWS resources created when deploying a workspace [GH-2684],,0
54,"Fix tests, ensure Memory can have a default value of 0",0.48610198,plugin/nomad: Fix broken -nomad-runner-memory and -nomad-server-memory flags [GH-1895],,0
55,Set subnet and sg info on runner profile created during runner install for ECS.,0.7353274,cli/runnerinstall: The runner profile created by runner install sets target labels,,1
56,"Add plugin changelogs for k8s, docker, and nomad",0.7424518,plugin/nomad: Update Nomad task launcher plugin to use entrypoint config - fixes,,1
57,Added quick start links to readme.,0.45132145,ui: Add dynamic page titles [GH-1916],,0
58,Merge pull request #3307 from hashicorp/plugin/k8s/odr-resource-limits,0.59456456,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
59,builtin/docker: Remove intermediate containers on build,0.7794493,plugin/docker: remove intermediate containers on build [GH-667],,1
60,internal/server: proto changes for scoping runner and app config,0.6174046,plugin/ecs: runner install now creates aws policies to facilitate remotely running StopTask and WatchTask jobs [GH-4296],,0
61,[RelAPI Onboarding] Add release API metadata file,0.66095346,The release configuration can use artifact.* and deploy.* to access metadata.,,0
62,set up to run one platform at a time,0.48696008,server/ecs: Use --platform=ecs to install waypoint server to,,0
63,builtin/k8: use more specific waypoint error text,0.62660354,builtin/k8s: Include user defined labels on deploy pod [GH-1146],,0
64,internal/cli: start hooking up the cli.Ui,0.6900555,"cli: new ""waypoint user"" CLI for user management [GH-1864]",,0
65,Merge pull request #3784 from hashicorp/core/list-odr-config-typo,0.46811336,core: Connected entrypoints for deleted projects now error out properly. [GH-3949],This commit establishes protos for enabling Project Templates in the cli client,0
66,Merge pull request #1716 from hashicorp/debug-plugin,0.56449074,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
67,Merge pull request #2634 from hashicorp/improvement/logvar,0.5089543,ui: Update empty logs message [GH-2925],,0
68,internal/clicontext: List works with non-existent directory,0.6041576,cli/context: Fix possible error when listing contexts if a non-Waypoint context file exists in the context directory. [GH-4257],Compliance/add copyright headers with exclusions,0
69,Merge pull request #2008 from hashicorp/deployListUsesUIAPI,0.56838787,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",,0
70,Merge pull request #1119 from hashicorp/b-ecr-mapper-missing,0.52202165,ui: Fix crash when encountering resources without IDs [GH-3929],,0
71,Merge pull request #2809 from pavel-github/patch-1,0.53080714,core/api: include commit message in datasource/git response [GH-3457],"We're going to incorporate these titles differently on the integrations library in HashiCorp Developer, which will not require authors to incoporate the title at the top of the README, which will ensure better consistency.",0
72,updating to use correct deployment log output,0.7523315,ui: Ensure logs update correctly when switching between deployments [GH-2901],,1
73,Add required attr and optional path field,0.46622968,"path Variables: you can now use path.project, path.app, and path.pwd as",,0
74,Merge pull request #2751 from hashicorp/f-statetest-timing,0.5295899,plugin/aws/alb: Always set the generated time for a status report [GH-2048],,0
75,Merge pull request #146 from hashicorp/f-job-id,0.54532725,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946]," Remove Plugin MDX content  We've moved over to the new integrations system, and these are no longer needed. These are actually getting indexed by our Algolia search, which is causing some minor issues for us.  Remove plugins nav data",0
76,Merge pull request #3357 from hashicorp/ui/tests-closing-square-brackets,0.4987829,plugin/aws/ec2: Check Auto Scaling activites for failures or cancellations [GH-1447],  fix: add runner-profile-edit to nav data   update content-conformance to latest ,0
77,internal/cli: more help text tweaking,0.5537616,cli/main: Add -version flag for CLI version [GH-1049],"cli: Introduce an editor class for in-terminal edits, add waypoint runner profile edit command",0
78,Merge pull request #576 from nickatsegment/aws-ecs-ec2-cpu-busted,0.594903,plugin/aws/ecs: Fix destroy non-latest deployments in ECS [GH-2054],Wayp 1010 improve performance UI list pipelines,0
79,docs: Clarify config source-set -delete,0.5831939,core: Project Destroy Introduce a new CLI command project destroy to delete projects in Waypoint and destroy their associated resources [GH-3626],,0
80,Add media queries,0.43134284,ui: Add dynamic page titles [GH-1916],,0
81,Merge pull request #597 from akin-ozer/patch-1,0.4535213,ui: Fix crash when encountering resources without IDs [GH-3929],,0
82,Don't run end to end tests with regular go-test suite in circle,0.3549427,cli: Show full command flags when displaying help text for waypoint runner inspect. [GH-4435],,0
83,Use const for name of runner in each platform.,0.58347964,cli/runnerinstall: The runner profile created by runner install sets target labels,"More context fixes, better job logging",0
84,Update App Poll Peek functions to operate at the project level,0.592695,server: Fix project poll job singleton id to only include application on project,,0
85,auto-updated internal/server/gen/bindata_ui.go from commit 93ac218d,0.58354336,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Log at info level the proper lifecycle of a job to aid in debugging,0
86,Fix path (#472),0.55455804,cli: plugins loaded in pwd work properly and don't give PATH errors [GH-699],Core: Ensure Project and Workspace names are valid,0
87,Move Use Cases to top level nav,0.4271108,internal/cli: Fix waypoint exec workspace selection [GH-3226],Use a separate context when deleting an instance record,0
88,ui: updated flash message service file name to avoid collisions,0.44522566,upgrade: Update ECS server upgrade to respect -ecs-server-image flag when the,,0
89,update uninstall to use InstallOpts from rebase,0.6091666,Uninstall command for all server platforms:,  chore: start trying to debug deploy failures   chore: update should-build script   chore: undo changes except to should-build ,0
90,Putting source back into Dev Mode,0.41844985,core: application config changes (i.e. waypoint config set) will now restart running applications [GH-791],"Fix bug caused by trying to fix bug related to job ""loss""",0
91,Update K8s runner install to use a default runner profile configuration.,0.81354344,upgrade: Warn user if default k8s runner profile has incorrect plugin configs [GH-3503],Co-authored-by: Jamie White jamie@jgwhite.co.uk,1
92,internal/client: Add ability to monitor job status,0.6596029,will keep track of what part the jobs are at for better debugging and on-demand,,0
93,Merge pull request #338 from hashicorp/docs-plugin-examples,0.5099402,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],"TLDR: calling all the job values 'job' introduced a goroutine-using-outer-scope-variable bug. The source of all of this is ultimate a 3 year old bug: https://github.com/hashicorp/waypoint/blob/9d34ba23599142a5b2efbdc7a79c7a4ce163f060/internal/server/singleprocess/service_runner.go#L586 That code used = instead of :=, which caused the goroutine to update the 'primary' job local variable used by everything else in the function. So WHEN (not if, as we'll see in a moment) ctx is canceled, job becomes nil, and any code further down in the function will see than nil DEPENDING on the goroutine scheduling order. So, why would the context be canceled? The goroutine defined right after this does defer cancel() when the client disconnects. So due to the magic of goroutine scheduling, it's possible for the server.Recv() goroutine to exit, canceling the context, then the WatchSet goroutine wakes up, because there is a job change (as we just updated it), causing the loop to start and JobById uses a canceled context. We attempted to figure out WHY the job was nil in the past by adding code into the primary select statement at the bottom of the function, which introduced a second pathology: the WatchSet routine pushed a value onto errCh when it used the canceled context, and the 'job is nil' detection code did a non-blocking read on 'errCh' AFTER it read an event (almostly certainly a Complete event btw). We then saw the error and figured ""oh something is weird and wrong"", so we logged and basically orphaned the Complete event because we had no job record to record things with! TLDidR: calling all the job values 'job' introduced a goroutine-using-outer-scope-variable bug. I've renamed various other job-related variables that held jobs from 'job' to something else to prevent a similar condition in the future.",0
94,Merge pull request #302 from hashicorp/papimenon-wp-1,0.49982125,existing server image is hashicorp/waypoint:latest [GH-3820],,0
95,update project destroy,0.7084353,core: Project Destroy Introduce a new CLI command project destroy to delete projects in Waypoint and destroy their associated resources [GH-3626],Test: Add a test to ensure multi-put on same name is 1 workspace,1
96,modify pipeline state tests,0.6805303,pipelines: Properly mark a pipeline run as complete [GH-4053],,0
97,Merge pull request #7 from hashicorp/f-argmapper,0.5168939,server: UpsertProject will not delete all application metadata [GH-1027],,0
98,Merge pull request #4058 from hashicorp/dependabot/npm_and_yarn/ui/eslint-plugin-prettier-4.2.1,0.5864803,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
99,Handle errors for version checks. Verify the server version before attempting to delete the runner profile. Add name/id to error if deletion fails.,0.6573099,upgrade: Update existing runner profile during server upgrade & change naming convention of initial runner profile [GH-3490],,0
100,bug fix pipeline run start,0.6765753,cli: Fix panic in waypoint pipeline list and waypoint pipeline inspect where,,0
101,plugin/k8s - Use sequence # in k8s deploy name,0.8713755,plugin/k8s: Use sequence number in k8s deployment name for improved traceability to waypoint deployments. [GH-2296],,1
102,cli/server: output logs properly,0.6350745,cli: Respect the -workspace flag when requesting a logstream for a deployment,"This command makes use of the new editor package, and will edit configs in place and submit that config up to the server.",0
103,internal/config: Introduce hclStep for raw Step,0.60560375,"CLI: New waypoint.hcl interactive generator, accessed with waypoint init when no waypoint.hcl exists in the current project [GH-3704]",,0
104,internal/config: Validate that there are no duplicate names,0.5581313,cli: runner profile set does not create entries with duplicate names. [GH-3803],"This commit brings in a basic Editor set of functionality to allow various CLI commands to directly editor HCL configs rather than requiring lots of CLI flags. Commands can launch their own editor, which will place a temp file on disk, and return the resulting edited bytes back to be saved or submitted as the updated config",0
105,Merge pull request #895 from hashicorp/docs-include-running-tests,0.4979826,plugin/aws-lambda: Add platform config validation. [GH-3193],"This commit adds a test that ensures if you Put a workspace with the same name, you only get 1 workspace total, and not two workspaces by the same name.",0
106,Fix indentation.,0.44413435,BUG FIXES:,,0
107,internal/server/state: Job state has outputbuffer,0.6095238,"streams and receieve output, or get the output from an existing job stream that",,0
108,Merge pull request #3615 from hashicorp/ui/runner-alert,0.5311836,core: improve runner job stream error logging [GH-3872],"Ensure a workspace name is valid and not empty, only alpha-numberic like projects. Fixes #4571",0
109,nix: add doctl and kubectl,0.5832499,"in kubectl apply, prune_allowlist. It also ensures this param in the plugin","Prior to this commit, users could create project names like ""."" or even ""   "". This commit tightens up those rules to only allow for alpha-numberic characters, as well as underscore and hyphens. All other characters are not valid for projects. Fixes #4572",0
110,Update website/content/docs/server/install.mdx,0.5498888,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Add missing fields to UI_ListPipelines,0
111,sdk: AuthResult for Auth,0.5916245,docker-pull auth and registry auth [GH-2895],Co-authored-by: Brian Cain bcain@hashicorp.com,0
112,ui: switch back to public onboarding,0.5343132,ui: onboarding flow after redeeming an invite token is enabled and uses public release URLs [GH-635],,0
113,Merge pull request #885 from hashicorp/b-token,0.5122703,existing server image is hashicorp/waypoint:latest [GH-3820],Wayp 752 UI list pipeline runs,0
114,auto-updated pkg/server/gen/bindata_ui.go from commit c5853009a,0.6168721,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],,0
115,Fix typo in doc help string,0.42567572,cli: Fix issue parsing string slice inputs [GH-1669],,0
116,internal/cli: better default server ports,0.65261376,plugin/ecs: ability to specify service_port rather than port 3000 [GH-661],Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
117,Increase ECS ODR memory,0.59110355,serverinstall/ecs: Validate memory and cpu values [GH-1872],,0
118,Start at index 0,0.38098127,"0.3.1 (April 20, 2021)",Co-authored-by: Susan Davies susan.davies@hashicorp.com,0
119,website: auto-gen website,0.39445302,"such as Google, GitLab, etc. [GH-1831]",,0
120,fmt; add project alias to docs,0.5347019,cli: Add alias for -app and -workspace flags [GH-2700],,0
121,internal/server: Add API validation for UpsertDeployment,0.6723423,server: Adds API validation to ensure server doesn't panic when given an empty,,0
122,Merge pull request #1230 from hashicorp/feature/prune-retain,0.45756805,existing server image is hashicorp/waypoint:latest [GH-3820],,0
123,internal/datasource: switch to go-git for checkout,0.5879887,core: Automatically remotely init projects with a Git data source [GH-2145],,0
124,fix nomad link,0.74993277,the Nomad server install. [GH-4363],,1
125,auto-updated pkg/server/gen/bindata_ui.go from commit 8a15bfb1d,0.5954536,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],,0
126,internal/core: plumb the deployment ID into the deploy,0.6402671,on the health of deployments or releases. Waypoint surfaces a deployment,,0
127,Fixing a bug where we would send an odr profile on a job with an empty profile string,0.5690204,plugin/nomad: Fix Nomad job namespace when using ODRs [GH-2896],,0
128,go.mod,0.467274,* Update Go build version to 1.16.12 per Go security release,,0
129,Connects cli and integrations links,0.6923834,cli: contexts will fall back to not using symlinks if symlinks aren't available [GH-633],chore(deps): bump rack from 2.2.6.3 to 2.2.6.4 in /ci/sinatra,0
130,remove uneeded args used for testing,0.5257375,cli: Ignore error on Unimplemented for health checks [GH-1596],Bumps rack from 2.2.6.3 to 2.2.6.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: rack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
131,sdk: move plugin to internal/,0.5948933,"plugin/k8s: Introduce a new config option autoscale, which creates a horizontal",More Jira fixes,0
132,ui: add api-common-protos ts definitions,0.5285971,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",,0
133,Update internal/cli/runner_install.go,0.7736341,cli: New runner install and runner uninstall commands to install/uninstall Waypoint runners to a specified platform [GH-3335],Update the value for custom field 10371 for Jira from GitHub Issue to GitHub.,1
134,update hclog,0.6260756,ui: Improve the input field for server-side HCL file on the settings page [GH-2168],Jira sync fix,0
135,ui: final fixes to styling and routing,0.5705447,ui: Improve the design of the Project Settings forms [GH-1335],Remove no-longer-needed field from the Jira workflow.,0
136,"Skip tests, remove .envrc",0.4895181,plugin/aws/ecs: Fix destroy non-latest deployments in ECS [GH-2054],chore(deps): bump rack from 2.2.6.2 to 2.2.6.3 in /ci/sinatra,0
137,Merge pull request #2322 from hashicorp/ui/de-lint-input-vars,0.5009512,ui: Fix crash when encountering resources without IDs [GH-3929],  Updates to Docker interface for testing   Update AWS ALB   Upgrade integrations to new authoring interface   A few missing upgrades   One last update for AMI   fix & update app_docs   delete wrong k8s/canary files   delete old cloudnative files   using pack slug instead   add missed ami files   update nomad jobspec canary files   add pack files  these replace cloudnative   Co-authored-by: Kevin Wang kwangsan@gmail.com,0
138,auto-updated pkg/server/gen/bindata_ui.go from commit 349d98d8f,0.61721075,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],internal/runnerinstall: fix dropped error,0
139,Remove test apps from Waypoint repo,0.5807109,config: Remove the multi-app deprecation warning.,,0
140,internal/state: WorkspaceGet,0.7103033,by workspace [GH-4009],Add default codeowner,1
141,change name of step; add to all jobs,0.4483021,release configurations can now be changed depending on the current workspace,,0
142,bust cache if ui/lib changes,0.52393985,plugin/docker: Add parameter to disable the build cache [GH-2953],Bumps rack from 2.2.6.2 to 2.2.6.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: rack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
143,Merge branch 'master' into f-hzn,0.41963047,internal/config: Fix parsing of complex HCL types in -var-file [GH-2217],Remove v1 from UI_ListProjects grpc-gateway path,0
144,Check that the job's version matches the job version of the latest deployment.,0.61758435,will keep track of what part the jobs are at for better debugging and on-demand,,0
145,Update -from-project usage,0.7018243,core: Update -from-project in waypoint init to handle local projects [GH-722],Delete test-link-rewrites.yml,1
146,fix(internal/cli): fallback to N/A if deployment URL not set,0.59390706,entrypoint: fix URL service memory leak [GH-1200],,0
147,Merge pull request #4387 from hashicorp/f/main/nomad-csi-mount-flags,0.5473747,cli: Make purge default and remove flag for Nomad uninstall [GH-1326],Enable custom health checks for ECS plugin,0
148,build(deps): bump semver-regex from 3.1.3 to 3.1.4 in /website,0.5184025,server: Fix runner database by setting proper runner bucket for initialization. Sever upgrades to 0.8.0 would previously fail before this fix. [GH-3200],,0
149,Merge pull request #2026 from hashicorp/impr/cli/bold-headers-status,0.47432044,cli: Default the platform for server upgrade to the platform in the context [GH-1461],,0
150,"moved DestroyProject to be a project method and pulled logic out of DoApp, since DestroyProject is at the project level, and not app level.",0.64557284,core: Project Destroy Introduce a new CLI command project destroy to delete projects in Waypoint and destroy their associated resources [GH-3626],,0
151,"internal/ceb: wire it all up, tests passing again",0.49734426,ceb: Fix connecting to servers with TLS verification [GH-3167],,0
152,Add docker-pull docs,0.68294144,plugin/docker: support remote operations for docker-pull plugin [GH-3253],,0
153,Merge pull request #1413 from hashicorp/ci-docs-onboarding,0.47771057,existing server image is hashicorp/waypoint:latest [GH-3820],,0
154,core/runner: Add server-addr requirement to runner install,0.6877589,"plugin/nomad: Add CPU and Memory resource options for server and runner installs, and app deploys [GH-1318]",Add UI_GetDeployment to gateway.yml,0
155,Adjust animation distance,0.3939655,runner: Add ability to build images without needing a containarization API [GH-2056],,0
156,internal/cli: user inspect,0.6951144,cli: Introduce a new CLI command for job management and inspection,,0
157,website: UI example,0.56862277,"UI_ListDeployments bundle. Now we look up the deployment URL once, and craft",Add gateway.yml check,0
158,internal/server/state: JobCancel,0.54948115,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],,0
159,internal/pkg/epinject: AlterEntrypointImg,0.50804263,plugin/aws-ecr: Output architecture from Docker image input [GH-3046],,0
160,internal/core: request an entrypoint invite token,0.6506696,core: Fix a rare panic when generating an invite token. [GH-3505],Update gateway.yml,0
161,pipe logs through,0.6168648,  waypoint pipeline run. [GH-4319],Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
162,update server proto again,0.62902796,Upgrade command for all server platforms:,Wayp 751 UI list pipelines implementation,0
163,Doc formatting.,0.5423237,"properly formatted, similar to terraform fmt -check. [GH-4020]",Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
164,internal/config2: set defaults,0.58799005,config: Specify configuration that is scoped to deployments in certain workspaces,,0
165,"internal/ceb: add logic to start and stream exec, theoretically",0.5615401,cli: Introduce new CLI flag -reattach for waypoint pipeline run which will stream,Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
166,auto-updated pkg/server/gen/bindata_ui.go from commit 2c5e12c9b,0.6097006,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],,0
167,internal/server: initial reattach serverside logic and happy test,0.6042688,server: Adds API validation to ensure server doesn't panic when given an empty,,0
168,Update to use Ref instead of trigger or id,0.53710914,"plugin/tfc: Fix HCL field, refresh_interval [GH-3524]",,0
169,auto-updated internal/server/gen/bindata_ui.go from commit 1bf87242c,0.58007145,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
170,build(deps): bump tmpl from 1.0.4 to 1.0.5 in /ui,0.52989393,entrypoint: dump a memory profile to /tmp on SIGUSR1 [GH-1194],,0
171,Upgrading waypoint-plugin-sdk,0.5913,Use server upgrade to upgrade the Waypoint server for the,Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
172,Merge pull request #2287 from hashicorp/babel-ignore-lib,0.54102826,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
173,internal/core: ensure variables is initialized,0.59362286,core: default releasers initialize properly when they use HCL variables [GH-1254],,0
174,autogen website,0.42239916,pod autoscaler for each deployment. [GH-2309],Co-authored-by: Jamie White jamie@jgwhite.co.uk Co-authored-by: Brian Cain bcain@hashicorp.com,0
175,Update filter check for order option,0.5421876,cli: Use values from filter flags when listing deployments and releases [GH-2672],,0
176,Docker and k8s plugins filling DeclaredResourcesResp with ResourceManager,0.6798485,plugin/k8s: Update K8s Releaser to use SDK Resource Manager [GH-1938],,0
177,Add instructions to remove Waypoint Server,0.7814472,Use server uninstall to remove the Waypoint server and artifacts from the,Co-authored-by: Jamie White jamie@jgwhite.co.uk,1
178,internal/core: some enum changes,0.44490868,core: configdynamic has been renamed to dynamic. The existing function,,0
179,internal/server: proto changes,0.56485355,serverinstall/ecs: Improve server upgrade process by stopping task and reducing,ui: clean-up project.current when leaving project route,0
180,Merge pull request #1664 from hashicorp/maint/remove-ssh-key-from-build,0.4767986,plugin/docker: Support SSH hosts for entrypoint injection [GH-2277],,0
181,Makefile: Add gen/changelog make target,0.55934703,cli: New waypoint fmt command will autoformat your waypoint.hcl files [GH-1037],,0
182,internal/runner: send information back in PollResult,0.5310425,cli: Set runner poll interval default for runner defined in waypoint.hcl [GH-1690],ui: only show health-check “Re-run” button if project has a data source,0
183,"rm ambitious changes, add resource aggregation",0.54499125,where a deployment updates an existing resource rather than creating something,Closes #4538 Co-authored-by: Andrew Hwang andrew.hwang@hashicorp.com,0
