Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
35,Corrects an issue where some text entry dialogs would fail to display; closes #5066.,0.5284593,Redesign a large number of dialogs,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
36,Changed the version number in winstall.iss to 0.5.1 ; this updates the Shotwell 0.5.1 release image.,0.47796002,Photos 0.2.5 is out!,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
37,Fixed #3108 (ubuntu 10.10 ppa shotwell binary deb depends on libraw-dev).,0.33740446,Fix keyboard activation in tool windows,,0
38,Fixed #4832 (assertions publishing video to Facebook: `GTK_IS_LIST_STORE,0.4485821,Photos 0.2.5 is out!,,0
39,Moved Clinton to top section of THANKS file.,0.22826585,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pt/,0
40,"Lots of changes working toward events, including some database work.",0.46416187,Redesign a large number of dialogs,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/zh_Hans/,0
41,Add ../plugins to po/CMakeLists.txt,0.41651255,* Use Gtk.FileChooserNative throughout,  Fix empty Open with context submenus   Set pixel-size ,0
42,This is the Shotwell 0.6.91 release image.,0.59027994,Photos 2.6.3 is out!,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
43,MedaMetadata: Remove unused methods (#605),0.35228807,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 0.1% (1 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ckb/,0
44,Crop code refactored into its own class of abstract type.  This allows PhotoPage to host more tools in the future via an abstract interface.  #456: THANKS file added.,0.51964664,Redesigned Photo Viewer icon,Currently translated at 46.9% (23 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/hu/,0
45,"Remove ""Rating"" label from search bar",0.36992544,Fix pasting in comment box,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
46,Changed settings button to use standard eOS popover (#659),0.5047599,Redesigned Photo Viewer icon,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
47,Flatpak: Use elementary Runtime and Sdk (#618),0.31529322,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ca/,0
48,Updated Lithuanian translation.,0.70071566,* Updated translations,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ca/,1
49,"Updated Estonian, Italian, and Portuguese translations.",0.7019944,* Updated translations,Currently translated at 95.9% (47 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt/,1
50,This adds schema version numbers to the warning dialog when attempting to use Shotwell on a newer database.  This could help with debugging problems.,0.40287971,Redesign a large number of dialogs,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
51,"Handles the case in which an F-Spot database can become deformed whereby fields become null that should never be null, since F-Spot's developers never set NOT NULL constraints on these rows in their SQL DDL code. Improves handling of cases where F-Spot backing photos are unavailable. Closes #4487.",0.26601171,Fix a possible crash with invalid date and time info,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/he/,0
52,Ensures that the menu wrapping changes made in the last commit only occur on systems without appmenu.,0.47266036,Make sure we show the right apps in the Open In menu,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/de/,0
53,Changes implementation of the ReparentTagCommand such that it now properly handles merge operations involving top-level tags. Closes #4127 and #4128.,0.4334628,Redesign a large number of dialogs,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
54,Fixes a critical publishing bug. Closes #3471.,0.59194136,The list of issues closed by this release can be found here.,Currently translated at 99.7% (776 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
55,Use granite debugging/logging instead of custom class (#194),0.4618331,* Use Granite.MessageDialog throughout,Currently translated at 97.9% (48 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
56,Don't remove timeouts that don't exist anymore (#185),0.42915887,Fix a possible crash with invalid date and time info,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/fr/,0
57,3400 search keyword behavior on event and camera import pages,0.50394535,Avoid a crash when importing videos,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pl/,0
58,2308: Now marking photos missing on the fly (when they double-click on it).,0.6055806,Photos 0.2.5 is out!,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pl/,0
59,"Patch removes nearly all the deprecated widget warnings, closes #4724.",0.53869355,The list of issues closed by this release can be found here.,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_GB/,0
60,shotwell 0.10 release,0.41266018,Photos 0.2.5 is out!,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/uk/,0
61,fixes #1056: hiding ellipsis,0.34159866,* Fix building against latest gexiv2,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
62,Migrates the extended info window away from a table and into a grid as required by #5838.,0.5034133,Add checkerboard behind semi-transparent photos in grid view,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
63,"Enables the use of the 0, 1, and 2 keys as hotkeys that snap the image zoom level to min, isomorphic, and max, respectively, in full-window, full-screen, and direct-edit modes. Closes #1706.",0.4879279,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/en_GB/,0
64,Branching to complete 0.3.0 tickets.  Trunk now code repository for 0.4.0.,0.4085517,Photos 0.2.5 is out!,,0
65,Removes old preferences dialog from shotwell.glade and removes the code from Dialogs.vala,0.5066334,Redesign a large number of dialogs,,0
66,Fixed an issue with the updated Slovenian translation that caused msgfmt to yarf.,0.49981824,* Updated translations,,0
67,Changes viewport styling in the PhotoPage. Closes #4319.,0.66160357,Redesigned Photo Viewer icon,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/hu/,0
68,1518: Duplicate after hide results in assertion fixed; problem due to order of notifications being propagated,0.2674825,* Fix building against latest gexiv2,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/he/,0
69,"Better handling of linking to libraw in the Makefile (specifically for Vala build bot).  Also, gudev #define ",0.36302495,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fr/,0
70,Updated Danish translation.,0.70701134,* Updated translations,Currently translated at 47.8% (22 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/hu/,1
71,"Updated German, Italian, and Swedish translations. Added Slovak translation. Changed THANKS file and Makefile to reflect new languages and contributors.",0.66417646,* Updated translations,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/tr/,0
72,LibraryWindow: Use settings bindings for sidebar positions (#421),0.57473004,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
73,Release 0.2.4,0.57923436,Photos 2.6.2 is out!,,0
74,"Proposed patch would show the filesize of the master raw, rather than the development, in extended info; closes #6407.",0.41815656,The list of issues closed by this release can be found here.,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
75,"Closes #4515, allows empty tags to persist.",0.37825873,The list of issues closed by this release can be found here.,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
76,2606 fullscreen toolbar fix,0.5913527,Fix keyboard activation in tool windows,,0
77,3591 fixes direct-edit mode,0.44782388,Fix keyboard activation in tool windows,"  Add Copy Image context menu option (and keyboard shortcut)   Make linter happy   Implement multi-format copy (single image)   Send metadata when requested for text   Implement copying underlying file   Change menu label to ""Copy""   Implement copy metadata and copy multiple image uris.   Co-authored-by: TheGag96 thegag96@gmail.com Co-authored-by: Fabio Zaramella fabiozaramella@users.noreply.github.com Co-authored-by: Ryan Kornheisl ryan@skarva.tech",0
78,Bug: Need a TransformablePhoto.has_transformation() to deal with a null transformations map.,0.33375314,* Updated translations,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
79,3663 Simplified tag and search sidebar context menues,0.5885191,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 98.7% (763 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fi/,0
80,Precaches the exposure time of Photo objects in order to speed up certain operations with them. Partial fix for ref #979.,0.42641598,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/mr/,0
81,PublishingUI: No Glade UI files (#386),0.37041098,photos 2.6.5 is out! ,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ko/,0
82,Corrects a problem where extended info wouldn't display for videos; ref #6887.,0.55759025,Avoid a crash when importing videos,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ko/,0
83,PageWindow: initialize the UIManager in the construct block (#405),0.42399207,Add Open In menu to the photo viewer,Currently translated at 97.8% (756 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ko/,0
84,Replace deprecated Gtk.Stock.CANCEL and Gtk.Stock.OK with translatable strings,0.5746243,* Use Gtk.FileChooserNative throughout,Currently translated at 96.8% (749 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ko/,0
85,Updated English (Great Britain) translation.,0.69464815,* Updated translations,Currently translated at 63.0% (29 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ko/,0
86,"Closes #4857, stops us from inappropriately removing empty tags (and occasionally crashing) when undoing certain tag operations.",0.43208146,The list of issues closed by this release can be found here.,Currently translated at 95.9% (742 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ko/,0
87,2986: WMV video support.  Courtesy Jani Monoses.,0.4951772,Avoid a crash when importing videos,Currently translated at 95.4% (738 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ko/,0
88,Fixed a null deref.,0.33151358,Fix a possible crash with invalid date and time info,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
89,Proposed patch would ensure key commands get propagated from full-screen mode to other parts of the app correctly; closes #3883.,0.3769377,Fix keyboard activation in tool windows,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
90,"2158, #2159: Windows dialogs display and function correctly",0.5025948,Fix keyboard activation in tool windows,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pl/,0
91,Now require Vala 0.7.7 to compile.,0.32752964,Translation updates,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/fr/,0
92,3366: owned keyword is causing a Pixbuf memory leak w/ 0.11.7.  Fixed.,0.4067583,Fix keyboard activation in tool windows,Currently translated at 80.4% (37 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/tr/,0
93,moves search button to headerbar,0.60515004,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/hu/,0
94,Fixed errors in Slovenian translation.,0.46530497,* Updated translations,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ca/,0
95,Updates supported MIME types across source and desktop files to reflect the addition of RAW and PNG support; closes #1882.,0.38263053,The list of issues closed by this release can be found here.,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/he/,0
96,Updated French and Portuguese translations.,0.73218155,* Updated translations,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_GB/,1
97,"Fixes #4151, tells the error pane to wrap its text properly.",0.3572219,Fix pasting in comment box,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/uk/,0
98,Ports the Facebook connector to the new publishing API. Includes refinements to the publishing API to support the ported Facebook connector as well as the soon-to-be-ported Picasa connector.,0.34112713,Add Open In menu to the photo viewer,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
99,TransformablePhoto -> Photo,0.5709559,Add checkerboard behind semi-transparent photos in grid view,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
100,1151: Generate events continuously during import,0.40444446,Avoid a crash when importing videos,,0
101,4063 opening a raw photo in single photo mode executes an undoable command,0.5311581,Add Open In menu to the photo viewer,,0
102,Allows the user to resize the publishing dialog during interaction phases where resizing is applicable. Closes #1923.,0.5532879,Redesign a large number of dialogs,Currently translated at 97.6% (755 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nb/,0
103,This is the 0.5.90 release image.,0.6335453,Photos 0.2.5 is out!,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pt/,0
104,259: Database versioning.  Also some long-needed refactoring of database code.,0.4504407,* Updated translations,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt/,0
105,Prevents the application from crashing with a SIGSEGV on exit; closes #5701.,0.42093167,The list of issues closed by this release can be found here.,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/mr/,0
106,3842 orientation fixes for direct mode,0.454396,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 99.6% (770 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/mr/,0
107,changed selection color.,0.40607998,Redesigned Photo Viewer icon,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/he/,0
108,changed hardcoded strings to resource const,0.3012918,Translation updates,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_GB/,0
109,Copy image (#701),0.67690074,New actions to copy image or metadata to clipboard,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
110,Merge from 0.4 branch into trunk.,0.3184201,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pl/,0
111,Merging with trunk,0.32601407,* Use Gtk.FileChooserNative throughout,Currently translated at 99.4% (769 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/mr/,0
112,73: Hide/Unhide photos implemented.,0.5515424,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/fr/,0
113,turns out that multiline code is unused,0.38943478,Redesign a large number of dialogs,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ca/,0
114,Adds a Keywords entry to the desktop integration file template. Closes #5550.,0.4172259,Redesign a large number of dialogs,Currently translated at 100.0% (46 of 46 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/uk/,0
115,I removed the startup message,0.3789752,Redesigned app icon,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
116,Merge commit.,0.23192114,Translation updates,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
117,Updates POT files in the wake of the Shotwell 0.14 string freeze to prepare for the upcoming release.,0.42492002,The list of issues closed by this release can be found here.,,0
118,"Evens out the zoom scale such that each tick corresponds to multiplying the zoom level by a constant, adaptive factor. Closes #1943.",0.31122342,Add checkerboard behind semi-transparent photos in grid view,,0
119,Page.vala: GObject style (#308),0.39562643,* Use Granite.MessageDialog throughout,,0
120,Port sort order settings to native GSettings  (#209),0.44625178,* Use Gtk.FileChooserNative throughout,,0
121,change translation url,0.6766451,Translation updates,Currently translated at 100.0% (45 of 45 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
122,Resources: Clean up unused constants (#423),0.26404938,* Updated translations,,0
123,Removed debug message from GConf -> gsettings conversion that was printing at each execution.,0.39444077,* Fix building against latest gexiv2,Currently translated at 95.5% (43 of 45 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
124,Search entry,0.2907482,Draw selection rectangle when dragging to select,Currently translated at 100.0% (45 of 45 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/cs/,0
125,Enables upload of titles & tags to Picasa Web Albums; closes part of #1326.,0.49949554,Show image titles in preview mode,Currently translated at 100.0% (45 of 45 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
126,Improper French date format in sidebar: Closes #6939,0.34302723,Fix a possible crash with invalid date and time info,,0
127,3755 crash while deleting last photo in fullscreen mode,0.5125006,Photos 0.2.5 is out!,Currently translated at 46.6% (21 of 45 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/hu/,0
128,Copy and paste color adjustments: Closes #2517,0.42604822,New actions to copy image or metadata to clipboard,Currently translated at 100.0% (45 of 45 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/fr/,0
