Index,Message,Description
38,split MS SQL Managed Instance into its own package for testing (#21536),  split MS SQL Managed Instance into its own package for testing   fix service name   split create update 
39,Update for #21542,
40,azurerm_firewall_policy_rule_collection_group - support ip range for addresses (#21542),
41,document - update azurerm_virtual_machine_extension document to use new vm resoure (#21544),
42,document - update azurerm_virtual_machine_extension document to use new vm resoure (#21544),
43,Update for #21310,
44,New Resource: azurerm_kubernetes_cluster_extension and azurerm_arc_kubernetes_cluster_extension (#21310),  add code   add plan   add hybrid   add code   add code   add code   update doc   add code   fix lint   split resource   split resource   add code   resolve comments 0415   fix build   resolve comments   resolve comments   fix unit test   fix lint   add provider   resolve comments   goimports 
45,[Enhancement:] azurerm_cosmosdb_account - update the default_identity_type error message for UserAssignedIdentity (#21513),Co-authored-by: kt kt@katbyte.me
46,Update CHANGELOG.md #21531,
47,azurerm_security_center_subscription_pricing: Upgrade to API 2023-01-01 (#21531),
48,Update for #21528,
49,r/attestation_provider: the policy field should be optional,
50,costmanagement - support TheLast7Days for export time_frame (#21528),
51,Update for #21516,
52,azurerm_kubernetes_cluster - service_mesh_profile added (#21516),  azurerm_kubernetes_cluster - service_mesh_profile added   Fix lint/fmt   Add preview note to docs   Add lifecycle test   Fix lifecycle test   Make code a bit more readable   Default value and validation updated   Oops.. 
53,typo,
54,r/attestation_provider: adding validation for the new policy_base64 fields,
55,website: renaming the attestation docs to match the resource label,
56,r/attestation_provider: refactoring the policy field into disparate fields,This is an unfortunate but intentional breaking change - needed since the policy field doesn't accurately map the API behaviour.
57,refactor: building the Attestation Data Plane client only when it's needed,
58,Update for #21432,
59,Data Source: azurerm_virtual_network_gateway - support new property private_ip_address (#21432),  azurerm_virtual_network_gateway - support new property private_ip_address_id   update code   update code 
60,Merge pull request #21519 from hashicorp/auto-pr/82320d2c,Auto PR: Regenerating based on (c014cac3aadf1d6980ef998bf1c976668b0f3ab7)
61,test - fix edge_zone tests in compute/network (#21515),
62,Updating based on 82320d2c,
63,Update CHANGELOG.md for #21477,
64,New Resource : azurerm_storage_mover_project (#21477),
65,data.azurerm_mssql_database - Fix testcase TestAccDataSourceMsSqlDatabase_complete failing (#21503),
66,v3.53.0,
67,Update CHANGELOG.md,
68,"azurerm_media_transform - support for builtin_preset.preset_configuration, experimental_options, face_detector_preset.face_redactor_mode, face_detector_preset.blur_type,and custom_preset properties (#21279)",
69,Update CHANGELOG.md #20972,
70,azurerm_attestation_provider - support policy management (#20972),
71,Docs: add a note to azure_firewall document about multiple public ip address (#21387),Co-authored-by: kt kt@katbyte.me
72,Update CHANGELOG.md #21501,
73,azurerm_postgresql_flexible_server - use set method for point_in_time_restore_time_in_utc (#21501),
74,Update CHANGELOG.md for #21449,
75,New Resource : azurerm_storage_mover_target_endpoint and azurerm_storage_mover_source_endpoint  (#21449),
76,Update CHANGELOG.md for #21474,
77,azurerm_cdn_endpoint - Remove the length limit of the query_string (#21474),
78,Update CHANGELOG.md for #21494,
79,azurerm_signalr_service - expand valid values for sku.0.capacity (#21494),
80,Merge pull request #21495 from hashicorp/auto-pr/cbf6f979,Auto PR: Regenerating based on (7a128385488a1274724cdd1dd6794bb4b1ffc256)
81,Updating based on cbf6f979,
82,CI - update test sub for web (#21491),
83,Update for #21325,
84,azurerm_subscription_cost_management_scheduled_action - New resource (#21325),  azurerm_subscription_cost_management_scheduled_action - New resource   Importtest   Docs   Extend updatetest and extra frequency fields added   Remove random dot   Co-authored-by: stephybun steph@hashicorp.com  Improve view_name description  Co-authored-by: stephybun steph@hashicorp.com  Improve email_addresses description  Co-authored-by: stephybun steph@hashicorp.com  Condensing  Co-authored-by: stephybun steph@hashicorp.com  Condensing some more..  Co-authored-by: stephybun steph@hashicorp.com   TypeList fixes   Improve readability   Refactor view_name to view_id   Use view scope for general scope of scheduled action   Refactor base resource into scheduled action   Docs refactored   Remove unused generated ID    Co-authored-by: stephybun steph@hashicorp.com
85,Update for #21273,
86,New Resource : azurerm_storage_mover_agent (#21273),  fix issue 21363   support new resource azurerm_storage_mover_agent   update code   update code   updat code   update code   update code 
87,Fix typo - change from seconds to milliseconds (#21488),
88,Update CHANGELOG.md - fix insertions,
89,Update CHANGELOG.md for #20471,
90,"azurerm_windows_web_app,azurerm_windows_web_app_slot, azurerm_windows_function_app, azurerm_windows_function_app_slot, azurerm_linux_web_app,azurerm_linux_web_app_slot, azurerm_linux_function_app, azurerm_linux_function_app_slot - add hosting_environment_id property (#20471)",
91,updating to include #21459,
92,Merge pull request #21459 from hashicorp/f/updating-hpccache-to-2023-01-01,hpccache: updating to API Version 2023-01-01
93,fix: updated  attribute to reflect actual property (#21484),
94,Update for #21458 and #21469,
95,Update CHANGELOG.md for #21420,
96,Add PHP 8.2 application_stack support for linux_web_app (#21420),
97,CI - use new sub for appservice tests (#21482),
98,Documentation: update service_endpoints description in subnet doc (#21342),  update service_endpoints docs   update wording in note   Co-authored-by: jackofallops 11830746+jackofallops@users.noreply.github.com  Co-authored-by: stephybun steph@hashicorp.com Co-authored-by: jackofallops 11830746+jackofallops@users.noreply.github.com
99,mark search keys sensitive (#21469),  mark search keys sensitive   mark search_service key sensitive   make fmt    Co-authored-by: Steph steph@hashicorp.com
100,vmware: consolidating on/updating to API Version 2022-05-01 (#21458),  vendor: updating vmware to 2022-05-01   vmware: updating to API Version 2022-05-01   vmware: breaking changes in API version 2022-05-01 
101,refactor: updating the Compute Tests to use the VirtualMachinesClient from hashicorp/go-azure-sdk rather than Azure/azure-sdk-for-go (#21436),
102,update document for azurerm_backup_protected_vm (#21475),Signed-off-by: ziyeqf 51212351+ziyeqf@users.noreply.github.com
103,docs: grammar fix for key vault data (#21465),
104,Update CHANGELOG.md for #21446,
105,azurerm_monitor_metric_alert - fix crash when dynamic_criteria.0.ignore_data_before isn't set (#21446),
106,"Docs : Clarify one of account_key,shared_access_signature  of resource azurerm_machine_learning_datastore_blobstorage must be specified (#21451)",  fix issue 21363   fix issue 21443 
107,"docs: remove extra ',' (#21462)",
108,Merge pull request #21456 from hashicorp/b/issues-should-not-be-pre-tagged,issue template: Bug Report issues shouldn't be pre-tagged
109,hpccache: updating to API Version 2023-01-01,
110,vendor: updating hpccache to API Version 2023-01-01,
111,issue template: Bug Report issues shouldn't be pre-tagged,"A number of the issues that come in are pre-tagged as bug, when these can be questions or configuration issues - meaning that the bug filter becomes less accurate."
112,Update CHANGELOG.md for #21327,
113,healthcare: swap to hashicorp/go-azure-sdk (#21327),
114,Update for #21321 and #21405,
115,refactor: updating logz to use github.com/hashicorp/go-azure-sdk (#21321),  r/logz_monitor: refactoring to use go-azure-sdk   r/logz_tag_rule: refactoring to use go-azure-sdk   r/logz_sub_account: refactoring to use go-azure-sdk   r/logz_sub_account_tag_rule: refactoring to use hashicorp/go-azure-sdk   go mod tidy/go mod vendor   r/logz_monitor: using the value for user from the state   r/logz_sub_account: properties.UserInfo isn't returned from the API   Tracked in https://github.com/Azure/azure-rest-api-specs/issues/23461#issuecomment-1510728888
116,azurerm_container_app: Update documentation to correct memory values (#21438),
117,Orbital resources: bump API version from 2022-03-01 to 2022-11-01 (#21405),  Orbital resources: Change API version from 2022-03-01 to 2022-11-01   Fix incorrect error 
118,Add note and example code for azurerm_app_configuration_feature resource (#21430),
119,azurerm_synapse_workspace_key - fix failed tests (#21433),
120,"Fix Acctest failure due to lack of key permission for Eventhub and servicebus, azurerm_eventhub_cluster - modify error messsage (#20924)",  fix key policy permission for eventhub and servicebus   update cluster deletion check   change the error to match the error code 
121,Merge pull request #21421 from hashicorp/r/legacy-vmss-migration,refactor: moving the Legacy VMSS state migration into that package
122,Center last col in docs...,
123,Fix spacing in said doc table...,
124,Added Setting API Access Control section to docs,
125,Update CHANGELOG.md for #21307,
126,advisor: refactoring to use hashicorp/go-azure-sdk (#21307),
127,Update CHANGELOG.md for #21303,
128,HPCCache: Refactor to use hashicorp/go-azure-sdk (#21303),
129,adding waiting-response on build failure and update issue labeler (#21413),
130,Tooling - Re-enable tfproviderlint job and fix-up all violations (#21422),
131,Updating based on 08218068 (#21423),Co-authored-by: hc-github-team-tf-azure <>
132,refactor: moving the Legacy VMSS state migration into that package,
133,Update to docs...,
134,v3.52.0,
135,Update CHANGELOG.md,
136,azurerm_healthbot - use LRO operation for bots update (#20663),
137,More test tweaks...,
138,Fix some test cases...,
139,Update CHANGELOG.md #21336,
140,data.azurerm_key_vault_secret - support specifying the keyvault secret version (#21336),
141,azurerm_monitor_action_rule_{action_group|suppression} - deprecate in favour of  azurerm_monitor_alert_processing_rule_{action_group|suppression} (#21364),
142,Address PR comments...,
143,azurerm_monitor_data_collection_rule - doc: fix example (#21412),
144,Update CHANGELOG.md for #21403,
145,azurerm_cdn_endpoint.global_delivery_rule - at least one action must now be specified (#21403),
146,update for #21255,
147,azurerm_subscription - Fix error for subscription update (#21255),
148,update for #21392,
149,refactor: updating monitor to use hashicorp/go-azure-sdk (#21392),
150,Update for #21394,
151,dashboard_grafana_resource: add support for UserAssigned identity (#21394),
152,update for #21393,
153,app_service - mark site_credential block as Sensitive (#21393),
154,Check-in progress...,
155,update for #21359,
156,Data source: azurerm_keyvault_secret - support not_before_date and expiration_date (#21359),
157,dependencies: bump go-azure-sdk to v0.20230412.1005112 (#21391),  bump go-azure-sdk to v0.20230412.1005112   move services over to new base layer   goimports   configure auth for sdk clients 
158,azurerm_web_app_hybrid_connection azurerm_app_hybrid_connection - update auth rule id subscription (#20764),
159,Update functions names...,
160,Check-in progress...,
161,"Update for #21314, #21337, #21379, #21370, #21315",
162,azurerm_kubernetes_cluster - set value of enable_host_encryption on default_node_pool when resizing (#21379),  set value of host encryption on node pool when resizing   add preview note for enable_host_encryption 
163,azurerm_signalr_service - fix resource update issue (#21270),  fix resource update issue and change log update logic   Moving kubernetes fleet manager from containers to container category for consistency (#21309)   Removing containers to use container for consistency   Moving from containers to container category for consistency   update log property update   fix resource update issue and change log update logic   update log property update   regenerate   sync    Co-authored-by: Will Dewhurst 34936646+dewhurstwill@users.noreply.github.com
164,azurerm_key_vault_certificate: expose arm resource id  (#21314),"  export arm id   expose keyvault certificate arm style id, just as secret   rename resource id field name   update kv certificate document "
165,azurerm_app_configuration_{key|feature} - prelong wait time for the role permission to be done propagated (#21337),  fix role permission to be done propagated   fix comment   fix 
166,update for #21381,
167,azurerm_[linux|windows]_[function|web]_app[_slot] - Fix another nilpointer for auth_v2 (#21381),
168,update for #21362,
169,azurerm_storage_account_local_user - Supports updating ssh_authorized_key (#21362),
170,Update CHANGELOG.md for #21344,
171,RecoveryServices - swap to hashicorp/go-azure-sdk (#21344),
172,Update for #21371,
173,azurerm_service_plan - New SKUs (#21371),Co-authored-by: jackofallops 11830746+jackofallops@users.noreply.github.com
174,update appservice and web TC days and location to avoid conflicts and… (#21374),
175,azurerm_app_service_connection: fix failing acc tests (#20643),  azurerm_app_service_connection: fix failing acc tests   Update documentation   Fix terrafmt   update doc   Fix docs   Add note to authentication doc 
176,add missing cert permissions for test (#21372),
177,fix issue 21363 (#21370),
178,fix TestAccMediaStreamingEndpoint_shouldStopWhenStarted (#21335),
179,azurerm_sentinel: fix acctest (#21329),
180,azurerm_monitor_data_collection_rule - fix data source failed test case (#21330),  fix dcr data source test   remove unrelated docs 
181,fix TestAccMonitorActivityLogAlert_ServiceHealth* (#21331),
182,azurerm_automation_software_update_configuration: fix panic issue (#21311),  fix panic issue   add unit test for task in software update configuration   update software udpate configuration markdown example with tasks   terrafmt doc 
183,containerregistry - swap to hashicorp/go-azure-sdk (#21315),  swap container registry resources over   enable admin account for token password acc tests   remove unused validate and parse functions   fix task schedule run tests   remove azure sdk 
184,Fix example for creating NGINX Certificate resource (#21349)," Fix example for creating NGINX Certificate resource  NGINXaaS accepts the secret ID of an AKV certificate and the AKV certificate is a complex object which is made of AKV secret and key. The example here states that the user can just reference the secret ID from the AKV secret resource but the user workflow is a little different. The user will first create an AKV certificate using terraform (NOT a secret), and then reference the secret ID attribute of the certificate resource. The code snippet shows how to create an AKV cert and then reference it while creating an NGINX certificate which accurately represents the Azure user workflow.  Update test to reflect the correct cert creation workflow"
185,Updating based on 804a148f (#21347),Co-authored-by: hc-github-team-tf-azure <>
186,fix issue 21298 (#21332),
187,Update Docs...,
188,Update docs...,
189,Checking-in progress...,
190,Checking-in progress...,
191,v3.51.0,
192,Update CHANGELOG.md,
193,Update CHANGELOG.md #21112,
194,azurerm_[subscription|resource_group]_cost_management_view - New resources (#21317),
195,azurerm_iotcentral_application - add state upgrade for sdk update (#21319),
196,Update documentation...,
197,Initial Check-in...,
198,"Update for #21221, #21312 and #15401",
199,Updating based on a1844e9f (#21316),Co-authored-by: hc-github-team-tf-azure <>
200,New Resource: azurerm_arc_kubernetes_cluster (#15401),  add code   rename Kubernetes to HybridKubernetes   update markdown   fix comments   update   auto run test by remote-exec provision   add code   resolve comments   resolve comments   resolve comments   tweak arc kubernetes note on docs    Co-authored-by: Steph steph@hashicorp.com
201,azurerm_api_management - Restore request does not need to handle the response which does not have (#21221),  handle restore call response   add comment to link to issue    Co-authored-by: xuzhang3  Co-authored-by: Steph steph@hashicorp.com
202,bump go-azure-sdk to v0.20230405.1143248 (#21312),
203,Update for #21145,
204,Cleanup user-facing error regarding ACR SKU revert (#21286),Simply some aesthetic changes to the alert message that shows up when you try to change a premium ACR SKU to a Basic that has existing network rules.
205,azurerm_web_pubsub_hub - add event_listener property (#21145),  update   update   update   update code   update user event type   update docs   change property type   update docs 
206,updating to include #21250,
207,Including #21250,  Initial Check-in...   Fix lint errors...   Add validation and refactor code base...   Fix lint error...   Remove unused meta...   Remove code changes... 
208,updating to include #21285,
209,Merge pull request #21285 from hashicorp/dependencies/go-azure-sdk,dependencies: updating to v0.20230404.1155830 of github.com/hashicorp/go-azure-sdk
210,dependencies: updating to v0.20230404.1155830 of github.com/hashicorp/go-azure-sdk,
211,Update for #21159 and #21229,
212,"azurerm_monitor_data_collection_rule - support for data_collection_endpoint_id, identity, stream_declaration,  data_flow transform and more destinations and data_sources  (#21159)","  add schema   add schema   add expand flatten test   add doc and fix test   support for event_hub_direct, storage_blob_direct, storage_table_direct   fix doc   use flattened typeSet for maps "
213,Data Source kubernetes_cluster - support for using the data source with limited permissions (#21229),  azurerm_kubernetes_cluster: ensuring that kube_admin_config and kube_admin_config_raw always get a value   d/kubernetes_cluster: support a graceful degredation of permissions for the cluster kubernetes credentials 
214,Updating based on 3836a71f (#21282),Co-authored-by: hc-github-team-tf-azure <>
215,Update #21252,
216,azurerm_app_configuration_feature - support key property (#21252),  support customizable key   fix docs   Signed-off-by: Tao 104055472+teowa@users.noreply.github.com  Signed-off-by: Tao 104055472+teowa@users.noreply.github.com
217,azurerm_orchestrated_virtual_machine_scale_set - direct to correct expand (#21247),
218,azurerm_[windows|linux]_virtual_machine - remove set condition for ultra ssd iops and mbps (#21248),
219,Subsection title changed from bug requests to feature requests (#21265),Signed-off-by: Amresh Hanoeman 20923769+amreshh@users.noreply.github.com
220,update sku in tests (#21276),
221,revert fix applied to maintenance window order 21190 (#21275),
222,Update for #21256 and remove #21190,
223,containerservice - upgrade sdk to 2023-02-02-preview (#21256),  upgrade containerservice to 2023-02-02-preview   upgrade containerservice to 2023-02-02-preview   remove Paid value for sku_tier since AKS API returns an error   upgrade containerservice to 2023-02-02-preview   remove Paid value for sku_tier since AKS API returns an error   do not set ebpf_data_plane if NetworkDataplane value is azure   remove Paid as a valid value for sku_tier   add provider version to note in docs   Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com  Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com
224,Update for #21243,
225,Fix dependency parse of azurerm_kusto_cluster.id (#21243),  Fix dependency parse of azurerm_kusto_cluster.id   move normalize inline   simplify code 
226,Update CHANGELOG.md for #21268,
227,azurerm_mssql_database - fix issue with short_term_retention_policy preventing creation (#21268),
228,azurerm_batch_account - update document on property storage_account_authentication_mode (#21227),  update document for azurerm_batch_account   update document   update document   Update website/docs/r/monitor_action_group.html.markdown   Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com  Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com
229,Update for #21263,
230,azurerm_snapshot - support incremental_enabled (#21263),
231,Updating based on b89c7659 (#21262),Co-authored-by: hc-github-team-tf-azure <>
232,Update for #21254,
233,azurerm_automation_software_update_configuration: add default definition in software update (#21254),  add default definition in software update   update schedule timezone as Etc/UTC 
234,cleaning up #21234,
235,Update CHANGELOG.md #21190,
236,azurerm_kubernetes_cluster: Fix maintenance window order (#21190),
237,Update CHANGELOG.md #21238,
238,r/application_gateway: validating that firewall_policy_id references the AppGateway Web Application Firewall Policy ID and not the FrontDoor Policy ID (#21238),
239,azurerm_kusto_cluster_customer_managed_key - add state migration for sdk upgrade (#21245),
240,Update CHANGELOG.md #20567,
241,Update CHANGELOG.md #20567,
242,Made the app_port property in the dapr block of the azurerm_container_app resource optional (#20567),Co-authored-by: jackofallops 11830746+jackofallops@users.noreply.github.com
243,Update CHANGELOG.md #21000,
244,New Resource : azurerm_storage_mover (#21000),Co-authored-by: kt kt@katbyte.me
245,Update CHANGELOG.md #21032,
246,azurerm_signalr_service - add http_request_logs_enabled property (#21032),
247,azurerm_postgresql_flexible_server: fix the logic in update (#20929),
248,[Fix] - azurerm_redis_cache - Remove redis_version 4 support (#20977),Co-authored-by: xuzhang3 
249,Update CHANGELOG.md #21111,
250,New Resource : azurerm_voice_services_communications_gateway_test_line (#21111),
251,Update CHANGELOG.md #21112,
252,New Resource - azurerm_signalr_service_custom_certificate (#21112),
253,Update CHANGELOG.md #21132,
254,azurerm_express_route_circuit- can now set authorization_key during creation (#21132),Co-authored-by: xuzhang3 
255,parse HybridConnectionID insensitively in Read (#21204),
256,Update CHANGELOG.md for #21176,
257,azurerm_kubernetes_cluster[_node_pool] - Add KataMshvVmIsolation as workload_runtime option (#21176),
258,azurerm_monitor_scheduled_query_rules_alert_v2 - docs: change evaluation_frequency to Required (#21211),
259,Update CHANGELOG.md for #21234,
260,Batch data plane: switching to use tombuildsstuff/kermit / updating to API Version 2022-01-01.15.0 (#21234),
261,Update CHANGELOG.md for #21222,
262,"azurerm_healthcare_fhir_service, azurerm_healthcare_service - Add support for PATCH as an available value for cors (#21222)",
263,Update CHANGELOG.md for #21235,
264,dependencies: updating to v0.20230331.1120327 of github.com/tombuildsstuff/kermit (#21235),
265,Update CHANGELOG.md for #21239,
266,dependencies: updating to v0.20230331.1143618 of github.com/hashicorp/go-azure-sdk (#21239),
267,Merge pull request #21237 from hashicorp/auto-pr/ea4b945d,Auto PR: Regenerating based on (05a62dd05c220dd6ab80eed97ff2dd05475ab1dd)
268,Updating based on ea4b945d,
269,Merge pull request #21228 from hashicorp/r/app-configuration-workaround-client,appconfiguration: documenting why the workaround sdk client is needed
270,updating to include #21208,
271,Merge pull request #21208 from teowa/fix_app_configuration_keys_ds,data source azurerm_app_configuration_keys - fix to use LinkWorkaroundDataPlaneClientWithEndpoint
272,appconfiguration: documenting why the workaround sdk client is needed,This allows us to determine when it's safe to remove these workarounds
273,Update for #21219,
274,azurerm_[linux|windows]_[function|web]_app[_slot] - Fix nilpointer auth_v2 again including test (#21219),
275,"BC-Detection - plug in DS rules, remove magic strings (#21217)",
276,Merge pull request #21215 from teowa/fix_media_ckp_docs_ex,azurerm_media_content_key_policy - docs: fix example config
277,Merge pull request #21213 from myc2h6o/vm_app_doc,document - fix vm gallery application count
278,fix media content key policy doc example,
279,document - fix vm gallery application count,
280,fix to use LinkWorkaroundDataPlaneClientWithEndpoint,
281,v3.50.0,
282,fix changelog,
283,Update CHANGELOG.md #21059,
284,azurerm_databricks_access_connector: add support for UAI (#21059),Co-authored-by: Jeffrey Cline 20408400+WodansSon@users.noreply.github.com Co-authored-by: kt kt@katbyte.me
285,Update CHANGELOG.md for #21199,
286,New DataSource: azurerm_container_app (#21199),
287,Update CHANGELOG.md for #21203,
288,azurem_monitor_scheduled_query_rules_alert - trigger.x.metric_column is now optional (#21203),
289,tooling - Introduce PR Schema breaking change detection (#21205),
290,updating to include #21191,
291,Merge pull request #21191 from hashicorp/application-gateway-ssl-cert-data-base64,azurerm_application_gateway - ssl_certificate.x.data must be a base64 string
292,Update website/docs/r/application_gateway.html.markdown,Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com
293,updating to include #21151,
294,Merge pull request #21151 from magodo/role_definition_increase_delete_check,azurerm_role_definition - Increase the continuous 404 counts on delete to tolerate propagation delay
295,Merge pull request #21193 from xiaxyi/hcMed/ehnEndpoint,azurerm_healthcare_medtech_service - fix eventhub namespace suffix trim issue
296,Merge pull request #21200 from hashicorp/auto-pr/a1038e71,Auto PR: Regenerating based on (782a5057fbe1b42d45f3cf33bac74cb8df099b98)
297,Updating based on a1038e71,
298,updating to include #21178,
299,Merge pull request #21178 from hashicorp/b/storage-account-ip-rule-validation,storage: fixing the validation for ip_rules to include the value in the error
300,Merge pull request #21189 from hashicorp/docs-web_pubsub_sku,Doc Fix - updating possible sku values for  web_pubsub.html.markdown
301,azurerm_cdn_profile -  remove akamai test cases due to support being retired (#21194),
302,Update for #18813,
303,azurerm_subscription - Replace Track1 with Pandora SDK (#18813),Co-authored-by: Tom Bamford tom@bamford.io Co-authored-by: jackofallops ste@hashicorp.com
304,fix eventhub namespace suffix issue,
305,ssl_certificate.x.data must be a base64 string,
306,Update CHANGELOG.md for #21166,
307,azurerm_mssql_database - HyperScale Skus now support long_term_retention_policy and short_term_retention_policy (#21166),
308,Update docs for web_pubsub,
309,Update CHANGELOG.md for #21114,
310,New Resource - azurerm_web_pubsub_custom_certificate (#21114),
311,Merge pull request #21052 from ziyeqf/tengzh/acctest/sentinel_2,azurerm_sentinel: fix acctests
312,updating to include #21170,
313,Merge pull request #21170 from neil-yechenwei/fixlalinkedservice1,azurerm_log_analytics_linked_service - fix the validation of workspace_id
314,r/storage_account_network_rules: validating ip_rules,
315,storage: highlighting the value used for validation when an error is surfaced,"This is used in a list, so being able to determine which value is helpful"
316,update code,
317,Merge pull request #21172 from myc2h6o/compute_test_fix,test - Fix TestAccWindowsVirtualMachineScaleSet_otherWinRMHTTPS
318,Update CHANGELOG for #21163,
319,fix iothub certificate updates (#21163),
320,Merge pull request #21174 from hashicorp/d_fix_field_export_txt,[Documentation:] Update legacy Attributes Reference exported fields text for consistency
321,Merge pull request #21158 from pie-r/PR-21157,Closes #21157
322,updating to include #21175,
323,Merge pull request #21175 from hashicorp/f/bump-go-azure-sdk-v0.20230329.1052505,dependencies: upgrade go-azure-sdk to v0.20230329.1052505
324,Round 2 of cleaning up the export text...,
325,upgrade go-azure-sdk to v0.20230329.1052505,
326,Initial Check-in...,
327,test - Fix TestAccWindowsVirtualMachineScaleSet_otherWinRMHTTPS,
328,azurerm_log_analytics_linked_service - fix the validation of workspace_id,
329,Update CHANGELOG.md #21125,
330,azurerm_web_application_firewall_policy: set match_values as optional (#21125),
331,azurerm_api_management - fix capacity of  primary location being changed by the capacity of additional_location issue (#21128),
332,Examples: Update the eventhub modules naming conventions (#21162),
333,Update CHANGELOG.md #21138,
334,azurerm_mssql_virtual_machine - fix nilpointer + sql_license_type optional (#21138),Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com
335,docs: improve sentence correctness,Signed-off-by: Pier 53210578+pie-r@users.noreply.github.com
336,updating to include #21155,
337,Merge pull request #21155 from sinbai/mssql/fix_issue_18374,azurerm_mssql_database - fix the value of max_size_gb overflow on 32-bit platform
338,Merge pull request #21160 from hashicorp/auto-pr/f19d256e,Auto PR: Regenerating based on (1549fb7f2dbf7c76fdb851f78539fa6d1437ff0f)
339,Updating based on f19d256e,
340,docs: move fields in proper list \n Closes #21157,Signed-off-by: Pier 53210578+pie-r@users.noreply.github.com
341,Merge pull request #21152 from magodo/storage_acctest,Fix some Storage AccTests
342,[Documentation:] azurerm_databricks_workspace - Remove private preview warning from the document (#21154),
343,fix issue 18374,
344,Merge pull request #21034 from wuxu92/doctool/possible,websit-scaffold: auto generate possible value part.
345,update test and defaults,
346,docs: adjust markdown (#21143),Co-authored-by: Tom Harvey tombuildsstuff@users.noreply.github.com Co-authored-by: kt kt@katbyte.me
347,Ensure the force new properties in subtests of TestAccStorageAccount_updateToUsingIdentityAndCustomerManagedKey are the same to avoid re-creation,
348,"azurerm_storage_encryption_scope - Adding the required key vault key permission ""GetRotationPolicy""",
349,azurerm_role_definition - Increase the continuous 404 counts on delete to tolerate propagation delay,
350,azurerm_data_factory - fix failed testcase (#21124),
351,Updated main.tf for storage account (#21146),
352,Update CHANGELOG.md,
353,updating to include #21129,
354,Merge pull request #21129 from hashicorp/refactor/gradually-deprecating-suppress-case-diff-and-validate-resource-id,refactor: replacing usages of azure.ValidateResourceID with more specific Resource ID Parsers
