Index,Message,Description
56,Delete custom upgrader,This leaves 'gvfs upgrade' non-functional Signed-off-by: Derrick Stolee dstolee@microsoft.com
57,Delete ProductUpgradeTimer,"This timer is responsible for checking if there is a new VFS for Git version on a timer, then launches a notification to GVFS.Service.UI. I was hoping to delete all of GVFS.Service.UI, but we need the toast notifications for when we attempt to auto-mount and have a failure. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
58,Fix for #1743 - do not exit early if no blobs found for a period when prefetching.,
59,FunctionalTests: disable builtin FS Monitor,Signed-off-by: Derrick Stolee dstolee@microsoft.com
60,RunFunctionalTests.bat: remove exits,"When I run the tests locally, these exits are hit every time. Something odd is happening. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
61,Merge pull request #1744 from mjcheetham/newbuild,Overhaul build and project systems and drop Mac/POSIX code
62,build: add releases/shipped to PR build trigger,
63,Add failing unit test for #1743,
64,build: drop AnyCPU and x86 solution configurations,
65,build: run functional tests in PR builds,
66,build: add (currently unused) AzDO YAML release build,
67,build: add GitHub Actions CI/PR workflow,
68,build: add back new build scripts (for Windows only),
69,build: migrate solution file,"Simplify solution configurations (we only build on Windows x64 now) and remove solution-level project build order.. we now rely on MSBuild and ""real"" project-to-project dependencies."
70,build: ignore functional tests that fail in CI only,
71,build: update FTs to run always against PATH,
72,build: drop Mac/POSIX tests and drop WinOnly category,
73,build: migrate GVFS.FunctionalTests project file,
74,build: merge GVFS.FunctionalTests.Windows tests into main project,
75,build: migrate GVFS.Installer.Windows project,"Migrate the Windows installer project to the new build system, and also use wildcard inclusion of files in the Inno setup."
76,build: replace GVFS.SignFiles with GVFS.Payload project,Replace the 'sign files' project with a 'payload' project and script (that gathers binaries for signing).
77,build: migrate GVFS.PerfProfiling project,
78,build: migrate GVFS.FunctionalTests.LockHolder project,
79,build: migrate GVFS.UnitTests and .Tests projects,Also combine the GVFS.UnitTests and .Windows projects in to one project (it's all Windows now).
80,build: migrate FastFetch project,
81,build: migrate GVFS project,
82,build: migrate GVFS.Service.UI project,
83,build: migrate GVFS.Service project,
84,build: migrate GVFS.Mount project,
85,build: migrate GVFS.Upgrader project,
86,build: migrate GVFS.Hooks project,
87,build: migrate GVFS.Platform project,Also drop the .Windows specific project.. it's all Windows now.
88,build: migrate GVFS.Virtualization project,
89,build: migrate GVFS.GVFlt project,
90,build: migrate GVFS.Common project,
91,build: migrate VC++ projects to new build,"Migrate the native VC++ projects to use the new build variables, package restore, and WinSDK to 10.0.16299."
92,build: replace GVFS.Build with simpler MSBuild code,Replace the GVFS.Build directory and pre-build code with targets and tasks that are better integrated with the rest of the build.
93,build: drop more Mac/POSIX code,
94,build: drop old targets/props and add new ones,Drop the older custom targets and props files for the new ones.
95,GitHooksLoader: move under GVFS dir and migrate proj,Move the GitHooksLoader under the GVFS directory and migrate the project file to v142 toolset (VS2019) and WinSDK10.0.16299. Also migrate project to use new MSBuild properties for the VSF for Git project.
96,build: drop all old scripts,
97,build: drop old Azure Pipelines YAML CI/PR builds,
98,Skip launching UI if running unattended,"In testing, we see the installer hanging until the UI is killed. ``` Start-Process .\SetupGVFS.1.0.21085.9.exe -ArgumentList ""/VERYSILENT"", ""/NORESTART"", ""/NOCANCEL"", ""/SP-"", ""/CLOSEAPPLICATIONS"", ""/RESTARTAPPLICATIONS"", ""/LOG=gvfs.log"", ""/SUPPRESSMSGBOXES"" -Wait Hangs until GVFS.Service.UI is killed ```"
99,Bumping version of update-winget action,
100,Merge pull request #1736: Update Git to v2.31.1.vfs.0.3,This includes the latest changes for winget installation and upgrading with git update-microsoft-git.
101,Update Git to v2.31.1.vfs.0.3,Signed-off-by: Derrick Stolee dstolee@microsoft.com
102,Merge pull request #1735 from ldennington/bump-release-winget,Bumping mjcheetham/update-winget version
103,Bumping mjcheetham/update-winget version,
104,Merge pull request #1734 from ldennington/ldennington/add-release-workflow,Adding winget workflow
105,Cleanup,
106,Add winget workflow,
107,Merge pull request #1733: Update Git to include v2.31.1,See microsoft/git#320.
108,Merge pull request #1730: Fix an issue with FastFetch when deleting files,This fixes #1729 and also takes care of a performance problem in the same method.
109,Update Git to include v2.31.1,Signed-off-by: Derrick Stolee dstolee@microsoft.com
110,Merge pull request #1732: Use one NuGet feed,I pushed all of the packages we need to our custom feed. Script included.
111,Don't warn about higher packages,
112,Add bash script that pushes all local packages,
113,Remove second NuGet feed,
114,Fix an issue with FastFetch when deleting files,
115,Merge pull request #1726: Config: commitGraph.generationVersion=1,See microsoft/scalar#492 for a similar change.
116,Update Git to include commitGraph.generationVersion config,Signed-off-by: Derrick Stolee dstolee@microsoft.com
117,Config: commitGraph.generationVersion=1,Signed-off-by: Derrick Stolee dstolee@microsoft.com
118,Merge pull request #1719: Enforce only a minimum Git version,"The interface between microsoft/git and VFS for Git has been stable for a while. We don't anticipate changing it any time soon. Thus, we can drop the requirement of an exact Git version match. This PR changes the current logic in a few ways:  Take the full GitVersion parsing logic from microsoft/scalar, as it is more robust. Remove the exact version match with a minimum version match. Use a fixed constant version string instead of a build-time string. Require that the Revision of the version string is an exact match. We will use this to signal that a microsoft/git version introduces a breaking change that requires a VFS for Git upgrade.  What is a Revision item? In a Git version string such as v2.X.Y.vfs.Z.W, the Revision is represented by Z. This allows us to modify the other version items arbitrarily, including taking version numbers 2.X.Y from upstream and updating .W if we have any hotfixes to microsoft/git."
119,GVFSVerb: check custom Git version bounds,"We will use the following rules for testing the Git version is compatible with the current version of VFS for Git:   The Platform must match "".vfs.""   The version must be at least the fixed minimum revision.   The Revision must equal the current minimum revision.   This allows us to upgrade Git without updating VFS for Git. Thus, we could reduce VFS for Git version upgrades when Git releases a security update. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
120,whitespace: standardize newlines in recently-edited files,Signed-off-by: Derrick Stolee dstolee@microsoft.com
121,GitVersion: use Scalar's parsing logic,This parsing is more robust to many different Git versions. Signed-off-by: Derrick Stolee dstolee@microsoft.com
122,Merge pull request #1716: Update Git to remove ODB string check,[HOTFIX] Update Git to remove ODB string check
123,Update Git to remove ODB string check,Signed-off-by: Derrick Stolee dstolee@microsoft.com
124,Merge pull request #1714: Update Git to include LFS security release,
125,Update Git to include LFS security release,Signed-off-by: Derrick Stolee dstolee@microsoft.com
126,1712: git-vfs: update to Git 2.30.0,git-vfs: update to Git 2.30.0
127,git-vfs: update to Git 2.30.0,
128,Merge pull request #1710: Add new Microsoft certificate thumbprint,There is a new certificate thumbprint for the Microsoft signing certificates used to sign NuGet packages.
129,upgrade: add new Microsoft certificate thumbprint,There is a new certificate thumbprint for the Microsoft signing certificates used to sign NuGet packages.
130,Merge pull request #1706: Update Git to include GCM Core update,This actually updates to a better build:  It has a new tag v2.29.0.vfs.0.1. It was created after git-for-windows/build-extra updated with the new GCM Core package.
131,Update Git to include GCM Core update,Signed-off-by: Derrick Stolee dstolee@microsoft.com
132,Merge pull request #1703: Delete all macOS projects,"Some macOS projects were causing failures in the release process, so let's finally get around to deleting them. Replaces #1700."
133,More macOS deletions,Signed-off-by: Derrick Stolee dstolee@microsoft.com
134,Delete all macOS projects and platform code,"Some macOS projects were causing failures in the release process, so let's finally get around to deleting them. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
135,Merge pull request #1694: Update Git to v2.29.0,See microsoft/git#295. Scalar already merged these changes to the PackfileMaintenanceStepTests. The other changes were reviewed privately.
136,GitObjects: use new SideChannelStream to hash during download,"The loose object download needs to verify the objects being sent across the wire before moving them to their ""real"" locations in the object directory. The previous implementation wrote them to disk then read from that file to hash the contents. Instead, create a new ""SideChannelStream"" that injects between the responseStream and the inflater, but sends all of the data that is read out to the filestream. Here is a diagram of the stream sequence: responseStream -> sideChannelStream -> inflateStream -> hashingStream                            \                                   |                 \                                 \|/                  tempFileStream                devNull By copying all data from the hashingStream into devNull, we ensure that the responseStream is drained and written to the tempFileStream while simultaneously inflating and hashing the object contents. We then amortize this computation during the window that we are downloading data over the network, minimizing the potential performance impact. Helped-by: Matthew Cheetham mjcheetham@github.com Signed-off-by: Derrick Stolee dstolee@microsoft.com"
137,GitObjects: hash incoming loose objects,"After we write the data to disk, check the file that it matches the correct hash before moving it into place. If the hash is wrong, then include details about where the data is stored for reference. This can be marked as optional to make existing unit tests work, but the logic is covered by a new set of unit tests. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
138,Build: include SharpZipLib,"We will start hashing loose objects downloaded from the remotes, but we need to include a package (SharpZipLib) that can handle the headers included in the ZLib compression used by Git. .NET's default decompression algorithm cannot handle those optional headers, unfortunately. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
139,PackfileMaintenanceStepTests: Git 2.29 does batching differently,The last condition of this test no longer applies because Git will repack files in a different way than it used to. Signed-off-by: Derrick Stolee dstolee@microsoft.com
140,Update Git to v2.29.0,Signed-off-by: Derrick Stolee dstolee@microsoft.com
141,Merge pull request #1697: Fix functional tests to skip around ProjFS issue,See #1696 for the tracking issue. This PR intends to get our functional tests green again so we can have some confidence in the Git 2.29.0 update in #1694.
142,FunctionalTests: Use temporary branch to fix all tests,Signed-off-by: Derrick Stolee dstolee@microsoft.com
143,WindowsFileSystemTests: disable a test around LongFileName folder,Signed-off-by: Derrick Stolee dstolee@microsoft.com
144,Merge pull request #1689 from kyle-rader/user/kyrader/delete-docs,Make delete docs more verbose.
145,Add sub section for recovering from pre-delete.,
146,Add explicit step for removing the repo after unmounting.,
147,Merge pull request #1682: Update Git to v2.28.0,See microsoft/git#283
148,Update Git to v2.28.0,Signed-off-by: Derrick Stolee dstolee@microsoft.com
149,Merge pull request #1685: minor path comparison fixup in ProductUpgrader,Convert an inadvertent use of StringComparer.OrdinalIgnoreCase to the relevant OS-specific PathComparer helper.
150,minor path comparison fixup in ProductUpgrader,Convert an inadvertent use of StringComparer.OrdinalIgnoreCase to the relevant OS-specific PathComparer helper.
151,Merge pull request #1683: GVFS.SignFiles.csproj: include more DLLs for signing,"It appears that during our build, we send some DLLs for signing, but the versions we send have already been copied to other projects. Thus, we ship versions of those DLLs that are unsigned. Add extra versions of the DLLs that are currently being signed, except include them in the GVFS.Windows project that is likely where they are being copied as part of the build."
152,GVFS.SignFiles.csproj: include more DLLs for signing,"It appears that during our build, we send some DLLs for signing, but the versions we send have already been copied to other projects. Thus, we ship versions of those DLLs that are unsigned. Add extra versions of the DLLs that are currently being signed, except include them in the GVFS.Windows project that is likely where they are being copied as part of the build. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
153,Merge pull request #1679: BuildGVFSForWindows.bat: use nuget on PATH when possible,"Our release build is failing because we cannot download nuget due to TLS 1.2 changes. But we already require nuget.exe in an earlier step of the build. Require nuget.exe to be on the PATH, and update Readme.me accordingly."
154,BuildGVFSForWindows.bat: use nuget on PATH when possible,"Our release build is failing because we cannot download nuget due to TLS 1.2 changes. But we already require nuget.exe in an earlier step of the build. Require nuget.exe to be on the PATH, and update Readme.me accordingly. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
155,Merge pull request #1676: Update Git to v2.27.0.vfs.1.0,See microsoft/git#278
156,Update Git to v2.27.0.vfs.1.0,Signed-off-by: Derrick Stolee dstolee@microsoft.com
157,Merge pull request #1675: PreCommandHook: don't lock pack-objects,We have a short list of Git commands that are known to be safe to run in parallel because they do not update the index. This list did not include git pack-objects. This is blocking some legitimate use of the tool.
158,PreCommandHook: don't lock pack-objects,Signed-off-by: Derrick Stolee dstolee@microsoft.com
159,Merge pull request #1674: Config: disable status.submoduleSummary,"The GVFS protocol does not support submodules, so disable the status.submoduleSummary config setting. A user had this enabled in their global config, but that caused ""git status"" to be much slower. When enabled, this runs two ""git submodule"" subprocesses, which are very slow. I investigated disabling these subprocesses in Git when the repo has no submodules, but it needs to run the processes to check for untracked submodules. Thus, there is no efficient way to detect that submodules exist or not in advance."
160,Merge pull request #1672: ProductUpgrader: be extra careful about a copy loop,"The ProductUpgrader makes a backup of the C:\Program Files\GVFS folder before running the install, as a mechanism for backing out a failed upgrade. However, it copies that data into C:\Program Files\GVFS\ProgramData\GVFS.Upgrade\Tools, which can create a copy loop! This affected an actual user. I'm not sure why this affects that one user but not another. In addition to adding more defensive programming (adding the target of the copy to the list of exclusions), I also added some extra tracing so we can see how these strings differ on this machine."
161,Config: disable status.submoduleSummary,"The GVFS protocol does not support submodules, so disable the status.submoduleSummary config setting. A user had this enabled in their global config, but that caused ""git status"" to be much slower. When enabled, this runs two ""git submodule"" subprocesses, which are very slow. I investigated disabling these subprocesses in Git when the repo has no submodules, but it needs to run the processes to check for untracked submodules. Thus, there is no efficient way to detect that submodules exist or not in advance. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
162,troubleshooting.md: include description of ,"Checking for GVFS upgrades...- Checking for GVFS upgrades...\ Checking for GVFS upgrades...\ Checking for GVFS upgrades...| Checking for GVFS upgrades...| Checking for GVFS upgrades...Succeeded New version 1.0.19346.2 is available. Upgrade will unmount and remount gvfs repos, ensure you are at a stopping point. When ready, run gvfs upgrade --confirm from an elevated command prompt. bug Signed-off-by: Derrick Stolee dstolee@microsoft.com"
163,ProductUpgrader: use OrdinalIgnoreCase in exluded HashSet,Signed-off-by: Derrick Stolee dstolee@microsoft.com
164,ProductUpgrader: be extra careful about a copy loop,Signed-off-by: Derrick Stolee dstolee@microsoft.com
165,Merge pull request #1663: Update Git to v2.27.0,"See microsoft/git#271. Updates necessary here:   The multi-pack-index builtin started honoring repack.packKeptObjects, which is false by default. We want to repack the .keep pack because that is just the most-recent prefetch pack-file. We don't expire it, but we want to repack it.   The sparse-checkout code changed some error messages and behavior, so the reset --mixed tests no longer reflect an exact behavior match to vanilla Git (without sparse-checkout). Since VFS for Git dynamically sparsifies, we can't exactly match the behavior in the control repo. "
166,ResetMixedTests: drop test that behaves differently,Signed-off-by: Derrick Stolee dstolee@microsoft.com
167,GitProcess: repack kept packs,Signed-off-by: Derrick Stolee dstolee@microsoft.com
168,Update Git to v2.27.0,Signed-off-by: Derrick Stolee dstolee@microsoft.com
169,Merge pull request #1669: Docs: more troubleshooting and FAQs,"More progress towards #1665:  Add some troubleshooting steps from the private wiki and recent issues. Add FAQs around macOS port and Scalar.  The release process needs to be documented, but it includes private info so that will happen in a private repo."
170,Update docs/troubleshooting.md,Co-authored-by: Johannes Schindelin dscho@github.com
171,FAQ: add discussion of macOS and Scalar,Signed-off-by: Derrick Stolee dstolee@microsoft.com
172,Troubleshooting: add more common issues and solutions,Signed-off-by: Derrick Stolee dstolee@microsoft.com
173,Troubleshooting: copy known issues from private wiki,Signed-off-by: Derrick Stolee dstolee@microsoft.com
174,Merge pull request #1668: ProductUpgradeTimer: remove unacceptable Environment.Exit(),"A user reported an issue via the Teams channel. Looking at the diagnose logs I saw that the user's GVFS.Service was restarting in a loop with an exception tracking down to this Environment.Exit() call. It's completely unacceptable to exit here, as it kills the service and then it restarts. Better to have no upgrades than to let this continue. The cause of this exception was a missing executable when checking ProjFS.IsGVFSUpgradeSupported(), which seems to call PowerShell. The only reason the stack would have a Win32Exception with ""The system cannot find the file specified"" is that powershell.exe is not on the PATH, which was fixed in #1658."
175,Merge pull request #1664: Update USN journal entries for projected folders,"This replaces #1648. BuildXL was having issues detecting that a folder had changes when the projection changed because VFSForGit was simply updating its in memory projection and not doing anything with the file system that would trigger and update to the USN. It would hand back the new items in the directory when ProjFS would ask for the items for enumeration the next time an enumeration happened. This change is to make the folder get a new USN when VFSForGit determines that a folder has changed.  This is done by keeping a SHA1 hash of all the names of the folder entries that are in the projection. When the projection changes, calculate the new SHA for the folder and compare with what it had before.  If it changed, then write and delete a file in the folder to trigger the USN update. Note: We don't need any upgrade step because we are already storing the SHA for the folder in the placeholder database but it is currently null for all folders so the first time there is a projection change it will cause all the folders to get the calculated SHA for the folder and update the placeholder database.  Tasks:  [X] Update folder SHA-1 calculation to depend only on child names, not contents. [x] Get installer to BuildXL folks for validation. [x] Place this behavior behind a config option. [ ] Document the config option. (Delaying to #1665) [ ] Update functional test to run in CI and PR validation (behind config). (The test is updated to work behind the config, but the fsutil usn readdata <path> command isn't working in CI. Tested locally.)"
176,Merge pull request #1666: Docs: start basic template,"We don't have a lot of user-facing documentation. Someone owns VFSforGit.org but I don't know who. (@ethomson probably knows.) However, it would be better to have a set of docs in the repo. This provides some basic info for using VFS for Git, especially around the happy path. To finish #1665, I will update the troubleshooting docs with more advice around the not-so-happy paths."
177,ProductUpgradeTimer: remove unacceptable Environment.Exit(),Signed-off-by: Derrick Stolee dstolee@microsoft.com
178,docs: add basic user-facing documentation,Signed-off-by: Derrick Stolee dstolee@microsoft.com
179,Readme: delete reference to Mac version,Signed-off-by: Derrick Stolee dstolee@microsoft.com
180,FolderData: opt-in to USN journal updates with config,"Add new ""usn.updateDirectories"" boolean config option. This is set in the system-wide config, and requires remounting for the config to take effect. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
181,FolderData: update USN journal based on file name only,Signed-off-by: Derrick Stolee dstolee@microsoft.com
182,FolderData: hash child folder names,"To update the USN journal entries for a projected folder, we previously computed the new hash based on the contained files and their contents. Let's also include the file and folder names. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
183,Ignore test for build machines because WSL not enabled on them,
184,Log number of folder placeholders that get SHA updated,
185,Fix upgrade tests that were broken,
186,Track folder changes to update USN journal,
187,Add test to make sure the USN for a folder changes,
188,Merge pull request #1658: ProjFSFilter: Be more robust to missing PowerShell,"A user had issues and we started a support line. Their diagnose log had thousands of service logs. These were all failing with this call stack pointing to the method changed here: System.ComponentModel.Win32Exception (0x80004005): The system cannot find the file specified  at System.Diagnostics.Process.StartWithCreateProcess(ProcessStartInfo startInfo)    at GVFS.Common.ProcessHelper.StartProcess(Process executingProcess)     at GVFS.Common.ProcessHelper.Run(ProcessStartInfo processInfo, String errorMsgDelimeter, Object executionLock)      at GVFS.Platform.Windows.ProjFSFilter.IsGVFSUpgradeSupported() in E:\\A\\_work\\822\\s\\GVFS\\GVFS.Platform.Windows\\ProjFSFilter.cs:line 371         at GVFS.Upgrader.InstallerPreRunChecker.IsGVFSUpgradeAllowed(String& consoleError)          at GVFS.Upgrader.InstallerPreRunChecker.TryRunPreUpgradeChecks(String& consoleError)            at GVFS.Service.ProductUpgradeTimer.TimerCallback(Object unusedState) in E:\\A\\_work\\822\\s\\GVFS\\GVFS.Service\\ProductUpgradeTimer.cs:line 168 The only explanation I can think of is that PowerShell is not available on their system!"
189,Merge pull request #1659: Update Git to include v2.26.2,
190,Merge pull request #1657 Add Readme.md for the virtualization states of a file,Add Readme.md for the virtualization states of a file
191,Update Git to include v2.26.2,Signed-off-by: Derrick Stolee dstolee@microsoft.com
192,Add Readme.md for the virtualization states of a file,
193,ProjFSFilter: use 'where' to find powershell,"This will throw a new PowershellNotFoundException if not found, but this is a private static method. One caller catches this exception explicitly, and then returns an ""invalid"" mode. The only other caller only happens if the first returns ""disabled"" instead. Signed-off-by: Derrick Stolee dstolee@microsoft.com"
194,ProjFSFilter: Be more robust to missing PowerShell,A user had issues and we started a support line. Their diagnose log had thousands of service logs. These were all failing with a call stack pointing to the method changed here. The only explanation I can think of is that PowerShell is not available on their system! Signed-off-by: Derrick Stolee dstolee@microsoft.com
195,Merge pull request #1654 Add Readme.md for the GitIndexProjection and related classes,Add Readme.md for the GitIndexProjection and related classes
196,Add Readme.md for the GitIndexProjection and related classes,
197,Merge pull request #1653: Update Git to include v2.26.1,Re-pushed to include the correct version number after pushing the v2.26.1.vfs.1.1 tag.
198,Update Git to include v2.26.1,This time with the correct version number. Signed-off-by: Derrick Stolee dstolee@microsoft.com
199,Merge pull request #1652: RepoRegistry: ignore non-existent repos,"The 'gvfs mount' command will send a message over the named pipe to deactivate a repo. This marks it with ""IsActive = false"" so we don't try to mount it at service startup. However, a repo can be deleted and then there is no way to send this message again. Instead, ignore repositories where the enlistment root does not exist. Don't remove it from the registry, since there may be a subtle reason why it is not visible from the service (such as a removed USB drive). Resolves #1651."
200,RepoRegistry: ignore non-existent repos,"The 'gvfs mount' command will send a message over the named pipe to deactivate a repo. This marks it with ""IsActive = false"" so we don't try to mount it at service startup. However, a repo can be deleted and then there is no way to send this message again. Instead, ignore repositories where the enlistment root does not exist. Don't remove it from the registry, since there may be a subtle reason why it is not visible from the serivce (such as a removed USB drive). Signed-off-by: Derrick Stolee dstolee@microsoft.com"
201,Merge pull request #1647: Fix commit-graph expiration,"Wow, this was really not working as expected. See microsoft/git#255 for how broken the --expire-time argument was. Fix this by using the fixed argument and passing a datetime instead of an offset by seconds. This will provide a longer window for old commit-graph files, but apparently we've been leaving turd files around for a long time without anyone noticing."
202,Update Git to include expire-time fix,Signed-off-by: Derrick Stolee dstolee@microsoft.com
203,PostFetchStep: fix --expire-time option,Signed-off-by: Derrick Stolee dstolee@microsoft.com
204,Merge pull request #1642: Update Git to v2.26.0,"See microsoft/git#251 for details. This required an update to our test infrastructure. The rebase merge backend changed in a way that it would now open an editor during git rebase --continue, causing a test to wait for vim to close. Set the editor to be a no-op. This also changes the output to include the commit oid, so use GIT_COMMITTER_TIME to be a constant to keep the commits the same."
205,Use fixed GIT_COMMITTER_DATE in functional tests,Signed-off-by: Derrick Stolee dstolee@microsoft.com
206,Use no-op editor during functional tests,Signed-off-by: Derrick Stolee dstolee@microsoft.com
207,Update Git to v2.26.0,Signed-off-by: Derrick Stolee dstolee@microsoft.com
208,Merge pull request #1637: Update Git to v2.25.1.vfs.1.1,See microsoft/git#248.
209,Update Git to v2.25.1.vfs.1.1,Signed-off-by: Derrick Stolee dstolee@microsoft.com
210,Merge pull request #1635 sparse: allow dehydrate to continue if a directory delete fails,sparse: allow dehydrate to continue if a directory delete fails
211,dehydrate: add test for execption when deleting empty directory,
212,sparse: allow dehydrate to continue if a directory delete fails,When the code gets to the point of deleting the directory it is empty and it will not hurt anything leaving it on disk.  This also more closely matches what git does when changing the sparse-checkout since it ignores errors when trying to delete empty directories.
213,Merge pull request #1638 build: fix the build error related to dotnet core version,build: fix the build error related to dotnet core version
