Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Version Packages (#8571),0.63313335,The following packages have been updated,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Update team logos for enterprise support (#8516),0.44271106,#5666 module Thanks @gwyneplaine! - Prettified the logo in the admin-ui.,Update team logos for enterprise support,0
fix(deps): update dependency @markdoc/markdoc to ^0.3.0 (#8585),0.5313127,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update prisma monorepo to v4.14.1 (#8584),0.90017974,Updated Prisma monorepo to v3.4.0,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
chore(deps): lock file maintenance (#8583),0.49165884,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
"Add Session type parameter for TypeInfo, Lists and Context (#8570)",0.83904254,"[core] Adds Session type parameter to generated TypeInfo, Lists and Context types, and propagates that type to access control and hooks (#8570) @dcousens",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
Add ui.basePath which sets the basePath in the AdminUI next config  (#8545),0.8225065,"[core] Adds ui.basePath for changing the AdminUI base path, using a dynamic next.config.js (#8545) @borisno2",Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,1
chore(deps): update pnpm to v8.5.1 (#8579),0.518553,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): lock file maintenance (#8577),0.48856783,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Updated MySQL code example default port (#8572),0.565128,[core] Fixes environment variable PORT= precedence; PORT= now takes priority over the configured server.port (#7787) @dcousens,,0
update(docs): Update checkbox.md (#8576),0.57807946,#6354 module Thanks @gwyneplaine! - Fixed Listview checkbox bug in a better way.,Current documentation for checkbox is outdated. Also maybe you should add description for graphql.isNonNull.update,0
"Flatten scripts/* and use stderr for errors, add some deprecations (#8569)",0.5579493,#5343 module Thanks @timleslie! - Removed logging of errors to stdout using module pending a complete rewrite of this functionality.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,0
Fix keystone dev errors for next@^13.4.0 (#8568),0.8147623,@keystone-next/keystone@13.0.0,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,1
fix(deps): update prisma monorepo to v4.14.0 (#8562),0.90129495,Updated Prisma monorepo to v3.4.0,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
chore(deps): update dependency @svgr/plugin-prettier to v8 (#8565),0.46942866,Node.JS engines in our packages have been updated to 12.x and 14.x to keep up to date with the latest versions of our dependencies. ,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v8.5.0 (#8567),0.5201179,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @svgr/core to v8 (#8563),0.52845097,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @svgr/plugin-svgo to v8 (#8566),0.48200223,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @svgr/plugin-jsx to v8 (#8564),0.54548615,#5746 module Thanks @timleslie! - Update Node.js dependency to module.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Add resolveInput.{create|update} list hooks (#8551),0.91871,[core] Adds resolveInput.{create|update} list hooks as shorthand operation circuitry (#8551) @dcousens,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,1
chore(deps): update dependency @preconstruct/cli to v2.6.2 (#8558),0.5570629,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @types/react-transition-group to v4.4.6 (#8559),0.67617536,#4717 module Thanks @renovate! - Updated dependency react-select to v4,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update emotion monorepo to v11.11.0 (#8560),0.5859678,Updated Prisma monorepo to v3.4.0,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Updated url to Next.js example (#8561),0.75766015,Next.js Update ✨,,1
Fix indentation in images-and-files.md documentation (#8557),0.39600798,#5529 module Thanks @gwyneplaine! - Added file field type.,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
Add custom session strategy example (#8552),0.5712494,"#5802 module Thanks @timleslie! - Changed module to access a module object, rather than a module function. You will only need to change your configuration if you're using a customised session strategy.",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): lock file maintenance (#8555),0.4795447,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Remove ansi-strip dependency for tests (#8546),0.50810534,#5212 module Thanks @timleslie! - Moved test fixtures into the new packages.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
add omit example (#8357),0.45486796,[core] Fixes type generation for lists with omit.query: true (#8527) @acburdine,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): update dependency @preconstruct/cli to v2.6.1 (#8541),0.5568635,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v8.4.0 (#8542),0.5157754,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Fix type generation for omitted lists (#8527),0.7602961,[core] Fixes type generation for lists with omit.query: true (#8527) @acburdine,Fix type generation for omitted lists update changeset Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,1
chore(deps): update dependency strip-ansi to ^7.0.1 (#8531),0.56025815,Updated dependencies []:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Add Remix Blog example (#8510),0.6780808,#5621 module Thanks @gwyneplaine! - Initial version of the blog example.,,0
chore(deps): lock file maintenance (#8528),0.48996282,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Version Packages (#8524),0.6371438,The following packages have been updated,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
Fix recursion when using docs/scripts/replace-show-next-release (#8523),0.43150187,[core] Next.js 13 Upgrade (#8061) @AliceRossa,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Fixes for Version Packages (#8522),0.6495121,The following packages have been updated,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Version Packages (#8374),0.64036703,The following packages have been updated,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
"Revert ""Remove env.SKIP_PROMPTS for CLI (#8517)"" (#8520)",0.6119489,#5758 module Thanks @timleslie! - Added a module environment variable to explicitly disable prompts in the CLI.,This reverts commit d3888f3c4c0ef743aecc945d20df805c339bb319.,0
Remove env.SKIP_PROMPTS for CLI (#8517),0.7406287,#5758 module Thanks @timleslie! - Added a module environment variable to explicitly disable prompts in the CLI.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
chore(deps): update pnpm to v8.3.1 (#8512),0.5199396,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Fix Auth example project link in documentation (#8515),0.49286836,## @keystone-next/example-auth@4.0.7,Update auth.md Link to Example Project is currently broken 404 fix example link Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
Add Astro SSR example using getContext (#8471),0.4107158,"[core] Removes experimental.generateNodeAPI, use getContext instead (#7957) @dcousens",Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
Move NextJS examples to framework-nextjs-* (#8508),0.6930513,## @keystone-next/example-embedded-nextjs@3.0.4,Move nextjs examples to framework- update lock,0
Make commonContext be of Context type (#8500),0.5507976,KeystoneContext has been renamed to Context,Changed as a result of the discussion: link,0
chore(deps): lock file maintenance (#8507),0.48741424,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Enterprise page (#8503),0.38671988,#5286 module Thanks @gwyneplaine! - Added styling and quality of life updates to the pagination component.,work in progress Hook up enquiry form Update enterprise page with customers and new copy Add home page CTA for enterprise use campaignId on form Design review changes copy updates for client cards Use grad6 final copy tweaks Co-authored-by: Ronald Aveling raveling@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au Co-authored-by: Boris Bozic boris@thinkmill.com.au,0
Add field labels for structured JSON array fields (#8493),0.61041504,[fields-document] Fixes the JSON output type values for the structure field (#8457) @borisno2,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
fix(deps): update prisma monorepo to v4.13.0 (#8495),0.9023706,Updated Prisma monorepo to v3.4.0,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
chore(deps): update pnpm to v8.3.0 (#8494),0.51365817,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency globby to v13 (#7802),0.5610277,Updated dependencies []:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
add declarationMap for source mapping (#8491),0.46132296,#6250 module Thanks @timleslie! - Updated internal type definitions.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): include all files inside npm package (#8488),0.5373067,#5746 module Thanks @timleslie! - Update Node.js dependency to module.,,0
chore(deps): lock file maintenance (#8489),0.49920803,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
add 3-pair-* examples for JSON and nested fields (#8483),0.5544234,## @keystone-next/example-json-field@4.0.4,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Add example for Next 13 app directory and Keystone getContext (#8371),0.7458144,[core] Adds new getContext function (from @keystone-6/core/context) for working with a Keystone configuration directly (#7954) @dcousens,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,1
add sandbox example of structures with relationships (#8482),0.5946844,#6038 module Thanks @timleslie! - Added inline relationship example.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
remove fetch-depth: 0 for publishing (#8479),0.43129405,"We've removed the graphql.cors option, we had one too many ways to configure CORS and it was proving to be confusing.",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Revert getGqlNames type change (#8478),0.4184298,"Mutations: all generated CRUD mutations have the same names and return types, but their inputs have changed.",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
update usecase-blog with indepth commentary and a tags list (#8477),0.44722784,#5621 module Thanks @gwyneplaine! - Initial version of the blog example.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Fix documentation website redirects (#8476),0.48097312,"[auth, core] Fixes pageMiddleware to be called for publicPages, returning support for public redirects (#8280) @dcousens",fix documentation redirects use mjs for configuration Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): lock file maintenance (#8444),0.49644774,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,chore(deps): lock file maintenance prettier format Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): update dependency @preconstruct/cli to v2.5.0 (#8474),0.56322753,- CVE-2022-36313 - An upstream transitive dependency file-type is vulnerable to a ReDoS. We have upgraded to a version of file-type where this is resolved.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
"Revert ""Change preview deployment trigger to pull_request_target"" (#8473)",0.38376352,We have identified and fixed an upstream security vulnerability,"Revert ""change preview trigger to pull_request_target (#8470)"" This reverts commit 0503b49b862d8671736ce77201c0b7d119d0ec9b. revert to workflow_dispatch only",0
change preview trigger to pull_request_target (#8470),0.33307216,"- :warning: For the arguments of the component function, rename component to preview ",,0
Deploy documentation as needed (#8459),0.4690792,Big shoutout to the following community members for their help in improving our documentation with their contributions:,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
fix(deps): update dependency next to v13.3.0 (#8422),0.6290849,Updated dependencies []:,fix(deps): update dependency next to v13.3.0 update all instances and readd ^ Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,0
fix(deps): update dependency @emotion/cache to v11.10.7 (#8463),0.5235495,#6432 module Thanks @renovate! - Updated module dependency to module.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v8.2.0 (#8464),0.50735366,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Fix broken link in README Table of Contents (#8461),0.5281037,#5122 module Thanks @mitchellhamilton! - Fixed module not rendering links,"The existing link to ""Usage & Documentation"" in the TOC wasn't working. This change fixes that.",0
Fix build errors in Nextjs example (#8456),0.75272685,"[core] Changed platform compilation to use esbuild, previously used next.js (#7809) @mitchellhamilton",,1
Fix structured JSON output types (#8457),0.7396188,[fields-document] Fixes the JSON output type values for the structure field (#8457) @borisno2,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,1
Fixes #8046 regression which prevented other command line arguments from being used (#8455),0.9121547,[core] Fixes #8046 regression which prevented other command line arguments from being used (#8455) @borisno2,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,1
chore(deps): update dependency @preconstruct/cli to v2.4.4 (#8450),0.55702233,Updated dependencies []:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v8.1.1 (#8451),0.5145907,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Fix nextjs-keystone example deploy to Vercel (#8454),0.799512,## @keystone-next/example-embedded-nextjs@3.0.2,,1
chore(deps): update dependency @preconstruct/cli to v2.4.3 (#8448),0.5679811,Updated dependencies []:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency @vercel/og to ^0.5.0 (#8449),0.54464555,- CVE-2022-36313 - An upstream transitive dependency file-type is vulnerable to a ReDoS. We have upgraded to a version of file-type where this is resolved.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
update readmes to use pnpm (#8447),0.4265291,#5426 module Thanks @mitchellhamilton! - Updated CLI help message to match documentation,,0
fix missing session for sudo and exitSudo (#8441),0.63712066,"[core] Fixes regression from #8073, .sudo now retains the context.session (#8441) @dcousens",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Tidyup examples and internal InitialisedList type (#8438),0.48629507,Package: list({,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Always use POSIX path separator when printing types (#8439),0.40400818,"[core] Adds a new .types.path configuration option, for specifying where your Keystone types are built (#8381) @dcousens",,0
import getPrismaClient from library (#8440),0.3882014,#5665 module Thanks @mitchellhamilton! - The module type no longer has the module object or functions to run access control.,,0
"Fix Document editor with ""use client"" for getContext in NextJS App Directory (#8403)",0.56877136,## @keystone-next/example-embedded-nextjs@3.0.7,,0
chore(deps): update pnpm to v8 (#8433),0.51853406,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update prisma monorepo to v4.12.0 (#8432),0.9001312,Updated Prisma monorepo to v3.4.0,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,1
use pnpm for GitHub actions (#8431),0.41558033,"If you have any other questions, please don't hesitate to open a GitHub discussion.",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): update dependency @svgr/core to v7 (#8425),0.531182,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @preconstruct/cli to v2.4.1 (#8423),0.562521,Updated dependencies []:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @svgr/plugin-jsx to v7 (#8426),0.5460255,#5746 module Thanks @timleslie! - Update Node.js dependency to module.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v7.30.5 (#8421),0.51138073,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency @types/babel__core to v7.20.0 (#8424),0.6207515,"#6414 module Thanks @mitchellhamilton! - Updated to Next.js 11. If you were using a custom Babel config, it will no longer be respected because of changes in Next.js.",Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @svgr/plugin-svgo to v7 (#8428),0.4943524,Updated dependencies [module]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @types/mime to v3 (#8429),0.6130001,- CVE-2022-36313 - An upstream transitive dependency file-type is vulnerable to a ReDoS. We have upgraded to a version of file-type where this is resolved.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @svgr/plugin-prettier to v7 (#8427),0.48038352,Updated dependencies []:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): lock file maintenance (#8229),0.50275177,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Fix typo in resolveData hook documentation (#8411),0.6736077,"[core] Fixes types for resolvedData, and the return types for resolveInput hooks. (#7833) @Noviny",,0
Use pnpm (#8398),0.37720883,#5854 module Thanks @rohan-deshpande! - Initial version of the module example.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,0
Add newline compatibility to description text in admin ui (#8369),0.9410622,[ui] Adds newline compatibility to description text in admin ui (#8369) @DiesIrae,,1
fix(deps): update dependency typescript to v5 (#8400),0.76540184,#5848 module Thanks @renovate! - Updated TypeScript to 4.3.2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
add corepack enable (#8399),0.5510744,You can enable it by setting module,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Delete old documentation (#8395),0.48175108,"#5281 module Thanks @timleslie! - Removed the legacy module, module, and module exports.",,0
Formatting fixes for telemetry privacy policy (#8392),0.52607584,"Error messages have been improved across the board, in summary:",,0
fixes minor formatting issue in telemetry.md (#8391),0.5212405,[core] Changes the keystone telemetry status command output to show formatted output instead of JSON (#8326) @dcousens,,0
Add new types.path property (#8381),0.6236173,"[core] Adds a new .types.path configuration option, for specifying where your Keystone types are built (#8381) @dcousens",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,0
fix(docs): replace non-existing migrate command (#8387),0.6845132,#5428 module Thanks @mitchellhamilton! - Fixed printing the incorrect migrations directory to the console,,0
fix with-auth docs link (#8380),0.6755825,"Please upgrade to @keystone-6/auth >= 1.0.2 (this patch), where this vulnerability has been closed.",,0
Add support for Prisma Data Proxy engines (#8370),0.8187426,"[core] Adds support for Prisma Data Proxy client generation, automatically enabled for db.url's with a prisma: prefix (#8370) @borisno2",,1
chore(deps): update dependency next-sitemap to v4 (#8379),0.5983543,#5601 module Thanks @renovate! - Updated Next.js dependency to module.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency @vercel/og to ^0.4.0 (#8378),0.5419869,- CVE-2022-36313 - An upstream transitive dependency file-type is vulnerable to a ReDoS. We have upgraded to a version of file-type where this is resolved.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Reduce Nexus example to define extension inline (#8375),0.51620394,Nexus Example 🪢,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Resolves type error in generated types when using db.prismaClientPath on windows (#8373),0.68397987,[core] Fixes the .keystone/types import paths when using db.prismaSchemaPath on Windows (#8373) @borisno2,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
Update Vercel action name (#8363),0.425,⚠️ We found changes that cannot be executed:,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
docs: Fix a few typos (#8367),0.5249155,Updated minor typos in GraphQL errors.,There are small typos in: - docs/pages/docs/guides/auth-and-access-control.md - docs/pages/docs/guides/custom-admin-ui-pages.md - examples/nextjs-keystone/next.config.js - examples/script/README.md - packages/core/src/admin-ui/TODO.md Fixes: - Should read explicitly rather than explicity. - Should read escape rather than esacape. - Should read dynamically rather than dyamically. - Should read alignment rather than allignment. - Should read adhere rather than ahdere. Signed-off-by: Tim Gates tim.gates@iress.com,0
Fix typo in testing documentation (#8364),0.4891627,#5212 module Thanks @timleslie! - Moved test fixtures into the new packages.,,0
Add Vercel GitHub CI action (#8362),0.3727297,Like this release? Give us a star on GitHub!,add Vercel CI actions rename to vercel.*.yml add missing env,0
remove dead link (#8361),0.5098084,#5122 module Thanks @mitchellhamilton! - Fixed module not rendering links,,0
add start --with-migrations tests (#8360),0.70998836,#5759 module Thanks @timleslie! - Suppresed migration console output when running tests.,,1
Version Packages (#8338),0.63667387,The following packages have been updated,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Prepare for minor release (#8348),0.55788934,⚠️   This release contains a breaking change! Please read the instructions below.,Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,0
update yarn.lock (#8358),0.42389482,"[core] Removes prompt when using CLI --frozen flag and a schema is out of date, CLI now exits (#8545) @borisno2",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
"Update schema-type-printer to output ""never"" for omitted GraphQL types (#8355)",0.71247435,[core] Adds contextualised types when using the graphql export for GraphQL schema extensions (#7877) @dcousens,Co-authored-by: Josh Calder josh@opensaas.com.au,1
Fix behavior of keystone start --with-migrations (#8354),0.9299811,[core] Fixes keystone start --with-migrations exiting after a migration (#8354) @acburdine,Co-authored-by: Josh Calder josh@opensaas.com.au,1
Fix list-level graphql.omit syntax. (#8352),0.91280854,[core] Fixes list-level graphql.omit syntax to match the field-level graphql.omit (#8352) @acburdine,Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,1
