Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
100,2.0.1,0.8343897,v2.0.0 🎉,,1
101,export TYPES on @pixi/react instead (#384),0.8525589,export TYPES on @pixi/react instead by @baseten in link,,1
102,Use function components in type declaration file,0.6612767,"Add Context types AppContext, AppProvider and AppConsumer to type declaration file.",Fix assignment of missing config object,0
103,Update hostconfig,0.7861676,Implement the prepareUpdate hook of the reconciler hostconfig.,,1
104,Merge pull request #95 from inlet/fix-types,0.43229508,Fix Docs by @baseten in link,,0
105,Add test,0.7525997,Tests,,1
106,Merge pull request #61 from EloB/patch-1,0.49262103,"Performance fixes, thanks to @EloB ",,0
107,Create new output formats,0.6043039,Build outputs:,,0
108,Add git repo to docz,0.58021843,Update Docz,,0
109,Add public API and move Stage to its own file,0.46048236,Add postinstall.js to npm files and move replace-in-file to deps,Prevent auto destroy,0
110,Merge pull request #228 from inlet/update-resolution-auto-density,0.46692842,Update renderer resolution on options.resolution change,,0
111,Update repo structure (#363),0.6830096,Update repo structure by @baseten in link,,0
112,Remove docs from repo,0.67709994,Remove docz ready for release by @baseten in link,,0
113,Merge pull request #43 from inlet/build-formats,0.4457189,export TYPES on @pixi/react instead by @baseten in link,,0
114,1.2.8,0.66584,v2.0.0 🎉,,0
115,Typings for animated components,1.0000001,Typings for animated components,,1
116,Add module.js to npm files,0.67566156,Update npm modules,,0
117,Merge pull request #305 from adsko/fix-config,0.41830498,Update configs,Make react-spring work with  components,0
118,Export animated,0.77151436,AnimatedSprite: link,,1
119,0.4.4,0.75367695,v2.0.0 🎉,,1
120,Merge pull request #104 from wtgtybhertgeghgtwtg/use-options-view,0.4974748,Move sideEffects false to each package by @baseten in link,,0
121,1.1.9,0.72301424,},,1
122,Add pixi helper isPointType,0.77256215,Add PixiFiber,,1
123,Update,0.9534285,Updated,,1
124,"Update ParticleContainer, pass down properties",0.52887267,Update modules,,0
125,Move hostconfig to a new file to isolate it for testing,0.6432382,Implement the prepareUpdate hook of the reconciler hostconfig.,,0
126,Support refs in definition file,0.72176206,Use refs,Updated animated.d.ts to point to correct type references,1
127,6.5.0,0.66332746,v2.0.0 🎉,,0
128,Fix graphics spec,0.6677872,Graphics preventDefault prop.,,0
129,Merge pull request #133 from RodrigoHamuy/expose-applyDefaultProps,0.52355117,"Change the applyDefaultProps behaviour, fixes #235 ",,0
130,Use the alpha reconciler to support latest React,0.83180857,Support newest React version. (react-reconciler),Fix skipped return statement in custom applyProps,1
131,Add files to package.json,0.60606366,Add starter codesandbox/ci.json by @baseten in link,,0
132,Only set direct value if value is not undefined. Fix #235,0.56010634,"Change the applyDefaultProps behaviour, fixes #235 ",,0
133,Add createRoot API (#392),0.74156857,Add createRoot API by @baseten in link,,1
134,Update npm modules with new reconciler,0.87955856,Update npm modules,,1
135,Fix filter props,0.64506197,"Filter Wrapper support, thanks to @paolotozzo",,0
136,Export unmountComponentAtNode,0.7529355,Stage now uses the unmountComponentAtNode on componentWillUnmount,,1
137,"Pass instance to didMount, willUnmount and applyProps",0.50866437,Expose applyDefaultProps  for Custom Components.,,0
138,"Update tests, use @testing-library/react to test hooks",0.922992,@testing-library/react for testing hooks correctly,,1
139,Create element needs to handle custom components,0.85202944,Add fixes for element creation regarding the config for custom components,,1
140,Rename defaults to props,0.54255164,Make prop { options: { resizeTo } }  for  optional.,,0
141,0.7.1,0.71797436,v2.0.0 🎉,,1
142,Bootstrap node style,0.5817746,Node modules,,0
143,update to the readme (#415),0.74535584,update to the readme by @GoodBoyDigital in link,,1
144,5.1.3,0.6581763,},,0
145,use visible property instead of alpha,0.3804978,Expose AppContext,,0
146,Update react-spring to latest dependencies,0.7670094,Update react-spring types,,1
147,Update module locations to new type location,0.64699113,Update modules,,0
148,Use PIXI's built-in autoDensity,0.7358114,Add higher order component for providing the PIXI.Application:,,1
149,4.1.1,0.60780203,v2.0.0 🎉,,0
150,Test getTextureFromProps,0.55092776,@testing-library/react for testing hooks correctly,,0
151,Update package.json,0.56785226,Forcing a newer jsdom,,0
152,5.2.0,0.7940994,v2.0.0 🎉,,1
153,Fix #197,0.5598326,Errors,Update README.mdx,0
154,Fix parsing bitmap data in jsdom,0.63533974,Fix BitmapText double destroy bug by @baseten in link,,0
155,Add packages to dev dependencies,0.53562355,Modular Packages by @baseten in link,,0
156,Cache listeners,0.6013396,Performance for adding/removing event listeners.,,0
157,Fix README,0.6708933,Update README and docs,,0
158,Fix useTick with enabled state,0.6340357,The useTicker hook now correctly unmounts,,0
159,Remove lodash and use sub packages,0.88224906,Remove lodash and use lodash submodules instead,,1
160,Allow object with x/y property for PointLike type,0.65551996,Make skew a PointLike type,,0
161,Merge pull request #254 from inlet/support-react-17,0.5478693,Update to support React 18 by @baseten in link,Update README & Docs,0
162,Merge pull request #22 from inlet/update-ts-def,0.4597075,Move update events from window to root container,,0
163,Merge pull request #227 from inlet/render-on-prop-change,0.4667908,import { Stage } from '@inlet/react-pixi/legacy';,,0
164,Add AppProvider usage description in hooks docs (#420),0.90952015,Add AppProvider usage description in hooks docs by @AndreasWintherMoen in link,,1
165,Include reconciler interface,0.71375924,React reconciler,,1
166,Patch react-spring for now (bug),0.6470239,Update react-spring types,,0
167,Ignore react-spring eslint,0.71610487,React Spring,,1
168,Use latest node,0.8069288,Support latest NodeJS,Unmount component at node,1
169,Merge pull request #88 from inlet/fix-double-events,0.47446185,Support Federated Events API,,0
170,Partly implement and test Stage,0.67392576,Tests,,0
171,Merge pull request #177 from dangen-effy/patch-1,0.47756124,New updated withFilters HOC. see link,,0
172,Update resolution,0.7744581,Update renderer resolution on options.resolution change,,1
173,0.0.11,0.66637117,v2.0.0 🎉,,0
174,Add Stage component,0.7253865,Add additional components,,1
175,Test module exports,0.6110873,module,,0
176,Catch errors in Stage,1.0,Catch errors in Stage,,1
177,:recycle: remove some test.skip,0.5764928,Removed,,0
178,Merge pull request #216 from spassvogel/fix-ts-1.2.17,0.4791715,New updated withFilters HOC. see link,,0
179,Update yarn lock,0.45499772,Update configs,Provide more info in text node error,0
180,Fix tests,0.77383226,Update tests,,1
181,Add legacy to npm files,0.5843011,Update npm modules,,0
182,🐞 Fixed wrong lifecycle method name,0.45126837,"Change the applyDefaultProps behaviour, fixes #235 ",,0
183,Fix type definitions for container,0.6957741,Type def for Container,,0
184,Move getTextureFromProps to props,0.63002324,Update texture prop on AnimatedSprite,,0
185,Merge pull request #79 from inlet/update-usetick-hook,0.52170455,Update to React 16.7. Now with hooks!,,0
186,Add Stage to docz,0.6426158,Stage onUnmount prop,,0
187,0.1.2,0.74761575,v2.0.0 🎉,,1
188,Remove redundant list of elements,0.5828661,Removed,,0
189,Make raf dynamic,0.7167626,Make Stage RAF dynamic,,1
190,Ignore local examples,0.40648222,Remove lodash and use lodash submodules instead,,0
191,Prettier,0.55999154,},,0
192,Merge pull request #296 from negomansini/master,0.4293121,Remove docz ready for release by @baseten in link,,0
193,withFilters is missing in typings.d.ts #158,0.5879342,withFilters to type definition,,0
194,Add apply default props,0.71097344,Expose applyDefaultProps  for Custom Components.,,1
195,6.0.0,0.71385217,v2.0.0 🎉,,1
196,fix issue with updating animated sprite texture,0.83771735,Update texture prop on AnimatedSprite,,1
197,fix spelling mistakes in readme.,0.481218,Typings,useTick wont crash trying to remove null ticker,0
198,"Fix type of ""ref"" property on custom component",0.7379038,Ref's in custom components (PixiComponent):,,1
199,Replace pixi-react PIXI package import with scoped packages (#391),0.8793749,Replace pixi-react PIXI package import with scoped packages by @baseten in link,,1
200,Launch V7 (#394),0.71450055,Launch V7 by @baseten in link,See link,1
201,Fix test,0.733273,Update tests,,1
202,4.1.3,0.62894225,},,0
203,1.1.1,0.58673966,},Unmount sub children,0
204,Use beta rollup plugin babel,0.59244394,Rollup config,,0
205,Don't delete the repository field during the build phase,0.548651,Do not create builds on CI,,0
206,Add test fixtures,0.6886237,Update tests,,0
207,Merge pull request #93 from miracle2k/patch-1,0.4174264,Fix BitmapText double destroy bug by @baseten in link,,0
208,0.0.5,0.7086226,v2.0.0 🎉,,1
209,Update reconciler,0.7676832,Upgrade modules (including new React Reconciler),Support react 17,1
210,Supply an optional eventMap to tap into reconciler methods from outside,0.6381444,"Expose eventHandlers, allowing you to create custom DisplayObject events ",,0
211,Fix serialize-javascript vulnerability,0.4320259,Forcing a newer jsdom,,0
212,add options.view test,0.5476235,Provide options.view to Stage props.,,0
213,"Update type defs, fix #202",0.5770925,Update configs,,0
214,Update type defs,0.5978942,Type defs for Sprite and SimpleMesh,,0
215,0.1.4,0.71485686,v2.0.0 🎉,,1
216,Add circle test badge to README,0.4636355,CircleCI,,0
217,fix borked versions (#397),0.7504127,Fix borked versions by @baseten in link,,1
218,5.0.1,0.7082844,v2.0.0 🎉,,1
219,4.1.2,0.6682359,v2.0.0 🎉,Support fallback to Canvas,0
220,Add examples,0.7648993,Example:,,1
221,6.2.1,0.6778363,v2.0.0 🎉,,0
222,Merge pull request #157 from inlet/fix-react-reconciler-dep-in-typing,0.57913685,Upgrade React Reconciler (new API),,0
223,Update index.js (#430),0.51427245,Update repo structure by @baseten in link,,0
224,5.1.4,0.6167624,},,0
225,Fix texture not updating,0.6740384,Update texture prop on AnimatedSprite,,0
226,Merge pull request #136 from inlet/dependabot/npm_and_yarn/eslint-utils-1.4.2,0.45803678,Implement the prepareUpdate hook of the reconciler hostconfig.,,0
227,Update babelrc to generate commonjs,0.5632997,Forcing a newer jsdom,,0
228,Add docusaurus (#366),0.71175206,Add docusaurus by @baseten in link,,1
229,Fix SimpleMesh types,0.64097476,Type defs for Sprite and SimpleMesh,,0
230,Build umd and es with rollup,0.6689522,Rollup config,,0
231,Update snapshot for display object props,0.69246733,source and video props on DisplayObjects like ,,0
232,Add circle.yml,0.6402818,CircleCI,,0
233,Merge pull request #32 from EloB/patch-1,0.52104634,"Performance fixes, thanks to @EloB ",,0
234,Fixed an issue with the insertBefore method that was causing children of a container to sometimes be in an indeterminate order after re-ordering. (#423),0.46112546,Errors,,0
235,Update modules to meet the new react reconciler,0.91706616,Upgrade modules (including new React Reconciler),,1
236,Add util spec,0.66711724,Add,,0
237,v7.0.3,0.71285576,Prep for v7 release by @baseten in link,,1
238,Merge pull request #146 from pengx17/missing-sprite-ts-anchor,0.5197551,"import { Stage, Sprite } from '@inlet/react-pixi'",,0
239,Add babel module resolver to replace pixi.js-legacy import,0.7245607,Replace pixi-react PIXI package import with scoped packages by @baseten in link,,1
240,Fix stage spec,0.6464977,Catch errors in Stage,,0
241,Add comments,0.7236147,Add,,1
242,Merge pull request #223 from cometkim/patch-1,0.46541166,Move sideEffects false to each package by @baseten in link,,0
243,Test reconciler,0.73382616,React reconciler,,1
244,use view from options,0.5560379,Provide options.view to Stage props.,,0
245,Update mdx files and make it work with the augmented react-pixi module,0.7020663,Support for updating the PIXI stage on React component change 🙌 ,Support for react-spring,1
246,0.1.6,0.77612996,v2.0.0 🎉,,1
247,Add applyDefaultProps to type def,0.7694956,Add applyDefaultProps to type definition and update docs,,1
248,Fix docz build,0.8176229,docz (added a temporary fix to make the build pass),,1
249,Merge pull request #261 from spassvogel/ticker-null,0.4547627,The useTicker hook now correctly unmounts,,0
250,Create eventsMap in the custom renderer and pass it down to injectDevTools,0.7831793,"Expose eventHandlers, allowing you to create custom DisplayObject events ",,1
251,Merge pull request #12 from inlet/update-props-for-builtin-components,0.53062636,Replace pixi-react PIXI package import with scoped packages by @baseten in link,,0
252,update to react 18,0.7587818,Update to React v16.6.,,1
253,Remove FunctionTypes for Container as it filters out any type as well,0.5744733,Add unmountComponentAtNode to remove a container from internal roots list,,0
254,Lint,0.6641697,Fix linting,,0
255,Create custom PIXI Components,0.78904057,Add higher order component for providing the PIXI.Application:,,1
256,Add a validation check if callback is a valid function,0.4670856,Update tests,,0
257,Merge pull request #246 from inlet/feature/react-spring-support,0.6257459,Compatible with react-spring@next (v9+). Note that older versions of react-spring don't work as they have a different API.,,0
258,Fix #203,0.63412404,"Change the applyDefaultProps behaviour, fixes #235 ",,0
259,Lint files,0.56746024,Fix linting,,0
260,1.2.6,0.73274624,v2.0.0 🎉,,1
261,v7.1.0,0.7010624,Prep for v7 release by @baseten in link,,1
262,Do not lint docs,0.567732,Remove docz ready for release by @baseten in link,,0
263,Use autoDensity by default,0.78129625,"Default autoDensity=true, you can disable it: ",,1
264,Add invariant as util,0.9171419,Use invariant as util,,1
265,Update snapshot,0.6547116,Updated,,0
266,Merge pull request #196 from inlet/fix-animated-sprite,0.5736816,"import { Stage, Sprite } from '@inlet/react-pixi'","Fix type of ""ref"" property on custom component",0
267,Add to type def,0.67621696,Type def for hooks,,0
268,Update react-spring,0.9052577,Update react-spring types,Use PIXI's built-in autoDensity,1
269,0.1.1,0.7769384,v2.0.0 🎉,,1
270,Test useTick teardown unmount,0.69124395,Teardown  components,"The type of ""ref"" property on the class component always be a reference to an instance of a class component. But in react-pixi, it's a Pixi instance, so should set it to a function component and specify the type of ref property.",0
271,Merge pull request #206 from hirotomk/master,0.46988285,New updated withFilters HOC. see link,,0
272,"Revert ""Modular Packages (#407)""",0.59527445,Update modules,This makes null a valid value.,0
273,Update docz,0.95902073,Update Docz,,1
274,Merge pull request #311 from CreativeTechGuy/master,0.45323277,Remove docz ready for release by @baseten in link,Make compatible with pixi 5.3+,0
275,Ignore docz cache,0.6349472,Versioned cache for CircleCI,,0
276,6.6.2,0.5928936,v2.0.0 🎉,,0
277,Try a GH action instead of circle (#431),0.70363253,Try a GH action instead of circle by @baseten in link,,1
278,Merge pull request #335 from sabigara/support-federated-events,0.5434413,Support Federated Events API,,0
279,Bump handlebars from 4.1.0 to 4.1.2,0.48882666,The useTicker hook now correctly unmounts,,0
280,update package.lock,0.6266352,Update configs,,0
281,Implement unmountComponentAtNode,0.8466516,Stage now uses the unmountComponentAtNode on componentWillUnmount,,1
282,Merge pull request #31 from inlet/fix-cursor-prop,0.50510395,Implement the prepareUpdate hook of the reconciler hostconfig.,,0
283,Add a config object to control instance destroy and destroy children manually,0.44318214,"You can now provide a config object in a PixiComponent to control the the reconciliation behaviour, see:",,0
284,Convert to monorepo (#364),0.7035141,Convert to monorepo by @baseten in link,"Remove ""preventRedraw"" prop from index.d.ts",1
285,4.0.0,0.73824084,v2.0.0 🎉,,1
286,1.2.15,0.7336085,},,1
287,Implement App Provider and Consumer,0.6838039,Use AppProvider and AppConsumer in custom render(),Support rendering of multiple apps,0
288,Add unmount prop,0.6696965,Stage now uses the unmountComponentAtNode on componentWillUnmount,,0
289,1.2.5,0.7279033,v2.0.0 🎉,,1
290,Merge pull request #302 from inlet/apply-default-props-in-react-spring,0.6258821,Compatible with react-spring@next (v9+). Note that older versions of react-spring don't work as they have a different API.,,0
291,update type definition for withFilters,0.77182055,Type definition for withFilters,,1
292,Update type def,0.6331245,Updated type definitions,,0
293,Upgrade react to work with newer Context API,0.83690673,Use new React Context API,,1
294,Merge pull request #237 from vimcaw/fix-custom-component-ref-type,0.47619706,"Change the applyDefaultProps behaviour, fixes #235 ",,0
295,Merge pull request #181 from EloB/patch-2,0.5061259,"Performance fixes, thanks to @EloB ",,0
296,Fix dependecies and use correct peer dependecies,0.6779579,dependecies,,0
297,6.6.3,0.52550125,v2.0.0 🎉,,0
298,Update withFilter type,0.7196592,Add applyDefaultProps to type definition and update docs,,1
299,Add test to use useContext,0.6253448,Use new React Context API,,0
300,Merge pull request #116 from fabienjuif/pixiv5,0.55756426,export TYPES on @pixi/react instead by @baseten in link,,0
301,Add PIXI.AnimatedSprite support (link),0.8026891,Add PixiFiber,,1
302,Update babel,0.7812879,Update Babel,,1
303,"Some helper methods are borrowed from others, let's give them credits",0.5282445,Helper utilities,,0
304,1.3.2,0.7511991,v2.0.0 🎉,Update resolution,1
305,Update type definition. More support and include interaction events,0.71476185,Updated type definitions,,1
306,Merge pull request #11 from xaviergonz/patch-1,0.46080828,Move sideEffects false to each package by @baseten in link,,0
307,"Always test silent, skip logs",0.4838522,@testing-library/react for testing hooks correctly,,0
308,Implement position and scale of TilingSprite,0.46623692,Support for prop isSprite on Text component to render it as a texture and speed up performance. thanks @paolotozzo,,0
