Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
69,Bump moment from 2.29.1 to 2.29.2 (#1143),0.59904516,Bump axios to v1.x by @ankurk91 in link,"[5.x] Failed jobs list: Modify job retried tooltip label to include status of last retry [5.x] Failed jobs list: Modify job retried tooltip label to include status of last retry Simplified logic by removing unnecessary checks, since when method is called there will always have been a retry [5.x] Failed jobs list: Modify job retried tooltip label to include status of last retry Updated comment Update index.vue Update index.vue Co-authored-by: Jeandre van Zyl jeandre@sinov8.net Co-authored-by: Taylor Otwell taylor@laravel.com",0
70,Fix pagination for recent jobs,0.92413646,Fix pagination for recent jobs (#678),,1
71,Merge pull request #796 from laravel/dependabot/npm_and_yarn/acorn-6.4.1,0.6153542,Merge tags from payload (#843),Bumps moment-timezone from 0.5.33 to 0.5.35. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: moment-timezone   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
72,Update PHPDoc variable type,0.62339467,Add some PHP 8.1 fixes (#1100)﻿,,0
73,Respect the prefers-color-scheme setting (#1275),0.84082043,Respect the prefers-color-scheme setting by @ramonrietdijk in link,Boyscouting WIP: TDD Code style Remove unused event Ignore queues with wait time of 0,1
74,fix for missing first failed job when searching,0.9505863,Fix for missing first failed job when searching (#593),,1
75,Use proper date format in changelog,0.46862698,Make Year of readableTimestamp more readable (#535),,0
76,Updates vue-router.,0.8253356,Updated vue-router to v3.0 (#493),,1
77,Update _components.panels.less,0.49500665,Another way for tags displaying & collapsible panels (#754),,0
78,Apply fixes from StyleCI (#662),0.6192729,Fix Layout issues (#821),,0
79,remove deprecated option,0.6917379,Removed,Bumps moment from 2.29.2 to 2.29.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: moment   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
80,recompile for production,0.44041762,"Revert ""Prevent horizon:purge from killing too many processes"" (#831)",Bumps terser from 4.8.0 to 4.8.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: terser   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
81,Merge pull request #89 from laravel/workloadFixesForNoBalancing,0.6109135,Merge tags from payload (#843),,0
82,Allow the slack channel to be specified,0.50378525,Add signal option to horizon:purge (e.g. SIGKILL) by @crishoj in link,"when register horizon, keep the original redis options, only overwrite prefix delete space Update Horizon.php Co-authored-by: Taylor Otwell taylor@laravel.com",0
83,Merge pull request #234 from paulofreitas/badges,0.6389128,Merge tags from payload (#843),,0
84,Merge pull request #676 from driesvints/fix-tests,0.5831575,Fix findFailed method (#478),,0
85,recompile assets after JS changes,0.5151031,Reset the retryUntil value (#736),,0
86,Merge pull request #506 from halaei/prevent-horizontal-scroll,0.52758193,Merge tags from payload (#843),,0
87,Remove determinePeriod from RedisJobRepository,0.5877401,Fix breaking change with createPayload method on RedisQueue (b79bb27),,0
88,Update .editorconfig,0.507867,Require latest symfony/debug version (72cc3a7),Automatically compile and commit assets wip wip Re-use workflow wip wip Compile Assets Delete RELEASE.md Co-authored-by: driesvints driesvints@users.noreply.github.com,0
89,remove unused variable,0.6752122,Remove unused functions (#722),Bumps async from 2.6.3 to 2.6.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: async   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
90,[5.x] Unified asset publishing (#1045),0.96417725,Unified asset publishing (#1045)﻿,,1
91,Require symfony/process,0.80949044,Require symfony/process (f2a214c),"Checking the ""viewHorizon"" gate first before checking if its local environment.",1
92,[5.x] Add commands to pause and continue supervisors (#914),0.94814634,Add commands to pause and continue supervisors (#914),Bumps moment from 2.29.1 to 2.29.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: moment   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
93,Merge pull request #863 from laravel/dependabot/npm_and_yarn/lodash-4.17.19,0.6011522,Merge tags from payload (#843),,0
94,Added fallback font (#964),0.9740068,Add fallback font (#964)﻿,,1
95,Merge pull request #3 from ntzm/patch-2,0.57080823,Merge tags from payload (#843),,0
96,Merge pull request #739 from iamgergo/3.0,0.5993395,Merge tags from payload (#843),,0
97,Bump lodash from 4.17.11 to 4.17.13,0.66444594,Bump minimum Laravel version (#954)﻿,This reverts commit 801506b566eeda9a9bb1b92a199878c59c9cabcb.,0
98,Use collapse() on collection instead of using array helper.,0.43282652,Accept array format for exponential backoff (#926)﻿,,0
99,Publish the entire public dir,0.47515336,Unified asset publishing (#1045)﻿,,0
100,Create .gitattributes,0.44002664,Add autoScalingStrategy option by @cosmastech in link,move contents of horizon div to separate component dont remove google fonts fix assetsAreCurrent,0
101,fast_termination config and --wait option,0.54844797,Considering queue config parameter 'after_commit' (#948) ,,0
102,Improves GitHub Actions Workflow (#1193),0.54009724,Improve completed jobs UI (#1064)﻿,,0
103,update Bootstrap to stable version,0.53168285,Updated version constraints for Laravel 6.0 (b547cb2),,0
104,Remove unused functions,0.89832747,Remove unused functions (#722),,1
105,fix encoding,0.81843936,"Fix encoding (ef0c45a, 9e3748e)",,1
106,Update HorizonCommand.php,0.5956011,Add some PHP 8.1 fixes (#1100)﻿,,0
107,Use stricter comparisons,0.32871756,Respect the prefers-color-scheme setting by @ramonrietdijk in link,,0
108,Considering queue config parameter 'after_commit' (#948),1.0,Considering queue config parameter 'after_commit' (#948) ,,1
109,Merge branch '4.x' into master,0.348022,Add some more defaults to supervisor (#1122),,0
110,Added test to verify amount of processes goes up for busy queue,0.6270585,"Show workload also per queue when balancing is disabled (#966, b4e8c6a﻿",Forget job timer in case of exception or failed job Remove trailing whitespace,0
111,Suggest predis instead of requiring it,0.9166836,Suggest predis instead of requiring it (#531),,1
112,Abstract controller tests,0.38840634,Trigger MasterSupervisorDeployed event (#839),,0
113,[5.x] Clarify button purpose (#991),0.94205064,Clarify button purpose (#991)﻿,,1
114,merge master,0.47447473,Custom MasterSupervisor name breaks dashboard (#619),,0
115,Merge pull request #643 from ivantorgov/master,0.5199764,Merge tags from payload (#843),,0
116,fix docblocks,0.44480067,Fix worker command binding (3b53310),,0
117,float scale,0.42604494,Scale to the maxProcesses if timeToClearAll is zero (#718),,0
118,Enable StyleCI,0.4806546,Add autoScalingStrategy option by @cosmastech in link,Bumps follow-redirects from 1.14.5 to 1.14.8. - Release notes - Commits updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
119,Update .gitattributes,0.5494453,Unnecessary param to refreshStatsPeriodically by @peterlupu in link,Bumps nanoid from 3.1.30 to 3.2.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: nanoid   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
120,Merge pull request #802 from vemcogroup/4.x,0.5529691,Merge tags from payload (#843),,0
121,Apply fixes from StyleCI (#1012),0.6135045,Fix Layout issues (#821),,0
122,Merge pull request #754 from Cannonb4ll/3.0,0.64135724,Merge tags from payload (#843),,0
123,user web middleware,0.46694586,Predis v2 support by @driesvints in link,,0
124,Removes unused layout.blade.php file.,0.48408616,Remove unused functions (#722),,0
125,Merge pull request #430 from driesvints/update-function-calls,0.5699963,Fix deprecated process calls (#515),,0
126,Fix issue with maximum processes,0.6828253,Adjust auto scaling to always use the max processes (#627),,0
127,[3.0] orchestra/testbench doesn't need orchestra/database since Laravel 5.6.0,0.6190835,Removed support for Laravel 5.5 & 5.6 (8a92e09),,0
128,tweak ordre,0.6060409,Changed,Resolve issue with php strict type related to the issue link Update RedisMetricsRepository.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
129,Show paused status on every master,0.8006997,"Ability to see which masters are paused and only show paused if everything is paused (#929, f9b5aea)",,1
130,Fix beforeDestroy,0.54211223,"Revert ""Prevent horizon:purge from killing too many processes"" (#831)",,0
131,Merge pull request #710 from laravel/symfony5,0.57493126,Merge tags from payload (#843),,0
132,remove shim,0.619437,Removed,,0
133,Update 'New Tag' placeholder to reflect location of models in Framework 8.x,0.47010463,"Fix php 7.4 tagged model typed props (#732, 025f953)",,0
134,Merge pull request #278 from francislavoie/patch-1,0.5447949,Merge tags from payload (#843),,0
135,Simplifying horizon:status implementation,0.77103925,Adding horizon:status command (#545),,1
136,update expiration values,0.5825921,Update outdated compiled assets (2a420af),,0
137,[5.x] A fresh coat of paint (#1242),0.81649095,A fresh coat of paint by @jessarcher in link,,1
138,Merge branch '4.x' into H/rafalglowacz/horizon-purge-killing-processes-of-other-instances,0.645593,Prevent horizon:purge from killing too many processes (#820),,0
139,Provide an editorconfig file,0.49448338,Implement default environment (#869),,0
140,cs fix spacing,0.3837217,Reduce bundle size (#1091),,0
141,Add app_name,0.7174593,Add app name to dashboard (#605),,1
142,Added missing $queue argument to createPayloadRequest() call to ensure $queue and $data properly retained.,0.61094105,Use callAfterResolving to register QueueManager (#1089)﻿,Create RELEASE.md Update .gitattributes,0
143,Fixes phpdocs,0.74841315,Add some PHP 8.1 fixes (#1100)﻿,PHP 8.1 support Update phpunit.xml.dist,1
144,Merge pull request #494 from mvdnbrk/2.0,0.5723297,Merge tags from payload (#843),,0
145,[5.x] Add secs to y-axis ticks' for clarity (#903),0.9778941,Add secs to y-axis ticks' for clarity (#903)﻿,,1
146,Merge pull request #578 from laravel/analysis-qMZNYK,0.53430533,Merge tags from payload (#843),,0
147,[5.x] Make autoscaling rate configurable (#874),0.9417082,"Make autoscaling rate configurable (#874, 9af71de)",Update page title when switching between Pending and Completed views Update index.vue Co-authored-by: Taylor Otwell taylor@laravel.com,1
148,Refactor storing job references,0.5417408,Ability to view job details in recent jobs overview (#751),,0
149,fix laravel/horizon#730 php 7.4 uninitialized property type detection,0.56757814,"Fix php 7.4 tagged model typed props (#732, 025f953)",,0
150,revert test value,0.6144961,Reset the retryUntil value (#736),,0
151,Compile assets and update versions,0.7433619,Update outdated compiled assets (2a420af),,1
152,remove less,0.70859945,Removed,,1
153,Use ::class syntax in EventMap,0.45181167,Trigger MasterSupervisorDeployed event (#839),,0
154,Update RELEASE.md,0.5480339,Require latest symfony/debug version (72cc3a7),,0
155,give it more time to terminate,0.6021905,Rename timeoutAt to retryUntil & delay to backoff (6d00eb9),,0
156,Update page title when switching between Pending and Completed views (#1084),0.9999999,Update page title when switching between Pending and Completed views (#1084)﻿,,1
157,"Revert ""[4.x] Graceful shutdown on SIGTERM also""",0.51515895,"Ability to see which masters are paused and only show paused if everything is paused (#929, f9b5aea)",,0
158,use enqueueUsing when pushing delayed jobs (#939),0.9996089,Use enqueueUsing when pushing delayed jobs (#939),Improve completed jobs UI Update preview.vue Update preview.vue Co-authored-by: Taylor Otwell taylor@laravel.com,1
159,Merge pull request #311 from elghobaty/1.0,0.5980233,Merge tags from payload (#843),,0
160,Merge pull request #477 from driesvints/fix-decimal-point,0.5780188,Fix findFailed method (#478),,0
161,public/css and public/js no longer used,0.31671596,Uses PHP Native Type Declarations 🐘 by @nunomaduro in link,Co-authored-by: Hylke de Vries hylke94+git@gmail.com,0
162,Update Horizon.php,0.62148404,Bump minimum PHP version to PHP 7.3 (ca9ddda),,0
163,Merge branch 'workload-per-queue' of link into workload-per-queue,0.52557856,"Show workload also per queue when balancing is disabled (#966, b4e8c6a﻿",[5.x] Unified asset publishing Update HorizonServiceProvider.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
164,Bump websocket-extensions from 0.1.3 to 0.1.4,0.55346423,Bump axios to v1.x by @ankurk91 in link,,0
165,Improve wording of error message (#918),1.0,Improve wording of error message (#918),Use environment variables to set horizon's domain or path. This follows the same pattern used in telescope.,1
166,Merge pull request #738 from GrahamCampbell/patch-1,0.62655884,Merge tags from payload (#843),,0
167,update branch alias,0.39535284,Changed default Redis prefix (#643),,0
168,Build assets,0.66677487,Compiled assets (1dcbb96),Revert app layout pr Apply fixes from StyleCI (#1025),0
169,Merge pull request #409 from browner12/less-less,0.5550456,Merge tags from payload (#843),,0
170,Merge pull request #678 from sebdesign/3.0,0.5336074,Merge tags from payload (#843),,0
171,Bump async from 2.6.3 to 2.6.4 (#1150),0.5966437,Bump axios to v1.x by @ankurk91 in link,,0
172,Add release instructions (#1090),0.49951643,Add maintenance notice on dashboard (#911),,0
173,Fix missing variable use in anonymous function (#1244),0.76661164,Fix missing variable use in anonymous function by @joshuaruesweg in link,remove faulty !,1
174,Apply fixes from StyleCI (#827),0.6513065,Fix Layout issues (#821),,0
175,Let user choose custom env ,0.90195966,Let user choose custom env (#483),,1
176,use HTTPS links where appropriate,0.51310885,"Revert ""Make horizon work with strict content-security-policy"" by @driesvints in link",,0
177,Bump nanoid from 3.1.30 to 3.2.0 (#1118),0.5438744,Bump minimum Laravel version (#954)﻿,,0
178,Update CHANGELOG.md,0.64041364,Changed,,0
179,fix balance false display on dashboard,0.91938525,Fix balance false display on dashboard (88c84ac)﻿,,1
180,Merge pull request #912 from CharbelJ/patch-4,0.5737276,Merge tags from payload (#843),,0
181,Merge pull request #672 from laravel/dependabot/npm_and_yarn/mixin-deep-1.3.2,0.5834839,Merge tags from payload (#843),,0
182,Merge pull request #532 from driesvints/fix-no-failing-jobs-problem,0.7114488,Fix no failing jobs problem (#532),,1
183,set default 'tries' to 1,0.8799118,Set default 'tries' to 1 (#704),,1
184,"when register, keep the original redis options, only overwrite prefix (#1161)",0.8409264,"When register, keep the original Redis options, only overwrite prefix by @nthsky in link",,1
185,Merge branch 'no-sleep' of link into halaei-no-sleep,0.47882086,Implement Silenced interface by @driesvints in link,Add Supervisor Rest Option Change argument order to prevent breaking change,0
186,pending signals,0.5286008,Fix delayed until on pending jobs screen (#907),,0
187,Merge pull request #448 from ashutoshSce/valid-doctype-declaration,0.5240153,Merge tags from payload (#843),,0
188,Allow custom dashboard failed jobs metric,0.8617003,Allow custom dashboard failed jobs metric period (#644),Clarify button purpose Update preview.vue Co-authored-by: Taylor Otwell taylor@laravel.com,1
189,[5.x] Allow any queued class to be silenced (#1241),0.7730974,Allow any queued class to be silenced by @lioneaglesolutions in link,,1
190,Bump json5 from 1.0.1 to 1.0.2 (#1233),0.57209235,Bump axios to v1.x by @ankurk91 in link,,0
191,Merge pull request #698 from GrahamCampbell/patch-1,0.6277176,Merge tags from payload (#843),,0
192,Tweak Horizon Alias,0.5491606,Unhide horizon command  (#878),,0
193,Update dependencies,0.6070385,Bumped minimum dependencies to Laravel 7.0 (#710),throw exception when minProcesses is set to zero Update ProvisioningPlan.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
194,Merge pull request #814 from joecampo/monitoring-patch-1,0.57723224,Merge tags from payload (#843),,0
195,Display worker CPU and memory utilization in supervisor list,0.9788819,Display worker CPU and memory utilization in supervisor list (#589),,1
196,"Revert ""[4.0] Change format""",0.5563929,Revert app layout PR (#1026)﻿,,0
197,Don't display status icon until stats.status is initialised,0.56766254,Updated overview stats labels on the dashboard (#461),Bumps elliptic from 6.5.3 to 6.5.4. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,0
198,avoid using redis keys method,0.57446027,Changed default Redis prefix (#643),,0
199,Rename update-changelog.md to update-changelog.yml,0.53399575,Changed,,0
200,allow negative nice (for sudo user); better comments about the meaning of nice option,0.5045825,"Add support for Supervisor ""nice"" option (#551, 8d0034b, #556)",,0
201,Rename phpunit.xml to phpunit.xml.dist,0.42092133,Revert app layout PR (#1026)﻿,,0
202,Merge pull request #523 from stayallive/patch-1,0.56646705,Merge tags from payload (#843),,0
203,Stop Failed Jobs showing no results,0.7797701,Fix Failed Jobs page showing no results when failed jobs do exist (#511),,1
204,Merge pull request #80 from dbpolito/patch-1,0.62020266,Merge tags from payload (#843),,0
205,formatting,0.57429767,Properly format numeric values (#606),,0
206,Merge pull request #861 from laravel/driesvints-patch-1,0.6448484,Merge tags from payload (#843),,0
207,Paginate tagJobs with offset in while loop,0.5291983,Increase perPage variable for monitored tags by @joshuaruesweg in link,,0
208,clean interval between pages,0.48669633,Update page title when switching between Pending and Completed views (#1084)﻿,,0
209,Update layout.blade.php,0.6109123,Add some PHP 8.1 fixes (#1100)﻿,,0
210,Update PendingJobsController.php,0.5943129,Unnecessary param to refreshStatsPeriodically by @peterlupu in link,,0
211,"Removed middle alignment from "".card-table td"".",0.47783446,Fix Layout issues (#821),,0
212,Merge pull request #252 from themsaid/pr/7168,0.55345106,Merge tags from payload (#843),,0
213,Merge pull request #293 from themsaid/pr/19470,0.5185941,Merge tags from payload (#843),Bumps axios from 0.19.0 to 0.21.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
214,Add exit codes to status command (#1191),0.79018,Add exit codes to status command by @mbardelmeijer in link,,1
215,Apply fixes from StyleCI (#761),0.63370955,Fix Layout issues (#821),,0
216,Increase perPage variable for monitored tags (#1237),0.8808859,Increase perPage variable for monitored tags by @joshuaruesweg in link,,1
217,isolate tests,0.3278606,Support batches (#844),,0
218,Automatically compile and commit assets (#1154),0.7564243,Compile assets (57814a0),,1
219,Remove Axios per component reference,0.5488484,Updated axios to v0.18 (#491),,0
220,Laravel 5.6 expects the ServiceProvider::$bindings to be public,0.616301,Laravel v10 Support by @driesvints in link,Bumps ini from 1.3.5 to 1.3.7. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,0
221,Apply fixes from StyleCI (#868),0.6357186,Fix Layout issues (#821),"Existence check was missing for payload tags. If there is no tag in the payload, job is not displayed.",0
