Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
44,Merge pull request #47 from bonzai/1.0,0.48219508,"Add support ignore request when status code specified (abc9660, #1150)","adjust text-break layout with text-break class In the case of very long text, the layout was breaking with this adjustment, it automatically fixes it, I increased it to 200 characters as well.",0
45,Merge pull request #99 from browner12/anonymous-notifiable,0.49449664,"Add support ignore request when status code specified (abc9660, #1150)",,0
46,Merge pull request #278 from nunomaduro/1.0,0.5417433,Create a fresh instance of schema for each migration by @nunomaduro in link,Add the ability to ignore custom paths to QueryWatcher Linting Update FetchesStackTrace.php Update FetchesStackTrace.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
47,Bump symfony dependency,0.34034103,Add information about view composers (#766),,0
48,Only start recording when job connection is not sync,0.7707356,Prevent resuming recording when processing sync job (#720),Bumps minimatch from 3.0.4 to 3.1.2. - Release notes - Commits updated-dependencies: - dependency-name: minimatch   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
49,wip tag using,0.4783218,Defer loading monitored tags by @taylorotwell in link,Bumps loader-utils from 1.4.1 to 1.4.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
50,use closing tag for ,0.48693255,Chunk storage of exceptions and tags (#670),,0
51,Merge pull request #993 from laravel/revert-991-clear-db,0.57198644,Consolidate database directory (#975)﻿,"Bumps loader-utils to 2.0.3 and updates ancestor dependencies loader-utils, loader-utils and resolve-url-loader. These dependencies need to be updated together. Updates loader-utils from 1.4.0 to 2.0.3 - Release notes - Changelog - Commits Updates loader-utils from 2.0.0 to 2.0.3 - Release notes - Changelog - Commits Updates resolve-url-loader from 3.1.4 to 5.0.0 - Release notes - Changelog - Commits updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect - dependency-name: loader-utils   dependency-type: indirect - dependency-name: resolve-url-loader   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
52,wording,0.41305327,﻿,,0
53,Enable chunking on delete to prevent errors on large resultsets,0.9417002,"Enable chunking on delete to prevent errors on large resultsets (#658, 32c3709)",,1
54,Fix Request URI test,0.66183794,Replace Http/Uri with HTTP/URI  (#1141),,0
55,Merge pull request #72 from ybaruchel/1.0,0.48720694,Merge previously defined view data when building the view mailable data (#1157),,0
56,camel case config option,0.349159,Fix FormatModel class to work with keyless Pivot models by @Cellard in link,,0
57,formatting',0.5261681,Add formatted output support for plain text responses (#749),,0
58,Link for the favicon,0.46082932,Truncate request url more by @driesvints in link,,0
59,Remove whitespacy line,0.5094812,Removed,Improves GitHub Workflow Support testing on Windows Avoid using ^ deps (incompatible with Composer on Windows) wip wip,0
60,tab jobs,0.50264734,Fix view tab selection order (#707),,0
61,Bump jquery from 3.3.1 to 3.4.0,0.46758747,Dropped support for Laravel 5.8,,0
62,Merge pull request #325 from paras-malhotra/redis_watcher_test,0.53660583,Handle redis connection exception on DumpWatcher register by @aidanthewiz in link,fix callable and anonymous callable objects style ci remove event,0
63,require JSON extension,0.51367056,Fix JSON indenting (#1049),,0
64,Slow query filter logic added (#1146),0.9691006,Slow query filter method added (#1146)﻿,Bumps moment-timezone from 0.5.33 to 0.5.35. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: moment-timezone   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
65,Preserving the alphabetical order of providers,0.9550009,Preserving the alphabetical order of providers (#841),,1
66,Merge pull request #926 from laravel/dependabot/npm_and_yarn/elliptic-6.5.3,0.50711644,Fix deprecations by @driesvints in link,Co-authored-by: Benjamin DENIZART benjamin@osiris.mc,0
67,Merge pull request #729 from barryvdh/feat-update-warning,0.58836067,"Add support ignore request when status code specified (abc9660, #1150)",,0
68,handle non laravel responses,0.48455107,Do not record when unserializing command by @driesvints in link & link,,0
69,fix dependencies,0.5323384,Fix publishing for disabled module (#1104)﻿,Bumps moment from 2.29.2 to 2.29.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: moment   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
70,Implement new GateEvaluated event (#1018),0.99999976,Implement new GateEvaluated event (#1018)﻿,Bumps terser from 4.8.0 to 4.8.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: terser   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
71,Remove useless imports.,0.58628595,Removed,,0
72,Adds Larastan for static analysis,0.4116055,Laravel 7 support (a26891d),,0
73,Creates a fresh instance of schema for each migration (#1305),0.84242994,Create a fresh instance of schema for each migration by @nunomaduro in link,,1
74,Add IP Address to,0.7448621,Add request IP address to RequestWatcher (#895),,1
75,Do not test on Laravel 6,0.6857439,Laravel 6 & 7 support (#860),,0
76,Merge pull request #937 from open-source-contributions/assertion_enhancement,0.4577009,"Add a new ""Clear Entries"" button (#1091)",,0
77,Merge pull request #686 from laravel/master,0.5082474,Fix deprecations by @driesvints in link,Create compile-assets.yml Compile Assets Delete RELEASE.md Co-authored-by: driesvints driesvints@users.noreply.github.com,0
78,remove unused use statements,0.57383907,Remove problematic unused code when formatting SQL (#924),Bumps async from 2.6.3 to 2.6.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: async   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
79,Add option to record dumps even though the dump watcher tab is not open (#1199),0.86373854,Add option to record dumps even though the dump watcher tab is not open by @superDuperCyberTechno in link,,1
80,rm terrafrost/bcmath_compat,0.4490357,Attempt to fix model hydration (#1174),Add support for ignoring by HTTP Verb formatting Update RequestWatcher.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
81,Fix JobWatcher when job is encrypted (#1089),0.9528579,Fix for JobWatchers when the job payload is encrypted (#1089)﻿,,1
82,format,0.48854527,Add formatted output support for plain text responses (#749),,0
83,Use ubuntu-18.04,0.36019045,Laravel 7 support (a26891d),,0
84,Remove useless thrown docblocks,0.4962682,"Enable chunking on delete to prevent errors on large resultsets (#658, 32c3709)",Bumps moment from 2.29.1 to 2.29.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: moment   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
85,fix dev-master,0.42993557,Fix deprecations by @driesvints in link,,0
86,Merge pull request #385 from paras-malhotra/1.0,0.47497064,Fix for database migrations publishing path (#979)﻿,Bumps minimist from 1.2.5 to 1.2.6. - Release notes - Commits updated-dependencies: - dependency-name: minimist   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
87,Fix mail to check to allow for null to fields (#1133),1.0,Fix mail to check to allow for null to fields (#1133)﻿,,1
88,Merge pull request #42 from silyont/1.0,0.51622266,Merge previously defined view data when building the view mailable data (#1157),,0
89,Merge branch 'batches' of link into batches,0.47736692,Merge previously defined view data when building the view mailable data (#1157),,0
90,"[4.x] Fixes jobs saying ""pending"" forever (#1349)",0.42474747,Show warning when manifest is outdated (#729),,0
91,support apps that run carbon 1.0,0.92635524,Support apps that run carbon 1.0 (2b976e5),Update Telescope.php Apply StyleCI fix,1
92,Test authorization with the Gate,0.52534556,GateWatcher shows allowed when it is denied via Response class (#1010)﻿,,0
93,Apply fixes from StyleCI (#871),0.5568101,Fix typed properties issues (#879),,0
94,protect request attributes,0.6132078,Prevent access to uninitialized typed properties (#1005)﻿,,0
95,[1.0] use strict compare,0.51766557,Ability to review Exception context data (#882),add ability to hide a cache value add tests to confirm hiding fix style formatting Co-authored-by: Taylor Otwell taylor@laravel.com,0
96,Wait a bit before loading telescope entries,0.5885172,Telescope:withoutRecording() should be exception safe (#1092),,0
97,reorder imports,0.47450182,Preserving the alphabetical order of providers (#841),Bumps node-forge from 1.2.1 to 1.3.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: node-forge   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
98,Add explicit base font family fallback,0.9506009,Add explicit base font family fallback (#920),,1
99,Fix query formatting in preview (#1050),1.0000001,Fix query formatting in preview (#1050)﻿,,1
100,Enforce === (14),0.40263197,Avoiding to create guard (#810),,0
101,fixed request watcher overflow for large response payloads,0.59193015,Suppress filesize errors in client request watcher (#1096),,0
102,Laravel v10 Support (#1292),0.9287218,Laravel 9 Support (#1170),,1
103,Merge pull request #13 from martinbean/patch-1,0.49313265,Log failed requests (#701),,0
104,show full request URI,0.6048554,Replace Http/Uri with HTTP/URI  (#1141),,0
105,Merge pull request #930 from ctfang/3.x,0.53129923,Use getConnection method in Migrations (#736),Add resume command Add pause command Pause command formatting formatting formatting formatting Co-authored-by: Taylor Otwell taylor@laravel.com,0
106,Merge pull request #320 from TBlindaruk/formating,0.5110148,Merge previously defined view data when building the view mailable data (#1157),add environment variable to control dump recording implement dump record control env variable properly null coalescing operator on options array for DumpWatcher,0
107,Merge branch '3.x',0.35473347,Consolidate database directory (#975)﻿,,0
108,Merge pull request #710 from barryvdh/feat-resolve-exceptions,0.6468693,Mark exceptions as resolved (#710),,0
109,Bump axios from 0.18.1 to 0.21.1,0.41483873,Optimize dump (#683),,0
110,Merge pull request #333 from jcqtc/avoidEmptyPaths,0.5506948,Truncate request url more by @driesvints in link,,0
111,Enforce !==,0.36502922,Avoiding to create guard (#810),,0
112,[4.x] Add duration to HTTP Client watcher (#1348),0.84599173,Add duration to HTTP Client watcher by @DougSisk in link,Bumps follow-redirects from 1.14.7 to 1.14.8. - Release notes - Commits updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
113,Bump lodash from 4.17.11 to 4.17.13,0.46160764,Dropped support for Laravel 5.8,Validate invalidity of captured HTML in notification-sent Mails Fix MailWatcher Co-authored-by: Dries Vints dries@vints.io,0
114,Support VarDumper JS,0.4732209,Laravel v10 Support by @driesvints in link,,0
115,Remove useless break,0.57582074,Removed,,0
116,Merge pull request #449 from derekmd/query-location-can-ignore-vendor-packages,0.48342738,Fix for database migrations publishing path (#979)﻿,,0
117,Change Telescope::tagUsing to an array,0.9232304,Change Telescope::$tagUsing to an array (#694),,1
118,Removed double semicolon,0.45855907,Removed,Bumps ansi-regex from 5.0.0 to 5.0.1. - Release notes - Commits updated-dependencies: - dependency-name: ansi-regex   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
119,handle all cache events,0.7266631,Move cache read inside handler to avoid early cache call (#1025)﻿,Bumps follow-redirects from 1.14.5 to 1.14.7. - Release notes - Commits updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
120,adjust text-break layout with text-break class (#1281),0.8244649,Adjust text-break layout with text-break class by @thomas-goncalves-83 in link,Bumps nanoid from 3.1.30 to 3.2.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: nanoid   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
121,Bump async from 2.6.3 to 2.6.4 (#1225),0.47570035,Fix events with ShouldBroadcastNow (#623),,0
122,Fix typo,0.5893451,Fix typo in memory calculation (#997)﻿,,0
123,Bump jquery from 3.4.0 to 3.4.1,0.47577024,Dropped support for Laravel 5.8,,0
124,Merge pull request #73 from TBlindaruk/changed-to-carbon,0.4545947,Support apps that run carbon 1.0 (2b976e5),,0
125,formatting view data,0.6950943,Merge previously defined view data when building the view mailable data (#1157),Laravel 9 support Fix tests for Symfony Mailer Fix implementation of MailWatcher Update composer.json,0
126,Merge pull request #298 from freekmurze/1.0,0.4572779,"Add a new ""Clear Entries"" button (#1091)",,0
127,formatting and compiling,0.47502884,Add formatted output support for plain text responses (#749),Fix issue with array hydration wip,0
128,Simplify dump error screen,0.9198911,Simplify dump error screen (#688),,1
129,wip (#1215),0.43361065,"Add afterStore hooks (#894, (600e462))",,0
130,Update routes.php,0.5463762,PHP 7.2 support (3c3883d),Merge previously defined view data when building the view mailable data Code style change for CI,0
131,Merge branch 'feat-format-queries' of link into barryvdh-feat-format-queries,0.51465577,Merge previously defined view data when building the view mailable data (#1157),add key attribute another key,0
132,update docs,0.45603937,"Revert ""[4.x] Updated db command for clearing tables"" (#993)﻿",,0
133,Merge pull request #31 from ankitpokhrel/unused-param,0.48383328,Handle redis connection exception on DumpWatcher register by @aidanthewiz in link,,0
134,Merge pull request #192 from B4U7/patch-1,0.5057621,Fix query preview (#1044)﻿,,0
135,Merge branch 'add_telescope_clear_command' of link into paras-malhotra-add_telescope_clear_command,0.558445,Change Telescope::$tagUsing to an array (#694),,0
136,Add support ignore request when status code specified,0.9139035,"Add support ignore request when status code specified (abc9660, #1150)",Bumps axios from 0.21.1 to 0.21.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: axios   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
137,fixing styleci tests,0.55370116,Testing fixes (#866),,0
138,Merge pull request #825 from willvincent/2.0,0.4481575,Use getConnection method in Migrations (#736),,0
139,fix docblocks,0.515119,Fix deprecations by @driesvints in link,,0
140,Update tests for named parameters/integers,0.5412556,Testing fixes (#866),,0
141,Add Batch Watcher Test,0.5257453,Testing fixes (#866),,0
142,allow disabling specific watchers,0.57473385,Enable redis events by default if the watcher is enabled (#789),,0
143,Update .gitattributes,0.44295996,Fix deprecations by @driesvints in link,Fix syntax highlighting Fix webpack ignore plugin,0
144,Make sure UUID is string,0.42956117,Uses PHP Native Type Declarations 🐘  by @nunomaduro in link,,0
145,Merge pull request #759 from laravel/dependabot/npm_and_yarn/axios-0.18.1,0.51442605,Fix deprecations by @driesvints in link,,0
146,Merge pull request #709 from barryvdh/2.0-rebuild,0.510438,"Revert ""[4.x] Updated db command for clearing tables"" (#993)﻿",,0
147,Merge pull request #841 from finagin/patch-1,0.5105754,Only load sfDump header once (#714),,0
148,Cache Watcher Coverage,0.6212735,Fix for JobWatchers when the job payload is encrypted (#1089)﻿,,0
149,Merge pull request #15 from svenluijten/remove-composer-lock,0.4708373,Fix deprecations by @driesvints in link,,0
150,Merge pull request #736 from cybercog/fix/use-get-connection-in-migrations,0.6665307,Use getConnection method in Migrations (#736),,0
151,Merge pull request #762 from GrahamCampbell/patch-1,0.539274,Handle redis connection exception on DumpWatcher register by @aidanthewiz in link,,0
152,Merge pull request #379 from laravel/formatFileUploads,0.5730455,Suppress filesize errors in client request watcher (#1096),,0
153,Merge pull request #749 from BernhardtD/feature/add_plain_text_response_output,0.5644298,Add formatted output support for plain text responses (#749),,0
154,Merge pull request #610 from roberto-aguilar/feature/phpunit,0.51034963,Fix PHP 8.1 issues (#1156)﻿,,0
155,Bump acorn from 6.3.0 to 6.4.1,0.40903693,Testing fixes (#866),"v4.6.3 started logging database entries for /telescope/requests, etc. due to the config('telescope.domain') checks introduced by 95631f9b8cabdfd64ed76abb0a5ddbb150855463 For the base configuration Telescope installs by default,    null !== $request->getHost() so requestIsToApprovedDomain() is    always returning true. requestIsToApprovedUri() is never checked and    config('telescope.only_paths') is ignored. This new method should    only consider a custom Telescope domain being configured. Return    true if nothing is configured as the URI will be checked instead. Exclude config('telescope.path') === null when another domain is    being used since ! $request->is('*') would stop any path from being    logged. Last week's commit was intended to fix this problem. config('telescope.only_paths') must also be checked even when    requestIsToApprovedDomain() is true. handlingApprovedRequest() must    be checking both domain and URI.",0
156,Fix view tab selection order,0.930058,Fix view tab selection order (#707),"For an app using Swoole/Laravel Octane and Telescope configured for config('telescope.ignore_packages') === true, method getCallerFromStackTrace() will return null. UI file telescope/resources/js/screens/gates/preview.vue will hide caller file location details if they're not stored in the Telescope entry so save that path as null. Also fix the getCallerFromStackTrace() @return docblock as that method was written before Laravel Octane magic was conjured up.",1
157,Use double quotes for HTML attributes.,0.4508074,HTML Response vs Empty Response by @bdenizar in link,,0
158,dont build records if not recording,0.5144526,Prevent resuming recording when processing sync job (#720),,0
159,Merge pull request #102 from ankurk91/patch/mix-webpack,0.47397685,Handle redis connection exception on DumpWatcher register by @aidanthewiz in link,,0
160,Merge pull request #778 from srinathreddydudi/nested-notification-routes,0.56357616,Handle redis connection exception on DumpWatcher register by @aidanthewiz in link,,0
161,[4.x] Handle redis connection exception on DumpWatcher register (#1296),0.9099293,Handle redis connection exception on DumpWatcher register by @aidanthewiz in link,,1
162,Update DumpController.php,0.5237603,Fix PHP 8.1 issues (#1156)﻿,Update ClientRequestWatcher.php Update ClientRequestWatcher.php Co-authored-by: Dries Vints dries@vints.io,0
163,Return callable output on Telescope::withoutRecording (#1317),0.887323,Return callable output on Telescope::withoutRecording by @adamczykpiotr in link,Bumps path-parse from 1.0.6 to 1.0.7. - Release notes - Commits updated-dependencies: - dependency-name: path-parse   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
164,Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded (#1306),0.8360632,Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded to avoid memory leak by @nicoverbruggen in link,,1
165,Fix bug watching invokeable object events (#1250),0.7889677,Fix bug watching invokeable object events by @ziadoz in link,[4.x] Unified asset publishing Update TelescopeServiceProvider.php Co-authored-by: Taylor Otwell taylor@laravel.com,1
166,Bump moment from 2.29.1 to 2.29.2 (#1219),0.46753192,Full timestamp on hover (#668),,0
167,order alpha,0.5613743,Preserving the alphabetical order of providers (#841),,0
168,Add view collector,0.9047141,Add view collector (#679),,1
169,typo fix,0.60606825,Fix typo in memory calculation (#997)﻿,Record 'connection failed' http client event Fix linting issue Small javascript fix Another small javascript fix Update entriesStyles.js formatting Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: Taylor Otwell taylorotwell@gmail.com,0
170,allow ignoring framework events,0.5127584,Ability to review Exception context data (#882),,0
171,Bump node-forge from 1.2.1 to 1.3.0 (#1209),0.44503903,Fix query preview (#1044)﻿,,0
172,Apply fixes from StyleCI (#802),0.49869418,Fix typed properties issues (#879),,0
173,Update resources/js/screens/views/index.vue,0.4299714,Add http client request watcher (#1073)﻿,,0
174,Update InstallCommand,0.41278732,Move booting of commands (#1034),see implementer: link,0
175,Use this->assert...,0.36215258,Check tags after set $this->user() by @trin4ik in link,,0
176,tab commands,0.551366,Fix view tab selection order (#707),Signed-off-by: Michael Lundbøl michael.lundboel@gmail.com,0
177,only load if migrations ran,0.52659297,Only load sfDump header once (#714),,0
178,Increase Query Watcher slow query settings,0.692232,Slow query filter method added (#1146)﻿,fixed frontend request polling memory leaks fix #1085 Update IndexScreen.vue Update IndexScreen.vue Co-authored-by: Taylor Otwell taylor@laravel.com,0
179,handle redirect responses,0.5524317,Rewind http client response after recording (#1114)﻿,,0
180,Merge pull request #290 from deleugpn/job-coverage,0.49000546,Merge previously defined view data when building the view mailable data (#1157),,0
181,Merge pull request #465 from paras-malhotra/restrict_events_in_model_watcher,0.5422553,Fix events with ShouldBroadcastNow (#623),fix path compile,0
182,Merge pull request #227 from tectiv3/hotfix/composite_keys,0.48823798,Fix key handling for ModelWatcher (#1180),,0
183,Merge pull request #484 from TBlindaruk/update-type-hints,0.50653595,Fix deprecations by @driesvints in link,,0
184,Remove duplicate config call,0.5250699,Removed redundant default value from config file by @siarheipashkevich in link,,0
185,Merge pull request #204 from deleugpn/cache-watcher,0.5229374,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿",,0
186,Update RELEASE.md,0.42335746,Fix publishing for disabled module (#1104)﻿,,0
187,Fix linting issues,0.49424827,Handle all eval() failures from Laravel Tinker (#829),,0
188,Add simple Mail Watcher Test,0.5727633,Fix MailWatcher tags by @Rezrazi in link,,0
189,Merge pull request #752 from WyattCast44/2.0,0.5232738,Use getConnection method in Migrations (#736),,0
190,Merge pull request #939 from laravel/upgrade-guide,0.51837665,Consolidate database directory (#975)﻿,,0
191,support duration calculation without constant LARAVEL_START,0.96216947,Support duration calculation without constant LARAVEL_START (#664),,1
192,"Don't use constructor injection in console commands, and inject into handle() instead. (#1327)",0.87368816,"Don't use constructor injection in console commands, and inject into handle() instead by @mad-briller in link",,1
193,Merge pull request #638 from terrafrost/rm-bcmath-dep,0.5165535,Use getConnection method in Migrations (#736),,0
194,Tweak dump error response,0.5784133,Simplify dump error screen (#688),,0
195,Merge branch 'family' of link into family,0.3974172,Don't use familyHash for queries (#773),,0
