Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
34,:memo: Update First Steps to include how to document in a docstring,0.64550066,Fix and document extracting help from a functions' docstring First Steps: Document your CLI app. PR #10.,,0
35,"✏ Fix typo, duplicated word in docs/tutorial/options/required.md. (#316)",0.9417427,"✏ Fix typo, duplicated word in docs/tutorial/options/required.md.. PR #316 by @michaelriri.",,1
36,":sparkles: Update Termynal modifications, update first steps to use it",0.6724121,"Update Termynal to have fixed sizes, add ""fast"" button, and use it in First Steps. PR #6.",,0
37,✨ Add support for previewing docs in PRs from forks and enable MkDocs Insiders (#357),0.9573075,✨ Add support for previewing docs in PRs from forks and enable MkDocs Insiders. PR #357 by @tiangolo.,,1
38,:sparkles: Add SubCommands sections,0.66541266,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,0
39,":memo: :sparkles: :heavy_check_mark: CLI parameters: docs, refactor/upgrade, tests.",0.64234334,Add docs for CLI Parameters with Multiple Values. Includes tests for all the examples and bug fixes. PR #31.,Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
40,:memo: Add docs for CLI parameter types,0.74210536,Add docs for extra CLI parameter types: CLI Parameter Types: Number and CLI Parameter Types: Boolean CLI Options. PR #30.,,1
41,"👷‍♂️ Consistently use sys.executable to run subprocesses, needed by OpenSUSE (#408)",0.95748293,"👷‍♂️ Consistently use sys.executable to run subprocesses, needed by OpenSUSE. PR #408 by @theMarix.",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
42,:bookmark: Release version 0.1.0,0.56146395,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
43,⬆ [pre-commit.ci] pre-commit autoupdate (#592),0.92661226,⬆ [pre-commit.ci] pre-commit autoupdate. PR #592 by @pre-commit-ci[bot].,,1
44,":white_check_mark: Fix testing, add tests",0.6091927,"Fix testing utilities, add tests for First Steps examples. PR #8.",,0
45,:memo: Add all the latest docs to MkDocs,0.6830028,Update docs and add latest changes to MkDocs/website. PR #33.,updates: - github.com/asottile/pyupgrade: v3.2.0 → v3.2.2 Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,0
46,:memo: Add docs for progressbar,0.7235121,Add new docs to handle progress bars and spinners with Rich: Progress Par.,,1
47,:memo: Refactor docs with internal links,0.55136037,Tweak external links' format. PR #36.,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
48,:memo: Update path docs,0.61467373,Update docs and add latest changes to MkDocs/website. PR #33.,,0
49,:memo: Add docs for interactive prompts.,0.67037964,Add docs for Asking with Interactive Prompts. PR #22.,,0
50,:bug: Fix testing CliRunner,0.62090284,Fix support for user provided completion in CLI Parameters.,,0
51,🔧 Update Dependabot config (#476),0.8672413,🔧 Update Dependabot config. PR #476 by @tiangolo.,Bumps dawidd6/action-download-artifact from 2.24.1 to 2.24.2. - Release notes - Commits  updated-dependencies: - dependency-name: dawidd6/action-download-artifact   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
52,🎨 Fix type annotations for get_group (#430),0.8950268,🎨 Fix type annotations for get_group. PR #430 by @tiangolo.,,1
53,📝 Add date string formats to docs (#122),0.8414297,Add valid date formats to docs. PR #122 by @IamCathal.,,1
54,:bookmark: Release version 0.0.2,0.5686159,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,Bumps dawidd6/action-download-artifact from 2.9.0 to 2.24.1. - Release notes - Commits  updated-dependencies: - dependency-name: dawidd6/action-download-artifact   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
55,":memo: Sync Typer CLI docs, Coverage badge",0.6284205,📝 Update docs about helping Typer. PR #547 by @tiangolo.,Bumps actions/setup-python from 2 to 4. - Release notes - Commits  updated-dependencies: - dependency-name: actions/setup-python   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
56,📝 Add docs for using Rich with Typer (#421),0.9088844,📝 Add docs for using Rich with Typer. PR #421 by @tiangolo.,,1
57,":fire: Clean exports from typer, remove unneeded Click components, add needed ones",0.7812485,Clean exports from Typer. Remove unneeded components from Click and add needed Exit exception. PR #11.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
58,:bug: Fix GitHub image,0.5981262,Update GitHub Action issue-manager. PR #114.,,0
59,full doc review and fixing typos,0.8062111,Docs rewording and fix typos. PR #1 by @mariacamilagl.,,1
60,"✨ Support main.py, passing prog_name to callable (#120)",0.6087842,Add docs for calling packages with python -m some_package using __main__.py: Building a Package: Support python -m. PR #121.,,0
61,white_check_mark: Add coverage instructions to tests (#72),0.61782676,Fix coverage instructions. PR #72.,Adds quotes to package name with brackets Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
62,:bookmark: Release version 0.0.4,0.57655704,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
63,👷 Fix Material for MkDocs install in CI (#395),0.9149165,👷 Fix Material for MkDocs install in CI. PR #395 by @tiangolo.,,1
64,📝 Update release notes,0.6602831,⬆️ Upgrade analytics. PR #557 by @tiangolo.,,0
65,👷‍♂️ Ensure the PYTHONPATH is set properly when testing the tutorial scripts (#407),0.94517833,👷‍♂️ Ensure the PYTHONPATH is set properly when testing the tutorial scripts. PR #407 by @theMarix.,,1
66,:sparkles: Add custom CliRunner and Click imports,0.58115244,"As help in CLI arguments is not supported by Click, there are two new internal classes (Click sub-classes) to support it:",,0
67,:pencil2: fix typo in progressbar/tutorial004.py (#63),0.72488296,Fix typo in progressbar example. PR #63 by @ValentinCalomme.,,1
68,📝 Add Optional to docs for CLI Arguments and Options with a None default (#131),0.887919,Add Optional to docs for CLI Arguments and Options with a default of None. PR #131 by @rkbeatss.,,1
69,👷 Enable tests for Python 3.9 (#322),0.8895787,👷 Enable tests for Python 3.9. PR #322 by @tiangolo.,,1
70,✅ Add extra tests just for coverage because monkeypatching with strange imports confuses coverage (#490),0.95722365,✅ Add extra tests just for coverage because monkeypatching with strange imports confuses coverage. PR #490 by @tiangolo.,,1
71,🐛 Fix type conversion for List and Tuple and their internal types (#143),0.8964681,🐛 Fix type conversion for List and Tuple and their internal types. PR #143 by @hellowhistler.,,1
72,:art: Tweak external links' format #36,0.86686814,Tweak external links' format. PR #36.,,1
73,":memo: Add docs for Callbacks and One or Multiple commands, with docs, tests, bug fixes.",0.69789195,"Extend docs for Commands, add Commands: Typer Callback and Commands: One or Multiple. This includes tests for all the examples and bug fixes. PR #29.",,0
74,:memo: Update README.md from docs/index.md,0.61688614,Update docs and add latest changes to MkDocs/website. PR #33.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
75,:bug: Fix group creation without name,0.9053583,Fix group creation without name.,,1
76,:bento: Add completion example images,0.47600478,👷 Refactor CI artifact upload/download for docs previews. PR #516 by @tiangolo.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
77,⬆ Bump actions/setup-python from 2 to 4 (#492),0.8795519,⬆ Bump actions/setup-python from 2 to 4. PR #492 by @dependabot[bot].,,1
78,:memo: Add docs and examples for CLI parameters with multiple values,0.72267735,Add docs for extra CLI parameter types: CLI Parameter Types: Number and CLI Parameter Types: Boolean CLI Options. PR #30.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
79,:bookmark: Release version 0.0.8,0.56639194,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
80,⬆ Bump dawidd6/action-download-artifact from 2.24.1 to 2.24.2 (#494),0.9531436,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0. PR #558 by @dependabot[bot].,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
81,✨ Add support for Click 8 while keeping compatibility with Click 7 (#317),0.9182338,✨ Add support for Click 8 while keeping compatibility with Click 7. PR #317 by @tiangolo.,,1
82,🎨 Update format in docs,0.6935159,Update docs and add latest changes to MkDocs/website. PR #33.,,0
83,:bookmark: Release version 0.2.1,0.55503976,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
84,:memo: Update release notes,0.5170719,👷 Add GitHub Action Latest Changes. PR #321 by @tiangolo.,,0
85,:bug: Fix getting callback from instance creation,0.39022088,"Add support for type-based callbacks and autocompletion functions, extra tests and docs:",,0
86,🔖 Release version 0.3.1,0.5893799,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
87,⬆ [pre-commit.ci] pre-commit autoupdate (#549),0.93018425,⬆ [pre-commit.ci] pre-commit autoupdate. PR #549 by @pre-commit-ci[bot].,,1
88,✏ Fix typo in docs (#98),0.8531965,Fix typo in docs. PR #98 by @mrcartoonster.,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
89,:bookmark: Release version 0.1.1,0.55056596,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
90,:fire: Remove unused code for argument param declarations,0.61448234,Remove unneeded code for argument handling. PR #26.,,0
91,:white_check_mark: Fix test coverage handling,0.5848249,"Fix testing utilities, add tests for First Steps examples. PR #8.",Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
92,":memo: Add/extend docs and examples for param types. bool, int.",0.6437149,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument. PR #594 by @tiangolo.",,0
93,⬆ Bump nwtgck/actions-netlify from 1.2.4 to 2.0.0 (#513),0.93185604,⬆ Bump nwtgck/actions-netlify from 1.2.4 to 2.0.0. PR #513 by @dependabot[bot].,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
94,🔖 Release version 0.6.0,0.6016681,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0. PR #558 by @dependabot[bot].,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
95,":white_check_mark: Add tests for tutorial006 in First Steps, to test help from docstring",0.6518314,"Fix testing utilities, add tests for First Steps examples. PR #8.",,0
96,:sparkles: Add support for custom prompts in custom Termynal,0.63587976,Add custom automatic Termynal for docs. PR #5.,,0
97,:white_check_mark: Add tests for the first steps,0.61470926,"Fix testing utilities, add tests for First Steps examples. PR #8.",,0
98,":white_check_mark: Add tests for extra param types, bool, number",0.5661749,"Add support for type-based callbacks and autocompletion functions, extra tests and docs:",,0
99,:white_check_mark: Add tests for commands: callbacks,0.5996785,"Add support for type-based callbacks and autocompletion functions, extra tests and docs:",,0
100,:art: Tweak external link format,0.76401055,Tweak external links' format. PR #36.,,1
101,:white_check_mark: Add tests for examples in CLI Options,0.6279429,Add docs for CLI Parameters with Multiple Values. Includes tests for all the examples and bug fixes. PR #31.,,0
102,⬆️ Upgrade Codecov GitHub Action (#383),0.9336515,⬆️ Upgrade Codecov GitHub Action. PR #383 by @tiangolo.,,1
103,:memo: Add docs for get_app_dir(),0.5152736,Fix and document extracting help from a functions' docstring First Steps: Document your CLI app. PR #10.,,0
104,📌 Pin dependencies (#138),0.9241526,Pin dependencies. PR #138.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
105,:wrench: Make Netlify use Python 3,0.52275795,👷 Add CI for Python 3.10. PR #384 by @tiangolo.,,0
106,:sparkles: Add support for Click 7.1.1 (#60),0.8362065,Add support for Click version 7.1.1. PR #60.,Signed-off-by: Michael Gielda mgielda@antmicro.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
107,:sparkles: Docs for Typer CLI (#64),0.7907896,Add docs about Typer CLI - completion for small scripts. PR #64.,,1
108,⬆️ Upgrade codecov GitHub Action (#420),0.92686844,⬆️ Upgrade codecov GitHub Action. PR #420 by @tiangolo.,,1
109,✨ Allow configuring pretty errors when creating the Typer instance (#416),0.87004435,✨ Allow configuring pretty errors when creating the Typer instance. PR #416 by @tiangolo.,,1
110,✨ Add support for mypy --strict (#147),0.80710226,Add support for mypy --strict. Original PR #147 by @victorphoenix3.,,1
111,":sparkles: Add docs for subcommands, examples, tests, bug fixes",0.83256286,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,1
112,":tada: First commit, Typer scaffolding",0.5517372,📝 Update docs about helping Typer. PR #547 by @tiangolo.,,0
113,⬆ Bump dawidd6/action-download-artifact from 2.9.0 to 2.24.1 (#491),0.9545377,⬆ Bump dawidd6/action-download-artifact from 2.9.0 to 2.24.1. PR #491 by @dependabot[bot].,,1
114,"🔧 Update pre-commit, Python version, isort version (#542)",0.91482913,"🔧 Update pre-commit, Python version, isort version. PR #542 by @tiangolo.",,1
115,📝 Add Security policy (#324),0.8503846,📝 Add Security policy. PR #324 by @tiangolo.,,1
116,👷 Update docs CI name (#320),0.8845971,👷 Update docs CI name. PR #320 by @tiangolo.,"  ♻️ Rename pretty_errors_ to pretty_exceptions_ to avoid confusion with validation errors   ✨ Add source examples for pretty_exceptions   📝 Add docs for pretty exceptions   🔧 Add Exceptions docs to MkDocs   ✅ Add tests for tutorial about exceptions   ✅ Update trackeback tests, remove tests covered by tutorial   ✅ Fix test for module ",1
117,:white_check_mark: Fix tests using binary config files,0.53540665,"Fix testing utilities, add tests for First Steps examples. PR #8.",,0
118,":white_check_mark: Update completion tests, checking for printed message",0.6029641,Tests for the completion logic/code.,,0
119,"⬆ Upgrade Rich, support 13.x (#524)",0.8226999,"⬆ Upgrade Rich, support 13.x. PR #524 by @musicinmybrain.",,1
120,:construction_worker: Add GitHub action to deploy docs (#50),0.7020761,Update CI to run docs deployment in GitHub actions. PR #50.,,1
121,🔧 Add GitHub Discussion templates for questions (#541),0.9141428,🔧 Add GitHub Discussion templates for questions. PR #541 by @tiangolo.,,1
122,:memo: Add CLI Options docs and examples,0.6996242,Add docs for CLI Options. PR #12.,,0
123,⬆ Bump actions/cache from 2 to 3 (#496),0.8875523,⬆ Bump actions/cache from 2 to 3. PR #496 by @dependabot[bot].,,1
124,:sparkles: Add colors module,0.6380954,"Add colors module and docs for Printing and Colors and for Terminating, including tests. PR #20.",,0
125,✨ Add support for custom types and parsers (updates/builds upon PR #443) (#583),0.83488774,✨ Add support for custom types and parsers. Initial PR #583 by @jpurviance. Based on original PR #443 by @paulo-raca.,,1
126,:bento: Add GitHub social preview images,0.58590114,👷 Add GitHub Action Latest Changes. PR #321 by @tiangolo.,,0
127,"✏ Update first-steps.md, clarify distinction between parameter and argument (#176)",0.9179027,"✏ Update first-steps.md, clarify distinction between parameter and argument. PR #176 by @mccarthysean.",,1
128,"✏ Fix typo, ""ASCII codes"" to ""ANSI escape sequences"" (#308)",0.92424893,"✏ Fix typo, ""ASCII codes"" to ""ANSI escape sequences"". PR #308 by @septatrix.",,1
129,:memo: Update README,0.45742866,Update docs and add latest changes to MkDocs/website. PR #33.,,0
130,":white_check_mark: Add first test, scaffold testing",0.5862582,"Fix testing utilities, add tests for First Steps examples. PR #8.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
131,:bug: Fix using solved/extracted help,0.6413886,Several bug fixes.,,0
132,:bug: Fix link in README for GitHub,0.55494845,Update GitHub Action issue-manager. PR #114.,,0
133,":wrench: Update GitHub actions, remove left config from FastAPI",0.59910476,Update GitHub Action issue-manager. PR #114.,,0
134,🐛 Fix setting FORCE_TERMINAL with colors (#423),0.90785235,🐛 Fix setting FORCE_TERMINAL with colors. PR #423 by @tiangolo.,updates: - github.com/pre-commit/pre-commit-hooks: v4.2.0 → v4.3.0 - github.com/asottile/pyupgrade: v2.32.1 → v2.34.0 Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
135,👷 Update publish GitHub action (#325),0.8729185,👷 Update publish GitHub action. PR #325 by @tiangolo.,,1
136,👷 Refactor CI artifact upload/download for docs previews (#516),0.9235457,👷 Refactor CI artifact upload/download for docs previews. PR #516 by @tiangolo.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
137,"✨ Make typer.run() not add completion scripts by default, it only makes sense in installed apps (#488)",0.83395624,"✨ Make typer.run() not add completion scripts by default, it only makes sense in installed apps. Also update docs for handling autocompletion in CLI options. PR #488 by @tiangolo.",,1
138,✨ Add support for help for CLI arguments (#123),0.8037419,Add support for help parameter in CLI arguments:,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
139,"💚 Only test on push when on master, avoid duplicate CI runs from PRs (#358)",0.9418842,"💚 Only test on push when on master, avoid duplicate CI runs from PRs. PR #358 by @tiangolo.",,1
140,":memo: Fix wording to avoid confusion between CLI program, command, subcommand",0.61288756,New docs: Commands: Using the Context.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
141,✏ Fix syntax typo in docs/tutorial/package.md (#333),0.92807317,✏ Fix syntax typo in docs/tutorial/package.md. PR #333 by @ryanstreur.,,1
142,:recycle: Refactor docs structure and add CLI option names,0.70491874,Support for callbacks based on type annotations. New docs: CLI Option Callback and Context.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
143,📝 Remove obsolete references to --install-completion for typer.run() scripts (#595),0.6150717,"✨ Make typer.run() not add completion scripts by default, it only makes sense in installed apps. Also update docs for handling autocompletion in CLI options. PR #488 by @tiangolo.",,0
144,Merge pull request #23 from tiangolo/progressbar,0.53128767,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
145,:white_check_mark: Add tests for printing and terminating,0.6596928,"Add colors module and docs for Printing and Colors and for Terminating, including tests. PR #20.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
146,🔖 Release version 0.4.2,0.57871866,Upgrade Isort to version 5.x.x. PR #137.,,0
147,:wrench: Add MkDocs config,0.6820412,👷 Fix Material for MkDocs install in CI. PR #395 by @tiangolo.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
148,🔖 Release version 0.3.2,0.5832211,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
149,:heavy_plus_sign: Upgrade Material-Mkdocs (#90),0.6936465,"Upgrade Mkdocs-Material version, update contributing guide style. PR #90.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
150,✏️ Fix typo in datetime docs (#495),0.89539576,✏️ Fix typo in datetime docs. PR #495 by @huxuan.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
151,📝 Update docs with the new --help argument (#135),0.7143551,Update docs with new --help showing default values. PR #135 by @victorphoenix3.,,1
152,💄 Update badges and remove Travis (#145),0.78176486,"Update badges and remove Travis, now that GitHub Actions is the main CI. PR #145.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
153,":fire: Clean exports from typer, remove unneeded Click components",0.79027504,Clean exports from Typer. Remove unneeded components from Click and add needed Exit exception. PR #11.,,1
154,":memo: Update sub-header, short description",0.5095996,📝 Add note about how subcommands with function names using underscores are converted to dashes. PR #403 by @targhs.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
155,:wrench: Install GitHub issue-manager,0.7122025,Update GitHub Action issue-manager. PR #114.,,1
156,:memo: Add new issue templates,0.5940217,🔧 Add updated issue templates. PR #323 by @tiangolo.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
157,:bug: Fix extracting help from docstrings in functions,0.8002473,Fix and document extracting help from a functions' docstring First Steps: Document your CLI app. PR #10.,,1
158,:wrench: Add scripts,0.57070446,Add docs about Typer CLI - completion for small scripts. PR #64.,,0
159,⬆ Bump actions/upload-artifact from 2 to 3 (#477),0.8912573,⬆ Bump actions/upload-artifact from 2 to 3. PR #477 by @dependabot[bot].,,1
