Index,Message,Description
61,github: merge .UI.Avn and .UI in to GitHub,
62,bitbucket: merge .UI.Avn and .UI in to Atlassian.Bitbucket,
63,gcm-ui: merge GCM.UI.Avn in to Core,
64,core: merge Core.UI.Avn and Core.UI into Core,
65,gcm: set up message pump in main GCM executable,"Set up a message pump on the main thread in the primary GCM executable in preparation to adding in-process, AvaloniaUI-based UI. Also move to explicitly shutdown the dispatcher correctly rather than just killing the process."
66,wpf: add .Windows to WPF project namespaces,Add the .Windows suffix to the WPF project namespaces to prevent name collisions that would otherwise occur in future commits where the Avalonia UI types are to be merged in to the core projects. Also clean up some unused XML namespace imports.
67,wpf: explicitly target WPF Dispatcher object,"Explicitly target the WPF Dispatcher type using the fully qualified type name to prevent an ambiguous reference that would otherwise occur in upcomming commits where the Avalonia Dispatcher, and the GCM Dispatcher are merged in to the Core project."
68,wpf: rename DialogWindow to WpfDialogWindow,Rename the WPF implementation of DialogWindow to prevent name collisions that would otherwise occur in upcoming commits where we merge the Avalonia implementation of DialogWindow into the Core project.
69,gcm-ui: fix WPF device code view namespaces,
70,build(deps): bump lycheeverse/lychee-action from 1.6.1 to 1.7.0,Bumps link from 1.6.1 to 1.7.0. - link - link  updated-dependencies: - dependency-name: lycheeverse/lychee-action   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] link
71,Update MSAL libraries and use new MSALRuntime-based broker implementation (#1191),"Use the new Windows broker which is based on the MSALRuntime; an export wrapper around a native, cross-platform MSAL library. In this new set up, we drop the module package in favour of the module package that also means we drop the WebView2Loader.dll, which we didn't make use of anyway. There are a few new binaries to be distributed in the new model, including a P/Invoke layer, IdentityModel abstractions library, and the native module. Note that GCM still only support x86 on Windows, and only supports broker use on Windows. For this reason we don't bother adding the broker package on non-.NET Framework builds to keep the sizes on Mac/Linux to a minimum. Also update the MSAL extensions library whilst we are here to pick up various bug fixes, and drop workarounds that are no longer required for this new broker implementation!"
72,readme: add link to project roadmap (#1204),Add link to the new GCM roadmap to the README to increase discoverability.
73,readme: add link to project roadmap,Add link to the new GCM roadmap to the README to increase discoverability.
74,msauth: update MSAuth flow comment to reflect today,Update the large block comment on how we select which types of flows to use for Microsoft authentication.
75,msauth: use dummy window for WAM if no parent,"If we are unable to get a parent window handle; because for example, we don't have a console, then create a small 'dummy' window using WinForms that we can use to pass a handle to MSAL."
76,Catch OAuth refresh token errors for generic provider (#1196),"In case we have an existing refresh token, but it has expired or been revoked, we should gracefully fall back to performing an interactive OAuth flow."
77,generic: catch OAuth refresh token errors,"In case we have an existing refresh token, but it has expired or been revoked, we should gracefully fall back to performing an interactive OAuth flow."
78,docs: update configure command for install from source,The current install from source instructions are out of date - they still recommend using module rather than module. Update the documentation to instruct users to run the correct command.
79,msauth: always set the parent window for MSAL,"Always set the parent window handle for MSAL on Windows. Previously we only set this if provided a handle by the user/config. Now however we must always try and provide a handle because using the new MSALRuntime-based Windows broker means we must do so - MSAL no longer provides us with a 'dummy' handle to use. Use the parent console window handle, as recommended by the MSAL docs: https://github.com/AzureAD/microsoft-authentication-library-for-dotnet/wiki/wam#parent-window-handles"
80,msauth: use new Windows broker based on MSALRuntime,"Use the new Windows broker which is based on the MSALRuntime; an export wrapper around a native, cross-platform MSAL library. In this new set up, we drop the module package in favour of the module package that also means we drop the WebView2Loader.dll, which we didn't make use of anyway. There are a few new binaries to be distrubuted in the new model, including a P/Invoke layer, IdentityModel abstractions library, and the native msalruntime_x86.dll. Note that GCM still only support x86 on Windows, and only supports broker use on Windows. For this reason we don't bother adding the broker package on non-.NET Framework builds to keep the sizes on Mac/Linux to a minimium."
81,msauth: update MSAL library packages to latest,
82,Fix app path name of Windows dropping file extension (#1181),"During some refactoring we accidentially introduced an error in the 'app path' on the CommandContext`; rather than trimming the file extension off (for detection of the old executable name on Windows) on a local copy, we are now updating the app wide copy! Only mutate a local copy."
83,main: fix app path name of Windows dropping exe,"During some refactoring we accidentially introduced an error in the 'app path' on the module; rather than trimming the file extension off (for detection of the old executable name on Windows) on a local copy, we are now updating the app wide copy! Only mutate a local copy."
84,issue templates: remove core suffix (#1180),"The Authentication Issue template currently directs users to run module rather than module, which results in a warning regarding the removal of the core suffix. This change corrects the applicable commands so that users will not see this warning."
85,Ensure we start child processes created with module (#1177),Ensure that we actually start processes (and check they have started correctly) using the new ProcessManager/ChildProcess abstractions. Fixes #1170 Replaces #1171
86,issue templates: remove core suffix,"The Authentication issue template currently directs users to run module rather than module, which results in a warning regarding the removal of the core suffix. This change corrects the applicable commands so that users will not see this warning."
87,procmgr: ensure we start processes,Ensure that we actually start processes (and check they have started correctly) using the new ProcessManager/ChildProcess abstractions.
88,Target *-latest runner images in CI workflow (#1178),"We are using the module runner images for release builds (link, link), but for CI we're instead using module, module, and module (alongside module). Let's run CI against the latest of all three OS images to match what we're using to build release bits. Ubuntu 18.04 is also link as a GitHub hosted runner."
89,workflows: target *-latest runner images,"We are using the *-latest runner images for release builds, but for CI we're instead using ubuntu-18.04, ubuntu-20.04, and windows-2019 (alongside macos-latest). Let's run CI against the latest of all three OS images to match what we're using to build release bits."
90,Cache Git configuration used in Settings for the lifetime of the process (#1172),"When enumerating all Git configuration values in module, we currently cache a copy of all values for the lifetime of the module method. This saves us some calls to Git, but we can do better. Pull-up the cache of Git configuration entries to the lifetime of the module object, meaning all calls to module over the lifetime of the process can benefit from the cache! The savings here can be significant as each module property typically results in a call to module. Whilst in this space we can fix a couple of bugs:   We were not calling module for module variables when resolving settings, and instead consulting the cache first. We always want to go to Git for these types of values.   We were not using the existing cache for unscoped entries!   In my limited testing this results in a 2-3x speedup in calls to module!"
91,settings: replace module with module when we know,"We have already checked module is true before calling module, so let's just pass module in these calls."
92,settings: cache Git config values across process,"When enumerating all Git configuration values in module, we currently cache a copy of all values for the lifetime of the module method. This saves us some calls to Git, but we can do better. Pull-up the cache of Git configuration entries to the lifetime of the module object, meaning all calls to module over the lifetime of the process can benefit from the cache! The savings here can be significant as each module property typically results in a call to module."
93,settings: use cached Git config entries for unscoped vars,"Use the cached copy of Git configuration entries not only for URL-scoped keys, but unscoped keys too!"
94,settings: fix bug in path-type setting reading,"If we are asked for a path-type setting then we should always consult Git directly for the value, and not used cached copies of values that were acquired using module without a module parameter."
95,trace2: add regions (#1162),"Add module region tracing capability. The first six commits contain minor refactors, bug fixes, and cleanups. The first moves Trace2 messages into their own file. The second removes the unnecessary module method. The third fixes certain conflated timing information in module and module events. The fourth ensures we're writing exit message times in UTC. The fifth adds descriptive comments to Trace2-related classes that did not yet have them. The sixth adds best-effort logic to capture thread names. The next three commits are dedicated to preparing for and adding region-related logic. The seventh commit updates custom performance format span handling to account for the repo and category fields, which are used in region tracing. The eighth adds region-related events, encapsulated in a class that inherits from module (which in turn inherits from module). The ninth adds region tracing to methods of interest pertaining to OAuth authentication. The final commit updates GCM's documentation to inform users of how to enable and utilize Trace2 tracing. A final note: This implementation does not support nested regions, as it is not required for the current regions of interest."
96,trace2: documentation,Document how users can set up and utilize the Trace2 API.
97,trace2: add regions to OAuth,Add region tracing to key methods in OAuth2Client. This was deemed a good starting point for regions due to the server interaction required to obtain tokens. Additional regions can and should be added to additional sections of the code that are deemed performance-critical in the future.
98,trace2: add region infrastructure,"Add supporting infrastructure for regions. This includes the normal module methods in Trace2 and corresponding Trace2 messages with a few notable distinctions:  There is an abstract parent RegionMessage that inherits from Trace2Message. The RegionEnterMessage and RegionLeave messages inherit from this parent (rather than Trace2Message) to maximize reuse of shared fields. We create a new Region class that implements DisposableObject and call it using a CreateRegion method in Trace2. This ensures that we call WriteRegionLeave before a Region object is disposed - a key requirement of Git's Trace2 API for regions.  Additionally, it allows us to manage getting the executing thread name and region timings within the class, thus removing this burden from consumers.  An additional note is that the region_enter and region_leave events will always have the same line number with this model. This was deemed to be acceptable, however, given that knowing where a region begins executing provides enough information for inspection of the region if it is needed."
99,trace2: update span handling,"Previously, we only set up custom performance format span handling for time-related information (see [1]). However, with the upcoming introduction of regions, we will need custom spans for the category and repo strings. This change refactors and adds to the current logic to correctly handle all 3 span types (i.e. time, repo, and category). [1] 59a2692"
100,trace2: capture thread name,"With the upcoming introduction of regions, we will need to capture thread names. This change adds a new static BuildThreadName() method that defines a thread name by:  Determining if it is the entry thread and, if so, calling it ""main"", per Trace2 convention. If it's not the main thread, determining whether it is a thread pool thread and naming it with a static prefix and the thread pool thread id. If it is not the entry thread or a thread pool thread, use the thread name, if it has one. Return an empty string if none of the above are true."
101,trace2: add comments,Add descriptive comments to Trace2-related classes that currently do not have any.
102,trace2: exit message time in utc,We are currently writing exit message times in local rather than UTC time. This change updates to UTC time to align with the expectations of the Trace2 API.
103,trace2: fix child process time recording,"Currently, we are recording child process times incorrectly for the performance format target. This change fixes that by:  Ensuring we're recording the absolute time in child_start messages for the performance format target, which we previously were not doing. Ensures we do not conflate the absolute and relative times in child_exit, which we were previously doing."
104,trace2: remove adddots method,"In Git, dots are only used on nested region messages, which are currently not supported in GCM. Remove the AddDots() method that is used incorrectly for formatting child process messages."
105,trace2: messages in new file,"Move Trace2 messages into a new file. The Trace2 file was getting a bit long and unwieldy, so this change is intended to separate it in a logical way into two smaller files that are (hopefully) easier to parse and reason about."
106,docs: call out different GCM install paths in WSL docs (#1168),"Add a callout to the fact the exact location of GCM may differ depending on the Git for Windows version/installation options, in our WSL docs."
107,Ensure we init IEnvironment before SessionManager (#1167),Ensure we have an instance of IEnvironment before we pass it to the SessionManager contructor. Also add some null guards to catch this problem earlier in the future.
108,docs: call out different GCM install paths in WSL docs,
109,commandcontext: ensure we init IEnvironment before SessionManager,Ensure we have an instance of IEnvironment before we pass it to the SessionManager contructor. Also add some null guards to catch this problem earlier in the future.
110,trace2: add error event (#1156),"This series adds the module error event. The first two commits are opportunistic fixes that remove unnecessary components of module messages. The next four commits add module as a dependency to certain classes where exceptions are thrown in order to capture those exceptions with the new error event. The seventh commit adds the error event, and eighth adds special exceptions that write to module. Finally, the ninth commit adds error tracing exceptions and messages throughout the GCM codebase."
111,trace2: add error tracing statements,"Add TRACE2 error tracing statements throughout GCM codebase. Note that this is a best effort - there are certain places (most notably certain static and unsafe methods) where statements were purposefully not added because it is either not safe or was deemed to much lift/churn to do so. Note that there are some instances in which a ""parameterized"" message is passed to TRACE2. This is used only when PII information could be passed into the message (e.g. through a path or remote URI) and should be redacted for collection purposes. Finally, there are certain instances in which we write an error with no exception thrown. These align with the places where we are currently writing to GCM Trace without throwing an error for the purposes of parity."
112,trace2: add exceptions,"Add exceptions for which TRACE2 tracing can optionally be used. We choose to add these exceptions to ease the experience of writing TRACE2 error information - instead of having to add a call to Trace2's WriteError() message before every exception of interest, one can instead just use the appropriate Trace2 exception."
113,trace2: add error event,"Add error event, which will capture exceptions, to Trace2 tracing system."
114,trace2: pass to GPG,"Pass instance of Trace2 to Gpg in preparation for capturing exceptions, which will be added in a future commit."
115,trace2: pass to terminal classes,"Pass instance of Trace2 to terminal classes in preparation for capturing exceptions, which will be added in a future commit."
116,trace2: pass to Git,"Pass instance of Trace2 to Git in preparation for capturing exceptions, which will be added in a future commit."
117,trace2: pass to OAuth2Client,"Pass instance of Trace2 to OAuth2Client in preparation for capturing exceptions, which will be added in a future commit. Note that this also removes the unused instance of Trace in GCM's OAuth2 infrastructure."
118,trace2: remove order from json properties,"Order was originally included for each TRACE2 json property to ensure alignment with Git's TRACE2 json property ordering. However, given that the json output is meant for consumption only by tooling (e.g. the OTel Collector) andi that the order requirement adds overhead with each new message, this change removes it."
119,trace2: remove ToLower() from message file names,"TRACE2 convention does not require file names to be lowercase. Remove the ToLower() call when setting messages' FileName properties, as it it unnecessary."
120,trace2: add performance format target (#1151),"This series adds the performance format target for TRACE2 tracing. The first two patches are small fixes for bugs I noticed as I was testing the performance format target. The first moves the module enum from the specific module class to the shared module class. The second ensures the normal format event names are written in snake case (rather than lowercase). The third patch adds the ability to get the ""depth"" of the process. Because Sids and depth are process-related concepts, it removes the SidManager class and moved depth/sid-related properties and methods into the ProcessManager class. The fourth patch adds the performance format target. It includes a few notable components:  A new GetMessage method to ensure message strings written to normal and performance targets are not duplicated. A new PerformanceFormatComponent class to track sizing of optional properties of performance format messages. A BuildSpan method that Trace2Message children use to create correctly-sized ""spans"" for optional properties of performance format messages. A span is a piece of the message beginning with a pipe (|) and ending just before the next pipe or the end of the message. A BuildTimeSpan method that adjusts spans for long/short times. In future, when we have events that include performance format string span components, we will need to add an additional method to handle them."
121,Assume GitHub Enterprise instances with a null version number support OAuth (#1154),"Enterprise instances that return a null version are considered to support OAuth. Only disable OAuth as an option if we can verify we are talking to an old Enterprise Server. This is a less fragile option as we never block the user from using an auth method they could use, and don't need to special case GHAE."
122,github: enterprise instances w/ null ver support OAuth,Enterprise instances that return a null version are considered to support OAuth.
123,Better browser/interactive session detection inside of WSL (#1148),"Today we're gating browser-based authentication mechanisms behind a GUI-possible session, which isn't 100% correct. When inside of a WSL session, without WSLg enabled, it is still possible to launch a web browser in the hosting Windows session. Split the determination between ""GUI session"" and ""browser possible"", and add the special case for WSL inside an interactive Windows session. Things are complicated here because it is possible to SSH in to the WSL instance from outside of the Windows host, meaning the Windows session also doesn't have UI. This case we still need to prevent browser-based options. In order to detect these cases we need to 'punch out' to the Windows host and run a script/cmdlet to determine the session type. Fixes #878"
124,http: add support for client certificates (#1152),"Add support for automatically sending client TLS certificates using the Git configuration setting 'http.sslAutoClientCert'. This setting is currently only link, and there is only respected when the SSL backend is ""schannel"". Fixes #369"
125,trace2: add performance format target,"Add the performance format target for TRACE2 tracing. This change includes a few notable components:  A new GetMessage method to ensure message strings written to normal and performance targets are not duplicated. A new PerformanceFormatComponent class to track sizing of optional properties of performance format messages. A BuildSpan method that Trace2Message children use to create correctly-sized ""spans"" for optional properties of performance format messages. A span is a piece of the message beginning with a pipe (|) and ending just before the next pipe or the end of the message. A BuildTimeSpan method that adjusts spans for long/short times. In future, when we have events that include performance format string span components, we will need to add an additional method to handle them."
126,trace2: add process depth calculation,"The performance format target requires recording of process depth. We use the number of forward slashes in the process's sid as a convenient way to determine this. Because the sid and the depth are process-related concepts, this change also moves sid/depth related properties into ProcessManager.cs and removes the SidManager.cs class."
127,http: add support for client certificates,"Add support for automatically sending client TLS certificates using the Git configuration setting 'http.sslAutoClientCert'. This setting is currently only present in Git for Windows, and there is only respected when the SSL backend is ""schannel""."
128,trace2: write normal format events in snake case,"A previous patch link added the ability to write strings in snake case. However, this was not applied to writing events in the normal format - events that should be written as child_start or child_exit are currently written as childstart and childexit. This patch corrects this issue."
129,trace2: move formattargettypes,"Move the FormatTargetTypes enum from the specific Trace2StreamWriter class to the shared Trace2Writer class, since the Trace2FileWriter class also uses values from this enum."
130,wsl: detect host Windows session 0 and disable browser,"In order to detect if we have an interactive Windows desktop session from inside WSL we need to 'punch out' from WSL to determine the session ID and window station. Strictly speaking, except for session 0 (from Vista onwards), any Windows session can have exactly one interactive window station (always called WinSta0). However, because we cannot easily determine the window station name from a simple cmd/powershell script, we take a simplified approach which isn't 100% accurate. Instead, we only permit browser auth methods if we are NOT in Windows session 0; any other Windows session we assume we are in WinSta0. The default OpenSSH Server configuration (Windows 10+) has module running as the built-in NT user NETWORK_SERVICE, which means it runs in session 0 (the services session). This is most common scenario, other than using WSL from a 'real', interactive Windows session that we're likely to face."
131,wsl: add ability to run CMD/PowerShell scripts from WSL,Add ability to launch cmd.exe or PowerShell.exe scripts from inside a WSL distribution. In order to discover the location of cmd.exe/powershell.exe we need search the Windows file system that's mounted by default /mnt/c. We inspect the /etc/wsl.conf file to respect users who have changed the default mount location for Windows drives.
132,ini: add basic INI file deserialiser,Add a basic INI file deserialiser
133,wsl: add ability to detect WSL distro and version,"Add methods to the WslUtils class to enable detection of a WSL distribution, and also determine which WSL version is being used. Version 1 uses the Windows NT kernel and runs the distribution in the same user-mode space as Windows programs. Version 2 uses a light-weight VM to host a real Linux kernel, and runs the distribution also inside the VM; interop with Windows is achieved using other mechanisms."
134,browser: split browser-check from desktop session check,Split the web browser check from the desktop session checks. In future commits we will enhance the browser-check to take in to account the WSL special case.
135,fs: add abstractions for reading all text and enum dir,Add abstractions to the IFileSystem interface for enumerating directories and reading the entire contents of a file to a string.
136,posix-session: check for Wayland display envars,Also check for the WAYLAND_DISPLAY environment variable when determining if a graphical session/display exists for POSIX systems.
137,env: avoid virtual member call in ctor; all refresh,"We had a virtual member call in the constructor of the various IEnvironment implementations, which is a code smell. Instead, lazily populate the module cache dictionary, and add an explict module method to refresh the cache. We call module in the module method for convenience. For testing we simply pipe through the pre-computed variables in the module constructor."
138,settings: support scoped enterprise settings (#1149),Add support for remote URL-scoped enterprise default settings. Fixes #983
139,settings: support scoped enterprise settings,Add support for remote URL-scopes enterprise default settings.
140,Ensure we create a module on Windows (#1146),"We are creating a module implementation on macOS and a non-Windows/WSL aware, plain module on Windows - this is the reverse of what we should do. Fix this."
141,procmgr: ensure we create a WindowsProcessManager on Windows,"We are creating a module implementation on macOS and a non-Windows/WSL aware, plain module on Windows - this is the reverse of what we should do. Fix this."
142,trace2: add child start and exit events (#1131),"This change adds the module and module events to GCM's module tracing system. The first patches are either bug fixes or prep for the bigger refactors involved in making child start and exit work. The first patch puts sid-related logic into its own class, which allows us to immediately set up GCM's sid in module to ensure Git processes that are executed before module tracing is set up have the correct parent sid. The next patch adds a module class and uses it (rather than module) to write to files, which ensures processes aren't overwriting one another's data. The third patch adds a snake casing string extension to ensure we write multi-word enum values according to the module convention. The fourth patch ensures we do not redirect stderr for Git-related processes, as it was discovered to cause deadlocks when module was enabled. The fifth patch refactors GCM's diagnostics to depend on an instance of module rather than individual dependencies within module. The sixth patch re-configures module to depend on an instance of module rather than individual dependencies within module, to start up earlier, and for operations to no-op if module has not yet been initialized (i.e. when child module processes run before we're able to set up tracing). The seventh patch wraps module to give us the needed level of control to write module child process start and exit events. The eighth patch (finally) adds the new child start and exit events."
143,trace2: add child_start and child_exit events,Write the TRACE2 child_start and child_exit events for each child process invoked by GCM.
144,trace2: add process wrapper,"Wrap the Process class to allow finer-grained control for writing future process-related TRACE2 events. Pull process-relevant information out of IEnvironment/Environment and into its own process-oriented ProcessManager class, interface, and child classes. This allows us to  maintain a functional, non-circular order of dependencies with our process wrapper. Add a ChildProcess class to wrap certain functionality of Process.cs. This gives us the level of control required to write child process information to TRACE2 in the final patch in this series. Update all current invocations of Process to instead use this wrapper."
145,trace2: refactor to prepare for child process-related events,"The TRACE2 child start and child exit events will require some refactoring around the way GCM handles processes to provide finer-grained control and the ability to capture process-related information. In preparation for this, we need to do some re-organization of the Trace2 code. With this change we:  Move TRACE2 tracing startup into Program.cs for GCM and the helper exes. This allows us to start tracing earlier and capture more events. Add an Initialize() method to Trace2.cs to detect whether Trace2 tracing is enabled and set long-lived variables. This also sets a new _initialized property that allows us to determine whether Trace2 tracing has been initialized. Trace2 tracing is disabled until _initialized is set to true by the Initialize() method. Change the name of TryParseSettings() to InitializeWriters() for improved clarity. Pass the CommandContext to Trace2 to use its Streams and Environment."
