Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Mention In and Out in README and how to empty them (#853),0.91481483,Mention In and Out in README and how to empty them (#853) (MasonProtter),Mention In and Out in README and how to empty them Update README.md Update README.md Co-Authored-By: Nathan Daly 44379820+rai-nhdaly@users.noreply.github.com Update README.md Co-Authored-By: Nathan Daly 44379820+rai-nhdaly@users.noreply.github.com Update README.md Co-Authored-By: Nathan Daly 44379820+rai-nhdaly@users.noreply.github.com,1
Create FUNDING.yml,0.23385274,- Documentation? (#936),,0
Use DEPOT_PATH[1]... to load startup_ijulia.jl (#846),0.94230825,Use DEPOT_PATH[1]... to load startup_ijulia.jl (#846) (macd),Use DEPOT_PATH[1]... to load startup_ijulia.jl First check that DEPOT_PATH is not empty before loading startup_ijulia.jl,1
short comment on nteract (#842),0.8495922,short comment on nteract to README.md (#842) (PaulSoderlind),,1
add Project.toml,0.3734792,- Add documentation with Documenter.jl (#941) (@jlumpe),,0
need to set LINES/COLS before calling init(),0.41680518,Fix lines/cols in displaysize (475dcbe615fd8f0ec50887fa1e56be6f57409403).,,0
Set --project=@. for the default kernel. (#820),0.56807494,- Correct kernelspec name (#1004) (@jks-liu),,0
fix(vega): add v4 mime type (#821),0.86341137,Add support for vega-lite 4 MIME type (#890) (davidanthoff),"fix(vega): add v4 mime type The v4 mime type is what is currently supported out of the box by Jupyter, v3 requires an extension to be installed style(vegaMime): use list comprehensions",1
Fix Issue #815 (#816),0.74202955,Fix #794.,"Fix bug (I think): evaluate each of the user_expressions, rather than returning them untouched Should have evaluated ex, not code. And ignoring SOFTSCOPE setting, as suggested in link Catch and report errors in evaluating user expressions, as suggested in link whoops, didn't mean to use tab characters Update implemantation of user_expressions to match the IPython reference implementation whoops wrong status",1
path is a pointer to UInt16 (#819),0.40968424,Interrupt messages on Windows (#804) and warning for incorrect kernel path (#809).,,0
Move mode and startup global variable into let block (#813),0.3470673,- Note about default environment (#1007) (@lamorton),Move mode global variable into let block Move startup global variable into let block,0
Implement message interrupt mode (#804),0.5911596,Interrupt messages on Windows (#804) and warning for incorrect kernel path (#809).,Default to message mode for Windows and keep the previous behaviour for all other platforms.,0
tests for the correct kernel.jl (#809),0.71389055,- Compare kernel.jl files rather than filenames (#1025) (@bluesmoon),,1
Update IJulia.jl (#806),0.7432264,IJulia v1.23.3,,1
"if appdata not available, use same fallback as in jupyter_core/paths.py",0.5207533,Respect environment variables XDG_DATA_HOME and JUPYTER_DATA_DIR during build (#796).,,0
Respect environment variables XDG_DATA_HOME and JUPYTER_DATA_DIR (#796),0.91749924,Respect environment variables XDG_DATA_HOME and JUPYTER_DATA_DIR during build (#796).,"See link and Jupyter source file ""jupyter_core/paths.py"".",1
more build logic improvements,0.32512167,- include kspec.jl unconditionally during build (#1079) (@stevengj),,0
restore old behavior of treating empty JUPYTER as conda,0.68858135,use _set_conda_env to launch jupyter (#900) (stevengj),,0
don't convert environment vars to uppercase on non-Windows,0.39544863,- Note about default environment (#1007) (@lamorton),,0
note that you can just launch jupyter directly,0.615335,use _set_conda_env to launch jupyter (#900) (stevengj),,0
don't require jupyter for installation (#791),0.7443606,LoadError: Failed to find or install Jupyter 3.0 or later. (#885),"work on jupyter-free installation rebase fix drop compat, save jupyter pref again, add env to installkernel updated notebook command, also jupyterlab command adapted from #783 installkernel test clean up test output whoops rm another compat reference rm more compatibility code updated docs installkernel is exported add .exe suffix on Windows fix path for windows no compat only prompt once for jupyterlab install",1
ignore MIME types that throw errors during display (#777),0.6521045,Custom MIME display (#755).,"ignore MIME types that throw errors during display (fixes #776), split display into separate file tweak test fix",0
close #771: always send text/latex if it is available,0.33621955,Closed issues:,,0
refactor: simplify map call (#775),0.3608563,Fix #776,,0
Base.Markdown -> Markdown (fixes #769),0.4906876,Fix #794.,,0
ENH: support plotly mimetype (#773),0.4768514,- Not seeing any output after running plotly() with julia 1.9 (#1073),,0
store prefs in depot_path/prefs (#760),0.51557064,Use DEPOT_PATH[1]... to load startup_ijulia.jl (#846) (macd),"store prefs in depot_path/prefs As a stopgap until we get proper package options (JuliaLang/Juleps#38), store JUPYTER preference in depot_path/prefs/IJulia so that it isn't forgotten when IJulia is updated.  See also JuliaPy/PyCall.jl#589 misplaced const",0
"Fix typo in display_mimestring, display_mimejson. (#757)",0.6272877,Custom MIME display (#755).,,0
Add custom MIME types to display_dict. (#755),0.73634017,Custom MIME display (#755).,"Add custom MIME types to display_dict. Add tests, fix markdown/latex priority. Improve documentation. Update MIME priority of png/jpeg and html. register_ijulia_mime -> register_mime Vector -> AbstractVector, add test cases for vector-of-MIMEs Fix more types!",1
Update README.md,0.49661738,add info on nteract to README.md? (#841),,0
Tell the user to install the jupyter-client package on Debian (#754),0.6975361,- Package name should ideally be Jupyter.jl (#904),Tell the user to install the jupyter-client package on Debian Update README.md,0
Don't load startup_ijulia.jl with --startup-file=no (#748),0.6799958,- IJulia/kernel.jl should not change the global_logger (#1018),,0
Check for startup_ijulia.jl and load it if present (#745),0.7099136,Use DEPOT_PATH[1]... to load startup_ijulia.jl (#846) (macd),,1
fix 0.7 deprecation,0.8982443,Fix more 0.7 deprecations.,,1
use new ZMQ api (#729),0.58966607,"Drop Julia 0.6 support, use the ZMQ 1.0 API (#729).",use new ZMQ api require ZMQ 1.0,0
silence 0.7 deprecation about Base.Dates,0.42217177,Fix more 0.7 deprecations.,,0
drop more 0.6 code (#728),0.4590328,How does this code work? (#861),,0
drop 0.6 support in master (#726),0.5447801,Fix more 0.7 deprecations.,,0
default to soft global scope (#720),0.46678445,- Handling of local y = (x = i) in soft scope (#938),,0
fixed read me file for updated Pkg keyword use (#714),0.555664,"Support pkg commands in 0.7 (#715), use soft global scope in 0.7 (#720), unique completions (#712).",Pkg.* keywords don't work without importing 'Pkg'. Updated read-me so that there's no confusion.,0
replicate REPL pkg mode for cells starting with ] (#715),0.41710937,- Cell content disappears  (#919),,0
Move flush_all() out from @async (#693) (#711),0.404607,- flush stdio before display (#999) (@stevengj),Move flush_all() out from @async no need for async around idle message,0
make sure completions are unique (#712),0.54393303,- respect should_complete return value from REPLCompletions.completions (#993) (@stevengj),See JuliaLang/julia#28694,0
corrections to history function (fixes #706),0.5457797,"Fix shell mode (#703), Revise (#708), and history (#706).",,0
Fix CI (#710),0.5214419,Fix #776,,0
"Check whether Revise is running at startup, and if so configure it (#708)",0.45442605,"Fix shell mode (#703), Revise (#708), and history (#706).","Revise checks whether IJulia is running in its init function, and if so defines an appropriate preexecute_hook. However, I believe most users of Revise who also use the REPL configure it in their .julia/config/startup.jl script. It appears that this script runs before IJulia is loaded, and as a consequence Revise has no chance to detect whether it should define the hook. To make both work independent of load order, we therefore have to check symmetrically: Revise checks for IJulia, and IJulia checks for Revise. Fixes link",0
Fix shell mode for Julia 1.0 (#703),0.6347326,- Kernel does not start with Julia 1.9 (#1062),"replace(string::AbstractString, pat, r[, n::Integer=0]) gets removed in Julia 1.0. The new signature is replace(s::AbstractString, pat=>r; [count::Integer]).",0
more 0.7 updates (#696),0.631735,Fix more 0.7 deprecations.,,0
Make ipy_mime variable more readable (#694),0.61684394,Custom MIME display (#755).,,0
"use IJULIA_DEBUG env var to enable debugging output in build, rather than requiring user to edit the source",0.5182469,Feature Request : Allow IJulia to run on root. (#895),,0
set the context_module for the REPLCompletions (#680),0.37559938,Add InlineIOContext with Jupyter property. (#876) (travigd),set the context_module for the REPLCompletions Update handlers.jl,0
Monkeypatch Compat.stdio to match Base. (#691),0.4054591,"- Unlike in REPL, passing (e, catch_backtrace()) to the @error macro displays unreadable raw stacktrace instead of text representation (#1043)",,0
fix #688 (? cells),0.5938561,- Cell content disappears  (#919),,0
fix #682: using InteractiveUtils on 0.7 (#687),0.555042,"- v1.21.4 breaks IJulia with ""InteractiveUtils not defined"" Error (#955)",,0
fix #678: override Julia prompt and getpass,0.5763356,- redirect_stdio is broken by Julia 1.7 (#986),,0
update new REPLCompletions API (fixes #679),0.4422844,- Proposed fix for #986. (#989) (@rgobbel),,0
fix chr2ind deprecation,0.4333431,Fix more 0.7 deprecations.,,0
a few more 0.7 updates (#672),0.63818383,Fix more 0.7 deprecations.,findlast/first updates tighten where clause another showable call having pop_foo_hook throw an error if the hook wasn't found seems fine missing paren findlast -> Compat.findlast,0
fixes for 0.7 (#671),0.7129624,Fix more 0.7 deprecations.,"0.7 compatibility (mostly) update appveyor to test nightly too fix merge error missing compat in kernel.jl REPL.REPLCompletions is now in the stdlib don't force Compat into user notebooks fix more deprecations and a crash in heartbeat fix more 0.7 deprecations don't use uppercase STDIO on 0.7 whitespace Add logging override for 0.7 Fix stdout messages not being sent Julia 0.7 changed the String() constructor to deplete Vector{UInt8} arguments, so we must copy() them first to avoid clobbering. fix empty try-catch deprecation add build.log to .gitignore add Conda before using it fix deprecation from spawn use Compat.AbstractDisplay directly Misc 0.7 changes warn() -> at-warn emtpy try-catch remove_destination -> force start -> firstindex endof -> lastindex broadcast + replace global logger in init() test explicit stdout/stderr printing",1
default to system jupyter on non-Apple unices (fixes #615),0.6483453,Slight fix to handling of environment variables for jupyter subcommands (137aed4c98a4be788b6a73df2ef74c2667be5611).,,0
Don't send vega if vega-lite is being sent (#669),0.5390555,Add support for vega-lite 4 MIME type (#890) (davidanthoff),,0
Add application/vnd.vega.v3+json MIME type (#668),0.7493585,Add support for vega-lite 4 MIME type (#890) (davidanthoff),,1
Removed idle_delay! (#655),0.39731607,Fix #794.,,0
Add support for the dataresource MIME type (#630),0.5929639,Add support for vega-lite 4 MIME type (#890) (davidanthoff),Use JSON.JSONText for vegalite mime type Add support for vnd.dataresource mime type,0
super useful info (#656),0.45610607,- Update help link (#1006) (@raphbacher),that is mentioned on some issue but not in the readme...,0
require ZMQ 0.6 for upcoming 0.7 support,0.61121434,"Drop Julia 0.6 support, use the ZMQ 1.0 API (#729).",,0
Ensure copied code in readme can be rerun (#653),0.31592605,short comment on nteract to README.md (#842) (PaulSoderlind),,0
fix heartbeat thread for latest ZMQ,0.61336833,- fix heartbeat on 1.6 (#985) (@stevengj),,0
allow setting the module which code gets evaluated in (#651),0.32638955,- UndefVarError: execute_msg not defined (#1077),,0
Drop Julia v0.5 (#642),0.70749015,"Drop Julia 0.5 (#642), redirect fixes (#641), JupyterLab fixes, module-evaluation control (#651), compatibility with ZMQ.jl master.",stop testing v0.5 on Travis drop Julia v0.5 entirely,1
"implement Base.redirect_{stdout,stderr,stdin} (#641)",0.4646829,- redirect_stdio is broken by Julia 1.7 (#986),"implement Base.redirect_{stdout,stderr,stdin} fix test brittleness only allow stdio redirection for the matching IJulia stream",0
Typo and grammatical corrections (#643),0.60189915,Fix #776,"Typo and grammatical corrections Changed ""behaviour"" to ""behavior""",0
"Remove further ""source"" => ""julia"" mappings for JupyterLab compat (#638)",0.72561806,- Jupyterlab won't work with Julia 1.5 and Python 3.7.7 (#939),,1
Add metadata to complete_reply (#632),0.5104933,- respect should_complete return value from REPLCompletions.completions (#993) (@stevengj),"Add metadata to complete request Improved compact display Remove extra definition Use eval only for symbols Add keywords, latex symbols and emojis completion Remove empty catch statement",0
"Remove ""source"" => ""julia"" mapping (#633)",0.6068755,"Julia 0.6 fixes, dropping Julia 0.4, switching to MbedTLS instead of Nettle.",This does not seem to be supported in JupyterLab 0.31.  See this link [0] for more detail [0] link,0
more informative error message when JUPYTER is not a valid executable,0.64547265,Slight fix to handling of environment variables for jupyter subcommands (137aed4c98a4be788b6a73df2ef74c2667be5611).,,0
Update to latest CodeMirror commit (#627),0.42624757,- Proposed fix for #986. (#989) (@rgobbel),This provides correct syntax highlighting for struct.,0
fix (x...) deprecation,0.7612525,Fix more 0.7 deprecations.,,1
Fix Windows package locations (#619),0.36783332,Permissions problems similar to Issue #616 (#845),,0
Allow failures for builds on julia nightlies (#622),0.5043915,"Drop Julia 0.5 (#642), redirect fixes (#641), JupyterLab fixes, module-evaluation control (#651), compatibility with ZMQ.jl master.",,0
Embed vega-lite JSON directly in JSON message (#621),0.5849179,Add support for vega-lite 4 MIME type (#890) (davidanthoff),,0
Add %qtconsole magic (#620),0.3974775,- Add Julia svg logo (#1053) (@steff456),Add %qtconsole magic Warn if qtconsole is called outside a running IJulia session Error if qtconsole is called outside an IJulia session,0
Capture the parent message locally for idle messages (#618),0.31864867,- Convert uuid4 to a string before using as msg_id (#972) (@bluesmoon),Capture the parent message locally for idle messages @async no longer implicitly captures variables (link) Add note about changes in @async behavior Update eventloop.jl,0
Add vega-lite mime type (#611),0.9159255,Add support for vega-lite 4 MIME type (#890) (davidanthoff),,1
"Use uppercase, lowercase, and now from Compat (#605)",0.37676716,"Fix shell mode (#703), Revise (#708), and history (#706).",use lowercase from Compat.Unicode fix compatibility with 0.7,0
fix setup_stdio for IJuliaStdio (fixes #604),0.600968,- IJulia fails on 1.7 with Mac M1 (#1027),,0
"fix IO colorization for Julia 0.7, remove some type piracy hacks",0.5818139,"Julia 0.6 fixes, dropping Julia 0.4, switching to MbedTLS instead of Nettle.",,0
Fix findfirst depreciation (#598),0.33700466,- Indentation error (#1070),Fix findfirst depreciation equalto is only available in Julia 0.7. When support for Julia 0.6 is dropped it can be changed. Bumping Compat to 0.33.0 Properly compat.,0
allow display of arbitrary MIME types via explict display calls (closes #595),0.6342486,Custom MIME display (#755).,,0
handle 0 indices in more cases (for #589),0.35295495,- Zero before another number breaks ijulia (#907),,0
Merge pull request #588 from JuliaLang/yyc/0.7,0.6250022,Merged pull requests:,Fix 0.7 depwarns,0
Fix 0.7 depwarns,0.5976842,Fix more 0.7 deprecations.,,0
Merge pull request #587 from JuliaLang/yyc/0.7,0.62913895,Merged pull requests:,Fix most depwarns on 0.7,0
Fix most depwarns on 0.7,0.6528379,Fix more 0.7 deprecations.,,0
Allows adding metadata to comm_open message (#583),0.41770524,Custom MIME display (#755).,,0
"widen chr2ind signature, fixes #564",0.4040333,Fix #776,,0
update to using tuple type for cfunction (#577),0.3327776,Fix #776,,0
use @DIR instead of Pkg.dir (#576),0.5673929,"Support pkg commands in 0.7 (#715), use soft global scope in 0.7 (#720), unique completions (#712).",this is more likely to be correct without needing to manually set IJULIA_DIR,0
Merge pull request #575 from JuliaLang/yyc/0.7,0.6414267,Merged pull requests:,Fix most of 0.7 depwarns,0
Fix most of 0.7 depwarns,0.66583574,Fix more 0.7 deprecations.,,0
"whoops, forgot git add kspec.jl (fixes #573)",0.75050473,- include kspec.jl unconditionally during build (#1079) (@stevengj),,1
rename addkernel -> installkernel,0.4404933,"IJulia.installkernel function, syntax highlighter updates, build script update for Debian, 0.7 compatibility.",,0
add IJulia.addkernel,0.6487788,IJulia v1.24.1,,0
Get the latest syntax highlighter at build time (#569),0.6809141,- [feature request] syntax highlight in vscode (#933),,0
Merge pull request #570 from pabloferz/pz/ci,0.7143821,Merged pull requests:,Add missing CI configuration for 0.6,1
Add missing CI configuration for 0.6,0.3454678,- Add to startup (#922),,0
modified:   deps/build.jl (#560),0.52387357,- include kspec.jl unconditionally during build (#1079) (@stevengj),"modified:   deps/build.jl         On linux systems, try ""jupyter-notebook"" to retrieve the         Jupyter version in case ""jupyter"" is not present. This is the         case for the Debian distribution. modified:   deps/build.jl         1. removed the ""is_linux()"" clause in the jupyter_vers         comuptation",0
missing invokelatest when flushing display queue,0.36374998,- Display/println order incorrect (#998),,0
better fix for #513 using invokelatest,0.38711902,- Proposed fix for #986. (#989) (@rgobbel),,0
Allows self referential result history (#553),0.3202424,- Documentation? (#936),Julia 3066 is long resolved: link,0
Temporary fix for #551 (#552),0.5322403,Fix #776,,0
"include date in message headers for Jupyter 5.1 compatibility, simplify message code",0.51616216,Slight fix to handling of environment variables for jupyter subcommands (137aed4c98a4be788b6a73df2ef74c2667be5611).,,0
handle v5.2 protocol change (jupyter/jupyter_client#262),0.5559183,IJulia doesn't work with Jupyter --transport=ipc  (#862),,0
use invokelatest instead of eval,0.33129126,- Load InteractiveUtils from the IJulia namespace in src/kernel.jl. (#951) (@fredrikekre),,0
Call message handlers with invokelatest on 0.6 (#542),0.39550734,- Load InteractiveUtils from the IJulia namespace in src/kernel.jl. (#951) (@fredrikekre),Bump Compat version in REQUIRE,0
Update CI URLs to point to new caching infrastructure (#543),0.27449423,Merged pull requests:,,0
"use UTF-16 code units, not characters, for Jupyter string indices (fixes #541)",0.66783357,Slight fix to handling of environment variables for jupyter subcommands (137aed4c98a4be788b6a73df2ef74c2667be5611).,,0
Fix comparision with nothing (#540),0.37486058,Fix #776,,0
Merge branch 'master' of git://github.com/JuliaLang/IJulia.jl,0.51747805,Merged pull requests:,,0
reset output throttling on clear_output (closes #537),0.35927528,- flush stdio before display (#999) (@stevengj),,0
workaround for broken data-rate limit in Jupyter 4.2-5.0 (closes #528),0.56269,Slight fix to handling of environment variables for jupyter subcommands (137aed4c98a4be788b6a73df2ef74c2667be5611).,,0
fix #530: tab completion for empty completions array,0.50464344,- tab completion and unicode not working in Jupyter notebook (#1034),,0
Merge pull request #527 from JuliaLang/yyc/0.6,0.616011,Merged pull requests:,Fix depwarn on 0.6,0
Fix depwarn on 0.6,0.48818696,Fix more 0.7 deprecations.,,0
seed explicitly MersenneTwister(0) (#525),0.32836956,Startup file (#745).,seed explicitly MersenneTwister(0) randomize internal RNG seed,0
Fix a typo in IJulia.jl (#521),0.69176644,IJulia v1.24.2,pretexecute_hooks must be preexecute_hooks.,0
Update Readme to add julia syntax highlighting (#520),0.5763433,- [feature request] syntax highlight in vscode (#933),,0
use Base.REPL.ends_with_semicolon to check for semicolon at end of code cell.  This somewhat improves #109 in Julia 0.6 thanks to JuliaLang/julia#20918,0.5401363,- redirect_stdio is broken by Julia 1.7 (#986),,0
don't swallow build errors (noticed in #516),0.48295653,Fix more 0.7 deprecations.,,0
Merge pull request #514 from JuliaLang/yyc/0.6,0.6274257,Merged pull requests:,More 0.6 depwarn fix,0
More 0.6 depwarn fix,0.5665357,Fix more 0.7 deprecations.,,0
use eval on hooks to run in the current world (#513),0.24570101,- UndefVarError: execute_msg not defined (#1077),,0
Fix depwarn on 0.6 (#512),0.482522,Fix more 0.7 deprecations.,,0
Evaluate result in current_module(). Fix #507 (#508),0.4960857,- UndefVarError: execute_msg not defined (#1077),Evaluate the result in current_module(). Fix #507 Eval in current_module(),0
"default to system jupyter (not Conda) on Linux, as discussed in #501 and #506",0.7376207,use _set_conda_env to launch jupyter (#900) (stevengj),,1
handle signature schemes other than sha256,0.2095879,Add support for vega-lite 4 MIME type (#890) (davidanthoff),,0
refactor IJulia.readprompt,0.6490226,IJulia v1.22.0,,0
remove Compat stuff for 0.4 that is no longer needed now that we REQUIRE 0.5 (as of #447),0.6430794,Fix more 0.7 deprecations.,,0
Drop CI for .4,0.24092627,- IJulia is very slow at first calculation (#995),,0
More efficient HMAC,0.17824939,- IJulia is very slow at first calculation (#995),,0
Bump Julia version,0.650991,- Kernel does not start with Julia 1.9 (#1062),,0
